Unnamed: 0,state,α1,α2,α3,β11,β12,β13,β21,β22,β23,β31,β32,β33,γ1,γ2,γ3,A_b1,A_b2,A_b3,R_b1,R_b2,R_b3,initial-A1,initial-R1,initial-V1,initial-A2,initial-R2,initial-V2,initial-A3,initial-R3,initial-V3,Finalm-V1,Finalm-V2,Finalm-V3,Finals-V1,Finals-V2,Finals-V3,politic
0,Alabama,0.0016260544101113,0.0021907881713019,0.0099840885813432,0.0091332753834329,0.0351974996537059,0.0,0.0062956462115676,0.0731623655477935,0.0,0.1154557526197141,0.5311342308412538,0.0,0.2635128058787916,0.2032838164563204,0.1092041493234731,0.0261972913657922,0.0125211003262777,0.0065932801090899,0.1008186248327913,0.0749038291305398,0.0308786320131226,0.1771480652844994,0.1561852680488338,0.0,0.1972497125710648,0.1360836207622685,0.0,0.2686142581710617,0.0647190751622715,0.0,0.2061142936090061,0.2459059352787549,0.2958614212186986,0.1748219542505179,0.2434229608233619,0.2965383955698047,R
1,Alaska,0.0068234164886614,0.0087341059944342,0.023838727334839,0.0123562928653529,0.0397030231503522,0.0207307023355133,0.0327201393733711,0.0505758679935399,0.0202277745727689,0.4548766478782194,0.9593394616423006,0.1096509518891191,0.1358064666864851,0.1437475785898199,0.2223310692389401,0.0130957052432448,0.0065524837311949,0.0075827091054743,0.0631849296863497,0.0627721862868823,0.0356948273117396,0.1985896701878873,0.1347436631454459,0.0,0.2292310200470322,0.1041023132863011,0.0,0.2684624257189376,0.0648709076143957,0.0,0.2570496328353911,0.2640086328290794,0.2900557994033381,0.1849535054392927,0.2754592625176152,0.3231255514099242,R
2,Arizona,0.0021534047222064,0.0030130138645702,0.0042261098711541,0.0103594055699261,0.0304682637029189,0.0,0.0433068596312297,0.0172272978229648,0.0091889883428978,0.0180178793043146,0.0150496311617442,0.0329850114670529,0.173955845861319,0.1529191266910896,0.2273982833074483,0.0175354227329207,0.0086174479979767,0.0073606392217948,0.0714689054298319,0.0567099724353109,0.0292794591938808,0.215168899260259,0.1181644340730743,0.0,0.242802684635523,0.0905306486978103,0.0,0.2742172684130562,0.059116064920277,0.0,0.2441505769465994,0.2680028476823614,0.296691304087443,0.2232563456878888,0.2710278149539408,0.2870452874154947,D
3,Arkansas,0.00343999474625,0.0029894169986431,0.0068344772663505,0.0145151138314645,0.0335388275089253,0.00239305673582,0.0132603841926702,0.0260832998673936,0.0475529803579154,0.0352530647304719,0.045157856133046,0.1227053921685078,0.1677368124558521,0.1834270915147042,0.1662251797547321,0.0182850555012838,0.009766570186419,0.0059769547160065,0.0957682250038006,0.0704970666398958,0.030723075244508,0.1926231002409846,0.1407102330923487,0.0,0.2131740871406125,0.1201592461927207,0.0,0.2670778468149806,0.0662554865183527,0.0,0.2192075506246542,0.2530694540586219,0.296633303336685,0.2218448785735033,0.248892299661454,0.2904556374585881,R
4,California,0.0009630710464167,0.0012085926034581,0.0035304619924681,0.0132799876663345,0.0191066219325286,0.0178911638336492,0.0099593001892723,0.0375126036446679,0.013106461794582,0.0547166506047658,0.014498584543265,0.0050953581480767,0.1946495047702892,0.1825451479679989,0.2855360401739049,0.0128068665663823,0.0079593816220393,0.0079783008477116,0.0420808549704871,0.0310729733183611,0.0182996301258224,0.2333607418711238,0.0999725914622094,0.0,0.2594347876492588,0.0738985456840744,0.0,0.2836867655634191,0.0496465677699141,0.0,0.2784199079648048,0.2942969213356689,0.3070549686487482,0.2890774804824818,0.2899197816466023,0.3047170404128217,D
5,Colorado,0.0012248132688104,0.0012484314655989,0.0084503534837288,0.0024817550671764,0.0095456949760202,0.0279084070064201,0.0154003794820286,0.023438742007494,0.0266007685992776,0.1434727286372937,0.0637124551645404,0.0567576225044038,0.1807096933251102,0.1893525538946536,0.181319129993658,0.0119636864301208,0.0050005854490274,0.0049041609160295,0.0544694954062195,0.0448062555821329,0.0239318452695043,0.2388748872465941,0.0944584460867391,0.0,0.2552631897221917,0.0780701436111415,0.0,0.2854395360177115,0.0478937973156217,0.0,0.2668146530376299,0.2835246155100417,0.3044973271637285,0.2533695917582693,0.281748214704978,0.3045590365202618,D
6,Connecticut,0.0006314175947156,0.0014576242723054,0.0046001026845606,0.0016401916447388,0.0491376891853669,0.0002821501898603,0.0329882692313986,0.0235452537515747,0.0095553979070822,0.3003903117501339,0.335367560277268,0.220686920790039,0.1949364295352897,0.168252820729755,0.2142304131479996,0.0100567369740422,0.0049673794006895,0.0055577828001319,0.0418497196683539,0.0296498060242009,0.012735514039451,0.2418430101577846,0.0914903231755486,0.0,0.2644035926674103,0.0689297406659229,0.0,0.3064858026358345,0.0268475306974988,0.0,0.2814075141473768,0.2987142927393262,0.31504003599799,0.2648015278134994,0.2947750155273789,0.3105656738772469,D
7,Delaware,0.0025357934388537,0.0016262748478082,0.0074110212569689,0.0124588833888253,0.0123274400444632,0.0212930786947301,0.0289666299721934,0.0305004688475007,0.0391606692675872,0.0988980659463924,0.1110110692927155,0.0103334797273616,0.1557097869420116,0.1745757401914736,0.1396538307406743,0.0134447106622523,0.0046198063157261,0.0045931405423843,0.074700893463753,0.047200618443929,0.0145393728575172,0.2145295218898634,0.1188038114434699,0.0,0.2372061705921525,0.0961271627411808,0.0,0.2847889567521852,0.0485443765811481,0.0,0.2451365777298953,0.2815128793421467,0.3142008199066997,0.2347904642921695,0.269640948138127,0.3199918129069251,D
8,Florida,0.0004900588484453,0.0006578160096671,0.0117744962263444,0.0313608896380981,0.0147521053427482,0.0047898054586351,0.0377507532142693,0.0222337567908676,0.0042473975984047,0.0509177667556189,0.0602810119181106,0.0099883939651766,0.2669509090699024,0.244510435129324,0.1069926368971035,0.0193716506289105,0.0107909778101203,0.0060626387226909,0.0797943274376994,0.059328649991306,0.0249375917126725,0.1906183300228505,0.1427150033104827,0.0,0.2195123643026782,0.1138209690306551,0.0,0.2748135235363659,0.0585198097969673,0.0,0.2340931224575613,0.2632025566643212,0.3023330972428406,0.2407672113773707,0.2606752479124591,0.2972328074027797,R
9,Georgia,0.000609826225173,0.0012003827010287,0.0132022062890579,0.0225425581989704,0.0107715588501954,0.0076668909264496,0.0117612240845528,0.062818550634165,0.0002727289075183,0.0126245059153764,0.0655074518268878,0.0345230131355542,0.2916410344041394,0.2351569010012943,0.1453533324704921,0.0189454829229974,0.011366692666575,0.0078403208668471,0.0874557675228924,0.0619064017974422,0.0267933578906376,0.1877322477010189,0.1456010856323144,0.0,0.2058830011790518,0.1274503321542814,0.0,0.2591799146174717,0.0741534187158616,0.0,0.2266753309133468,0.2600573220723394,0.2986996466284532,0.2272207375898537,0.2522313339919416,0.2970962028780857,D
10,Hawaii,0.0028197330175813,0.0063526512729855,0.007958068471,0.0077253143322772,0.0237672366568452,0.0043695897108103,0.0241534984916724,0.0511629225245732,0.0,0.327213391146848,0.410245875781262,0.0,0.1302346850973147,0.0983514324592367,0.1057244155971083,0.0069571991628814,0.0055811601550393,0.004112364297567,0.0398016473345523,0.0315080997438713,0.0185894884797547,0.2371467894706948,0.0961865438626385,0.0,0.2491758631367277,0.0841574701966055,0.0,0.2806429699091102,0.052690363424223,0.0,0.2863112518024495,0.2962429675663537,0.310631480060564,0.293156094579495,0.3067983523638237,0.3107803680429467,D
11,Idaho,0.0020517518558206,0.0044150019531698,0.0027938174479415,0.0166398978745266,0.0029019281679831,0.01045757266114,0.0381355014344234,0.0072516371649215,0.0491332480727341,0.021679926955281,0.0232187013267901,0.0301379563024069,0.1481272090986046,0.138437323204835,0.2794183217524437,0.0106991524427494,0.0059915539379176,0.0055239956789837,0.0977318179187135,0.0794833110428367,0.0361512885715286,0.211873678083608,0.1214596552497253,0.0,0.2189959746052949,0.1143373587280384,0.0,0.2612423932489725,0.0720909400843608,0.0,0.2243867353202916,0.2478583080329778,0.2916567745650129,0.2285780099342223,0.2430163067896358,0.3002835346575342,R
12,Illinois,0.0021566722597724,0.0023989829638933,0.0039082820492722,0.0585432656294556,0.0162868688375978,0.0038115577177452,0.0491394162483712,0.0067017910151994,0.0265194836554097,0.0356527689243539,0.0091268761017928,0.0488038175091579,0.1682931940465816,0.1608991444645094,0.2084988919655823,0.0132928253550431,0.0065467714153631,0.0059296893525805,0.0628576191886182,0.045968463788326,0.0205788759906221,0.2132575154027099,0.1200758179306233,0.0,0.2424721867182323,0.090861146615101,0.0,0.2781946513538019,0.0551386819795314,0.0,0.257181663577932,0.2808177262468206,0.3068247396771,0.2587834696176953,0.2765383877954116,0.30464057176962,D
13,Indiana,0.0006478210153534,0.0015928117815409,0.0096377786296006,0.0424079654880308,0.0093091567848858,0.0076296103106458,0.0647680230507467,0.021045918551186,0.0051288646062338,0.1738359677496764,0.019045432492007,0.0579943569941455,0.2484877044312799,0.2073941798423556,0.1976356581019504,0.0176825918967041,0.0085910257642826,0.0071311162893053,0.0929455628386097,0.0687951487322292,0.0286831279730176,0.1976138777118294,0.1357194556215038,0.0,0.2193667936111787,0.1139665397221545,0.0,0.2742065180228114,0.0591268153105219,0.0,0.2226826321796222,0.2559466315676065,0.2975190891384902,0.2371112532025277,0.2498537707295235,0.2973401377523103,R
14,Iowa,0.0016407003747761,0.0018196703310613,0.0012160427129136,0.0377616119554986,0.037902719666194,0.0,0.0280948514040816,0.0618492292214035,0.0036610066616727,0.0063961144857763,0.3630745903392404,0.2170143638490667,0.2090538637642409,0.1875107129665296,0.2885562963831037,0.0150773162741663,0.0067859073071301,0.0052562084284645,0.0875966987373337,0.066477094769319,0.0235575248303829,0.2017725930002479,0.1315607403330854,0.0,0.2324638011372646,0.1008695321960688,0.0,0.2978758075975383,0.035457525735795,0.0,0.2306567066364991,0.2600701745034744,0.3045196002034309,0.2454594357827375,0.2579329113332459,0.3067277673488235,R
15,Kansas,0.0023030001738088,0.0023265090650929,0.002865973176407,0.0134523801331041,0.0127854169642636,0.0156373682223529,0.0106201576321184,0.0181150939267191,0.0431118392801243,0.0463890321175001,0.0187925087823269,0.3642862603771819,0.1929426740769947,0.1778702374165288,0.23454570242327,0.0146730234623406,0.0066914609851571,0.0043040770945597,0.0811671673271232,0.0650818231989059,0.0303882017276183,0.2080486978703418,0.1252846354629914,0.0,0.2413182911585178,0.0920150421748155,0.0,0.2700843908799021,0.0632489424534312,0.0,0.2373640568706659,0.2615592238640974,0.2986410540866112,0.2444464318915951,0.2737278760999516,0.28922428104374,R
