ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
IS,ISL,Iceland,2,2020-10-10,2020-04-28,100,1,67,0,0,0,0,0,0,0,0,0.000862316757688991,0.000689686875054412,28,0,,,0,,,0
IS,ISL,Iceland,2,2020-10-19,2020-05-07,100,3,66,0,0,0,0,0,0,0,0,0.000862316757688991,0.000689686875054412,27,0,,,0,,,0
IS,ISL,Iceland,2,2020-10-20,2020-05-07,101,1,67,0,0,0,0,0,0,0,0,0.000853606487409304,0.000682723316861988,27,0,,,0,,,0
IS,ISL,Iceland,2,2020-10-27,2020-05-12,100,1,67,0,0,0,0,0,0,0,0,0.000862316757688991,0.000689686875054412,28,0,,,0,,,0
IS,ISL,Iceland,2,2020-10-28,2020-05-13,100,2,67,0,0,0,0,0,0,0,0,0.00100603621730382,0.00074489338690477,29,1,,,0,,,0
IS,ISL,Iceland,2,2020-10-29,2020-05-13,101,1,68,0,0,0,0,0,0,0,0,0.000995874235310855,0.000737372961609233,30,1,,,0,,,0
IS,ISL,Iceland,2,2020-11-11,2020-05-19,100,1,68,0,0,0,0,0,0,0,0,0.00101640772469871,0.00075256879357486,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-11-12,2020-05-19,101,1,69,0,0,0,0,0,0,0,0,0.00100603621730382,0.00074489338690477,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-11-15,2020-05-21,100,1,69,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-11-29,2020-05-26,100,1,69,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-01,2020-05-28,100,2,68,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-02,2020-05-29,100,1,68,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-03,2020-06-01,100,1,68,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-05,2020-06-08,100,1,68,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,31,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-12,2020-06-11,100,1,68,0,0,0,0,0,0,0,0,0.000871206621170321,0.000696793949128744,32,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-13,2020-06-16,100,2,67,0,0,0,0,0,0,0,0,0.00290402207056774,0.00127087105391151,32,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-15,2020-06-21,100,2,67,0,0,0,0,0,0,0,0,0.00304922317409612,0.00130216048866616,33,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-22,2020-06-22,100,1,67,0,0,0,0,0,0,0,0,0.00304922317409612,0.00130216048866616,34,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-23,2020-06-29,100,3,65,0,0,0,0,0,0,0,0,0.00319442427762451,0.00133270668974522,35,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-24,2020-06-30,100,1,65,0,0,0,0,0,0,0,0,0.00319442427762451,0.00133270668974522,35,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-27,2020-07-01,100,1,65,0,0,0,0,0,0,0,0,0.00319442427762451,0.00133270668974522,35,1,,,0,,,0
IS,ISL,Iceland,2,2020-12-29,2020-07-01,101,1,66,0,0,0,0,0,0,0,0,0.0031618281115263,0.00131912920953704,35,1,,,0,,,0
