"date","age","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-07,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-07,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-08,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-08,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-09,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-09,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-10,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-10,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-11,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-11,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-12,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-12,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-13,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-13,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-14,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-14,6,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
2020-05-15,-99,"PM","Saint Pierre and Miquelon","SPM",5985,0,0,0,0,0,0,0,0,0
