"date","age","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,-99,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0.113207547169811,0.0279056204373457,0.198509473902277
2020-05-06,1,"CK","Cook Islands","COK",15342,1,1,1,1,1,1,1,1,1,1,1,1
2020-05-06,3,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,4,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,5,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0.481132075471698,0.3860156050955,0.576248545847896
2020-05-07,-99,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0.113207547169811,0.0279056204373457,0.198509473902277
2020-05-07,1,"CK","Cook Islands","COK",15342,1,1,1,1,1,1,1,1,1,1,1,1
2020-05-07,3,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,4,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,5,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0.481132075471698,0.3860156050955,0.576248545847896
2020-05-08,-99,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0.113207547169811,0.0279056204373457,0.198509473902277
2020-05-08,1,"CK","Cook Islands","COK",15342,1,1,1,1,1,1,1,1,1,1,1,1
2020-05-08,3,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,4,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,5,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,-99,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0.113207547169811,0.0279056204373457,0.198509473902277
2020-05-09,1,"CK","Cook Islands","COK",15342,1,1,1,1,1,1,1,1,1,1,1,1
2020-05-09,3,"CK","Cook Islands","COK",15342,0,0,0,0,0,0,0,0,0,0,0,0
