ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
HT,HTI,Haiti,1,2020-04-30,2020-04-23,9,8,101,7809696.7213435,0,0,1,1,32782.3452360323,1,32782.3452360323,24,4173.35085128727,0,5,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-01,2020-04-23,2,9,103,8441822.20831235,0,0,1,1,32782.3452360323,1,32782.3452360323,24,4256.81786831302,0,5,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-04,2020-04-23,1,10,104,8505263.80187229,0,0,1,1,32782.3452360323,1,32782.3452360323,25,4298.55137682589,0,5,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-05,2020-04-23,2,11,106,8614468.0433478,0,0,1,1,32782.3452360323,1,32782.3452360323,25,4382.01839385164,0,5,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-07,2020-04-23,6,12,112,9048513.86218948,0,0,1,1,32782.3452360323,1,32782.3452360323,26,4632.41944492888,0,5,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-08,2020-04-24,5,12,100,8166884.99824416,0,0,1,3,109331.453660813,3,109331.453660813,14,4131.6173427744,0,4,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-09,2020-04-24,6,13,106,8523116.91866659,0,0,1,3,109331.453660813,3,109331.453660813,14,4382.01839385164,0,4,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-10,2020-04-25,3,13,102,7838994.23870992,0,0,1,3,109331.453660813,3,109331.453660813,14,4215.08435980015,0,4,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-11,2020-04-25,1,14,103,7883561.16616937,0,0,1,3,109331.453660813,3,109331.453660813,14,4256.81786831302,0,4,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-12,2020-04-25,5,15,108,8579260.98784551,0,0,1,3,109331.453660813,3,109331.453660813,14,4465.48541087738,0,4,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-13,2020-04-25,5,16,113,8970576.14406046,0,0,1,4,146459.629850252,3,109331.453660813,14,4674.15295344175,0,4,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-14,2020-04-26,11,16,109,8603987.72530434,0,0,1,4,146459.629850252,3,109331.453660813,13,4507.21891939026,0,2,,,,,,,,,,,,,,,,,,,,,,,,
HT,HTI,Haiti,1,2020-05-15,2020-04-28,17,15,103,7560111.90940132,0,0,1,5,190795.033744886,3,109331.453660813,13,4256.81786831302,0,2,,,,,,,,,,,,,,,,,,,,,,,,
