ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
RE,REU,Réunion,2,2021-07-19,2020-12-07,100,2,76,0.02,0.0274394957835608,0.00949824381163972,0.00013773692781377,0.02,0.0274394957835608,0.00949824381163972,0.00013773692781377,0.0231483909025365,0.0108757379823683,28,1,2,23,0.0199620416329758,0.08,0.098632228763276,0.0199620416329758
RE,REU,Réunion,2,2021-07-21,2020-12-07,101,1,77,0.0198019801980198,0.0271705622473482,0.00947787505932837,0.000137442967501689,0.0198019801980198,0.0271705622473482,0.00947787505932837,0.000137442967501689,0.0229191989134025,0.0107693205519046,29,1,2,24,0.019962868071922,0.0769230769230769,0.100780651168984,0.019962868071922
RE,REU,Réunion,2,2021-07-22,2020-12-08,100,1,77,0.02,0.0274394957835608,0.00954335946126173,0.000138388011821057,0.02,0.0274394957835608,0.00954335946126173,0.000138388011821057,0.0231483909025365,0.0108757379823683,28,1,2,25,0.0199631587183445,0.0740740740740741,0.101870074809196,0.0199631587183445
RE,REU,Réunion,2,2021-07-24,2020-12-10,100,1,77,0.02,0.0274394957835608,0.00956923488517021,0.000138761418093706,0.02,0.0274394957835608,0.00956923488517021,0.000138761418093706,0.0231483909025365,0.0108757379823683,29,1,3,25,0.0199634155943567,0.107142857142857,0.104030260150141,0.0199634155943567
RE,REU,Réunion,2,2021-07-30,2020-12-11,100,2,77,0.02,0.0274394957835608,0.00949720825609712,0.000137721982900426,0.02,0.0274394957835608,0.00949720825609712,0.000137721982900426,0.0231483909025365,0.0108757379823683,29,1,3,27,0.0199606912274819,0.1,0.109681213864818,0.0199606912274819
RE,REU,Réunion,2,2021-08-01,2020-12-17,100,2,76,0.02,0.0274394957835608,0.00957288060751109,0.000138814028445508,0.02,0.0274394957835608,0.00957288060751109,0.000138814028445508,0.0190633807432654,0.00989018621779298,30,1,4,28,0.0199584062570158,0.125,0.111060735519357,0.0199584062570158
RE,REU,Réunion,2,2021-08-02,2020-12-20,100,1,76,0.02,0.0274394957835608,0.00957361188574763,0.000138824581284166,0.02,0.0274394957835608,0.00957361188574763,0.000138824581284166,0.0190633807432654,0.00989018621779298,30,1,4,29,0.0199570009831883,0.121212121212121,0.111631312387294,0.0199570009831883
RE,REU,Réunion,2,2021-08-04,2020-12-21,100,1,76,0.02,0.0274394957835608,0.00940152745197636,0.000136341070353888,0.02,0.0274394957835608,0.00940152745197636,0.000136341070353888,0.0190633807432654,0.00989018621779298,29,1,4,30,0.0199536984270841,0.117647058823529,0.112528530176866,0.0199536984270841
RE,REU,Réunion,2,2021-08-07,2020-12-21,101,1,77,0.0198019801980198,0.0271705622473482,0.00937192323025516,0.000135913780413928,0.0198019801980198,0.0271705622473482,0.00937192323025516,0.000135913780413928,0.0188746343992727,0.00979320562298544,30,1,5,30,0.019947688469212,0.142857142857143,0.113295615182163,0.019947688469212
RE,REU,Réunion,2,2021-08-09,2021-01-03,100,4,76,0.02,0.0274394957835608,0.00767054999665885,0.000111335560242485,0.02,0.0274394957835608,0.00767054999665885,0.000111335560242485,0.0190633807432654,0.00989018621779298,30,1,5,34,0.0199431557204734,0.128205128205128,0.113474966761017,0.0199431557204734
