ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
LV,LVA,Latvia,2,2020-10-14,2020-04-26,100,1,77,0,0,0,0,0,0,0,0,0.00526669306607317,0.0031041527749572,7,1,,,0,0,0,0,0,0,0,0,0.0058346108980551,0.00322465292776374,,,0
LV,LVA,Latvia,2,2020-10-17,2020-04-27,100,1,77,0,0,0,0,0,0,0,0,0.00526669306607317,0.0031041527749572,7,1,,,0,0,0,0,0,0,0,0,0.00609759584530905,0.0032879400242928,,,0
LV,LVA,Latvia,2,2020-10-19,2020-05-03,100,1,77,0,0,0,0,0,0,0,0,0.00478790278733925,0.00296040574418314,7,1,,,0,0,0,0,0,0,0,0,0.00630599817973831,0.00333826623218017,,,0
LV,LVA,Latvia,2,2020-10-20,2020-05-03,101,1,78,0,0,0,0,0,0,0,0,0.00473954013292168,0.0029305738593562,7,1,,,0,0,0,0,0,0,0,0,0.00642025383482214,0.00336590472376985,,,0
LV,LVA,Latvia,2,2020-10-27,2020-05-05,100,2,78,0,0,0,0,0,0,0,0,0.00478790278733925,0.00296040574418314,7,1,,,0,0,0,0,0,0,0,0,0.00737703940891965,0.00359817033957763,,,0
LV,LVA,Latvia,2,2020-10-28,2020-05-06,101,2,78,0,0,0,0,0,0,0,0,0.00568744815950602,0.00320875368212389,8,1,,,0,0,0,0,0,0,0,0,0.00753089032882459,0.00363560801339993,,,0
LV,LVA,Latvia,2,2020-11-01,2020-05-06,103,2,79,0,0,0,0,0,0,0,0,0.0102205132767361,0.00424892124823593,8,1,,,0,0,0,0,0,0,0,0,0.00816368469892051,0.00378971227352766,,,0
LV,LVA,Latvia,2,2020-11-02,2020-05-08,100,1,79,0,0,0,0,0,0,0,0,0.0105333861321463,0.00437829810405014,8,1,,,0,0,0,0,0,0,0,0,0.0083225089996426,0.00382840396983668,,,0
LV,LVA,Latvia,2,2020-11-04,2020-05-14,100,1,79,0,0,0,0,0,0,0,0,0.0105333861321463,0.00437829810405014,8,1,,,0,0,0,0,0,0,0,0,0.00863560367695007,0.00390465397299819,,,0
LV,LVA,Latvia,2,2020-11-07,2020-05-16,100,1,79,0,0,0,0,0,0,0,0,0.0105333861321463,0.00437829810405014,8,1,,,0,0,0,0,0,0,0,0,0.00908089702011856,0.00401296292376493,,,0
LV,LVA,Latvia,2,2020-11-17,2020-05-17,100,2,79,0,0,0,0,0,0,0,0,0.0105333861321463,0.00437829810405014,8,1,,,0,0,0,0,0,0,0,0,0.0101368737104251,0.00426616156570692,,,0
LV,LVA,Latvia,2,2020-11-19,2020-05-19,100,2,78,0,0,0,0,0,0,0,0,0.0104269882924277,0.00433430588692338,9,1,,,0,0,0,0,0,0,0,0,0.0102602682499393,0.0042943048899242,,,0
LV,LVA,Latvia,2,2020-11-22,2020-05-22,100,2,77,0,0,0,0,0,0,0,0,0.0104269882924277,0.00433430588692338,10,1,,,0,0,0,0,0,0,0,0,0.0104147378812665,0.00432793914160208,,,0
LV,LVA,Latvia,2,2020-11-25,2020-05-24,100,1,77,0,0,0,0,0,0,0,0,0.0104269882924277,0.00433430588692338,10,1,,,0,0,0,0,0,0,0,0,0.0105608455928784,0.00435773549712596,,,0
LV,LVA,Latvia,2,2020-11-29,2020-05-24,101,1,78,0,0,0,0,0,0,0,0,0.0103227184095034,0.00429118888838577,10,1,,,0,0,0,0,0,0,0,0,0.010795121518188,0.00440329674420712,,,0
LV,LVA,Latvia,2,2020-12-03,2020-05-25,100,1,78,0,0,0,0,0,0,0,0,0.0104269882924277,0.00433430588692338,11,1,,,0,0,0,0,0,0,0,0,0.0111139585392366,0.00446450640122642,,,0
LV,LVA,Latvia,2,2020-12-11,2020-05-26,100,1,78,0,0,0,0,0,0,0,0,0.0104269882924277,0.00433430588692338,11,1,,,0,0,0,0,0,0,0,0,0.0119347051501216,0.00462224998463671,,,0
LV,LVA,Latvia,2,2020-12-13,2020-05-27,100,1,78,0,0,0,0,0,0,0,0,0.0104269882924277,0.00433430588692338,11,1,,,0,0,0,0,0,0,0,0,0.0121394555923801,0.00466160860978416,,,0
LV,LVA,Latvia,2,2020-12-15,2020-06-03,100,2,77,0,0,0,0,0,0,0,0,0.0123228043455964,0.00470737160517131,11,1,,,0,0,0,0,0,0,0,0,0.0123321683854617,0.0046986213649314,,,0
LV,LVA,Latvia,2,2020-12-18,2020-06-07,100,1,77,0,0,0,0,0,0,0,0,0.0137446663854729,0.00496795870816833,11,1,,,0,0,0,0,0,0,0,0,0.0125932001321087,0.00474869473687498,,,0
LV,LVA,Latvia,2,2020-12-20,2020-06-08,100,1,77,0,0,0,0,0,0,0,0,0.0137446663854729,0.00496795870816833,11,1,,,0,0,0,0,0,0,0,0,0.01274683227135,0.00477812065030456,,,0
LV,LVA,Latvia,2,2020-12-23,2020-06-09,100,1,77,0,0,0,0,0,0,0,0,0.0137446663854729,0.00496795870816833,11,1,,,0,0,0,0,0,0,0,0,0.0129470949737719,0.00481641706312735,,,0
LV,LVA,Latvia,2,2020-12-24,2020-06-21,100,1,77,0,0,0,0,0,0,0,0,0.0137446663854729,0.00496795870816833,12,1,,,0,0,0,0,0,0,0,0,0.0130061706083264,0.00482769951851438,,,0
LV,LVA,Latvia,2,2020-12-25,2020-06-25,100,1,77,0,0,0,0,0,0,0,0,0.0137446663854729,0.00496795870816833,12,1,,,0,0,0,0,0,0,0,0,0.0130616443785267,0.0048382873447215,,,0
LV,LVA,Latvia,2,2020-12-30,2020-06-26,100,1,77,0,0,0,0,0,0,0,0,0.0137446663854729,0.00496795870816833,12,1,,,0,0,0,0,0,0,0,0,0.0132900966014003,0.00488181610333011,,,0
LV,LVA,Latvia,2,2021-11-09,2020-12-15,100,1,86,0.02,0.0274394957835608,0.0225569091052248,0.000224550191669267,0.01,0.0195013954179879,0.0068089573225116,0.000124361112331727,0.00769623369639722,0.00190832707807989,24,0,9,32,0.0199708394758384,0.0273998924570138,0.0224137230001273,0.00022313942207294,0.00998541973791921,0.0194731040507659,0.00676573561716902,0.000123574103507756,0.00713320691699774,0.00183568540349557,0.219512195121951,0.208382862244279,0.0199708394758384
LV,LVA,Latvia,2,2021-11-13,2020-12-15,101,1,87,0.0198019801980198,0.0271705622473482,0.0224288602410538,0.000223290111517977,0.0099009900990099,0.0193092777830645,0.00677030489689472,0.000123657557430052,0.00761849396209018,0.00188912504219777,24,0,9,33,0.0199745711377336,0.0274049604806124,0.0223182109706408,0.00022219890861077,0.00998728556886681,0.019476724486957,0.00673690465768223,0.000123049218846917,0.00708112728745895,0.0018292469407807,0.214285714285714,0.207492498882482,0.0199745711377336
LV,LVA,Latvia,2,2021-11-14,2020-12-18,100,1,87,0.02,0.0274394957835608,0.0229587359454253,0.000228503326141598,0.01,0.0195013954179879,0.00693025150307517,0.000126568741140993,0.00719970249017805,0.00184620360312,24,0,9,34,0.0199755713103904,0.027406318829458,0.0222903019124882,0.000221924079230189,0.00998778565519522,0.019477694848524,0.00672848011755635,0.000122895843968904,0.00706831683738364,0.00182766663442245,0.209302325581395,0.207271258563993,0.0199755713103904
LV,LVA,Latvia,2,2021-11-15,2020-12-20,100,1,87,0.02,0.0274394957835608,0.0230505658395847,0.000229406507729486,0.01,0.0195013954179879,0.00695797098482443,0.000127073214737893,0.00682730408551366,0.00179816019067464,24,0,9,35,0.0199765909612772,0.0274077036319673,0.0222607360924803,0.0002216329318607,0.00998829548063859,0.0194786841077538,0.00671955547253075,0.000122733363772085,0.0070556484243811,0.0018261051116468,0.204545454545455,0.207050789796345,0.0199765909612772
LV,LVA,Latvia,2,2021-11-19,2020-12-23,100,1,87,0.02,0.0274394957835608,0.0224193050539563,0.000223196075823717,0.01,0.0195013954179879,0.00676742059830345,0.000123605056066166,0.00682730408551366,0.00179816019067464,24,0,9,36,0.0199807787679728,0.0274133911523686,0.0221260410106562,0.00022030649014783,0.00999038938398638,0.0194827470929191,0.00667889684064931,0.000121993134578195,0.00700700618878867,0.0018201206067617,0.2,0.206178132288091,0.0199807787679728
LV,LVA,Latvia,2,2021-11-20,2020-12-24,100,1,87,0.02,0.0274394957835608,0.0223803580591921,0.000222812776146851,0.01,0.0195013954179879,0.00675566418150219,0.000123391058635114,0.00682730408551366,0.00179816019067464,24,0,9,37,0.0199818303607552,0.0274148193356251,0.0220884166172274,0.00021993596354442,0.00999091518037761,0.0194837673419864,0.00666753966010888,0.000121786364386308,0.00699550547563179,0.00181870816793589,0.195652173913043,0.20596250519612,0.0199818303607552
LV,LVA,Latvia,2,2021-11-21,2020-12-25,100,1,87,0.02,0.0274394957835608,0.0220778580483323,0.000219835171429094,0.01,0.0195013954179879,0.00666435248385799,0.000121728861039095,0.00682730408551366,0.00179816019067464,24,0,10,37,0.0199828745159028,0.0274162374177229,0.0220493287189443,0.000219551019220615,0.00999143725795141,0.0194847803751045,0.00665574071061653,0.00012157155046581,0.00698432715585537,0.00181733621586458,0.212765957446809,0.205747934449092,0.0199828745159028
LV,LVA,Latvia,2,2021-11-25,2020-12-30,100,1,87,0.02,0.0274394957835608,0.021781894260787,0.00021692099802243,0.01,0.0195013954179879,0.00657501378993481,0.000120102430493379,0.00682730408551366,0.00179816019067464,25,0,10,38,0.0199868868785311,0.0274216866650173,0.0218803032474445,0.000217886370444577,0.00999344343926554,0.0194886731454784,0.00660471921576142,0.000120642634081184,0.0069433454760983,0.00181231380889248,0.208333333333333,0.204900105511193,0.0199868868785311
LV,LVA,Latvia,2,2021-11-28,2021-01-01,100,1,87,0.02,0.0274394957835608,0.0208796804469688,0.000208031921025685,0.01,0.0195013954179879,0.00630267437829771,0.000115143524658297,0.00682730408551366,0.00179816019067464,25,0,10,39,0.0199896116323107,0.0274253871922472,0.021743872874586,0.000216542669998458,0.00999480581615538,0.0194913166854005,0.00656353677441032,0.000119892840559349,0.00691707942523703,0.00180910092995469,0.204081632653061,0.204274869811039,0.0199896116323107
LV,LVA,Latvia,2,2021-11-30,2021-01-05,100,1,87,0.02,0.0274394957835608,0.0207107056851654,0.000206366168284848,0.01,0.0195013954179879,0.00625166819051135,0.00011421462407369,0.00682730408551366,0.00179816019067464,24,0,10,40,0.0199912452696735,0.0274276058586051,0.0216506814338592,0.000215624796579567,0.00999562263483676,0.0194929016306601,0.00653540630051551,0.000119380674069466,0.00690187484696735,0.00180724330725572,0.2,0.203863090560784,0.0199912452696735
LV,LVA,Latvia,2,2021-12-05,2021-01-09,100,1,87,0.02,0.0274394957835608,0.0204244878996063,0.000203543967833209,0.01,0.0195013954179879,0.00616527139395892,0.000112641097156241,0.00682730408551366,0.00179816019067464,24,0,10,41,0.0199945947128719,0.0274321547855037,0.0214199040122154,0.000213351678298721,0.00999729735643596,0.0194961512405433,0.00646574455707177,0.000118112336373162,0.00687190863333891,0.00180358717739182,0.196078431372549,0.202853830186206,0.0199945947128719
LV,LVA,Latvia,3,2020-11-23,2020-04-27,100,1,75,0.02,0.0274394957835608,0.0197417524561429,0.000237432241771872,0.02,0.0274394957835608,0.0197417524561429,0.000237432241771872,0.00234607236579623,0.00205397167959966,4,0,,,0.0199719223680059,0.0274013631484145,0.0195521146124734,0.000235173798097391,0.0199719223680059,0.0274013631484145,0.0195521146124734,0.000235173798097391,0.00252784053015752,0.00212351401457286,,,0.0199719223680059
LV,LVA,Latvia,3,2020-11-25,2020-04-28,100,2,75,0.02,0.0274394957835608,0.019602600605609,0.000235775408141159,0.02,0.0274394957835608,0.019602600605609,0.000235775408141159,0.00234607236579623,0.00205397167959966,4,0,,,0.019967379808861,0.0273951938336184,0.0195223162050785,0.000234818833120725,0.019967379808861,0.0273951938336184,0.0195223162050785,0.000234818833120725,0.00257542271362825,0.00214165417136572,,,0.019967379808861
LV,LVA,Latvia,3,2020-11-29,2020-04-30,100,1,75,0.02,0.0274394957835608,0.0196400855241418,0.000236221751777941,0.02,0.0274394957835608,0.0196400855241418,0.000236221751777941,0.00234607236579623,0.00205397167959966,4,0,,,0.0199578253419949,0.0273822177749857,0.0194431706137743,0.000233875994111534,0.0199578253419949,0.0273822177749857,0.0194431706137743,0.000233875994111534,0.00270137841160376,0.00218952178169273,,,0.0199578253419949
LV,LVA,Latvia,3,2020-11-30,2020-05-07,100,1,75,0.02,0.0274394957835608,0.0196435562134792,0.00023626307739137,0.02,0.0274394957835608,0.0196435562134792,0.00023626307739137,0.00234607236579623,0.00205397167959966,4,0,,,0.0199554736282796,0.0273790238788234,0.0194189036253464,0.000233586899155088,0.0199554736282796,0.0273790238788234,0.0194189036253464,0.000233586899155088,0.00273975537067957,0.00220406394370937,,,0.0199554736282796
