"date","age","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,-99,"MM","Myanmar","MMR",54045422,0.0897832817337461,0.0677386943778985,0.111827869089594,0.10061919504644,0.0774215414720847,0.123816848620795,0.109183582223017,0.105846391120745,0.112520773325289
2020-05-06,1,"MM","Myanmar","MMR",54045422,0.0259938837920489,0.0137990567429762,0.0381887108411217,0.0321100917431193,0.018598921353591,0.0456212621326475,0.0377069548383369,0.035700090713498,0.0397138189631757
2020-05-06,2,"MM","Myanmar","MMR",54045422,0.0142585551330798,0.00709449060419121,0.0214226196619685,0.0142585551330798,0.00709449060419121,0.0214226196619685,0.0239353099730458,0.0226653959006287,0.025205224045463
2020-05-06,3,"MM","Myanmar","MMR",54045422,0.00943396226415094,0.00120397921936795,0.0176639453089339,0.0113207547169811,0.00231385027196458,0.0203276591619977,0.0206479174083304,0.0189849651769994,0.0223108696396614
2020-05-06,4,"MM","Myanmar","MMR",54045422,0.00793650793650794,0,0.023429927431133,0.0158730158730159,0,0.0376961998412335,0.00374363581910752,0.00227890697151507,0.00520836466669997
2020-05-06,5,"MM","Myanmar","MMR",54045422,0,0,0,0,0,0,0.00182592818015825,0,0.00389023523721506
2020-05-06,6,"MM","Myanmar","MMR",54045422,0,0,0,0,0,0,0.000943396226415094,0,0.00279154646705524
2020-05-06,7,"MM","Myanmar","MMR",54045422,0.375,0.0395260980530331,0.710473901946967,0.5,0.153524043912581,0.846475956087419,0.245283018867925,0.204329524408584,0.286236513327265
2020-05-07,-99,"MM","Myanmar","MMR",54045422,0.0758706467661692,0.0575676019848903,0.094173691547448,0.0883084577114428,0.0686954057205033,0.107921509702382,0.0924935868236197,0.0897132113290213,0.0952739623182181
2020-05-07,1,"MM","Myanmar","MMR",54045422,0.0198265179677819,0.0102084903009458,0.029444545634618,0.0272614622057001,0.0160261807165604,0.0384967436948398,0.028372114799382,0.0267976299908256,0.0299465996079384
2020-05-07,2,"MM","Myanmar","MMR",54045422,0.0122137404580153,0.0062657772011919,0.0181617037148386,0.0122137404580153,0.0062657772011919,0.0181617037148386,0.0180306333097544,0.0170397401670962,0.0190215264524127
2020-05-07,3,"MM","Myanmar","MMR",54045422,0.00740740740740741,0.00093873980286918,0.0138760750119456,0.00740740740740741,0.00093873980286918,0.0138760750119456,0.0219706498951782,0.0204516572691995,0.0234896425211569
2020-05-07,4,"MM","Myanmar","MMR",54045422,0.00540540540540541,0,0.0159711330096807,0.0108108108108108,0,0.0257123469749908,0.0131565527791943,0.0109011740563004,0.0154119315020882
2020-05-07,5,"MM","Myanmar","MMR",54045422,0,0,0,0,0,0,0.031858954531395,0.0258051232206351,0.0379127858421549
2020-05-07,6,"MM","Myanmar","MMR",54045422,0,0,0,0,0,0,0.000650618087182824,0,0.00192539120806081
2020-05-07,7,"MM","Myanmar","MMR",54045422,0.222222222222222,0,0.493833841502414,0.333333333333333,0.0253547057000716,0.641311960966595,0.215932914046122,0.179007537228518,0.252858290863726
2020-05-08,-99,"MM","Myanmar","MMR",54045422,0.0673181324647123,0.0511354291381668,0.0835008357912577,0.0781758957654723,0.0608387045529448,0.0955130869779998,0.0932902386299242,0.0906787835614563,0.0959016936983921
2020-05-08,1,"MM","Myanmar","MMR",54045422,0.0197152245345016,0.0106976509494305,0.0287327981195728,0.0273822562979189,0.0167965848142675,0.0379679277815704,0.0312396557431314,0.0296887906065042,0.0327905208797586
2020-05-08,2,"MM","Myanmar","MMR",54045422,0.0112211221122112,0.00591704891073007,0.0165251953136924,0.0112211221122112,0.00591704891073007,0.0165251953136924,0.016921233902366,0.0160282483492014,0.0178142194555306
2020-05-08,3,"MM","Myanmar","MMR",54045422,0.00639386189258312,0.000807443318586246,0.01198028046658,0.00639386189258312,0.000807443318586246,0.01198028046658,0.0239588862616417,0.0224866613963541,0.0254311111269292
2020-05-08,4,"MM","Myanmar","MMR",54045422,0.00432900432900433,0,0.0127953118485043,0.00865800865800866,0,0.0206051185979193,0.0119251817365025,0.0100023929309988,0.0138479705420062
2020-05-08,5,"MM","Myanmar","MMR",54045422,0,0,0,0.0133333333333333,0,0.0392913828055158,0.0259119496855346,0.0209730673659672,0.030850832005102
2020-05-08,6,"MM","Myanmar","MMR",54045422,0,0,0,0,0,0,0.00101988781234064,0,0.0024326332594093
2020-05-08,7,"MM","Myanmar","MMR",54045422,0.222222222222222,0,0.493833841502414,0.333333333333333,0.0253547057000716,0.641311960966595,0.215932914046122,0.179007537228518,0.252858290863726
2020-05-09,-99,"MM","Myanmar","MMR",54045422,0.0652173913043478,0.0500050921190444,0.0804296904896512,0.0731225296442688,0.057082890207919,0.0891621690806186,0.087745378311416,0.0853245570753484,0.0901661995474837
2020-05-09,1,"MM","Myanmar","MMR",54045422,0.0188492063492063,0.010453983301678,0.0272444293967347,0.0257936507936508,0.0160077747404322,0.0355795268468694,0.0303910363305915,0.028934683894283,0.0318473887669001
