ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AF,AFG,Afghanistan,1,2020-04-27,2020-04-23,24,5,107,8005778.75811466,0,0,13,3,127307.329382787,3,127307.329382787,115,6847.4221469216,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-04-28,2020-04-24,27,5,122,8522546.36556102,0,0,13,4,192097.57260975,4,192097.57260975,142,7769.19051285335,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-04-29,2020-04-26,25,4,102,6070025.03477409,0,0,9,3,162381.204786837,2,105678.172565191,142,6452.37856152228,1,3,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-04-30,2020-04-26,20,5,122,7327137.44608781,0,0,11,3,162381.204786837,2,105678.172565191,179,7703.3499152868,1,3,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-01,2020-04-27,15,5,111,6601611.27952853,0,0,9,3,162381.204786837,2,105678.172565191,165,6913.26274448815,1,4,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-02,2020-04-28,13,5,100,7295702.10063847,0,0,8,2,121493.275448609,1,64790.2432269627,117,6123.17557368951,1,3,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-03,2020-04-28,23,6,123,8240969.18832294,0,0,10,3,161967.075932226,1,64790.2432269627,136,7637.50931772025,1,5,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-04,2020-04-30,36,5,107,6507216.9589844,0,0,12,3,91693.4340848683,0,0,95,6781.58154935505,0,4,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-05,2020-05-02,28,4,100,5602317.73928976,0,0,12,3,91693.4340848683,0,0,80,6452.37856152228,0,3,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-06,2020-05-03,18,4,105,4916435.56059637,0,0,13,4,155034.811711211,1,63341.3776263425,82,6715.74095178849,0,3,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-07,2020-05-04,22,4,104,5074332.00368023,0,0,14,4,149945.906888029,2,98726.2732867778,72,6584.05975665538,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-08,2020-05-05,36,4,104,4918650.86746508,0,0,14,5,191770.669172078,3,119663.662912446,65,6386.53796395572,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-09,2020-05-06,38,4,114,4916425.05918543,0,0,16,7,219875.449813562,5,147768.44355393,61,6979.10334205471,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AF,AFG,Afghanistan,1,2020-05-10,2020-05-08,33,3,107,4235148.39945218,0,0,15,7,181596.685448458,4,66389.7154880006,60,6386.53796395572,0,1,,,,0.110602094240838,0.0948761714049985,0.126328017076677,0.0353403141361257,0.0260824952275089,0.0445981330447424,0.0246119631326859,0.0245796342111661,0.0246442920542056,0.0196335078534031,0.0126771871840878,0.0265898285227185,0.0143018012872922,0.0142770272533699,0.0143265753212145,0.0157836082786893,0.0149940804365826,0.016573136120796,0.131578947368421,0.0241021620004476,0.239055732736394
AF,AFG,Afghanistan,1,2020-05-11,2020-05-08,23,4,130,5585458.79299019,0,0,18,7,181596.685448458,4,66389.7154880006,78,7835.03111041991,1,2,,,,0.112185686653772,0.0964794553643322,0.127891917943211,0.0373952288845906,0.027953004974584,0.0468374527945972,0.0259387654330448,0.0259051346594344,0.0259723962066552,0.0199871050934881,0.013021914013146,0.0269522961738301,0.0139952931905486,0.0139704390029922,0.0140201473781051,0.0152398932126303,0.0144678413118967,0.016011945113364,0.153846153846154,0.0406103478689215,0.267081959823386
AF,AFG,Afghanistan,1,2020-05-12,2020-05-09,30,4,124,5537264.83900231,0,0,15,5,91702.9923386899,3,45452.3258623322,140,7439.98752502059,1,1,,,,0.113329040566645,0.0975633059638362,0.129094775169454,0.0379909851899549,0.0284829186584493,0.0474990517214606,0.0256615660527188,0.0256275131469802,0.0256956189584575,0.0193174500965873,0.0124720082332208,0.0261628919599538,0.0127292421416329,0.0127050999278309,0.0127533843554349,0.0152711931245454,0.0144970424851352,0.0160453437639556,0.184210526315789,0.0609560891029406,0.307464963528638
AF,AFG,Afghanistan,1,2020-05-13,2020-05-10,36,4,122,6075472.94679682,0,0,14,4,88813.2659103397,2,42562.599433982,130,7176.62513475437,1,1,,,,0.115066751430388,0.0992973970829375,0.130836105777838,0.0381436745073109,0.0286780320431654,0.0476093169714564,0.0247717428711263,0.0247382713986107,0.0248052143436419,0.0190718372536554,0.0123125858876646,0.0258310886196462,0.0119664537732705,0.011943037812724,0.011989869733817,0.0150337412638763,0.0142684100761545,0.0157990724515982,0.194444444444444,0.065161165359805,0.323727723529084
AF,AFG,Afghanistan,1,2020-05-14,2020-05-11,27,4,116,5893372.59804466,0,0,11,2,28365.7569886659,1,25215.0542131336,131,7044.94393962126,1,1,,,,0.115507338864071,0.0996815452083201,0.131333132519823,0.0376515634971283,0.028226782378998,0.0470763446152585,0.0235616920622633,0.0235287416750979,0.0235946424494286,0.0185067007019783,0.011833690896721,0.0251797105072357,0.0111887419386096,0.0111658921488162,0.0112115917284031,0.0146387268831059,0.0138807921742556,0.0153966615919562,0.205882352941176,0.0699694722357615,0.341795233646591
AF,AFG,Afghanistan,1,2020-05-15,2020-05-13,42,3,105,4704982.88542856,0,0,12,4,135752.86902839,4,135752.86902839,65,6320.69736638917,1,1,,,,0.117873158231903,0.101876855373054,0.133869461090751,0.0384368994234465,0.0288999449875098,0.0479738538593832,0.0237888440951364,0.0237553465610648,0.023822341629208,0.019859064702114,0.0129380416023797,0.0267800878018483,0.0118339389533041,0.0118101686943214,0.0118577092122867,0.013686068085698,0.0129505938670633,0.0144215423043328,0.225806451612903,0.0786225906928602,0.372990312532946
