ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AW,ABW,Aruba,1,2020-05-29,2020-04-25,7,31,100,2024947.40526647,0,0,2,3,20016.7484256852,1,2291.02660094848,24,2088.77466063348,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-05-30,2020-04-30,5,29,100,2065461.91966056,0,0,2,3,20016.7484256852,1,2291.02660094848,22,2088.77466063348,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-05-31,2020-04-30,3,30,103,2099891.6540158,0,0,3,4,21990.3653411389,1,2291.02660094848,31,2152.71674208145,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-01,2020-05-03,3,29,100,2070915.53819485,0,0,3,4,16296.7487299734,1,2291.02660094848,32,2110.08868778281,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-02,2020-05-06,5,27,101,2054188.53480929,0,0,3,5,17814.9902291037,2,3809.26810007879,30,2131.40271493213,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-03,2020-05-07,2,27,100,2032101.13627656,0,0,3,5,17814.9902291037,2,3809.26810007879,30,2067.46063348416,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-04,2020-05-09,5,26,102,2031395.34181414,0,0,3,5,17814.9902291037,2,3809.26810007879,31,2110.08868778281,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-05,2020-05-11,5,25,100,1950841.8507689,0,0,3,5,17814.9902291037,2,3809.26810007879,31,2088.77466063348,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-06,2020-05-12,4,25,101,2027611.58226118,0,0,3,5,17814.9902291037,2,3809.26810007879,32,2110.08868778281,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AW,ABW,Aruba,1,2020-06-08,2020-05-12,1,26,102,2029435.46988735,0,0,3,5,17814.9902291037,2,3809.26810007879,32,2131.40271493213,0,1,,,,,,,,,,,,,,,,,,,,,,,,
