ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
ML,MLI,Mali,1,2020-05-08,2020-04-24,8,14,101,11830481.904076,0,0,0,0,0,0,1,137108.621258585,1,137108.621258585,5,1524.34207451903,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-09,2020-04-26,12,13,103,11668039.4007888,0,0,0,0,0,0,1,137108.621258585,1,137108.621258585,3,1555.13686390325,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-10,2020-04-27,8,13,107,11757277.1464131,0,0,0,0,0,0,1,137108.621258585,1,137108.621258585,4,1632.12383736381,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-11,2020-04-28,10,13,106,9940434.79424917,0,0,0,0,0,0,1,137108.621258585,1,137108.621258585,7,1616.72644267169,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-12,2020-04-29,4,13,101,9863539.79630118,0,0,0,0,0,0,1,137108.621258585,1,137108.621258585,7,1555.13686390325,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-13,2020-04-30,8,13,101,9412445.83051549,0,0,0,0,0,0,1,137108.621258585,1,137108.621258585,7,1555.13686390325,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-14,2020-05-04,11,11,103,9620743.50149677,0,0,0,0,0,0,2,213862.492147258,2,213862.492147258,8,1585.93165328747,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-15,2020-05-05,6,11,101,8771291.74489747,0,0,0,0,0,0,1,76753.8708886726,1,76753.8708886726,14,1524.34207451903,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-16,2020-05-06,15,11,108,9079084.31770513,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,32,1632.12383736381,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-17,2020-05-07,6,11,101,8126001.42305139,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,37,1508.94467982691,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-18,2020-05-08,15,11,103,8518659.16153279,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,38,1539.73946921114,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-19,2020-05-09,12,11,107,9185180.55207324,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,38,1601.32904797958,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-20,2020-05-10,11,11,106,8748444.07222473,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,38,1585.93165328747,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,MLI,Mali,1,2020-05-21,2020-05-12,13,10,101,8360874.80498717,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,34,1493.5472851348,0,2,,,,0.0041407867494824,0.00083439503820145,0.00744717846076335,0,0,0,0,0,0,0,0,0,0.0144927536231884,0.00833929529441843,0.0206462119519584,0.0146170577253019,0.0145968040990671,0.0146373113515366,0.0144927536231884,0.00833929529441843,0.0206462119519584,0.0146170577253019,0.0145968040990671,0.0146373113515366,0.0124141435057509,0.0109480292005096,0.0138802578109922,0,0,0
ML,MLI,Mali,1,2020-05-22,2020-05-13,8,10,105,8184801.80033047,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,34,1555.13686390325,0,3,,,,0.00481761871988988,0.00125734952925309,0.00837788791052668,0,0,0,0,0,0,0,0,0,0.0151410874053682,0.00886222701241413,0.0214199477983223,0.015068404828788,0.0150475619876271,0.015089247669949,0.0151410874053682,0.00886222701241413,0.0214199477983223,0.015068404828788,0.0150475619876271,0.015089247669949,0.0137184292797052,0.0121793191693459,0.0152575393900646,0,0,0
ML,MLI,Mali,1,2020-05-23,2020-05-14,6,10,103,8302327.11317715,0,0,1,0,0,0,2,143052.862565619,2,143052.862565619,34,1524.34207451903,0,3,,,,0.00550584996558844,0.00170107840611672,0.00931062152506016,0,0,0,0,0,0,0,0,0,0.0158293186510668,0.00941158622237332,0.0222470510797602,0.0155115085004484,0.0154900897456251,0.0155329272552717,0.0158293186510668,0.00941158622237332,0.0222470510797602,0.0155115085004484,0.0154900897456251,0.0155329272552717,0.0151525575143724,0.0135350382154435,0.0167700768133013,0,0,0
ML,MLI,Mali,1,2020-05-24,2020-05-15,9,10,101,7769641.43970465,0,0,1,0,0,0,1,66298.9916769464,1,66298.9916769464,33,1493.5472851348,0,3,,,,0.00621976503109883,0.00216891661481157,0.0102706134473861,0,0,0,0,0,0,0,0,0,0.0158949550794748,0.00945082635600493,0.0223390838029446,0.0154392197245942,0.0154175089484468,0.0154609305007415,0.0158949550794748,0.00945082635600493,0.0223390838029446,0.0154392197245942,0.0154175089484468,0.0154609305007415,0.0165809935345462,0.0148848041580366,0.0182771829110558,0,0,0
ML,MLI,Mali,1,2020-05-25,2020-05-16,12,10,107,8215720.01206092,0,0,1,0,0,0,1,66298.9916769464,1,66298.9916769464,27,1616.72644267169,0,5,,,,0.0069060773480663,0.00264053074435147,0.0111716239517811,0,0,0,0,0,0,0,0,0,0.0158839779005525,0.00944426362669525,0.0223236921744097,0.0150775479075311,0.0150559380368271,0.0150991577782352,0.0158839779005525,0.00944426362669525,0.0223236921744097,0.0150775479075311,0.0150559380368271,0.0150991577782352,0.0174996081347981,0.0157578802974991,0.0192413359720971,0,0,0
ML,MLI,Mali,1,2020-05-26,2020-05-18,14,9,100,7682819.44191389,0,0,0,0,0,0,0,0,0,0,1,1524.34207451903,0,5,,,,0.00691085003455425,0.00264236583249043,0.0111793342366181,0,0,0,0,0,0,0,0,0,0.0152038700760194,0.00889917529060799,0.0215085648614307,0.0142088163480001,0.014187639143347,0.0142299935526532,0.0152038700760194,0.00889917529060799,0.0215085648614307,0.0142088163480001,0.014187639143347,0.0142299935526532,0.017248420388936,0.0155177926478536,0.0189790481300185,0,0,0
ML,MLI,Mali,1,2020-05-27,2020-05-19,15,9,100,7170156.60922758,0,0,0,0,0,0,0,0,0,0,1,1524.34207451903,0,4,,,,0.00691562932226833,0.00264420347300842,0.0111870551715282,0,0,0,0,0,0,0,0,0,0.0145228215767635,0.00835669080381425,0.0206889523497127,0.0133148792974868,0.0132941754134023,0.0133355831815712,0.0145228215767635,0.00835669080381425,0.0206889523497127,0.0133148792974868,0.0132941754134023,0.0133355831815712,0.016996520053724,0.0152771377736252,0.0187159023338228,0,0,0
