ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
QA,QAT,Qatar,1,2020-05-05,2020-04-24,19,12,106,1392639.54192764,0,0,3,2,3,6,2,46095.026867625,1,38596.8534882783,32,10054.9931058789,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-06,2020-04-27,12,10,101,1288635.0914668,0,0,3,2,3,5,1,38596.8534882783,1,38596.8534882783,28,9485.84255271596,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-07,2020-04-29,14,9,103,1299619.13786247,0,0,4,3,5,7,2,67548.1096467351,1,38596.8534882783,40,9580.70097824312,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-08,2020-05-01,16,8,105,1152658.84186571,0,0,3,2,4,6,2,66605.0784234003,1,37653.8222649435,96,9675.55940377028,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-09,2020-05-03,14,7,104,968538.396116284,0,0,3,2,4,6,2,66605.0784234003,1,37653.8222649435,98,9580.70097824312,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-10,2020-05-04,20,7,109,898541.986990097,0,0,3,1,3,5,3,69615.6068487141,1,37653.8222649435,90,10054.9931058789,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-11,2020-05-05,21,7,116,988504.771314645,0,0,3,1,2,4,3,69615.6068487141,1,37653.8222649435,90,10719.002084569,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-12,2020-05-06,13,7,110,888008.407649007,0,0,3,1,2,3,3,69615.6068487141,1,37653.8222649435,82,10054.9931058789,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-13,2020-05-07,9,7,107,884751.082631109,0,0,3,1,2,3,3,69615.6068487141,1,37653.8222649435,82,9865.27625482459,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,QAT,Qatar,1,2020-05-14,2020-05-08,14,7,107,804402.368558209,0,0,1,0,1,1,2,40664.3506902573,1,37653.8222649435,65,9960.13468035176,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
