ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,pos_RF_symp,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
UG,UGA,Uganda,2,2020-06-01,2020-04-26,4,29,100,2262288.18966734,0,0,0,0,0,0,0,69,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-02,2020-04-29,5,28,103,2290952.33986273,0,0,0,1,29471.7061353918,1,29471.7061353918,69,3047.46784922395,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-03,2020-05-07,3,27,101,2238533.43907445,0,0,0,1,29471.7061353918,1,29471.7061353918,69,2987.12195121951,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-04,2020-05-08,2,27,100,2248145.68677119,0,0,0,1,29471.7061353918,1,29471.7061353918,70,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-05,2020-05-09,2,27,100,2274734.26411314,0,0,0,1,29471.7061353918,1,29471.7061353918,70,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-06,2020-05-09,1,28,101,2292187.69672751,0,0,0,1,29471.7061353918,1,29471.7061353918,70,2987.12195121951,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-07,2020-05-09,1,29,102,2315288.39450182,0,0,0,1,29471.7061353918,1,29471.7061353918,70,3017.29490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-08,2020-05-11,1,29,100,2374068.82337797,0,0,0,1,29471.7061353918,1,29471.7061353918,70,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-09,2020-05-11,5,30,105,2454660.48409995,0,0,0,1,29471.7061353918,1,29471.7061353918,70,3107.81374722838,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-10,2020-05-12,2,30,100,2301455.32408626,0,0,0,1,29471.7061353918,1,29471.7061353918,67,2926.77605321508,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-11,2020-05-14,4,29,100,2449928.09969022,0,0,0,1,29471.7061353918,1,29471.7061353918,69,2926.77605321508,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-13,2020-05-14,3,30,103,2498512.315043,0,0,0,1,29471.7061353918,1,29471.7061353918,69,3017.29490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-14,2020-05-14,1,31,104,2540870.40322962,0,0,0,1,29471.7061353918,1,29471.7061353918,69,3047.46784922395,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2,2020-06-15,2020-05-15,3,31,102,2472399.64730551,0,0,0,2,36051.4974378406,1,29471.7061353918,51,2987.12195121951,0,0,,,,,0,0,0,,,,0.00985221674876847,0.00471689048792648,0.0149875430096105,0.0118044367444735,0.0117675947666421,0.0118412787223049,0.0091484869809993,0.00419820454977861,0.01409876941222,0.0116051338336344,0.0115686005112312,0.0116416671560377,0.022731585251598,0.0213041176119369,0.0241590528912592,,,
UG,UGA,Uganda,2,2020-06-16,2020-05-17,3,30,100,2372245.52737897,0,0,0,2,36051.4974378406,1,29471.7061353918,51,2926.77605321508,0,0,,,,,0,0,0,,,,0.0112596762843068,0.00577368481961747,0.0167456677489962,0.0128536316309176,0.0128152714612949,0.0128919918005403,0.00985221674876847,0.00471689048792648,0.0149875430096105,0.0124563490086772,0.0124185787157731,0.0124941193015814,0.0223178655246267,0.0209026383831527,0.0237330926661007,,,
UG,UGA,Uganda,2,2020-06-17,2020-05-17,3,31,103,2463677.08955455,0,0,0,2,36051.4974378406,1,29471.7061353918,51,3017.29490022173,0,0,,,,,0,0,0,,,,0.011963406052076,0.0063105882379629,0.0176162238661891,0.0129845650283506,0.0129461126574729,0.0130230173992283,0.00985221674876847,0.00471689048792648,0.0149875430096105,0.0123917324160514,0.0123541568251092,0.0124293080069936,0.0219035487994924,0.0205007167464423,0.0233063808525425,,,
UG,UGA,Uganda,2,2020-06-18,2020-05-17,1,32,104,2524379.19768712,0,0,0,2,36051.4974378406,1,29471.7061353918,51,3047.46784922395,0,0,,,,,0,0,0,,,,0.0126404494382022,0.00683799124604986,0.0184429076303546,0.0130699727239963,0.0130315602960336,0.0131083851519591,0.0098314606741573,0.00470689950741464,0.0149560218409,0.0122862572856202,0.0122489995387366,0.0123235150325037,0.0214421886091755,0.0200548825645501,0.0228294946538009,,,
UG,UGA,Uganda,2,2020-06-19,2020-05-18,1,32,100,2470830.32651371,0,0,0,2,36051.4974378406,1,29471.7061353918,50,2926.77605321508,0,0,,,,,0,0,0,,,,0.0133426966292135,0.00738335792453525,0.0193020353338917,0.01317851534627,0.0131400731106622,0.0132169575818777,0.0098314606741573,0.00470689950741464,0.0149560218409,0.0122053242417426,0.0121683104057921,0.012242338077693,0.0209797493903878,0.0196066658323797,0.022352832948396,,,
UG,UGA,Uganda,2,2020-06-20,2020-05-19,3,32,100,2480893.52480872,0,0,0,2,36051.4974378406,1,29471.7061353918,50,2926.77605321508,0,0,,,,,0,0,0,,,,0.0140449438202247,0.00793296755876586,0.0201569200816836,0.0132920925197738,0.0132536043873023,0.0133305806522454,0.0098314606741573,0.00470689950741464,0.0149560218409,0.0121313419635954,0.0120945511084436,0.0121681328187472,0.0205166428711402,0.0191579876048841,0.0218752981373963,,,
UG,UGA,Uganda,2,2020-06-21,2020-05-19,2,33,102,2553435.73314311,0,0,0,2,36051.4974378406,1,29471.7061353918,50,2987.12195121951,0,0,,,,,0,0,0,,,,0.0147368421052632,0.00848052150408368,0.0209931627064426,0.0133827554447316,0.0133442855141752,0.0134212253752879,0.00982456140350877,0.00470357857920865,0.0149455442278089,0.012038869110181,0.0120023569896745,0.0120753812306874,0.0200383994475705,0.0186953449346305,0.0213814539605105,,,
UG,UGA,Uganda,2,2020-06-22,2020-05-20,4,33,102,2438982.99775344,0,0,0,2,36051.4974378406,1,29471.7061353918,50,2987.12195121951,0,0,,,,,0,0,0,,,,0.0154385964912281,0.00903732907530616,0.02183986390715,0.0135259223267251,0.013487319575243,0.0135645250782071,0.00982456140350877,0.00470357857920865,0.0149455442278089,0.011995575458586,0.0119591938442444,0.0120319570729275,0.0195742788803358,0.0182460755682878,0.0209024821923839,,,
UG,UGA,Uganda,2,2020-06-24,2020-05-22,5,32,101,2409154.85777507,0,0,0,2,36051.4974378406,1,29471.7061353918,47,2956.9490022173,0,0,,,,,0,0,0,,,,0.0161290322580645,0.00959078174931491,0.0226672827668141,0.0137032376784076,0.0136644060155715,0.0137420693412437,0.00981767180925666,0.00470026233375261,0.0149350812847607,0.0119833518237321,0.0119470070578632,0.012019696589601,0.0190239018458032,0.0177141369808389,0.0203336667107674,,,
UG,UGA,Uganda,2,2020-06-25,2020-05-23,2,32,101,2424777.35285591,0,0,0,2,36051.4974378406,1,29471.7061353918,23,2956.9490022173,0,0,,,,,0,0,0,,,,0.0168776371308017,0.010182524260827,0.0235727500007764,0.01390640551524,0.0138672740916907,0.0139455369387894,0.00984528832630098,0.00471355545180604,0.0149770212007959,0.0119937612429134,0.0119573850975442,0.0120301373882826,0.0179640705808178,0.0166883201209414,0.0192398210406941,,,
