ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
TZ,TZA,Tanzania,1,2020-05-08,2020-04-23,10,15,103,17788030.4306242,0,0,0,3,562911.637058261,2,251104.323537435,50,1594.0512837393,0,2,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-10,2020-04-24,8,15,103,16970520.3851748,0,0,0,3,562911.637058261,2,251104.323537435,25,1594.0512837393,0,2,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-11,2020-04-25,9,15,103,16395121.5687297,0,0,0,3,562911.637058261,2,251104.323537435,25,1594.0512837393,0,2,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-12,2020-04-25,4,16,107,16863730.2562,0,0,0,3,562911.637058261,2,251104.323537435,28,1657.18202764977,0,2,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-13,2020-04-26,5,16,103,15893525.6391388,0,0,0,3,562911.637058261,2,251104.323537435,28,1609.83396971692,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-14,2020-04-27,9,16,108,16185864.46429,0,0,0,4,704493.866223909,2,251104.323537435,33,1672.96471362739,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-15,2020-04-29,9,15,100,14172376.7201175,0,0,0,4,704493.866223909,2,251104.323537435,28,1562.48591178407,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-16,2020-04-30,12,15,107,14290295.0292227,0,0,0,3,392686.552703083,2,251104.323537435,34,1672.96471362739,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-17,2020-05-04,7,13,102,13220070.2175614,0,0,0,3,392686.552703083,2,251104.323537435,33,1578.26859776169,0,1,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-18,2020-05-04,5,14,107,14019626.316332,0,0,0,3,392686.552703083,2,251104.323537435,33,1657.18202764977,0,1,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-19,2020-05-05,6,14,105,13708282.660135,0,0,0,3,503769.248400104,2,362187.019234456,35,1625.61665569454,0,1,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-20,2020-05-07,11,13,102,13450391.8323303,0,0,0,4,599287.265758386,2,362187.019234456,37,1578.26859776169,0,1,,,,,,,,,,,,,,,,,,,,,,,,
TZ,TZA,Tanzania,1,2020-05-21,2020-05-07,2,14,104,13554333.0968796,0,0,0,4,599287.265758386,2,362187.019234456,37,1609.83396971692,0,1,,,,,,,,,,,,,,,,,,,,,,,,
