"date","age","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,-99,"FJ","Fiji","FJI",935974,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.00377358490566038,0,0.0111557073357215
2020-05-06,1,"FJ","Fiji","FJI",935974,1,1,1,1,1,1,0.0566037735849057,0,0.118816597672831
2020-05-06,2,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0,0,0
2020-05-06,4,"FJ","Fiji","FJI",935974,1,1,1,1,1,1,0.0566037735849057,0,0.118816597672831
2020-05-06,5,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059
2020-05-06,6,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0,0,0
2020-05-07,-99,"FJ","Fiji","FJI",935974,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.00471698113207547,0,0.0139402639808974
2020-05-07,1,"FJ","Fiji","FJI",935974,1,1,1,1,1,1,0.0566037735849057,0,0.118816597672831
2020-05-07,2,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0,0,0
2020-05-07,4,"FJ","Fiji","FJI",935974,1,1,1,1,1,1,0.0566037735849057,0,0.118816597672831
2020-05-07,5,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059
2020-05-07,6,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0,0,0
2020-05-08,-99,"FJ","Fiji","FJI",935974,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.00377358490566038,0,0.0111557073357215
2020-05-08,1,"FJ","Fiji","FJI",935974,1,1,1,1,1,1,0.0566037735849057,0,0.118816597672831
2020-05-08,2,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0,0,0
2020-05-08,4,"FJ","Fiji","FJI",935974,1,1,1,1,1,1,0.0566037735849057,0,0.118816597672831
2020-05-08,5,"FJ","Fiji","FJI",935974,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059
