"date","age","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-25,4,"BO","Bolivia","BOL",11513102,1,1,56,6,56,NA,NA,NA,NA,NA,0.0178571428571429,0,0.0525425978058359,0.0178571428571429,0,0.0525425978058359,0.00202156334231806,0.000405641324848655,0.00363748535978746,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,5,"BO","Bolivia","BOL",11513102,0,0,18,1,18,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0010482180293501,0,0.00310161056647236,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,6,"BO","Bolivia","BOL",11513102,0,0,9,0,9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,7,"BO","Bolivia","BOL",11513102,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,-99,"BO","Bolivia","BOL",11513102,0,0,6,8,6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0251572327044025,0.00794515684658011,0.0423693085622249,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,1,"BO","Bolivia","BOL",11513102,2,12,217,154,217,NA,NA,NA,NA,NA,0.00921658986175115,0,0.0219308975740252,0.0552995391705069,0.0248888652992048,0.085710213041809,0.0133901399878271,0.0112895292861294,0.0154907506895249,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,2,"BO","Bolivia","BOL",11513102,4,8,255,32,255,NA,NA,NA,NA,NA,0.0156862745098039,0.000435051316874106,0.0309374977027337,0.0313725490196078,0.00997661300278811,0.0527684850364276,0.00236773954864965,0.00154834650545598,0.00318713259184332,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,3,"BO","Bolivia","BOL",11513102,0,6,131,15,131,NA,NA,NA,NA,NA,0,0,0,0.0458015267175573,0.010002453858324,0.0816005995767905,0.00216044937346968,0.00106831289765774,0.00325258584928163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,4,"BO","Bolivia","BOL",11513102,0,1,56,8,56,NA,NA,NA,NA,NA,0,0,0,0.0178571428571429,0,0.0525425978058359,0.00269541778975741,0.000830141820596863,0.00456069375891796,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,5,"BO","Bolivia","BOL",11513102,0,0,24,1,24,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000786163522012579,0,0.00232640991113658,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,6,"BO","Bolivia","BOL",11513102,0,0,9,0,9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,7,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,-99,"BO","Bolivia","BOL",11513102,0,0,3,1,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,1,"BO","Bolivia","BOL",11513102,2,6,201,52,201,NA,NA,NA,NA,NA,0.00995024875621891,0,0.023671557639104,0.0298507462686567,0.00632480893971738,0.0533766835975961,0.00488125410682437,0.00355778048570782,0.00620472772794092,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,2,"BO","Bolivia","BOL",11513102,3,8,202,123,201,NA,NA,NA,NA,NA,0.0148514851485149,0,0.0315319520363382,0.0396039603960396,0.0127092485645869,0.0664986722274923,0.0115460433680653,0.00951739422525436,0.0135746925108763,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,3,"BO","Bolivia","BOL",11513102,2,2,119,17,119,NA,NA,NA,NA,NA,0.0168067226890756,0,0.0399026592322559,0.0168067226890756,0,0.0399026592322559,0.00269541778975741,0.00141584903131199,0.00397498654820284,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,4,"BO","Bolivia","BOL",11513102,0,2,54,12,54,NA,NA,NA,NA,NA,0,0,0,0.037037037037037,0,0.0874072887258666,0.00419287211740042,0.00182555357436428,0.00656019066043656,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,5,"BO","Bolivia","BOL",11513102,1,1,35,0,35,NA,NA,NA,NA,NA,0.0285714285714286,0,0.0837646169591168,0.0285714285714286,0,0.0837646169591168,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,6,"BO","Bolivia","BOL",11513102,0,0,8,0,8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,7,"BO","Bolivia","BOL",11513102,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,-99,"BO","Bolivia","BOL",11513102,0,0,4,0,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,1,"BO","Bolivia","BOL",11513102,4,15,273,158,273,NA,NA,NA,NA,NA,0.0146520146520147,0.000398884328662934,0.0289051449753664,0.0549450549450549,0.0279142111426675,0.0819758987474423,0.0109198977123505,0.00922651995728542,0.0126132754674157,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,2,"BO","Bolivia","BOL",11513102,3,3,264,52,264,NA,NA,NA,NA,NA,0.0113636363636364,0,0.0241492943139747,0.0113636363636364,0,0.0241492943139747,0.00371640937678674,0.00270817510692677,0.0047246436466467,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,3,"BO","Bolivia","BOL",11513102,1,1,154,40,154,NA,NA,NA,NA,NA,0.00649350649350649,0,0.0191791565002862,0.00649350649350649,0,0.0191791565002862,0.00490075961774075,0.00338575242891053,0.00641576680657097,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,4,"BO","Bolivia","BOL",11513102,1,2,66,10,66,NA,NA,NA,NA,NA,0.0151515151515152,0,0.0446221075628096,0.0303030303030303,0,0.0716589013559178,0.0028587764436821,0.00108945548738867,0.00462809739997554,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,5,"BO","Bolivia","BOL",11513102,0,0,37,13,37,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00662927078021418,0.00303758898887495,0.0102209525715534,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,6,"BO","Bolivia","BOL",11513102,0,0,10,0,10,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,7,"BO","Bolivia","BOL",11513102,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
