ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,pos_RF_symp,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
SS,SSD,South Sudan,2,2020-06-28,2020-04-23,2,51,100,1986412.66652028,0,0,100,4,108935.387039125,3,67797.643258614,85,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-06-29,2020-04-24,2,51,101,2005691.97131183,0,0,101,4,108935.387039125,3,67797.643258614,85,2001.68557919622,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-06-30,2020-04-25,1,51,100,1998096.50182437,0,0,100,4,108935.387039125,3,67797.643258614,85,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-07,2020-06-10,1,64,100,2815020.24761956,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1840.43243243243,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-08,2020-06-11,2,64,100,2844441.58964774,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1840.43243243243,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-10,2020-06-12,1,64,100,2999942.85025069,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1840.43243243243,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-11,2020-06-12,2,65,102,3102055.47903945,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1878.77477477478,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-14,2020-06-12,1,66,103,3119116.29764573,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1897.94594594595,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-18,2020-06-13,1,66,100,3077125.42062208,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1840.43243243243,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-19,2020-06-15,1,66,100,3114365.37540938,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1840.43243243243,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-21,2020-06-15,1,67,101,3119218.44942001,0,0,0,1,15455.7993966323,1,15455.7993966323,83,1859.6036036036,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-22,2020-06-16,1,67,100,3075205.22140482,0,0,0,1,15455.7993966323,1,15455.7993966323,80,1840.43243243243,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-24,2020-06-17,1,67,100,2990650.03032157,0,0,0,1,15455.7993966323,1,15455.7993966323,80,1821.26126126126,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2,2020-09-27,2020-06-18,2,67,100,3116569.29553718,0,0,0,1,15455.7993966323,1,15455.7993966323,80,1821.26126126126,0,7,,,,,0.213930348258706,0.192503033160645,0.235357663356768,,,,0.0163468372423596,0.00972102831141218,0.0229726461733071,0.0126212039620525,0.0125863308055317,0.0126560771185732,0.0142146410803127,0.00802934956054181,0.0203999326000836,0.00948601675724963,0.00945573568723008,0.00951629782726918,0.0440932098612578,0.0416113008166632,0.0465751189058524,0.0375,0,0.07913121639909
SS,SSD,South Sudan,2,2020-09-28,2020-06-20,1,67,100,3105264.90972047,0,0,0,1,15455.7993966323,1,15455.7993966323,80,1821.26126126126,0,7,,,,,0.142857142857143,0.12457283068529,0.161141455028996,,,,0.0142146410803127,0.00802934956054181,0.0203999326000836,0.00996326165937817,0.00993266743566794,0.0099938558830884,0.0127931769722814,0.00692106510866159,0.0186652888359013,0.00793090318965686,0.00790357912529633,0.0079582272540174,0.0441715083671231,0.0416799136442711,0.046663103089975,0.0232558139534884,0,0.0551091596571597
