"date","age","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,2,"GN","Guinea","GIN",12907395,162,162,0.00617283950617284,0,0.0182339836343391,0.00617283950617284,0,0.0182339836343391,0.0493827160493827,0.0160185001288917,0.0827469319698737,0.00243435924187098,0.00153377470756754,0.00333494377617442
2020-05-07,-99,"GN","Guinea","GIN",12907395,103,102,0.0194174757281553,0,0.0460656793805666,0.0194174757281553,0,0.0460656793805666,0.00970873786407767,0,0.0286449164107037,0.00262358464512566,0.00144544731211037,0.00380172197814094
2020-05-07,2,"GN","Guinea","GIN",12907395,176,176,0.00568181818181818,0,0.0167862953027571,0.00568181818181818,0,0.0167862953027571,0.0454545454545455,0.0146809157506218,0.0762281751584691,0.00256081946222791,0.00167469387830329,0.00344694504615254
2020-05-08,-99,"GN","Guinea","GIN",12907395,106,105,0.0188679245283019,0,0.0447691886552224,0.0188679245283019,0,0.0447691886552224,0.00943396226415094,0,0.0278367638059564,0.00254862508383635,0.00140410581073332,0.00369314435693938
2020-05-08,2,"GN","Guinea","GIN",12907395,186,186,0.00537634408602151,0,0.0158854202335337,0.00537634408602151,0,0.0158854202335337,0.0376344086021505,0.0102846051158082,0.0649842120884929,0.00227169468423444,0.00145971797508951,0.00308367139337937
2020-05-09,-99,"GN","Guinea","GIN",12907395,104,103,0.0192307692307692,0,0.0456252526000378,0.0192307692307692,0,0.0456252526000378,0.00961538461538462,0,0.0283703684615221,0.00273485573635991,0.00153791448295059,0.00393179698976922
2020-05-09,2,"GN","Guinea","GIN",12907395,187,187,0,0,0,0,0,0,0.0374331550802139,0.0102267629219224,0.0646395472385054,0.00143104617006854,0.000788041738686554,0.00207405060145053
2020-05-10,-99,"GN","Guinea","GIN",12907395,103,102,0.0194174757281553,0,0.0460656793805666,0.0194174757281553,0,0.0460656793805666,0.00970873786407767,0,0.0286449164107037,0.00248550124275062,0.00133870719141374,0.0036322952940875
2020-05-10,2,"GN","Guinea","GIN",12907395,195,195,0,0,0,0,0,0,0.0358974358974359,0.00978639899112121,0.0620084728037506,0.00108342361863489,0.000535442782775982,0.00163140445449379
2020-05-11,-99,"GN","Guinea","GIN",12907395,101,101,0.0099009900990099,0,0.0292102678820743,0.0099009900990099,0,0.0292102678820743,0.0099009900990099,0,0.0292102678820743,0.00195230790684702,0.000930644040611776,0.00297397177308227
2020-05-11,2,"GN","Guinea","GIN",12907395,194,194,0,0,0,0,0,0,0.0309278350515464,0.00656655827605786,0.0552891118270349,0.0010890082764629,0.000538204336820551,0.00163981221610525
2020-05-12,2,"GN","Guinea","GIN",12907395,196,196,0,0,0,0,0,0,0.0306122448979592,0.00649562660300263,0.0547288631929157,0.00100603621730382,0.000479317052162445,0.0015327553824452
2020-05-13,2,"GN","Guinea","GIN",12907395,204,204,0,0,0,0,0,0,0.0392156862745098,0.0125792653621456,0.065852107186874,0.00117370892018779,0.000616100891598047,0.00173131694877754
2020-05-14,2,"GN","Guinea","GIN",12907395,209,209,0,0,0,0,0,0,0.0382775119617225,0.0122656354212382,0.0642893885022068,0.00107823977356965,0.000550196901679916,0.00160628264545938
2020-05-15,2,"GN","Guinea","GIN",12907395,218,218,0,0,0,0,0,0,0.0458715596330275,0.0181003358469668,0.0736427834190882,0.00142137227031916,0.00082785177230722,0.0020148927683311
2020-05-16,-99,"GN","Guinea","GIN",12907395,104,104,0.0192307692307692,0,0.0456252526000378,0.0192307692307692,0,0.0456252526000378,0.0192307692307692,0,0.0456252526000378,0.00162513542795233,0.000706392846561285,0.00254387800934337
2020-05-16,1,"GN","Guinea","GIN",12907395,105,105,0.019047619047619,0,0.0451931672706024,0.00952380952380952,0,0.0281010332804073,0.0571428571428571,0.01274547480853,0.101540239477184,0.00295103957075788,0.00171972214374038,0.00418235699777538
2020-05-16,2,"GN","Guinea","GIN",12907395,227,227,0,0,0,0,0,0,0.0440528634361234,0.0173572950424262,0.0707484318298205,0.00136501830365453,0.00079501337214359,0.00193502323516546
2020-05-17,-99,"GN","Guinea","GIN",12907395,106,106,0.0188679245283019,0,0.0447691886552224,0.0188679245283019,0,0.0447691886552224,0.0283018867924528,0,0.0598714470737785,0.00159447249534946,0.000693050837351994,0.00249589415334692
2020-05-17,1,"GN","Guinea","GIN",12907395,103,103,0.00970873786407767,0,0.0286449164107037,0,0,0,0.029126213592233,0,0.0616014918797559,0.00218788458908793,0.00111701423601646,0.00325875494215939
