ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
ZW,ZWE,Zimbabwe,2,2020-06-05,2020-04-23,4,38,100,2351402.93043781,0,0,2,3,2,36783.1531213913,1,15908.4670629258,9,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-06,2020-04-25,1,38,100,2348035.97904001,0,0,2,3,2,36783.1531213913,1,15908.4670629258,9,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-07,2020-04-29,3,37,101,2315408.77433858,0,0,2,3,2,36783.1531213913,1,15908.4670629258,9,517.801418439716,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-08,2020-04-30,1,37,100,2222781.31172127,0,0,2,3,2,36783.1531213913,1,15908.4670629258,9,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-09,2020-05-03,2,36,100,1873863.72247109,0,0,2,3,2,36783.1531213913,1,15908.4670629258,9,507.234042553192,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-10,2020-05-03,1,37,101,1938250.18430232,0,0,2,3,2,36783.1531213913,1,15908.4670629258,19,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-12,2020-05-05,2,36,100,1843036.39574986,0,0,2,3,2,36783.1531213913,1,15908.4670629258,19,507.234042553192,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-13,2020-05-06,1,36,100,1836223.15257334,0,0,2,3,2,36783.1531213913,1,15908.4670629258,19,507.234042553192,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-14,2020-05-07,2,36,101,1866253.86489759,0,0,2,3,2,36783.1531213913,1,15908.4670629258,19,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-15,2020-05-08,3,36,101,1896396.00304857,0,0,2,3,3,90101.4806881162,2,69226.7946296507,17,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-17,2020-05-10,4,35,101,1890199.78284477,0,0,2,3,4,101782.458574755,2,69226.7946296507,17,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-18,2020-05-12,2,35,101,1882703.6027766,0,0,2,3,4,101782.458574755,2,69226.7946296507,18,512.517730496454,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-21,2020-05-12,1,36,102,1913225.75417281,0,0,2,3,4,101782.458574755,2,69226.7946296507,18,517.801418439716,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW,ZWE,Zimbabwe,2,2020-06-22,2020-05-13,2,36,100,1854462.8717177,0,0,2,3,4,101782.458574755,2,69226.7946296507,18,507.234042553192,2,5,,,,0.0198863636363636,0.0125940948549193,0.027178632417808,0.0298295454545455,0.0209437951792934,0.0387152957297975,0.0262784090909091,0.017923077342364,0.0346337408394542,0.0295473913300088,0.0294847060032514,0.0296100766567662,0.0134943181818182,0.00746772283184063,0.0195209135317957,0.0174552622670072,0.0174067827245498,0.0175037418094645,0.0291708736710815,0.0252741843339495,0.0330675630082136,0.4,0.285236260270652,0.514763739729348
ZW,ZWE,Zimbabwe,2,2020-06-23,2020-05-14,2,36,100,1997620.15666042,0,0,2,3,4,101782.458574755,2,69226.7946296507,18,507.234042553192,2,5,,,,0.0198863636363636,0.0125940948549193,0.027178632417808,0.0298295454545455,0.0209437951792934,0.0387152957297975,0.0276988636363636,0.0191269430997914,0.0362707841729359,0.0322734338653738,0.0322075959551491,0.0323392717755986,0.0142045454545455,0.00802361524767118,0.0203854756614197,0.0196047205577981,0.0195530720175694,0.0196563690980267,0.0304494910720919,0.0264694724705912,0.0344295096735927,0.4,0.285236260270652,0.514763739729348
