"date","age","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-06,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-06,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-06,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-07,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-07,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-07,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-07,4,"SM","San Marino","SMR",33600,0,0,0,1,1,1,0.0188679245283019,0,0.0554978435392005
2020-05-07,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-08,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059
2020-05-08,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-08,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-08,4,"SM","San Marino","SMR",33600,0,0,0,0.5,0,1,0.00943396226415094,0,0.0278367638059564
2020-05-08,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-09,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-09,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-09,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-09,4,"SM","San Marino","SMR",33600,0,0,0,0.5,0,1,0.00943396226415094,0,0.0278367638059564
2020-05-09,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-10,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-10,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-10,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-10,4,"SM","San Marino","SMR",33600,0,0,0,0.333333333333333,0,0.866767964039479,0.0188679245283019,0,0.0400162181296384
2020-05-10,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-11,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-11,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-11,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-11,4,"SM","San Marino","SMR",33600,0,0,0,0.333333333333333,0,0.866767964039479,0.0188679245283019,0,0.0400162181296384
2020-05-11,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-12,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-12,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-12,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-12,4,"SM","San Marino","SMR",33600,0,0,0,0.333333333333333,0,0.866767964039479,0.0188679245283019,0,0.0400162181296384
2020-05-12,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-13,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-13,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-13,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-13,4,"SM","San Marino","SMR",33600,0,0,0,0.25,0,0.674344650278564,0.0141509433962264,0,0.0300502458133923
2020-05-13,5,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-14,-99,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-14,2,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
2020-05-14,3,"SM","San Marino","SMR",33600,0,0,0,0,0,0,0,0,0
