"date","age","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-25,-77,"CA","Canada","CAN",37411038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,1,"CA","Canada","CAN",37411038,2,7,256,127,256,NA,NA,NA,NA,NA,0.0078125,0,0.0185974962689282,0.02734375,0.00736644792419782,0.0473210520758022,0.00936025943396226,0.00773997227680842,0.0109805465911161,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,2,"CA","Canada","CAN",37411038,3,7,501,105,501,NA,NA,NA,NA,NA,0.00598802395209581,0,0.0127436686572816,0.0139720558882236,0.0036941651454001,0.024249946631047,0.00395435544006327,0.00319949135069945,0.00470921952942709,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,3,"CA","Canada","CAN",37411038,6,7,423,73,423,NA,NA,NA,NA,NA,0.0141843971631206,0.00291550578679967,0.0254532885394415,0.016548463356974,0.00439127276610281,0.0287056539478452,0.00325616664436416,0.00251043072351503,0.00400190256521328,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,4,"CA","Canada","CAN",37411038,2,6,323,84,323,NA,NA,NA,NA,NA,0.00619195046439629,0,0.0147467890885724,0.0185758513931889,0.00385104599747195,0.0333006567889058,0.00490682866989894,0.00386008289853956,0.00595357444125832,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,5,"CA","Canada","CAN",37411038,2,4,272,45,272,NA,NA,NA,NA,NA,0.00735294117647059,0,0.0175058763887309,0.0147058823529412,0.000400741852970407,0.0290110228529119,0.00312153163152053,0.00221092526544576,0.00403213799759531,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,6,"CA","Canada","CAN",37411038,0,2,122,9,122,NA,NA,NA,NA,NA,0,0,0,0.0163934426229508,0,0.0389261805661398,0.00139189607175998,0.000483173765940647,0.0023006183775793,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,7,"CA","Canada","CAN",37411038,0,2,37,5,37,NA,NA,NA,NA,NA,0,0,0,0.0540540540540541,0,0.126914952955204,0.00254971953085161,0.000317683875433899,0.00478175518626931,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,-99,"CA","Canada","CAN",37411038,0,0,12,0,12,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,-77,"CA","Canada","CAN",37411038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
