ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AG,ATG,Antigua,1,2020-08-28,2020-06-12,4,56,101,1828556.8060218,0,0,4,6,81562.7412006061,4,64592.248649716,99,4739.23609991942,1,7,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-08-29,2020-06-14,3,55,101,1917702.81171573,0,0,4,6,81562.7412006061,4,64592.248649716,104,4739.23609991942,1,7,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-04,2020-06-14,1,56,102,1951483.120771,0,0,4,6,81562.7412006061,4,64592.248649716,104,4789.65350523771,1,7,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-05,2020-06-15,1,56,100,1919763.63062736,0,0,4,6,81562.7412006061,4,64592.248649716,100,4688.81869460113,1,7,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-06,2020-06-15,1,57,101,2292001.90574667,0,0,4,6,81562.7412006061,4,64592.248649716,100,4739.23609991942,1,7,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-07,2020-06-16,1,57,100,2287647.68553814,0,0,4,6,81562.7412006061,4,64592.248649716,100,4688.81869460113,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-09,2020-06-17,1,57,100,2270804.93497969,0,0,4,6,81562.7412006061,4,64592.248649716,100,4739.23609991942,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-10,2020-06-19,3,57,101,2296554.49457828,0,0,4,6,81562.7412006061,4,64592.248649716,110,4840.070910556,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-13,2020-06-19,1,58,102,2382825.31315704,0,0,4,6,81562.7412006061,4,64592.248649716,117,4890.4883158743,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-15,2020-06-20,2,58,101,2422929.15732383,0,0,4,6,81562.7412006061,4,64592.248649716,117,4840.070910556,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-19,2020-06-20,1,59,102,2567394.23568276,0,0,4,6,81562.7412006061,4,64592.248649716,117,4890.4883158743,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-20,2020-06-21,1,59,100,2565746.57897476,0,0,4,6,81562.7412006061,4,64592.248649716,118,4789.65350523771,1,6,,,,,,,,,,,,,,,,,,,,,,,,
AG,ATG,Antigua,1,2020-09-21,2020-06-21,1,60,101,2587658.19494153,0,0,4,6,81562.7412006061,4,64592.248649716,118,4840.070910556,1,6,,,,,,,,,,,,,,,,,,,,,,,,
