date,ISO3,country,region,count,cli,count_local_com,cli_local_com,anosmia
2021-01-01,AFG,Afghanistan,-99,52,10,38,210,12
2021-01-01,AFG,Afghanistan,Badakhshan,31,11,19,281.3,13
2021-01-01,AFG,Afghanistan,Badghis,10,5,7,105,5
2021-01-01,AFG,Afghanistan,Baghlan,4,0,4,5,0
2021-01-01,AFG,Afghanistan,Balkh,5,1,5,6,1
2021-01-01,AFG,Afghanistan,Bamyan,3,1,2,1,0
2021-01-01,AFG,Afghanistan,Daykundi,6,2,6,111,1
2021-01-01,AFG,Afghanistan,Farah,4,1,3,7,2
2021-01-01,AFG,Afghanistan,Faryab,4,0,2,3,2
2021-01-01,AFG,Afghanistan,Ghazni,3,1,3,90,1
2021-01-01,AFG,Afghanistan,Ghor,1,0,1,0,0
2021-01-01,AFG,Afghanistan,Hirat,4,1,4,4,0
2021-01-01,AFG,Afghanistan,Jawzjan,2,0,2,0,0
2021-01-01,AFG,Afghanistan,Kabul,23,0,21,17,0
2021-01-01,AFG,Afghanistan,Kandahar,2,1,2,100,1
2021-01-01,AFG,Afghanistan,Khost,1,0,1,1,0
2021-01-01,AFG,Afghanistan,Kunar,1,0,1,5,0
2021-01-01,AFG,Afghanistan,Kunduz,2,0,2,1,0
2021-01-01,AFG,Afghanistan,Nangarhar,8,1,8,3,1
2021-01-01,AFG,Afghanistan,Paktika,1,1,1,100,1
2021-01-01,AFG,Afghanistan,Takhar,2,0,2,0,0
2021-01-01,AFG,Afghanistan,Zabul,1,0,1,0,0
2021-01-01,ALA,Aland Islands,-99,6,0,2,0,2
2021-01-01,ALA,Aland Islands,Brändö,4,0,3,0,0
2021-01-01,ALA,Aland Islands,Eckerö,3,1,3,0,1
2021-01-01,ALA,Aland Islands,Finström,1,0,1,0,0
2021-01-01,ALA,Aland Islands,Jomala,1,0,1,0,0
2021-01-01,ALA,Aland Islands,Kökar,1,0,1,0,0
2021-01-01,ALA,Aland Islands,Lemland,1,0,0,0,0
2021-01-01,ALA,Aland Islands,Mariehamn,4,1,3,0,1
2021-01-01,ALA,Aland Islands,Saltvik,2,0,2,0,0
2021-01-01,ALB,Albania,-99,15,5,12,101,6
2021-01-01,ALB,Albania,Berat,5,1,4,100,1
2021-01-01,ALB,Albania,Dibër,3,0,3,1,0
2021-01-01,ALB,Albania,Durrës,10,2,10,49,2
2021-01-01,ALB,Albania,Elbasan,7,0,7,12,0
2021-01-01,ALB,Albania,Fier,9,1,8,16,1
2021-01-01,ALB,Albania,Gjirokastër,5,2,5,14,2
2021-01-01,ALB,Albania,Korçë,2,0,2,6,0
2021-01-01,ALB,Albania,Kukës,1,1,1,70,1
2021-01-01,ALB,Albania,Lezhë,1,0,1,2,0
2021-01-01,ALB,Albania,Shkodër,7,0,7,10,1
2021-01-01,ALB,Albania,Tiranë,35,1,33,255,2
2021-01-01,ALB,Albania,Vlorë,5,1,5,1,0
2021-01-01,DZA,Algeria,-99,21,5,15,23,4
2021-01-01,DZA,Algeria,Aïn Defla,4,1,2,4,1
2021-01-01,DZA,Algeria,Adrar,5,0,3,1,0
2021-01-01,DZA,Algeria,Alger,104,3,87,103,5
2021-01-01,DZA,Algeria,Annaba,18,0,15,4,0
2021-01-01,DZA,Algeria,Béchar,4,0,3,100,0
2021-01-01,DZA,Algeria,Béjaïa,18,0,15,32,2
2021-01-01,DZA,Algeria,Batna,18,2,18,25,2
2021-01-01,DZA,Algeria,Biskra,7,1,7,4,1
2021-01-01,DZA,Algeria,Blida,19,0,17,10,1
2021-01-01,DZA,Algeria,Bordj Bou Arréridj,7,0,7,9,0
2021-01-01,DZA,Algeria,Bouira,11,1,10,16,1
2021-01-01,DZA,Algeria,Boumerdès,11,0,10,14,1
2021-01-01,DZA,Algeria,Chlef,5,0,5,0,0
2021-01-01,DZA,Algeria,Constantine,14,2,13,9,3
2021-01-01,DZA,Algeria,Djelfa,3,0,3,0,0
2021-01-01,DZA,Algeria,El Bayadh,3,0,3,0,0
2021-01-01,DZA,Algeria,El Oued,8,0,8,4,0
2021-01-01,DZA,Algeria,Ghardaïa,5,0,5,3,0
2021-01-01,DZA,Algeria,Guelma,5,0,5,5,1
2021-01-01,DZA,Algeria,Illizi,1,0,1,3,0
2021-01-01,DZA,Algeria,Jijel,7,1,6,17,0
2021-01-01,DZA,Algeria,Khenchela,7,0,7,3,1
