date,ISO3,country,region,count,cli,count_local_com,cli_local_com,anosmia
2020-08-02,AFG,Afghanistan,-99,46,7,41,216,8
2020-08-02,AFG,Afghanistan,Badakhshan,24,4,24,605,4
2020-08-02,AFG,Afghanistan,Badghis,5,1,5,112,2
2020-08-02,AFG,Afghanistan,Baghlan,3,0,3,1,0
2020-08-02,AFG,Afghanistan,Balkh,6,0,6,6,0
2020-08-02,AFG,Afghanistan,Bamyan,5,2,5,12,1
2020-08-02,AFG,Afghanistan,Daykundi,1,0,1,0,0
2020-08-02,AFG,Afghanistan,Farah,3,1,3,6,1
2020-08-02,AFG,Afghanistan,Faryab,1,0,1,1,0
2020-08-02,AFG,Afghanistan,Ghazni,5,1,5,26,2
2020-08-02,AFG,Afghanistan,Hilmand,1,0,1,0,0
2020-08-02,AFG,Afghanistan,Hirat,4,0,4,2,0
2020-08-02,AFG,Afghanistan,Kabul,40,2,40,281,5
2020-08-02,AFG,Afghanistan,Kandahar,7,0,7,1,0
2020-08-02,AFG,Afghanistan,Khost,1,0,1,15,0
2020-08-02,AFG,Afghanistan,Logar,1,1,1,0,0
2020-08-02,AFG,Afghanistan,Nangarhar,5,1,5,11,1
2020-08-02,AFG,Afghanistan,Paktika,1,1,1,0,1
2020-08-02,AFG,Afghanistan,Paktya,1,0,1,0,0
2020-08-02,AFG,Afghanistan,Sari Pul,1,0,0,0,0
2020-08-02,AFG,Afghanistan,Wardak,1,0,1,1,0
2020-08-02,ALA,Aland Islands,-99,6,1,6,9,1
2020-08-02,ALA,Aland Islands,Brändö,1,0,1,0,0
2020-08-02,ALA,Aland Islands,Eckerö,1,0,1,0,0
2020-08-02,ALA,Aland Islands,Geta,1,0,1,7,0
2020-08-02,ALA,Aland Islands,Lemland,1,0,1,0,0
2020-08-02,ALA,Aland Islands,Lumparland,1,1,1,2,1
2020-08-02,ALA,Aland Islands,Mariehamn,4,0,4,2,0
2020-08-02,ALB,Albania,-99,25,1,23,6,1
2020-08-02,ALB,Albania,Berat,5,0,5,5,0
2020-08-02,ALB,Albania,Dibër,2,1,2,20,1
2020-08-02,ALB,Albania,Durrës,17,0,17,5,1
2020-08-02,ALB,Albania,Elbasan,4,0,4,0,0
2020-08-02,ALB,Albania,Fier,8,0,8,10,1
2020-08-02,ALB,Albania,Gjirokastër,4,1,4,100,1
2020-08-02,ALB,Albania,Korçë,6,0,6,4,0
2020-08-02,ALB,Albania,Kukës,2,0,2,0,0
2020-08-02,ALB,Albania,Lezhë,6,0,6,8,1
2020-08-02,ALB,Albania,Shkodër,6,0,6,5,0
2020-08-02,ALB,Albania,Tiranë,75,0,75,74,5
2020-08-02,ALB,Albania,Vlorë,7,0,7,1,1
2020-08-02,DZA,Algeria,-99,53,4,43,77,4
2020-08-02,DZA,Algeria,Aïn Defla,1,0,1,0,0
2020-08-02,DZA,Algeria,Aïn Témouchent,4,0,4,0,1
2020-08-02,DZA,Algeria,Adrar,7,1,7,3,1
2020-08-02,DZA,Algeria,Alger,155,3,155,141,5
2020-08-02,DZA,Algeria,Annaba,20,0,20,16,0
2020-08-02,DZA,Algeria,Béchar,7,0,7,7,0
2020-08-02,DZA,Algeria,Béjaïa,27,0,27,11,0
2020-08-02,DZA,Algeria,Batna,29,1,29,48,5
2020-08-02,DZA,Algeria,Biskra,20,1,20,25,1
2020-08-02,DZA,Algeria,Blida,15,0,15,14,0
2020-08-02,DZA,Algeria,Bordj Bou Arréridj,15,0,15,28,2
2020-08-02,DZA,Algeria,Bouira,9,1,9,6,0
2020-08-02,DZA,Algeria,Boumerdès,6,0,6,0,0
2020-08-02,DZA,Algeria,Chlef,17,1,17,156,1
2020-08-02,DZA,Algeria,Constantine,29,2,29,17,4
2020-08-02,DZA,Algeria,Djelfa,14,0,14,17,2
2020-08-02,DZA,Algeria,El Oued,8,0,8,109,1
2020-08-02,DZA,Algeria,El Tarf,5,0,5,0,0
2020-08-02,DZA,Algeria,Ghardaïa,10,0,10,19,0
2020-08-02,DZA,Algeria,Guelma,6,0,6,3,0
2020-08-02,DZA,Algeria,Illizi,1,0,1,0,0
2020-08-02,DZA,Algeria,Jijel,11,0,11,28,2
2020-08-02,DZA,Algeria,Khenchela,5,0,5,17,0
2020-08-02,DZA,Algeria,Laghouat,15,1,15,37,2
2020-08-02,DZA,Algeria,M'Sila,14,0,14,6,0
2020-08-02,DZA,Algeria,Médéa,12,1,12,119,1
2020-08-02,DZA,Algeria,Mascara,7,0,7,1,0
2020-08-02,DZA,Algeria,Mila,7,0,7,0,2
2020-08-02,DZA,Algeria,Mostaganem,11,0,11,16,1
2020-08-02,DZA,Algeria,Naâma,2,0,2,12,0
2020-08-02,DZA,Algeria,Oran,45,0,45,27,2
2020-08-02,DZA,Algeria,Ouargla,14,1,14,38,1
2020-08-02,DZA,Algeria,Oum el Bouaghi,8,0,8,12,0
2020-08-02,DZA,Algeria,Relizane,9,1,9,8,0
2020-08-02,DZA,Algeria,Sétif,23,1,23,68,2
2020-08-02,DZA,Algeria,Saïda,4,0,4,4,0
2020-08-02,DZA,Algeria,Sidi Bel Abbès,8,0,8,7,1
2020-08-02,DZA,Algeria,Skikda,9,0,9,64,1
2020-08-02,DZA,Algeria,Souk Ahras,4,0,4,1,0
2020-08-02,DZA,Algeria,Tébessa,11,0,11,7,2
2020-08-02,DZA,Algeria,Tamanghasset,1,0,1,3,0
2020-08-02,DZA,Algeria,Tiaret,4,0,4,6,0
2020-08-02,DZA,Algeria,Tindouf,1,0,1,0,0
2020-08-02,DZA,Algeria,Tipaza,11,0,11,5,0
2020-08-02,DZA,Algeria,Tissemsilt,10,1,10,9,1
2020-08-02,DZA,Algeria,Tizi Ouzou,29,1,29,36,0
2020-08-02,DZA,Algeria,Tlemcen,14,1,14,34,2
2020-08-02,ASM,American Samoa,-99,7,1,6,1,2
2020-08-02,ASM,American Samoa,Eastern,2,0,2,0,0
2020-08-02,ASM,American Samoa,Manu'a,3,0,3,0,0
2020-08-02,ASM,American Samoa,Unorganized,2,1,2,2,1
2020-08-02,ASM,American Samoa,Western,3,0,3,0,0
2020-08-02,AND,Andorra,-99,5,0,5,0,0
2020-08-02,AND,Andorra,Andorra la Vella,4,0,4,0,0
2020-08-02,AND,Andorra,Canillo,1,0,1,0,0
2020-08-02,AND,Andorra,Encamp,1,1,1,0,0
2020-08-02,AND,Andorra,Escaldes-Engordany,1,0,1,0,0
2020-08-02,AND,Andorra,La Massana,3,0,3,0,0
2020-08-02,AND,Andorra,Ordino,4,1,4,200,1
2020-08-02,AGO,Angola,-99,7,0,7,1,0
2020-08-02,AGO,Angola,Benguela,8,0,8,0,1
2020-08-02,AGO,Angola,Bié,1,0,1,0,0
2020-08-02,AGO,Angola,Cabinda,1,0,1,0,0
2020-08-02,AGO,Angola,Cuando Cubango,1,0,1,0,0
2020-08-02,AGO,Angola,Cuanza Sul,4,0,4,0,0
2020-08-02,AGO,Angola,Cunene,1,0,1,0,0
2020-08-02,AGO,Angola,Huíla,4,0,4,0,1
2020-08-02,AGO,Angola,Huambo,4,0,4,0,0
2020-08-02,AGO,Angola,Luanda,51,1,51,10,5
2020-08-02,AGO,Angola,Malanje,1,0,1,0,0
2020-08-02,AGO,Angola,Uíge,2,0,2,1,0
2020-08-02,AGO,Angola,Zaire,1,0,1,0,1
2020-08-02,AIA,Anguilla,-99,9,2,9,1,3
2020-08-02,ATA,Antarctica,-99,11,3,11,128,4
2020-08-02,ATG,Antigua,-99,2,0,2,3,0
2020-08-02,ATG,Antigua,Barbuda,1,0,1,0,0
2020-08-02,ATG,Antigua,Saint Philip,2,0,2,0,0
2020-08-02,ARG,Argentina,-99,143,2,122,50,3
2020-08-02,ARG,Argentina,Buenos Aires,952,6,951,393,13
2020-08-02,ARG,Argentina,Córdoba,380,1,380,28,4
2020-08-02,ARG,Argentina,Catamarca,29,0,29,4,0
2020-08-02,ARG,Argentina,Chaco,85,0,85,28,0
2020-08-02,ARG,Argentina,Chubut,64,0,64,64,3
2020-08-02,ARG,Argentina,Ciudad Autónoma de Buenos Aires,254,2,254,168,5
2020-08-02,ARG,Argentina,Corrientes,99,0,99,11,1
2020-08-02,ARG,Argentina,Entre Ríos,130,1,130,23,1
2020-08-02,ARG,Argentina,Formosa,38,0,38,1,1
2020-08-02,ARG,Argentina,Jujuy,107,4,107,91,4
2020-08-02,ARG,Argentina,La Pampa,85,0,84,126,2
2020-08-02,ARG,Argentina,La Rioja,31,0,31,15,0
2020-08-02,ARG,Argentina,Mendoza,283,2,283,47,5
2020-08-02,ARG,Argentina,Misiones,76,1,76,4,0
2020-08-02,ARG,Argentina,Neuquén,83,1,83,16,1
2020-08-02,ARG,Argentina,Río Negro,94,0,94,49,2
