ISO3,country,region,count,cli,count_local_com,cli_local_com,date
-99,-99,-99,10,0,10,2,2020-04-27
AFG,Afghanistan,-99,79,4,79,300,2020-04-27
ALA,Aland Islands,-99,6,2,6,102,2020-04-27
ALB,Albania,-99,68,3,67,33,2020-04-27
DZA,Algeria,-99,394,6,394,182,2020-04-27
ASM,American Samoa,-99,1,0,1,6,2020-04-27
AND,Andorra,-99,1,0,1,0,2020-04-27
AGO,Angola,-99,47,3,47,208,2020-04-27
AIA,Anguilla,-99,2,0,2,0,2020-04-27
ATA,Antarctica,-99,3,0,3,2,2020-04-27
ATG,Antigua,-99,1,0,1,0,2020-04-27
ARG,Argentina,-99,2453,7,2452,259,2020-04-27
ARM,Armenia,-99,47,1,47,11,2020-04-27
ABW,Aruba,-99,4,0,4,1,2020-04-27
AUS,Australia,-99,884,13,883,209,2020-04-27
AUT,Austria,-99,441,3,439,42,2020-04-27
AZE,Azerbaijan,-99,70,1,70,3,2020-04-27
BHS,Bahamas,-99,1,0,1,0,2020-04-27
BGD,Bangladesh,-99,533,9,533,910,2020-04-27
BRB,Barbados,-99,1,0,1,0,2020-04-27
BLR,Belarus,-99,180,6,180,125,2020-04-27
BEL,Belgium,-99,806,8,806,335,2020-04-27
BLZ,Belize,-99,3,0,3,0,2020-04-27
BEN,Benin,-99,11,1,11,0,2020-04-27
BTN,Bhutan,-99,1,0,1,0,2020-04-27
BOL,Bolivia,-99,623,8,622,205,2020-04-27
BIH,Bosnia and Herzegovina,-99,82,0,82,14,2020-04-27
BWA,Botswana,-99,1,1,1,0,2020-04-27
BRA,Brazil,-99,10260,186,10254,6801,2020-04-27
IOT,British Indian Ocean Territory,-99,4,0,4,0,2020-04-27
VGB,British Virgin Islands,-99,2,0,2,0,2020-04-27
BRN,Brunei,-99,4,0,4,2,2020-04-27
BGR,Bulgaria,-99,484,3,483,121,2020-04-27
BFA,Burkina Faso,-99,40,0,40,4,2020-04-27
KHM,Cambodia,-99,34,0,34,6,2020-04-27
CMR,Cameroon,-99,81,3,80,15,2020-04-27
CAN,Canada,-99,1936,7,1936,263,2020-04-27
CPV,Cape Verde,-99,3,0,3,4,2020-04-27
CAF,Central African Republic,-99,5,0,5,0,2020-04-27
CHL,Chile,-99,1001,5,998,317,2020-04-27
COL,Colombia,-99,1910,17,1909,210,2020-04-27
CRI,Costa Rica,-99,493,6,493,50,2020-04-27
CIV,Côte d'Ivoire,-99,72,0,72,7,2020-04-27
HRV,Croatia,-99,327,2,327,131,2020-04-27
CYP,Cyprus,-99,3,0,3,0,2020-04-27
CZE,Czech Republic,-99,943,6,941,60,2020-04-27
COD,Democratic Republic of the Congo,-99,19,1,19,107,2020-04-27
DNK,Denmark,-99,997,6,996,255,2020-04-27
DMA,Dominica,-99,11,0,11,2,2020-04-27
DOM,Dominican Republic,-99,375,5,375,110,2020-04-27
ECU,Ecuador,-99,919,22,918,1084,2020-04-27
EGY,Egypt,-99,1205,12,1204,640,2020-04-27
SLV,El Salvador,-99,636,8,635,72,2020-04-27
EST,Estonia,-99,2,0,2,0,2020-04-27
SWZ,Eswatini,-99,1,0,1,0,2020-04-27
ETH,Ethiopia,-99,46,0,45,8,2020-04-27
FSM,Federated States of Micronesia,-99,1,0,1,0,2020-04-27
FJI,Fiji,-99,1,0,1,0,2020-04-27
FIN,Finland,-99,606,4,606,137,2020-04-27
FRA,France,-99,2986,28,2985,1198,2020-04-27
PYF,French Polynesia,-99,2,0,2,0,2020-04-27
ATF,French Southern Territories,-99,1,1,1,2,2020-04-27
GAB,Gabon,-99,1,0,1,0,2020-04-27
GEO,Georgia,-99,3,0,3,0,2020-04-27
DEU,Germany,-99,3375,12,3373,430,2020-04-27
GHA,Ghana,-99,137,2,137,12,2020-04-27
GIB,Gibraltar,-99,1,0,1,0,2020-04-27
GRC,Greece,-99,765,1,764,73,2020-04-27
GLP,Guadeloupe,-99,1,1,1,0,2020-04-27
GTM,Guatemala,-99,732,3,730,81,2020-04-27
GGY,Guernsey,-99,1,0,1,0,2020-04-27
