date,ISO3,country,region,count,cli,count_local_com,cli_local_com,anosmia
2020-08-05,AFG,Afghanistan,-99,29,5,27,121,4
2020-08-05,AFG,Afghanistan,Badakhshan,17,2,16,101,2
2020-08-05,AFG,Afghanistan,Badghis,1,0,1,0,0
2020-08-05,AFG,Afghanistan,Baghlan,1,0,1,1,0
2020-08-05,AFG,Afghanistan,Balkh,5,1,5,110,1
2020-08-05,AFG,Afghanistan,Bamyan,3,1,3,100,1
2020-08-05,AFG,Afghanistan,Farah,5,1,5,10,1
2020-08-05,AFG,Afghanistan,Faryab,2,0,2,40,1
2020-08-05,AFG,Afghanistan,Ghazni,5,0,5,34,0
2020-08-05,AFG,Afghanistan,Hilmand,2,0,2,0,0
2020-08-05,AFG,Afghanistan,Hirat,12,0,12,121,0
2020-08-05,AFG,Afghanistan,Kabul,44,4,44,161,4
2020-08-05,AFG,Afghanistan,Kandahar,3,0,3,0,1
2020-08-05,AFG,Afghanistan,Khost,2,0,2,22,0
2020-08-05,AFG,Afghanistan,Kunar,1,0,1,0,0
2020-08-05,AFG,Afghanistan,Kunduz,2,0,2,11,0
2020-08-05,AFG,Afghanistan,Laghman,2,0,2,0,0
2020-08-05,AFG,Afghanistan,Logar,1,0,1,1,0
2020-08-05,AFG,Afghanistan,Nangarhar,3,1,3,103,1
2020-08-05,AFG,Afghanistan,Nimroz,1,0,1,1,0
2020-08-05,AFG,Afghanistan,Nuristan,1,0,1,0,0
2020-08-05,AFG,Afghanistan,Paktika,1,0,1,3,0
2020-08-05,AFG,Afghanistan,Parwan,1,0,1,4,0
2020-08-05,AFG,Afghanistan,Samangan,1,0,1,0,0
2020-08-05,AFG,Afghanistan,Takhar,2,1,2,8,1
2020-08-05,AFG,Afghanistan,Zabul,2,2,1,29,1
2020-08-05,ALA,Aland Islands,-99,3,0,3,101,0
2020-08-05,ALA,Aland Islands,Brändö,1,0,1,0,1
2020-08-05,ALA,Aland Islands,Finström,1,0,1,0,0
2020-08-05,ALA,Aland Islands,Hammarland,1,0,1,0,0
2020-08-05,ALA,Aland Islands,Jomala,2,0,2,0,0
2020-08-05,ALA,Aland Islands,Lemland,1,0,1,1,0
2020-08-05,ALA,Aland Islands,Mariehamn,1,0,1,0,0
2020-08-05,ALB,Albania,-99,16,0,15,31,1
2020-08-05,ALB,Albania,Berat,3,1,3,4,0
2020-08-05,ALB,Albania,Dibër,2,0,2,1,0
2020-08-05,ALB,Albania,Durrës,9,0,9,0,0
2020-08-05,ALB,Albania,Elbasan,3,0,3,17,0
2020-08-05,ALB,Albania,Fier,9,1,9,108,1
2020-08-05,ALB,Albania,Gjirokastër,4,0,4,0,0
2020-08-05,ALB,Albania,Korçë,12,0,12,2,0
2020-08-05,ALB,Albania,Lezhë,3,0,3,1,0
2020-08-05,ALB,Albania,Shkodër,7,0,7,2,0
2020-08-05,ALB,Albania,Tiranë,51,2,51,38,2
2020-08-05,ALB,Albania,Vlorë,13,0,13,15,1
2020-08-05,DZA,Algeria,-99,43,5,34,44,7
2020-08-05,DZA,Algeria,Aïn Defla,11,1,10,19,2
2020-08-05,DZA,Algeria,Aïn Témouchent,1,0,1,0,0
2020-08-05,DZA,Algeria,Adrar,5,0,5,1,2
2020-08-05,DZA,Algeria,Alger,158,1,158,168,9
2020-08-05,DZA,Algeria,Annaba,19,3,19,12,2
2020-08-05,DZA,Algeria,Béchar,5,0,5,4,1
2020-08-05,DZA,Algeria,Béjaïa,19,0,19,12,0
2020-08-05,DZA,Algeria,Batna,26,0,26,30,0
2020-08-05,DZA,Algeria,Biskra,12,2,12,19,2
2020-08-05,DZA,Algeria,Blida,21,0,21,27,1
2020-08-05,DZA,Algeria,Bordj Bou Arréridj,4,0,4,4,0
2020-08-05,DZA,Algeria,Bouira,15,0,14,15,0
2020-08-05,DZA,Algeria,Boumerdès,13,0,13,4,2
2020-08-05,DZA,Algeria,Chlef,9,0,9,5,1
2020-08-05,DZA,Algeria,Constantine,37,2,37,108,1
2020-08-05,DZA,Algeria,Djelfa,8,0,8,5,1
2020-08-05,DZA,Algeria,El Bayadh,3,0,3,6,0
2020-08-05,DZA,Algeria,El Oued,12,0,11,15,1
2020-08-05,DZA,Algeria,El Tarf,4,0,4,0,1
2020-08-05,DZA,Algeria,Ghardaïa,9,0,9,10,1
2020-08-05,DZA,Algeria,Guelma,3,0,3,0,0
2020-08-05,DZA,Algeria,Illizi,2,0,2,6,0
2020-08-05,DZA,Algeria,Jijel,17,0,17,31,1
2020-08-05,DZA,Algeria,Khenchela,5,1,5,9,0
2020-08-05,DZA,Algeria,Laghouat,8,0,8,24,1
2020-08-05,DZA,Algeria,M'Sila,8,0,8,10,1
2020-08-05,DZA,Algeria,Médéa,9,0,9,35,0
2020-08-05,DZA,Algeria,Mascara,2,0,2,4,0
2020-08-05,DZA,Algeria,Mila,4,0,4,106,0
2020-08-05,DZA,Algeria,Mostaganem,6,0,6,0,1
2020-08-05,DZA,Algeria,Naâma,3,0,3,1,0
2020-08-05,DZA,Algeria,Oran,29,2,29,31,3
2020-08-05,DZA,Algeria,Ouargla,20,1,19,30,2
2020-08-05,DZA,Algeria,Oum el Bouaghi,8,0,8,15,1
2020-08-05,DZA,Algeria,Relizane,6,0,6,4,0
2020-08-05,DZA,Algeria,Sétif,23,0,23,48,3
2020-08-05,DZA,Algeria,Saïda,3,0,3,0,0
2020-08-05,DZA,Algeria,Sidi Bel Abbès,5,0,5,2,0
2020-08-05,DZA,Algeria,Skikda,12,1,12,15,1
2020-08-05,DZA,Algeria,Souk Ahras,4,0,4,0,1
2020-08-05,DZA,Algeria,Tébessa,9,1,9,7,1
2020-08-05,DZA,Algeria,Tamanghasset,1,0,1,2,0
2020-08-05,DZA,Algeria,Tiaret,7,0,7,20,0
2020-08-05,DZA,Algeria,Tindouf,1,0,1,0,0
2020-08-05,DZA,Algeria,Tipaza,6,1,6,7,1
2020-08-05,DZA,Algeria,Tizi Ouzou,26,2,26,7,1
2020-08-05,DZA,Algeria,Tlemcen,8,0,8,9,0
2020-08-05,ASM,American Samoa,-99,9,2,9,108,2
2020-08-05,ASM,American Samoa,Eastern,2,0,2,0,1
2020-08-05,ASM,American Samoa,Manu'a,1,0,1,0,0
2020-08-05,ASM,American Samoa,Unorganized,4,1,4,1,1
2020-08-05,ASM,American Samoa,Western,4,1,4,2,0
2020-08-05,AND,Andorra,-99,4,0,4,0,0
2020-08-05,AND,Andorra,Andorra la Vella,6,0,6,1,0
2020-08-05,AND,Andorra,Encamp,2,0,2,0,0
2020-08-05,AND,Andorra,Escaldes-Engordany,1,0,1,0,0
2020-08-05,AND,Andorra,La Massana,5,2,5,45,2
2020-08-05,AND,Andorra,Ordino,1,0,1,0,0
2020-08-05,AGO,Angola,-99,13,0,12,2,1
2020-08-05,AGO,Angola,Bengo,2,0,2,0,1
2020-08-05,AGO,Angola,Benguela,6,0,6,0,0
2020-08-05,AGO,Angola,Bié,3,0,3,0,0
2020-08-05,AGO,Angola,Cabinda,2,0,2,0,0
2020-08-05,AGO,Angola,Cuando Cubango,1,0,1,0,0
2020-08-05,AGO,Angola,Cuanza Norte,1,0,1,1,0
2020-08-05,AGO,Angola,Cuanza Sul,4,1,4,100,1
2020-08-05,AGO,Angola,Cunene,4,0,4,6,1
2020-08-05,AGO,Angola,Huíla,4,0,4,0,1
2020-08-05,AGO,Angola,Huambo,2,0,2,0,0
2020-08-05,AGO,Angola,Luanda,49,2,49,12,1
2020-08-05,AGO,Angola,Lunda Norte,1,0,1,0,0
2020-08-05,AGO,Angola,Lunda Sul,1,0,1,2,0
2020-08-05,AGO,Angola,Malanje,1,0,1,0,0
2020-08-05,AGO,Angola,Moxico,1,0,1,0,0
2020-08-05,AGO,Angola,Namibe,1,0,1,0,0
2020-08-05,AGO,Angola,Zaire,2,0,2,0,0
2020-08-05,AIA,Anguilla,-99,9,2,9,210,3
2020-08-05,ATA,Antarctica,-99,7,2,7,172,2
2020-08-05,ATG,Antigua,-99,6,0,6,0,0
2020-08-05,ATG,Antigua,Saint George,1,0,1,3,0
2020-08-05,ARG,Argentina,-99,135,3,115,53,7
2020-08-05,ARG,Argentina,Buenos Aires,949,9,949,717,28
2020-08-05,ARG,Argentina,Córdoba,352,1,352,101,3
2020-08-05,ARG,Argentina,Catamarca,37,0,37,1,0
2020-08-05,ARG,Argentina,Chaco,77,0,77,58,2
