"Timestamp","Country","ISO.3166.1.a2","Region","ISO.3166.2","Language","Reach","Cases","Visibility","Recovered","Fatalities","RecentCases","RecentCases14","PositiveTest14Days","PositiveTest07Days","LongCovid","StillSick","Tested","Positive","Hospital","Severe","ICU","Vaccinated","RecentVaccinated","VaccineSideEffects","RefuseVaccine","ContactsDoctors","Surveyfirst","Surveyknown","Surveyforward","Dataset","Cookie","Campaign"
"2020-04-01","Argentina","AR","Provincia de Buenos Aires","ARB",,100,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-01","Argentina","AR","Provincia de Córdoba","ARX",,20,2,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-02","Argentina","AR","","",,10,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-04","Argentina","AR","Ciudad Autónoma de Buenos Aires","ARC",,200,3,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-04","Argentina","AR","Provincia de Buenos Aires","ARB",,100,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-04","Argentina","AR","Provincia de Buenos Aires","ARB",,50,8,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-06","Argentina","AR","","",,100,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-09","Argentina","AR","","",,100,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-12","Argentina","AR","","",,50,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-17","Argentina","AR","Ciudad Autónoma de Buenos Aires","ARC",,20,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-04-26","Argentina","AR","","",,50,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
"2020-05-01","Argentina","AR","Provincia de Córdoba","ARX",,100,0,,,,,,,,,,,,,,,,,,,,,,,"AR-g-sheet",,
