date,ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,anosmia
2020-09-29,AFG,Afghanistan,-99,49,10,44,738,13
2020-09-29,AFG,Afghanistan,1,17,1,16,2,1
2020-09-29,AFG,Afghanistan,2,22,2,22,205,3
2020-09-29,AFG,Afghanistan,3,13,1,13,111,2
2020-09-29,AFG,Afghanistan,4,2,0,2,5,0
2020-09-29,AFG,Afghanistan,5,1,1,1,0,0
2020-09-29,AFG,Afghanistan,6,1,0,1,0,0
2020-09-29,AFG,Afghanistan,7,1,0,1,0,0
2020-09-29,ALA,Aland Islands,-99,6,1,6,101,1
2020-09-29,ALA,Aland Islands,1,2,1,2,100,1
2020-09-29,ALA,Aland Islands,2,4,1,4,100,1
2020-09-29,ALA,Aland Islands,3,1,0,1,0,0
2020-09-29,ALA,Aland Islands,5,1,0,1,0,0
2020-09-29,ALA,Aland Islands,6,1,0,1,0,0
2020-09-29,ALB,Albania,-99,19,1,17,102,3
2020-09-29,ALB,Albania,1,9,1,9,103,2
2020-09-29,ALB,Albania,2,13,0,13,10,0
2020-09-29,ALB,Albania,3,11,0,11,11,0
2020-09-29,ALB,Albania,4,8,0,8,3,0
2020-09-29,ALB,Albania,5,7,0,7,0,0
2020-09-29,ALB,Albania,6,2,0,2,0,0
2020-09-29,ALB,Albania,7,1,1,1,4,1
2020-09-29,DZA,Algeria,-99,59,1,59,24,4
2020-09-29,DZA,Algeria,1,11,1,11,16,3
2020-09-29,DZA,Algeria,2,25,1,25,15,1
2020-09-29,DZA,Algeria,3,29,0,29,22,1
2020-09-29,DZA,Algeria,4,16,1,16,7,2
2020-09-29,DZA,Algeria,5,13,0,13,16,1
2020-09-29,DZA,Algeria,6,5,1,5,4,1
2020-09-29,DZA,Algeria,7,1,1,1,100,1
2020-09-29,ASM,American Samoa,-99,10,5,9,402,5
2020-09-29,ASM,American Samoa,1,4,1,4,101,2
2020-09-29,ASM,American Samoa,2,1,0,1,0,0
2020-09-29,ASM,American Samoa,3,1,0,1,0,0
2020-09-29,ASM,American Samoa,4,2,0,2,0,0
2020-09-29,ASM,American Samoa,5,2,0,2,0,0
2020-09-29,ASM,American Samoa,6,1,0,1,0,0
2020-09-29,AND,Andorra,-99,7,2,7,101,1
2020-09-29,AND,Andorra,1,3,0,3,1,0
2020-09-29,AND,Andorra,2,1,1,1,5,1
2020-09-29,AND,Andorra,3,1,0,1,0,0
2020-09-29,AND,Andorra,4,5,0,5,0,0
2020-09-29,AND,Andorra,5,1,0,1,0,0
2020-09-29,AND,Andorra,7,2,1,2,1,1
2020-09-29,AGO,Angola,-99,19,1,15,8,3
2020-09-29,AGO,Angola,1,9,1,9,2,0
2020-09-29,AGO,Angola,2,14,1,14,27,1
2020-09-29,AGO,Angola,3,12,0,12,2,1
2020-09-29,AGO,Angola,4,12,0,12,2,2
2020-09-29,AGO,Angola,5,5,0,5,0,1
2020-09-29,AGO,Angola,7,1,1,1,0,1
2020-09-29,AIA,Anguilla,-99,2,0,1,0,0
2020-09-29,AIA,Anguilla,1,1,0,1,0,0
2020-09-29,AIA,Anguilla,2,2,0,2,0,0
2020-09-29,AIA,Anguilla,3,1,0,1,0,0
2020-09-29,AIA,Anguilla,5,2,0,2,0,0
2020-09-29,AIA,Anguilla,6,1,0,1,5,0
2020-09-29,AIA,Anguilla,7,1,1,1,100,1
2020-09-29,ATA,Antarctica,-99,4,0,4,0,0
2020-09-29,ATA,Antarctica,2,2,1,2,7,1
2020-09-29,ATA,Antarctica,3,1,0,1,0,0
2020-09-29,ATA,Antarctica,5,1,0,1,1,0
2020-09-29,ATA,Antarctica,7,4,2,4,111,3
2020-09-29,ATG,Antigua,2,2,1,2,5,1
2020-09-29,ATG,Antigua,3,1,1,1,50,1
2020-09-29,ATG,Antigua,5,1,0,1,0,0
2020-09-29,ARG,Argentina,-99,457,17,437,574,33
2020-09-29,ARG,Argentina,1,289,8,289,321,19
2020-09-29,ARG,Argentina,2,581,19,581,678,45
2020-09-29,ARG,Argentina,3,579,11,577,674,24
2020-09-29,ARG,Argentina,4,523,6,523,639,14
2020-09-29,ARG,Argentina,5,347,3,347,425,8
2020-09-29,ARG,Argentina,6,194,0,193,149,1
2020-09-29,ARG,Argentina,7,49,0,49,17,0
2020-09-29,ARM,Armenia,-99,5,0,5,1,0
2020-09-29,ARM,Armenia,1,2,0,2,1,0
2020-09-29,ARM,Armenia,3,3,0,3,10,0
2020-09-29,ARM,Armenia,5,2,0,2,0,0
2020-09-29,ARM,Armenia,6,1,0,1,0,0
2020-09-29,ABW,Aruba,-99,8,2,5,1,2
2020-09-29,ABW,Aruba,1,1,0,1,17,0
2020-09-29,ABW,Aruba,2,4,0,4,0,0
2020-09-29,ABW,Aruba,3,4,0,4,6,0
2020-09-29,ABW,Aruba,6,1,1,1,0,1
2020-09-29,ABW,Aruba,7,1,0,1,0,0
2020-09-29,AUS,Australia,-99,144,1,139,123,5
2020-09-29,AUS,Australia,1,104,1,104,6,4
2020-09-29,AUS,Australia,2,218,3,218,31,6
2020-09-29,AUS,Australia,3,163,4,163,216,2
2020-09-29,AUS,Australia,4,180,1,180,15,0
2020-09-29,AUS,Australia,5,213,1,212,11,4
2020-09-29,AUS,Australia,6,150,0,149,8,2
2020-09-29,AUS,Australia,7,38,1,38,100,1
2020-09-29,AUT,Austria,-99,55,2,47,42,1
2020-09-29,AUT,Austria,1,45,0,45,19,1
2020-09-29,AUT,Austria,2,99,0,99,37,3
2020-09-29,AUT,Austria,3,119,0,119,25,0
2020-09-29,AUT,Austria,4,102,1,102,89,3
2020-09-29,AUT,Austria,5,81,0,81,12,1
2020-09-29,AUT,Austria,6,47,0,47,21,0
2020-09-29,AUT,Austria,7,15,0,15,1,0
2020-09-29,AZE,Azerbaijan,-99,5,2,4,1,1
2020-09-29,AZE,Azerbaijan,1,3,0,3,0,0
2020-09-29,AZE,Azerbaijan,2,7,1,7,0,0
2020-09-29,AZE,Azerbaijan,3,2,0,2,1,0
2020-09-29,AZE,Azerbaijan,4,3,0,3,0,0
