ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,-99,1,0,1,100,2020-06-21
AFG,Afghanistan,1,49,9,49,588,2020-06-21
AFG,Afghanistan,2,70,12,69,697,2020-06-21
AFG,Afghanistan,3,22,1,22,366,2020-06-21
AFG,Afghanistan,4,8,1,8,130,2020-06-21
AFG,Afghanistan,5,3,1,3,1,2020-06-21
AFG,Afghanistan,6,6,0,6,0,2020-06-21
AFG,Afghanistan,7,10,7,10,403,2020-06-21
ALA,Aland Islands,1,3,0,3,0,2020-06-21
ALA,Aland Islands,2,3,0,3,2,2020-06-21
ALA,Aland Islands,3,2,1,2,1,2020-06-21
ALA,Aland Islands,4,1,0,1,0,2020-06-21
ALA,Aland Islands,5,1,0,1,0,2020-06-21
ALA,Aland Islands,6,2,1,2,49,2020-06-21
ALA,Aland Islands,7,1,1,1,100,2020-06-21
ALB,Albania,-99,1,0,1,0,2020-06-21
ALB,Albania,1,22,1,22,5,2020-06-21
ALB,Albania,2,48,1,48,26,2020-06-21
ALB,Albania,3,39,0,39,10,2020-06-21
ALB,Albania,4,20,0,20,11,2020-06-21
ALB,Albania,5,10,0,10,10,2020-06-21
ALB,Albania,6,8,0,8,0,2020-06-21
ALB,Albania,7,3,0,3,0,2020-06-21
DZA,Algeria,-99,1,0,1,0,2020-06-21
DZA,Algeria,1,98,5,98,140,2020-06-21
DZA,Algeria,2,191,10,191,303,2020-06-21
DZA,Algeria,3,153,3,153,85,2020-06-21
DZA,Algeria,4,105,6,104,153,2020-06-21
DZA,Algeria,5,80,3,80,38,2020-06-21
DZA,Algeria,6,22,0,22,2,2020-06-21
DZA,Algeria,7,3,1,3,99,2020-06-21
ASM,American Samoa,1,3,1,3,201,2020-06-21
ASM,American Samoa,2,4,2,4,5,2020-06-21
ASM,American Samoa,3,2,0,2,0,2020-06-21
ASM,American Samoa,4,2,0,2,0,2020-06-21
ASM,American Samoa,5,1,0,1,0,2020-06-21
ASM,American Samoa,6,2,0,2,0,2020-06-21
ASM,American Samoa,7,1,0,1,0,2020-06-21
AND,Andorra,-99,1,0,1,0,2020-06-21
AND,Andorra,1,4,0,4,2,2020-06-21
AND,Andorra,2,2,1,2,14,2020-06-21
AND,Andorra,3,2,0,2,0,2020-06-21
AND,Andorra,4,1,0,1,12,2020-06-21
AND,Andorra,5,1,0,1,0,2020-06-21
AND,Andorra,6,1,0,1,0,2020-06-21
AND,Andorra,7,2,1,2,4,2020-06-21
AGO,Angola,1,16,1,16,59,2020-06-21
AGO,Angola,2,34,0,34,1,2020-06-21
AGO,Angola,3,25,0,25,0,2020-06-21
AGO,Angola,4,10,2,10,106,2020-06-21
AGO,Angola,5,4,1,4,2,2020-06-21
AGO,Angola,6,3,0,3,0,2020-06-21
AGO,Angola,7,5,3,5,201,2020-06-21
AIA,Anguilla,1,1,0,1,0,2020-06-21
AIA,Anguilla,2,3,0,3,1,2020-06-21
AIA,Anguilla,5,2,0,2,0,2020-06-21
ATA,Antarctica,1,1,0,1,1,2020-06-21
ATA,Antarctica,2,3,2,3,200,2020-06-21
ATA,Antarctica,4,1,0,1,0,2020-06-21
ATA,Antarctica,6,1,0,1,8,2020-06-21
ATG,Antigua,1,2,0,2,0,2020-06-21
ATG,Antigua,2,2,0,2,0,2020-06-21
ATG,Antigua,3,1,0,1,0,2020-06-21
ATG,Antigua,4,1,0,1,6,2020-06-21
ARG,Argentina,-99,12,0,12,1,2020-06-21
ARG,Argentina,1,473,6,473,225,2020-06-21
