date,ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,anosmia
2020-07-06,AFG,Afghanistan,-99,71,15,66,795,16
2020-07-06,AFG,Afghanistan,1,34,6,34,482,6
2020-07-06,AFG,Afghanistan,2,54,6,54,466,9
2020-07-06,AFG,Afghanistan,3,26,0,25,185,3
2020-07-06,AFG,Afghanistan,4,8,1,8,42,1
2020-07-06,AFG,Afghanistan,5,7,0,7,4,1
2020-07-06,AFG,Afghanistan,6,1,0,1,0,0
2020-07-06,AFG,Afghanistan,7,2,1,2,0,1
2020-07-06,ALA,Aland Islands,-99,5,0,4,110,1
2020-07-06,ALA,Aland Islands,1,1,0,1,1,1
2020-07-06,ALA,Aland Islands,2,2,0,1,0,1
2020-07-06,ALA,Aland Islands,3,1,0,1,0,0
2020-07-06,ALA,Aland Islands,4,5,0,5,1,1
2020-07-06,ALA,Aland Islands,6,1,0,1,0,0
2020-07-06,ALA,Aland Islands,7,1,0,1,0,0
2020-07-06,ALB,Albania,-99,26,3,23,241,3
2020-07-06,ALB,Albania,1,15,0,15,4,0
2020-07-06,ALB,Albania,2,38,1,38,20,2
2020-07-06,ALB,Albania,3,40,1,40,21,1
2020-07-06,ALB,Albania,4,18,0,18,9,1
2020-07-06,ALB,Albania,5,11,0,11,0,0
2020-07-06,ALB,Albania,6,2,0,2,0,0
2020-07-06,ALB,Albania,7,3,0,3,0,0
2020-07-06,DZA,Algeria,-99,261,8,248,202,25
2020-07-06,DZA,Algeria,1,76,1,76,74,9
2020-07-06,DZA,Algeria,2,178,7,177,268,17
2020-07-06,DZA,Algeria,3,174,3,174,255,12
2020-07-06,DZA,Algeria,4,90,3,90,68,9
2020-07-06,DZA,Algeria,5,47,1,47,50,3
2020-07-06,DZA,Algeria,6,17,1,17,9,0
2020-07-06,DZA,Algeria,7,1,0,1,0,0
2020-07-06,ASM,American Samoa,-99,6,2,5,100,2
2020-07-06,ASM,American Samoa,1,3,1,3,1,1
2020-07-06,ASM,American Samoa,2,4,0,4,11,0
2020-07-06,ASM,American Samoa,3,3,0,3,0,0
2020-07-06,ASM,American Samoa,4,2,0,2,0,0
2020-07-06,ASM,American Samoa,5,1,0,1,0,0
2020-07-06,ASM,American Samoa,6,1,0,1,0,0
2020-07-06,AND,Andorra,-99,8,2,7,57,3
2020-07-06,AND,Andorra,1,5,0,5,0,0
