ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,-99,1,0,1,0,2020-05-15
AFG,Afghanistan,1,51,4,51,147,2020-05-15
AFG,Afghanistan,2,75,7,75,237.5,2020-05-15
AFG,Afghanistan,3,19,0,19,20,2020-05-15
AFG,Afghanistan,4,6,0,6,6,2020-05-15
AFG,Afghanistan,5,4,1,4,100,2020-05-15
AFG,Afghanistan,6,6,1,6,150,2020-05-15
AFG,Afghanistan,7,3,2,3,200,2020-05-15
ALA,Aland Islands,1,1,0,1,1,2020-05-15
ALA,Aland Islands,2,6,2,6,0,2020-05-15
ALA,Aland Islands,3,1,0,1,0,2020-05-15
ALA,Aland Islands,4,1,0,1,0,2020-05-15
ALA,Aland Islands,5,1,0,1,0,2020-05-15
ALA,Aland Islands,6,1,0,1,0,2020-05-15
ALB,Albania,-99,2,0,2,0,2020-05-15
ALB,Albania,1,31,0,31,2,2020-05-15
ALB,Albania,2,68,0,68,1,2020-05-15
ALB,Albania,3,51,0,51,4,2020-05-15
ALB,Albania,4,23,1,23,1,2020-05-15
ALB,Albania,5,7,0,7,3,2020-05-15
ALB,Albania,6,5,0,5,0,2020-05-15
ALB,Albania,7,1,0,1,0,2020-05-15
DZA,Algeria,-99,3,0,3,1,2020-05-15
DZA,Algeria,1,171,1,171,147,2020-05-15
DZA,Algeria,2,328,3,328,146,2020-05-15
DZA,Algeria,3,210,2,210,150,2020-05-15
DZA,Algeria,4,116,0,116,11,2020-05-15
DZA,Algeria,5,76,2,76,5,2020-05-15
DZA,Algeria,6,32,0,32,0,2020-05-15
DZA,Algeria,7,1,0,1,0,2020-05-15
ASM,American Samoa,1,3,0,3,3,2020-05-15
ASM,American Samoa,2,5,0,5,1,2020-05-15
ASM,American Samoa,3,2,0,2,2,2020-05-15
ASM,American Samoa,4,1,0,1,0,2020-05-15
ASM,American Samoa,5,1,1,1,5,2020-05-15
ASM,American Samoa,6,2,0,2,0,2020-05-15
ASM,American Samoa,7,1,1,1,100,2020-05-15
AND,Andorra,1,5,2,5,59,2020-05-15
AND,Andorra,2,1,0,1,100,2020-05-15
AND,Andorra,3,2,1,2,55,2020-05-15
AND,Andorra,4,3,0,3,0,2020-05-15
AND,Andorra,6,3,0,3,101,2020-05-15
AND,Andorra,7,1,0,0,0,2020-05-15
AGO,Angola,1,39,1,39,6,2020-05-15
AGO,Angola,2,57,0,57,2,2020-05-15
AGO,Angola,3,32,0,32,0,2020-05-15
AGO,Angola,4,9,0,9,0,2020-05-15
AGO,Angola,5,11,0,11,0,2020-05-15
AGO,Angola,6,2,0,2,0,2020-05-15
AGO,Angola,7,1,0,1,0,2020-05-15
AIA,Anguilla,1,1,0,1,0,2020-05-15
AIA,Anguilla,2,1,0,1,0,2020-05-15
AIA,Anguilla,3,1,0,1,0,2020-05-15
AIA,Anguilla,7,1,0,1,0,2020-05-15
ATA,Antarctica,3,1,0,1,0,2020-05-15
ATA,Antarctica,4,1,0,1,0,2020-05-15
ATA,Antarctica,5,1,0,1,0,2020-05-15
ATA,Antarctica,6,1,0,1,1,2020-05-15
ATA,Antarctica,7,2,1,2,2,2020-05-15
ATG,Antigua,1,1,0,1,0,2020-05-15
ATG,Antigua,2,2,0,2,0,2020-05-15
ATG,Antigua,4,3,0,3,0,2020-05-15
ARG,Argentina,-99,8,0,8,0,2020-05-15
ARG,Argentina,1,694,3,693,60,2020-05-15
ARG,Argentina,2,1166,7,1165,94,2020-05-15
ARG,Argentina,3,872,1,871,23,2020-05-15
ARG,Argentina,4,595,1,595,37,2020-05-15
ARG,Argentina,5,374,1,373,32,2020-05-15
ARG,Argentina,6,162,0,161,1,2020-05-15
ARG,Argentina,7,51,1,50,4,2020-05-15
ARM,Armenia,1,19,0,19,5,2020-05-15
ARM,Armenia,2,42,0,42,7,2020-05-15
ARM,Armenia,3,22,1,22,104,2020-05-15
ARM,Armenia,4,22,0,22,3,2020-05-15
ARM,Armenia,5,12,0,12,12,2020-05-15
ARM,Armenia,6,2,0,1,0,2020-05-15
ABW,Aruba,1,2,0,2,0,2020-05-15
ABW,Aruba,2,5,0,5,3,2020-05-15
ABW,Aruba,3,3,0,3,0,2020-05-15
ABW,Aruba,4,2,0,2,12,2020-05-15
AUS,Australia,-99,7,0,7,0,2020-05-15
AUS,Australia,1,206,3,206,23,2020-05-15
AUS,Australia,2,346,2,346,148,2020-05-15
AUS,Australia,3,295,0,295,17,2020-05-15
AUS,Australia,4,324,2,324,50,2020-05-15
AUS,Australia,5,250,0,250,5,2020-05-15
AUS,Australia,6,182,1,182,4,2020-05-15
AUS,Australia,7,49,1,49,102,2020-05-15
AUT,Austria,-99,1,0,1,0,2020-05-15
AUT,Austria,1,119,0,119,42,2020-05-15
AUT,Austria,2,253,2,253,32,2020-05-15
AUT,Austria,3,191,1,190,52,2020-05-15
AUT,Austria,4,144,1,144,23,2020-05-15
AUT,Austria,5,129,0,128,14,2020-05-15
AUT,Austria,6,56,0,56,1,2020-05-15
AUT,Austria,7,17,0,17,2,2020-05-15
AZE,Azerbaijan,1,28,0,28,101,2020-05-15
AZE,Azerbaijan,2,53,0,53,8,2020-05-15
AZE,Azerbaijan,3,40,0,40,2,2020-05-15
AZE,Azerbaijan,4,26,1,26,12,2020-05-15
AZE,Azerbaijan,5,10,0,10,0,2020-05-15
AZE,Azerbaijan,6,3,0,3,0,2020-05-15
BHS,Bahamas,2,1,0,1,0,2020-05-15
BHS,Bahamas,3,2,0,2,0,2020-05-15
BHR,Bahrain,1,2,0,2,1,2020-05-15
BHR,Bahrain,3,4,0,4,0,2020-05-15
BHR,Bahrain,4,1,0,1,0,2020-05-15
BHR,Bahrain,5,2,0,2,0,2020-05-15
BHR,Bahrain,6,1,0,1,0,2020-05-15
BGD,Bangladesh,-99,2,0,2,2,2020-05-15
BGD,Bangladesh,1,289,4,289,627,2020-05-15
BGD,Bangladesh,2,345,4,344,366,2020-05-15
BGD,Bangladesh,3,117,1,117,29,2020-05-15
BGD,Bangladesh,4,23,0,23,4,2020-05-15
BGD,Bangladesh,5,8,0,8,0,2020-05-15
BGD,Bangladesh,6,2,0,2,3,2020-05-15
BRB,Barbados,5,1,0,1,0,2020-05-15
