date,ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,anosmia
2020-08-12,AFG,Afghanistan,-99,48,12,46,648,13
2020-08-12,AFG,Afghanistan,1,13,2,13,116,2
2020-08-12,AFG,Afghanistan,2,35,2,35,136,4
2020-08-12,AFG,Afghanistan,3,24,1,24,29,2
2020-08-12,AFG,Afghanistan,4,3,1,3,4,0
2020-08-12,AFG,Afghanistan,5,3,0,3,100,0
2020-08-12,AFG,Afghanistan,6,1,0,1,0,0
2020-08-12,AFG,Afghanistan,7,6,5,6,515,5
2020-08-12,ALA,Aland Islands,-99,6,0,6,102,0
2020-08-12,ALA,Aland Islands,1,3,1,3,4,2
2020-08-12,ALA,Aland Islands,2,2,0,2,6,0
2020-08-12,ALA,Aland Islands,4,2,0,2,5,0
2020-08-12,ALA,Aland Islands,5,2,0,2,0,1
2020-08-12,ALA,Aland Islands,6,2,0,2,0,0
2020-08-12,ALA,Aland Islands,7,1,0,1,0,0
2020-08-12,ALB,Albania,-99,23,1,21,13,2
2020-08-12,ALB,Albania,1,20,2,20,103,0
2020-08-12,ALB,Albania,2,29,0,29,25,1
2020-08-12,ALB,Albania,3,38,2,38,71,3
2020-08-12,ALB,Albania,4,17,1,17,23,0
2020-08-12,ALB,Albania,5,8,0,8,1,0
2020-08-12,ALB,Albania,6,2,0,2,0,1
2020-08-12,DZA,Algeria,-99,164,11,155,577,13
2020-08-12,DZA,Algeria,1,57,4,57,66,6
2020-08-12,DZA,Algeria,2,102,1,101,153,6
2020-08-12,DZA,Algeria,3,98,5,98,177,9
2020-08-12,DZA,Algeria,4,57,1,57,77,2
2020-08-12,DZA,Algeria,5,38,3,38,132,4
2020-08-12,DZA,Algeria,6,12,1,12,119,1
2020-08-12,DZA,Algeria,7,2,1,2,100,1
2020-08-12,ASM,American Samoa,-99,7,1,7,2,1
2020-08-12,ASM,American Samoa,2,2,0,2,0,0
2020-08-12,ASM,American Samoa,3,2,0,2,30,1
2020-08-12,ASM,American Samoa,4,3,0,3,2,0
2020-08-12,ASM,American Samoa,5,2,1,2,5,0
2020-08-12,AND,Andorra,-99,13,3,11,103,4
2020-08-12,AND,Andorra,1,6,1,5,16,1
2020-08-12,AND,Andorra,2,1,0,1,0,0
2020-08-12,AND,Andorra,5,2,0,2,5,0
2020-08-12,AGO,Angola,-99,40,6,39,124,5
2020-08-12,AGO,Angola,1,6,0,6,0,0
2020-08-12,AGO,Angola,2,19,0,19,4,0
2020-08-12,AGO,Angola,3,19,0,19,2,0
2020-08-12,AGO,Angola,4,7,0,7,1,0
2020-08-12,AGO,Angola,5,8,1,8,100,1
2020-08-12,AGO,Angola,6,1,1,1,28,1
2020-08-12,AGO,Angola,7,1,0,1,100,0
2020-08-12,AIA,Anguilla,-99,4,0,4,0,0
2020-08-12,AIA,Anguilla,2,1,0,1,0,0
2020-08-12,AIA,Anguilla,3,2,0,2,0,0
2020-08-12,AIA,Anguilla,4,1,0,1,0,0
2020-08-12,AIA,Anguilla,5,2,1,2,2,1
2020-08-12,ATA,Antarctica,-99,5,0,5,103,0
2020-08-12,ATA,Antarctica,1,2,1,2,0,0
2020-08-12,ATA,Antarctica,2,2,1,2,0,1
2020-08-12,ATA,Antarctica,4,1,1,1,1,1
2020-08-12,ATA,Antarctica,5,2,1,2,1,1
2020-08-12,ATA,Antarctica,7,1,1,1,0,1
2020-08-12,ATG,Antigua,-99,1,0,1,0,0
2020-08-12,ATG,Antigua,1,1,1,1,100,1
2020-08-12,ARG,Argentina,-99,522,7,502,351,17
2020-08-12,ARG,Argentina,1,466,3,466,231,9
2020-08-12,ARG,Argentina,2,769,10,768,702,21
2020-08-12,ARG,Argentina,3,700,5,698,341,15
2020-08-12,ARG,Argentina,4,515,2,513,315,7
2020-08-12,ARG,Argentina,5,397,2,396,122,5
2020-08-12,ARG,Argentina,6,168,0,168,72,1
2020-08-12,ARG,Argentina,7,34,0,34,1,0
2020-08-12,ARM,Armenia,-99,18,0,17,5,0
2020-08-12,ARM,Armenia,1,8,1,8,7,3
2020-08-12,ARM,Armenia,2,10,1,10,8,1
2020-08-12,ARM,Armenia,3,13,0,13,11,0
2020-08-12,ARM,Armenia,4,13,2,13,13,2
2020-08-12,ARM,Armenia,5,8,0,8,3,0
2020-08-12,ARM,Armenia,6,2,0,2,0,0
2020-08-12,ARM,Armenia,7,1,1,1,2,1
2020-08-12,ABW,Aruba,-99,5,1,4,7,2
2020-08-12,ABW,Aruba,1,5,1,5,5,1
2020-08-12,ABW,Aruba,2,2,0,2,0,0
2020-08-12,ABW,Aruba,5,2,0,2,0,0
2020-08-12,AUS,Australia,-99,232,6,221,37,8
2020-08-12,AUS,Australia,1,199,1,199,42,3
2020-08-12,AUS,Australia,2,348,3,348,198,3
2020-08-12,AUS,Australia,3,269,2,269,30,4
2020-08-12,AUS,Australia,4,305,4,305,42,12
2020-08-12,AUS,Australia,5,290,2,289,22,5
2020-08-12,AUS,Australia,6,189,0,189,12,2
2020-08-12,AUS,Australia,7,52,0,51,50,2
2020-08-12,AUT,Austria,-99,74,3,73,69,6
2020-08-12,AUT,Austria,1,58,0,58,8,1
2020-08-12,AUT,Austria,2,127,2,127,25,0
2020-08-12,AUT,Austria,3,143,0,143,11,1
2020-08-12,AUT,Austria,4,107,1,107,5,3
2020-08-12,AUT,Austria,5,89,0,88,5,2
2020-08-12,AUT,Austria,6,42,0,42,0,0
2020-08-12,AUT,Austria,7,11,0,11,0,0
2020-08-12,AZE,Azerbaijan,-99,15,1,13,8,1
2020-08-12,AZE,Azerbaijan,1,23,0,23,12,1
2020-08-12,AZE,Azerbaijan,2,21,1,20,15,1
2020-08-12,AZE,Azerbaijan,3,19,0,19,14,0
2020-08-12,AZE,Azerbaijan,4,11,0,11,3,0
2020-08-12,AZE,Azerbaijan,5,10,1,10,1,0
2020-08-12,AZE,Azerbaijan,6,6,0,6,1,0
2020-08-12,BHS,Bahamas,-99,1,0,1,0,0
2020-08-12,BHS,Bahamas,1,1,1,1,17,1
2020-08-12,BHS,Bahamas,4,1,1,1,12,0
2020-08-12,BHS,Bahamas,7,1,1,1,100,1
2020-08-12,BHR,Bahrain,-99,2,0,1,1,1
2020-08-12,BHR,Bahrain,1,2,0,2,0,0
2020-08-12,BHR,Bahrain,2,2,0,2,100,1
2020-08-12,BHR,Bahrain,3,2,0,2,1,0
2020-08-12,BGD,Bangladesh,-99,134,9,127,249,14
2020-08-12,BGD,Bangladesh,1,170,7,170,312,10
