ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,-99,4,2,4,3,2020-05-11
AFG,Afghanistan,1,33,7,33,346,2020-05-11
AFG,Afghanistan,2,58,3,58,144,2020-05-11
AFG,Afghanistan,3,24,2,24,35,2020-05-11
AFG,Afghanistan,4,2,0,2,0,2020-05-11
AFG,Afghanistan,5,1,0,1,100,2020-05-11
AFG,Afghanistan,7,1,1,1,1,2020-05-11
ALA,Aland Islands,1,4,2,4,200,2020-05-11
ALA,Aland Islands,2,3,1,3,100,2020-05-11
ALA,Aland Islands,3,4,0,4,4,2020-05-11
ALA,Aland Islands,4,1,0,1,0,2020-05-11
ALA,Aland Islands,5,3,0,3,0,2020-05-11
ALA,Aland Islands,6,1,0,1,0,2020-05-11
ALB,Albania,1,37,0,37,6,2020-05-11
ALB,Albania,2,70,1,69,21,2020-05-11
ALB,Albania,3,47,1,47,13,2020-05-11
ALB,Albania,4,26,0,25,1,2020-05-11
ALB,Albania,5,11,0,11,56,2020-05-11
ALB,Albania,6,5,0,5,0,2020-05-11
ALB,Albania,7,3,2,3,100,2020-05-11
DZA,Algeria,-99,2,0,2,0,2020-05-11
DZA,Algeria,1,199,10,199,64,2020-05-11
DZA,Algeria,2,235,5,234,79,2020-05-11
DZA,Algeria,3,178,1,178,35,2020-05-11
DZA,Algeria,4,127,1,127,189,2020-05-11
DZA,Algeria,5,69,0,68,18,2020-05-11
DZA,Algeria,6,25,0,25,2,2020-05-11
DZA,Algeria,7,1,0,1,0,2020-05-11
ASM,American Samoa,1,3,0,3,0,2020-05-11
ASM,American Samoa,2,2,0,2,1,2020-05-11
ASM,American Samoa,3,4,0,4,10,2020-05-11
ASM,American Samoa,4,2,1,2,7,2020-05-11
ASM,American Samoa,5,6,0,6,0,2020-05-11
ASM,American Samoa,6,1,0,1,0,2020-05-11
ASM,American Samoa,7,3,2,3,182,2020-05-11
AND,Andorra,1,9,0,9,0,2020-05-11
AND,Andorra,2,2,0,2,0,2020-05-11
AND,Andorra,3,2,0,2,0,2020-05-11
AND,Andorra,4,7,0,7,2,2020-05-11
AND,Andorra,5,3,2,3,9,2020-05-11
AND,Andorra,6,1,1,1,0,2020-05-11
AND,Andorra,7,2,1,2,101,2020-05-11
AGO,Angola,1,24,0,24,8,2020-05-11
AGO,Angola,2,64,2,64,6,2020-05-11
AGO,Angola,3,35,0,35,1,2020-05-11
AGO,Angola,4,10,0,10,4,2020-05-11
AGO,Angola,5,9,0,9,0,2020-05-11
AGO,Angola,6,1,1,1,0,2020-05-11
AIA,Anguilla,1,1,0,1,0,2020-05-11
AIA,Anguilla,2,4,0,4,1,2020-05-11
AIA,Anguilla,3,4,0,4,0,2020-05-11
AIA,Anguilla,4,2,0,2,2,2020-05-11
AIA,Anguilla,5,2,0,2,2,2020-05-11
ATA,Antarctica,1,2,0,2,3,2020-05-11
ATA,Antarctica,2,1,1,1,100,2020-05-11
ATA,Antarctica,3,1,0,1,100,2020-05-11
ATA,Antarctica,4,3,0,3,99,2020-05-11
ATA,Antarctica,7,2,2,2,200,2020-05-11
ATG,Antigua,2,2,1,2,33,2020-05-11
ARG,Argentina,-99,8,0,8,3,2020-05-11
ARG,Argentina,1,755,3,755,83,2020-05-11
ARG,Argentina,2,1199,5,1198,77,2020-05-11
ARG,Argentina,3,966,1,963,128,2020-05-11
ARG,Argentina,4,611,1,611,31,2020-05-11
ARG,Argentina,5,414,1,414,154,2020-05-11
ARG,Argentina,6,193,0,193,2,2020-05-11
ARG,Argentina,7,52,1,52,100,2020-05-11
ARM,Armenia,-99,1,0,1,0,2020-05-11
ARM,Armenia,1,20,0,20,0,2020-05-11
ARM,Armenia,2,40,1,40,17,2020-05-11
ARM,Armenia,3,29,2,29,15,2020-05-11
ARM,Armenia,4,15,0,15,0,2020-05-11
ARM,Armenia,5,20,0,20,1,2020-05-11
ARM,Armenia,6,5,0,5,2,2020-05-11
ARM,Armenia,7,1,1,1,100,2020-05-11
ABW,Aruba,1,3,0,3,5,2020-05-11
ABW,Aruba,2,3,0,3,0,2020-05-11
ABW,Aruba,3,4,0,4,0,2020-05-11
ABW,Aruba,4,1,0,1,0,2020-05-11
ABW,Aruba,7,1,0,1,0,2020-05-11
AUS,Australia,-99,4,0,4,1,2020-05-11
AUS,Australia,1,241,5,241,117,2020-05-11
AUS,Australia,2,396,0,396,47,2020-05-11
AUS,Australia,3,271,2,271,17,2020-05-11
AUS,Australia,4,305,1,305,16,2020-05-11
AUS,Australia,5,221,0,221,9,2020-05-11
AUS,Australia,6,173,2,173,1,2020-05-11
AUS,Australia,7,51,0,51,2,2020-05-11
AUT,Austria,-99,1,0,1,0,2020-05-11
AUT,Austria,1,131,1,131,24,2020-05-11
AUT,Austria,2,304,1,304,38,2020-05-11
AUT,Austria,3,199,0,199,19,2020-05-11
AUT,Austria,4,160,0,160,12,2020-05-11
AUT,Austria,5,120,0,120,10,2020-05-11
AUT,Austria,6,41,0,41,6,2020-05-11
AUT,Austria,7,10,0,10,0,2020-05-11
AZE,Azerbaijan,-99,1,0,1,0,2020-05-11
AZE,Azerbaijan,1,34,0,34,3,2020-05-11
AZE,Azerbaijan,2,59,0,59,23,2020-05-11
AZE,Azerbaijan,3,33,0,33,13,2020-05-11
AZE,Azerbaijan,4,18,0,18,0,2020-05-11
AZE,Azerbaijan,5,21,0,21,0,2020-05-11
AZE,Azerbaijan,6,4,0,4,0,2020-05-11
AZE,Azerbaijan,7,1,0,1,0,2020-05-11
BHS,Bahamas,1,1,0,1,2,2020-05-11
BHS,Bahamas,2,1,0,1,0,2020-05-11
BHS,Bahamas,3,1,0,1,0,2020-05-11
BHR,Bahrain,1,3,0,3,2,2020-05-11
BHR,Bahrain,2,8,0,8,0,2020-05-11
BHR,Bahrain,3,3,0,3,0,2020-05-11
BHR,Bahrain,4,4,0,4,0,2020-05-11
BHR,Bahrain,5,3,0,3,0,2020-05-11
BHR,Bahrain,6,2,0,2,0,2020-05-11
BGD,Bangladesh,-99,3,0,3,2,2020-05-11
BGD,Bangladesh,1,265,5,265,108,2020-05-11
BGD,Bangladesh,2,327,3,327,462,2020-05-11
BGD,Bangladesh,3,89,1,89,53,2020-05-11
BGD,Bangladesh,4,17,0,17,8,2020-05-11
BGD,Bangladesh,7,1,1,1,1,2020-05-11
BLR,Belarus,-99,1,0,1,0,2020-05-11
BLR,Belarus,1,32,1,32,29,2020-05-11
BLR,Belarus,2,143,3,143,74,2020-05-11
BLR,Belarus,3,193,5,193,148,2020-05-11
BLR,Belarus,4,101,3,101,139,2020-05-11
BLR,Belarus,5,35,0,35,7,2020-05-11
BLR,Belarus,6,11,0,11,0,2020-05-11
BLR,Belarus,7,1,0,1,0,2020-05-11
BEL,Belgium,-99,5,0,5,3,2020-05-11
BEL,Belgium,1,107,1,107,15,2020-05-11
BEL,Belgium,2,182,0,182,43,2020-05-11
BEL,Belgium,3,157,1,157,80,2020-05-11
BEL,Belgium,4,168,1,168,27,2020-05-11
BEL,Belgium,5,115,0,115,3,2020-05-11
BEL,Belgium,6,75,0,74,14,2020-05-11
BEL,Belgium,7,19,0,19,1,2020-05-11
BLZ,Belize,1,1,0,1,3,2020-05-11
BLZ,Belize,2,3,0,3,0,2020-05-11
BLZ,Belize,3,4,0,4,7,2020-05-11
BLZ,Belize,4,2,0,2,2,2020-05-11
BLZ,Belize,5,1,0,1,0,2020-05-11
BEN,Benin,1,17,0,17,1,2020-05-11
BEN,Benin,2,28,1,28,12,2020-05-11
BEN,Benin,3,12,0,11,10,2020-05-11
BEN,Benin,4,6,0,6,0,2020-05-11
BEN,Benin,5,4,0,4,0,2020-05-11
BEN,Benin,6,1,0,1,0,2020-05-11
BMU,Bermuda,1,1,1,1,1,2020-05-11
BMU,Bermuda,2,1,0,1,0,2020-05-11
BMU,Bermuda,3,1,0,1,0,2020-05-11
BTN,Bhutan,3,1,0,1,0,2020-05-11
BOL,Bolivia,-99,4,0,4,2,2020-05-11
BOL,Bolivia,1,473,13,473,86,2020-05-11
BOL,Bolivia,2,579,4,578,105,2020-05-11
BOL,Bolivia,3,277,2,277,165,2020-05-11
BOL,Bolivia,4,152,1,151,21,2020-05-11
BOL,Bolivia,5,74,0,74,18,2020-05-11
BOL,Bolivia,6,35,0,35,0,2020-05-11
BOL,Bolivia,7,6,0,6,0,2020-05-11
BES,"Bonaire, Sint Eustatius and Saba",1,2,0,2,0,2020-05-11
BES,"Bonaire, Sint Eustatius and Saba",2,2,0,2,0,2020-05-11
BES,"Bonaire, Sint Eustatius and Saba",6,1,0,1,0,2020-05-11
BES,"Bonaire, Sint Eustatius and Saba",7,1,0,1,1,2020-05-11
BIH,Bosnia and Herzegovina,-99,1,0,1,0,2020-05-11
BIH,Bosnia and Herzegovina,1,39,0,39,3,2020-05-11
BIH,Bosnia and Herzegovina,2,53,1,53,109,2020-05-11
BIH,Bosnia and Herzegovina,3,45,0,45,7,2020-05-11
BIH,Bosnia and Herzegovina,4,42,0,42,2,2020-05-11
BIH,Bosnia and Herzegovina,5,13,0,13,0,2020-05-11
BIH,Bosnia and Herzegovina,6,5,0,5,0,2020-05-11
BIH,Bosnia and Herzegovina,7,1,0,1,0,2020-05-11
BWA,Botswana,1,2,0,2,0,2020-05-11
BWA,Botswana,2,2,0,2,0,2020-05-11
BRA,Brazil,-99,24,1,24,19,2020-05-11
BRA,Brazil,1,2918,100,2918,2764,2020-05-11
BRA,Brazil,2,4540,97,4540,3957,2020-05-11
BRA,Brazil,3,3681,78,3678,3315,2020-05-11
BRA,Brazil,4,2317,37,2316,1905,2020-05-11
BRA,Brazil,5,1444,10,1441,942,2020-05-11
BRA,Brazil,6,438,3,437,128,2020-05-11
BRA,Brazil,7,58,3,58,258,2020-05-11
IOT,British Indian Ocean Territory,1,1,0,1,0,2020-05-11
IOT,British Indian Ocean Territory,2,1,0,1,0,2020-05-11
IOT,British Indian Ocean Territory,3,1,0,1,0,2020-05-11
VGB,British Virgin Islands,4,1,1,1,34,2020-05-11
BRN,Brunei,1,1,1,1,100,2020-05-11
BRN,Brunei,4,1,0,1,0,2020-05-11
BGR,Bulgaria,-99,1,0,1,0,2020-05-11
BGR,Bulgaria,1,94,1,94,27,2020-05-11
BGR,Bulgaria,2,174,1,174,8,2020-05-11
BGR,Bulgaria,3,156,1,155,8,2020-05-11
BGR,Bulgaria,4,157,1,157,124,2020-05-11
BGR,Bulgaria,5,128,0,127,50,2020-05-11
BGR,Bulgaria,6,75,1,75,2,2020-05-11
BGR,Bulgaria,7,3,0,3,0,2020-05-11
BFA,Burkina Faso,1,23,0,23,0,2020-05-11
BFA,Burkina Faso,2,50,2,48,5,2020-05-11
BFA,Burkina Faso,3,38,3,38,6,2020-05-11
BFA,Burkina Faso,4,18,0,18,0,2020-05-11
BFA,Burkina Faso,5,2,1,2,0,2020-05-11
BFA,Burkina Faso,6,2,0,2,1,2020-05-11
KHM,Cambodia,1,33,1,33,14,2020-05-11
KHM,Cambodia,2,49,0,49,12,2020-05-11
KHM,Cambodia,3,21,0,21,0,2020-05-11
KHM,Cambodia,4,5,0,5,0,2020-05-11
KHM,Cambodia,5,5,0,5,0,2020-05-11
KHM,Cambodia,6,2,0,2,0,2020-05-11
CMR,Cameroon,1,24,0,24,1,2020-05-11
CMR,Cameroon,2,48,1,48,2,2020-05-11
CMR,Cameroon,3,21,1,21,1,2020-05-11
CMR,Cameroon,4,10,0,10,1,2020-05-11
CMR,Cameroon,5,1,0,1,0,2020-05-11
CMR,Cameroon,6,2,0,2,0,2020-05-11
CAN,Canada,-99,6,0,6,0,2020-05-11
CAN,Canada,1,321,1,321,48,2020-05-11
CAN,Canada,2,602,4,602,70,2020-05-11
CAN,Canada,3,491,2,491,221,2020-05-11
CAN,Canada,4,408,2,407,257,2020-05-11
CAN,Canada,5,357,3,355,25,2020-05-11
