date,ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,anosmia
2020-12-29,-99,-99,7,1,0,1,0,0
2020-12-29,AFG,Afghanistan,-99,110,34,67,737,39
2020-12-29,AFG,Afghanistan,-77,2,0,1,0,0
2020-12-29,AFG,Afghanistan,1,23,8,23,366,7
2020-12-29,AFG,Afghanistan,2,31,5,31,189,6
2020-12-29,AFG,Afghanistan,3,10,0,10,11,0
2020-12-29,AFG,Afghanistan,4,3,0,3,5,0
2020-12-29,AFG,Afghanistan,5,5,0,5,0,1
2020-12-29,AFG,Afghanistan,6,1,0,1,37,0
2020-12-29,AFG,Afghanistan,7,6,5,6,507,5
2020-12-29,ALA,Aland Islands,-99,13,4,8,201,5
2020-12-29,ALA,Aland Islands,1,1,0,1,0,0
2020-12-29,ALA,Aland Islands,2,2,0,2,0,0
2020-12-29,ALA,Aland Islands,4,1,0,1,0,0
2020-12-29,ALA,Aland Islands,5,2,0,2,0,0
2020-12-29,ALA,Aland Islands,6,2,0,2,0,0
2020-12-29,ALA,Aland Islands,7,2,0,2,0,0
2020-12-29,ALB,Albania,-99,36,8,21,13,7
2020-12-29,ALB,Albania,1,10,0,10,3,0
2020-12-29,ALB,Albania,2,20,0,20,27,0
2020-12-29,ALB,Albania,3,19,1,19,51,1
2020-12-29,ALB,Albania,4,6,0,6,23,0
2020-12-29,ALB,Albania,5,9,1,8,14,2
2020-12-29,ALB,Albania,6,2,0,2,3,0
2020-12-29,ALB,Albania,7,3,1,3,1,0
2020-12-29,DZA,Algeria,-99,215,14,169,434,16
2020-12-29,DZA,Algeria,-77,1,0,1,0,0
2020-12-29,DZA,Algeria,1,31,0,31,33,3
2020-12-29,DZA,Algeria,2,69,4,69,245,5
2020-12-29,DZA,Algeria,3,67,2,67,75,5
2020-12-29,DZA,Algeria,4,53,3,53,52,3
2020-12-29,DZA,Algeria,5,24,1,24,15,0
2020-12-29,DZA,Algeria,6,14,0,14,13,0
2020-12-29,DZA,Algeria,7,2,0,2,0,0
2020-12-29,ASM,American Samoa,-99,19,3,10,73,3
2020-12-29,ASM,American Samoa,1,1,0,1,1,0
2020-12-29,ASM,American Samoa,3,5,0,5,21,0
2020-12-29,ASM,American Samoa,5,1,0,1,0,0
2020-12-29,ASM,American Samoa,7,1,1,1,0,1
2020-12-29,AND,Andorra,-99,18,3,14,3,3
2020-12-29,AND,Andorra,1,2,1,2,15,1
2020-12-29,AND,Andorra,2,1,0,1,0,0
2020-12-29,AND,Andorra,3,7,2,7,50,2
2020-12-29,AND,Andorra,4,3,0,3,0,0
2020-12-29,AND,Andorra,5,1,0,1,0,0
2020-12-29,AND,Andorra,6,1,0,1,0,0
2020-12-29,AND,Andorra,7,1,1,1,0,1
2020-12-29,AGO,Angola,-99,41,4,33,8,5
2020-12-29,AGO,Angola,1,1,0,1,0,1
2020-12-29,AGO,Angola,2,15,0,15,1,0
2020-12-29,AGO,Angola,3,11,1,11,13,1
2020-12-29,AGO,Angola,4,11,0,11,0,1
2020-12-29,AGO,Angola,5,8,0,8,0,0
2020-12-29,AGO,Angola,7,1,1,1,0,1
2020-12-29,AIA,Anguilla,-99,6,2,5,3,1
2020-12-29,AIA,Anguilla,1,1,0,1,0,0
2020-12-29,ATA,Antarctica,-99,5,0,4,1,0
2020-12-29,ATA,Antarctica,3,3,0,3,4,0
2020-12-29,ATA,Antarctica,6,1,1,1,100,1
2020-12-29,ATA,Antarctica,7,1,0,1,0,0
2020-12-29,ATG,Antigua,-99,6,1,6,0,1
2020-12-29,ATG,Antigua,1,4,0,4,5,0
2020-12-29,ATG,Antigua,2,1,0,1,0,0
2020-12-29,ATG,Antigua,3,3,1,3,1,1
2020-12-29,ATG,Antigua,6,1,0,1,0,0
2020-12-29,ATG,Antigua,7,1,0,1,0,0
2020-12-29,ARG,Argentina,-99,851,15,658,615,33
2020-12-29,ARG,Argentina,-77,5,0,5,0,0
2020-12-29,ARG,Argentina,1,294,8,294,334,14
2020-12-29,ARG,Argentina,2,521,5,521,603,17
2020-12-29,ARG,Argentina,3,584,8,584,425,17
2020-12-29,ARG,Argentina,4,493,5,493,349,14
2020-12-29,ARG,Argentina,5,355,3,355,359,6
2020-12-29,ARG,Argentina,6,214,0,214,98,0
2020-12-29,ARG,Argentina,7,49,0,49,6,1
2020-12-29,ARM,Armenia,-99,16,2,14,6,2
2020-12-29,ARM,Armenia,1,4,1,4,101,1
2020-12-29,ARM,Armenia,2,9,0,9,14.14,2
2020-12-29,ARM,Armenia,3,6,0,5,0,0
2020-12-29,ARM,Armenia,4,8,0,8,12,0
2020-12-29,ARM,Armenia,5,3,0,3,11,0
2020-12-29,ARM,Armenia,7,1,1,1,10,1
2020-12-29,ABW,Aruba,-99,7,1,6,1,1
2020-12-29,ABW,Aruba,1,2,1,2,30,0
2020-12-29,ABW,Aruba,3,3,0,3,1,0
2020-12-29,ABW,Aruba,4,3,0,3,0,1
2020-12-29,AUS,Australia,-99,358,4,289,126,17
2020-12-29,AUS,Australia,-77,4,0,4,0,0
2020-12-29,AUS,Australia,1,161,3,161,51,1
2020-12-29,AUS,Australia,2,335,0,335,28,3
2020-12-29,AUS,Australia,3,274,5,274,224,8
2020-12-29,AUS,Australia,4,299,0,299,24,3
2020-12-29,AUS,Australia,5,307,2,307,64,4
2020-12-29,AUS,Australia,6,213,0,213,8,4
2020-12-29,AUS,Australia,7,57,0,57,0,0
2020-12-29,AUT,Austria,-99,105,1,96,14,4
2020-12-29,AUT,Austria,-77,4,0,4,0,0
2020-12-29,AUT,Austria,1,50,0,50,17,0
2020-12-29,AUT,Austria,2,155,0,155,27,1
2020-12-29,AUT,Austria,3,154,0,154,87,1
2020-12-29,AUT,Austria,4,154,1,154,147,1
2020-12-29,AUT,Austria,5,133,1,133,28,1
2020-12-29,AUT,Austria,6,71,0,71,12,1
2020-12-29,AUT,Austria,7,12,0,12,2,0
2020-12-29,AZE,Azerbaijan,-99,29,1,22,28,0
2020-12-29,AZE,Azerbaijan,-77,1,0,1,2,0
2020-12-29,AZE,Azerbaijan,1,16,0,16,15,0
2020-12-29,AZE,Azerbaijan,2,21,0,21,29,3
2020-12-29,AZE,Azerbaijan,3,14,1,14,16,3
2020-12-29,AZE,Azerbaijan,4,12,1,12,13,1
2020-12-29,AZE,Azerbaijan,5,4,0,4,6,1
2020-12-29,AZE,Azerbaijan,6,1,0,1,0,1
2020-12-29,BHS,Bahamas,-99,3,1,3,7,1
2020-12-29,BHS,Bahamas,1,1,0,1,0,0
2020-12-29,BHS,Bahamas,2,1,0,1,0,0
2020-12-29,BHS,Bahamas,5,1,0,1,0,0
2020-12-29,BHR,Bahrain,-99,1,0,1,1,1
2020-12-29,BHR,Bahrain,4,2,0,2,0,0
2020-12-29,BGD,Bangladesh,-99,252,35,197,1153,44
2020-12-29,BGD,Bangladesh,-77,3,0,3,1,0
2020-12-29,BGD,Bangladesh,1,104,5,104,133,12
2020-12-29,BGD,Bangladesh,2,138,5,138,253,10
2020-12-29,BGD,Bangladesh,3,70,3,70,58,2
2020-12-29,BGD,Bangladesh,4,21,2,21,18,1
2020-12-29,BGD,Bangladesh,5,12,0,12,7,0
2020-12-29,BGD,Bangladesh,6,6,0,6,1,0
2020-12-29,BRB,Barbados,-99,1,0,1,0,0
2020-12-29,BRB,Barbados,1,1,1,1,0,0
2020-12-29,BRB,Barbados,2,2,0,2,0,0
2020-12-29,BRB,Barbados,5,1,0,1,0,0
2020-12-29,BLR,Belarus,-99,76,9,49,145,15
2020-12-29,BLR,Belarus,-77,5,2,4,10,1
2020-12-29,BLR,Belarus,1,10,0,10,24,1
2020-12-29,BLR,Belarus,2,43,1,43,68,4
2020-12-29,BLR,Belarus,3,63,3,63,145,9
2020-12-29,BLR,Belarus,4,56,2,56,160,9
2020-12-29,BLR,Belarus,5,32,2,32,42,1
2020-12-29,BLR,Belarus,6,10,0,10,59,0
2020-12-29,BLR,Belarus,7,1,0,1,0,0
2020-12-29,BEL,Belgium,-99,209,3,175,34,4
2020-12-29,BEL,Belgium,-77,1,0,1,0,0
2020-12-29,BEL,Belgium,1,71,0,71,21,2
2020-12-29,BEL,Belgium,2,101,1,101,21,0
2020-12-29,BEL,Belgium,3,151,1,151,32,3
2020-12-29,BEL,Belgium,4,152,2,152,51,4
2020-12-29,BEL,Belgium,5,140,0,140,66,2
2020-12-29,BEL,Belgium,6,70,0,70,9,0
2020-12-29,BEL,Belgium,7,22,0,22,1,0
2020-12-29,BLZ,Belize,-99,2,0,2,1,0
2020-12-29,BLZ,Belize,2,1,0,1,0,0
2020-12-29,BLZ,Belize,3,1,1,1,22,1
2020-12-29,BLZ,Belize,5,1,0,1,0,0
2020-12-29,BEN,Benin,-99,8,0,6,0,1
2020-12-29,BEN,Benin,1,2,0,2,0,0
2020-12-29,BEN,Benin,2,4,0,4,0,1
2020-12-29,BEN,Benin,3,1,0,1,0,0
2020-12-29,BEN,Benin,6,1,0,1,0,0
2020-12-29,BMU,Bermuda,5,2,0,2,0,0
2020-12-29,BTN,Bhutan,-99,3,0,2,0,0
2020-12-29,BTN,Bhutan,3,1,0,1,0,0
2020-12-29,BTN,Bhutan,4,2,0,2,0,0
