date,ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,anosmia
2020-09-11,AFG,Afghanistan,-99,32,7,30,451,9
2020-09-11,AFG,Afghanistan,1,8,0,8,10,1
2020-09-11,AFG,Afghanistan,2,20,1,20,8,2
2020-09-11,AFG,Afghanistan,3,17,0,17,14,0
2020-09-11,AFG,Afghanistan,4,5,1,5,100,1
2020-09-11,AFG,Afghanistan,5,3,0,3,0,0
2020-09-11,AFG,Afghanistan,7,6,5,6,218,5
2020-09-11,ALA,Aland Islands,-99,6,1,6,103,2
2020-09-11,ALA,Aland Islands,1,1,0,1,1,0
2020-09-11,ALA,Aland Islands,2,1,0,1,0,0
2020-09-11,ALA,Aland Islands,3,2,0,2,0,0
2020-09-11,ALA,Aland Islands,5,1,0,1,0,0
2020-09-11,ALA,Aland Islands,6,1,0,1,0,1
2020-09-11,ALB,Albania,-99,17,0,16,10,0
2020-09-11,ALB,Albania,1,11,0,11,5,1
2020-09-11,ALB,Albania,2,25,1,24,15,3
2020-09-11,ALB,Albania,3,22,0,22,47,1
2020-09-11,ALB,Albania,4,10,1,10,19,0
2020-09-11,ALB,Albania,5,8,0,8,2,1
2020-09-11,ALB,Albania,6,6,0,6,1,0
2020-09-11,DZA,Algeria,-99,36,2,35,44,6
2020-09-11,DZA,Algeria,1,13,2,13,15,4
2020-09-11,DZA,Algeria,2,20,2,19,112,1
2020-09-11,DZA,Algeria,3,9,0,9,4,0
2020-09-11,DZA,Algeria,4,11,0,11,1,0
2020-09-11,DZA,Algeria,5,7,0,7,1,0
2020-09-11,DZA,Algeria,6,2,0,2,2,0
2020-09-11,ASM,American Samoa,-99,6,0,6,4,1
2020-09-11,ASM,American Samoa,1,1,0,1,1,0
2020-09-11,ASM,American Samoa,2,1,0,1,0,0
2020-09-11,AND,Andorra,-99,10,0,10,2,0
2020-09-11,AND,Andorra,1,2,0,2,0,0
2020-09-11,AND,Andorra,2,1,0,1,0,0
2020-09-11,AND,Andorra,3,1,0,1,0,0
2020-09-11,AND,Andorra,4,2,0,2,0,0
2020-09-11,AND,Andorra,5,2,0,2,0,0
2020-09-11,AND,Andorra,6,2,0,2,0,0
2020-09-11,AND,Andorra,7,2,0,2,1,1
2020-09-11,AGO,Angola,-99,24,1,23,4,2
2020-09-11,AGO,Angola,1,6,0,6,0,0
2020-09-11,AGO,Angola,2,21,0,21,6,1
2020-09-11,AGO,Angola,3,13,0,13,1,3
2020-09-11,AGO,Angola,4,7,1,7,200,1
2020-09-11,AGO,Angola,5,5,0,5,2,0
2020-09-11,AGO,Angola,6,1,0,1,0,0
2020-09-11,AIA,Anguilla,-99,5,0,5,0,0
2020-09-11,AIA,Anguilla,2,3,1,3,1,1
2020-09-11,ATA,Antarctica,-99,2,1,2,1,1
2020-09-11,ATA,Antarctica,1,1,0,1,0,0
2020-09-11,ATA,Antarctica,3,1,0,1,0,0
2020-09-11,ATA,Antarctica,7,1,1,1,29,1
2020-09-11,ATG,Antigua,-99,2,0,2,0,0
2020-09-11,ATG,Antigua,2,1,0,1,0,0
2020-09-11,ARG,Argentina,-99,384,7,358,390,13
2020-09-11,ARG,Argentina,1,284,5,284,255,17
2020-09-11,ARG,Argentina,2,571,11,571,643,33
2020-09-11,ARG,Argentina,3,538,10,536,702,28
2020-09-11,ARG,Argentina,4,415,8,415,555,10
2020-09-11,ARG,Argentina,5,322,1,322,361,6
2020-09-11,ARG,Argentina,6,170,0,170,150,0
2020-09-11,ARG,Argentina,7,36,0,36,3,1
2020-09-11,ARM,Armenia,-99,12,0,12,4,1
2020-09-11,ARM,Armenia,1,9,0,9,6,0
2020-09-11,ARM,Armenia,2,9,0,9,5,1
2020-09-11,ARM,Armenia,3,4,0,4,6,0
2020-09-11,ARM,Armenia,4,8,0,8,0,0
2020-09-11,ARM,Armenia,5,4,0,4,0,0
