ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,1,50,12,50,477,2020-06-24
AFG,Afghanistan,2,85,9,85,509.3,2020-06-24
AFG,Afghanistan,3,26,1,26,251,2020-06-24
AFG,Afghanistan,4,9,0,9,3,2020-06-24
AFG,Afghanistan,5,3,0,3,0,2020-06-24
AFG,Afghanistan,6,3,0,3,0,2020-06-24
AFG,Afghanistan,7,6,3,6,104,2020-06-24
ALA,Aland Islands,1,1,0,1,100,2020-06-24
ALA,Aland Islands,4,1,0,1,0,2020-06-24
ALA,Aland Islands,5,3,0,3,0,2020-06-24
ALA,Aland Islands,6,1,0,1,0,2020-06-24
ALA,Aland Islands,7,2,1,2,100,2020-06-24
ALB,Albania,-99,1,0,1,0,2020-06-24
ALB,Albania,1,24,2,24,25,2020-06-24
ALB,Albania,2,63,1,63,123,2020-06-24
ALB,Albania,3,43,1,43,34,2020-06-24
ALB,Albania,4,15,0,15,5,2020-06-24
ALB,Albania,5,13,0,12,0,2020-06-24
ALB,Albania,6,7,0,7,0,2020-06-24
ALB,Albania,7,1,1,1,69,2020-06-24
DZA,Algeria,-99,4,0,4,5,2020-06-24
DZA,Algeria,1,84,2,84,88,2020-06-24
DZA,Algeria,2,222,5,222,178,2020-06-24
DZA,Algeria,3,167,4,167,105,2020-06-24
DZA,Algeria,4,113,0,112,39,2020-06-24
DZA,Algeria,5,60,1,60,117,2020-06-24
DZA,Algeria,6,22,0,22,1,2020-06-24
DZA,Algeria,7,6,2,6,101,2020-06-24
ASM,American Samoa,1,4,1,4,0,2020-06-24
ASM,American Samoa,2,4,2,4,75,2020-06-24
ASM,American Samoa,3,1,0,0,0,2020-06-24
ASM,American Samoa,4,2,0,2,1,2020-06-24
ASM,American Samoa,5,1,0,1,1,2020-06-24
ASM,American Samoa,6,1,0,1,0,2020-06-24
AND,Andorra,1,4,0,4,3,2020-06-24
AND,Andorra,2,3,0,3,10,2020-06-24
AND,Andorra,3,3,1,3,11,2020-06-24
AND,Andorra,4,3,0,3,0,2020-06-24
AND,Andorra,5,3,0,3,0,2020-06-24
AND,Andorra,7,1,1,1,100,2020-06-24
AGO,Angola,1,18,3,18,125,2020-06-24
AGO,Angola,2,29,0,29,3,2020-06-24
AGO,Angola,3,24,1,24,2,2020-06-24
AGO,Angola,4,10,0,10,0,2020-06-24
AGO,Angola,5,5,0,5,1,2020-06-24
AGO,Angola,6,1,0,1,0,2020-06-24
AIA,Anguilla,1,1,1,1,3,2020-06-24
AIA,Anguilla,2,2,0,2,0,2020-06-24
ATA,Antarctica,1,2,1,2,0,2020-06-24
ATA,Antarctica,2,1,0,1,4,2020-06-24
ATA,Antarctica,3,2,0,2,0,2020-06-24
ATA,Antarctica,4,2,0,2,0,2020-06-24
ATG,Antigua,1,3,1,3,41,2020-06-24
ATG,Antigua,2,2,1,2,20,2020-06-24
ATG,Antigua,4,1,0,1,0,2020-06-24
