ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
-99,-99,1,6,0,6,2,2020-04-25
-99,-99,2,7,0,7,1,2020-04-25
-99,-99,3,2,0,2,0,2020-04-25
-99,-99,5,1,0,1,0,2020-04-25
AFG,Afghanistan,-99,1,0,1,0,2020-04-25
AFG,Afghanistan,1,25,1,25,23,2020-04-25
AFG,Afghanistan,2,36,2,36,57,2020-04-25
AFG,Afghanistan,3,11,0,11,2,2020-04-25
AFG,Afghanistan,4,4,1,4,3,2020-04-25
AFG,Afghanistan,5,1,0,1,0,2020-04-25
AFG,Afghanistan,7,2,2,2,40.575,2020-04-25
ALA,Aland Islands,4,1,0,1,0,2020-04-25
ALA,Aland Islands,5,1,0,1,0,2020-04-25
ALA,Aland Islands,6,1,0,1,0,2020-04-25
ALB,Albania,-99,2,0,2,0,2020-04-25
ALB,Albania,1,13,0,13,2,2020-04-25
ALB,Albania,2,40,0,40,13,2020-04-25
ALB,Albania,3,27,0,27,9,2020-04-25
ALB,Albania,4,14,0,14,13,2020-04-25
ALB,Albania,5,6,0,6,3,2020-04-25
ALB,Albania,7,3,1,3,100,2020-04-25
DZA,Algeria,-99,4,0,4,0,2020-04-25
DZA,Algeria,1,64,2,64,11,2020-04-25
DZA,Algeria,2,133,1,133,211,2020-04-25
DZA,Algeria,3,88,2,88,56,2020-04-25
DZA,Algeria,4,43,1,43,10,2020-04-25
DZA,Algeria,5,40,0,40,2,2020-04-25
DZA,Algeria,6,4,0,4,0,2020-04-25
DZA,Algeria,7,2,0,2,0,2020-04-25
ASM,American Samoa,2,1,1,1,5,2020-04-25
AND,Andorra,1,2,0,2,0,2020-04-25
AND,Andorra,3,1,1,1,4,2020-04-25
AND,Andorra,5,1,0,1,0,2020-04-25
AND,Andorra,6,1,0,1,0,2020-04-25
AND,Andorra,7,1,1,1,100,2020-04-25
AGO,Angola,-99,1,0,1,0,2020-04-25
AGO,Angola,1,9,0,9,107,2020-04-25
AGO,Angola,2,14,0,14,3,2020-04-25
AGO,Angola,3,8,0,8,0,2020-04-25
AGO,Angola,6,2,0,2,0,2020-04-25
AIA,Anguilla,2,2,0,2,0,2020-04-25
AIA,Anguilla,3,1,0,1,1,2020-04-25
AIA,Anguilla,4,1,0,1,0,2020-04-25
ATA,Antarctica,1,2,0,2,0,2020-04-25
ATA,Antarctica,3,2,0,2,1,2020-04-25
ATA,Antarctica,7,1,1,1,100,2020-04-25
ATG,Antigua,1,1,0,1,0,2020-04-25
ATG,Antigua,2,1,0,1,0,2020-04-25
ARG,Argentina,-99,22,1,22,40,2020-04-25
ARG,Argentina,1,431,2,431,47,2020-04-25
ARG,Argentina,2,713,2,711,177,2020-04-25
ARG,Argentina,3,556,0,555,94,2020-04-25
ARG,Argentina,4,359,1,358,32,2020-04-25
ARG,Argentina,5,265,0,265,14,2020-04-25
ARG,Argentina,6,122,1,121,2,2020-04-25
ARG,Argentina,7,25,0,25,0,2020-04-25
ARM,Armenia,1,16,0,16,5,2020-04-25
ARM,Armenia,2,41,0,41,10,2020-04-25
ARM,Armenia,3,21,0,21,3,2020-04-25
ARM,Armenia,4,18,0,18,6,2020-04-25
ARM,Armenia,5,9,0,9,0,2020-04-25
ARM,Armenia,6,3,0,3,0,2020-04-25
ABW,Aruba,1,3,1,3,4,2020-04-25
ABW,Aruba,2,3,0,3,0,2020-04-25
ABW,Aruba,3,1,0,1,0,2020-04-25
ABW,Aruba,5,2,0,2,0,2020-04-25
AUS,Australia,-99,8,1,8,0,2020-04-25
AUS,Australia,1,130,1,130,19,2020-04-25
AUS,Australia,2,257,2,257,23,2020-04-25
AUS,Australia,3,199,3,198,28,2020-04-25
AUS,Australia,4,161,4,161,26,2020-04-25
AUS,Australia,5,119,0,119,7,2020-04-25
AUS,Australia,6,82,0,82,3,2020-04-25
AUS,Australia,7,21,0,21,0,2020-04-25
AUT,Austria,-99,2,0,2,0,2020-04-25
AUT,Austria,1,59,1,59,10,2020-04-25
AUT,Austria,2,114,2,114,19,2020-04-25
AUT,Austria,3,107,0,107,8,2020-04-25
AUT,Austria,4,87,0,87,7,2020-04-25
AUT,Austria,5,56,0,56,1,2020-04-25
AUT,Austria,6,26,0,26,1,2020-04-25
AUT,Austria,7,4,0,4,0,2020-04-25
AZE,Azerbaijan,-99,1,0,1,0,2020-04-25
AZE,Azerbaijan,1,15,0,15,5,2020-04-25
AZE,Azerbaijan,2,33,0,33,3,2020-04-25
AZE,Azerbaijan,3,30,1,30,5,2020-04-25
AZE,Azerbaijan,4,15,0,15,0,2020-04-25
AZE,Azerbaijan,5,12,0,12,1,2020-04-25
AZE,Azerbaijan,6,4,0,4,1,2020-04-25
BHS,Bahamas,-99,1,0,1,0,2020-04-25
BHR,Bahrain,5,1,0,1,0,2020-04-25
BGD,Bangladesh,-99,3,0,3,0,2020-04-25
BGD,Bangladesh,1,216,6,216,494,2020-04-25
BGD,Bangladesh,2,250,8,250,262,2020-04-25
BGD,Bangladesh,3,60,1,60,24,2020-04-25
BGD,Bangladesh,4,11,1,11,12,2020-04-25
BGD,Bangladesh,5,6,0,6,0,2020-04-25
BLR,Belarus,-99,2,0,2,1,2020-04-25
BLR,Belarus,1,26,1,26,8,2020-04-25
BLR,Belarus,2,99,3,99,80,2020-04-25
BLR,Belarus,3,124,8,124,130,2020-04-25
BLR,Belarus,4,76,1,75,62,2020-04-25
BLR,Belarus,5,45,1,45,28,2020-04-25
BLR,Belarus,6,9,0,9,0,2020-04-25
BLR,Belarus,7,1,0,1,0,2020-04-25
