ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,-99,1,0,1,0,2020-06-02
AFG,Afghanistan,1,83,12,83,348,2020-06-02
AFG,Afghanistan,2,127,10,127,772,2020-06-02
AFG,Afghanistan,3,35,6,35,296,2020-06-02
AFG,Afghanistan,4,11,1,10,7,2020-06-02
AFG,Afghanistan,5,4,0,4,4,2020-06-02
AFG,Afghanistan,6,2,1,2,100,2020-06-02
AFG,Afghanistan,7,4,4,4,103,2020-06-02
ALA,Aland Islands,1,1,0,1,0,2020-06-02
ALA,Aland Islands,2,2,0,2,0,2020-06-02
ALA,Aland Islands,3,5,0,5,0,2020-06-02
ALA,Aland Islands,4,2,1,2,0,2020-06-02
ALA,Aland Islands,5,2,0,2,0,2020-06-02
ALA,Aland Islands,7,3,1,3,2,2020-06-02
ALB,Albania,-99,1,1,1,1,2020-06-02
ALB,Albania,1,28,2,28,9,2020-06-02
ALB,Albania,2,47,0,47,16,2020-06-02
ALB,Albania,3,40,0,40,8,2020-06-02
ALB,Albania,4,21,0,21,14,2020-06-02
ALB,Albania,5,13,0,13,5,2020-06-02
ALB,Albania,6,6,0,6,0,2020-06-02
ALB,Albania,7,2,1,2,0,2020-06-02
DZA,Algeria,-99,3,0,3,0,2020-06-02
DZA,Algeria,1,171,6,171,162,2020-06-02
DZA,Algeria,2,275,9,275,131,2020-06-02
DZA,Algeria,3,191,2,190,149,2020-06-02
DZA,Algeria,4,110,4,110,65,2020-06-02
DZA,Algeria,5,69,0,69,11,2020-06-02
DZA,Algeria,6,35,0,35,0,2020-06-02
DZA,Algeria,7,5,0,4,100,2020-06-02
ASM,American Samoa,-99,1,0,1,0,2020-06-02
ASM,American Samoa,1,6,1,6,6,2020-06-02
ASM,American Samoa,2,5,1,5,8,2020-06-02
ASM,American Samoa,3,2,0,2,0,2020-06-02
ASM,American Samoa,4,2,0,2,0,2020-06-02
ASM,American Samoa,6,2,0,2,0,2020-06-02
ASM,American Samoa,7,1,1,1,100,2020-06-02
AND,Andorra,1,5,3,5,18,2020-06-02
AND,Andorra,2,3,1,3,12,2020-06-02
AND,Andorra,3,1,0,1,0,2020-06-02
AND,Andorra,4,2,0,2,0,2020-06-02
AND,Andorra,5,4,0,4,3,2020-06-02
