"date","ISO2","ISO3","country","Confirmed","Deaths","Recovered","Active"
2020-01-26,"CA","CAN","Canada",1,NA,NA,NA
2020-01-27,"CA","CAN","Canada",1,NA,NA,NA
2020-01-28,"CA","CAN","Canada",2,NA,NA,NA
2020-01-29,"CA","CAN","Canada",2,NA,NA,NA
2020-01-30,"CA","CAN","Canada",3,NA,NA,NA
2020-01-31,"CA","CAN","Canada",3,NA,NA,NA
2020-02-01,"CA","CAN","Canada",4,0,0,NA
2020-02-02,"CA","CAN","Canada",4,0,0,NA
2020-02-03,"CA","CAN","Canada",4,0,0,NA
2020-02-04,"CA","CAN","Canada",4,0,0,NA
2020-02-05,"CA","CAN","Canada",5,0,0,NA
2020-02-06,"CA","CAN","Canada",5,0,0,NA
2020-02-07,"CA","CAN","Canada",7,0,0,NA
2020-02-08,"CA","CAN","Canada",7,0,0,NA
2020-02-09,"CA","CAN","Canada",7,0,0,NA
2020-02-10,"CA","CAN","Canada",7,0,0,NA
2020-02-11,"CA","CAN","Canada",7,0,0,NA
2020-02-12,"CA","CAN","Canada",7,0,1,NA
2020-02-13,"CA","CAN","Canada",7,0,1,NA
2020-02-14,"CA","CAN","Canada",7,0,1,NA
2020-02-15,"CA","CAN","Canada",7,0,1,NA
2020-02-16,"CA","CAN","Canada",7,0,1,NA
2020-02-17,"CA","CAN","Canada",8,0,1,NA
2020-02-18,"CA","CAN","Canada",8,0,1,NA
2020-02-19,"CA","CAN","Canada",8,0,1,NA
2020-02-20,"CA","CAN","Canada",8,0,1,NA
2020-02-21,"CA","CAN","Canada",9,0,3,NA
2020-02-22,"CA","CAN","Canada",9,0,3,NA
2020-02-23,"CA","CAN","Canada",9,0,3,NA
2020-02-24,"CA","CAN","Canada",10,0,3,NA
2020-02-25,"CA","CAN","Canada",12,0,3,NA
2020-02-26,"CA","CAN","Canada",12,0,3,NA
2020-02-27,"CA","CAN","Canada",14,0,6,NA
2020-02-28,"CA","CAN","Canada",15,0,6,NA
2020-02-29,"CA","CAN","Canada",21,0,6,NA
2020-03-01,"CA","CAN","Canada",26,0,6,NA
2020-03-02,"CA","CAN","Canada",32,0,6,NA
2020-03-03,"CA","CAN","Canada",37,0,6,NA
2020-03-04,"CA","CAN","Canada",42,0,6,NA
2020-03-05,"CA","CAN","Canada",46,0,6,NA
2020-03-06,"CA","CAN","Canada",60,0,6,NA
2020-03-07,"CA","CAN","Canada",64,0,8,NA
2020-03-08,"CA","CAN","Canada",74,0,8,NA
2020-03-09,"CA","CAN","Canada",88,1,8,NA
2020-03-10,"CA","CAN","Canada",92,1,8,NA
2020-03-11,"CA","CAN","Canada",127,1,8,NA
2020-03-12,"CA","CAN","Canada",141,1,8,NA
2020-03-13,"CA","CAN","Canada",213,1,8,NA
2020-03-14,"CA","CAN","Canada",234,1,8,NA
2020-03-15,"CA","CAN","Canada",294,1,8,NA
2020-03-16,"CA","CAN","Canada",450,4,9,NA
2020-03-17,"CA","CAN","Canada",532,6,9,NA
2020-03-18,"CA","CAN","Canada",732,11,9,NA
2020-03-19,"CA","CAN","Canada",921,11,9,NA
2020-03-20,"CA","CAN","Canada",1175,15,9,NA
2020-03-21,"CA","CAN","Canada",1654,19,10,NA
2020-03-22,"CA","CAN","Canada",2046,22,0,2025
2020-03-23,"CA","CAN","Canada",2600,29,0,2572
2020-03-24,"CA","CAN","Canada",3185,33,110,3153
2020-03-25,"CA","CAN","Canada",3683,42,183,3642
2020-03-26,"CA","CAN","Canada",4550,57,184,4494
2020-03-27,"CA","CAN","Canada",5249,66,256,5184
2020-03-28,"CA","CAN","Canada",6085,82,466,6004
2020-03-29,"CA","CAN","Canada",7015,96,466,6920
2020-03-30,"CA","CAN","Canada",8121,125,466,7997
2020-03-31,"CA","CAN","Canada",9246,152,1592,9095
2020-04-01,"CA","CAN","Canada",10527,175,1324,10353
2020-04-02,"CA","CAN","Canada",12219,224,1735,11996
2020-04-03,"CA","CAN","Canada",13559,277,2175,13283
2020-04-04,"CA","CAN","Canada",14906,360,2577,14547
2020-04-05,"CA","CAN","Canada",16475,435,3012,16041
2020-04-06,"CA","CAN","Canada",17521,520,3256,17002
2020-04-07,"CA","CAN","Canada",18858,580,3791,18278
2020-04-08,"CA","CAN","Canada",20154,648,4154,19475
2020-04-09,"CA","CAN","Canada",21533,772,5162,20732
2020-04-10,"CA","CAN","Canada",22777,867,5855,21911
2020-04-11,"CA","CAN","Canada",24084,986,6589,23099
2020-04-12,"CA","CAN","Canada",25303,1094,7123,24209
2020-04-13,"CA","CAN","Canada",26937,1224,7758,25713
2020-04-14,"CA","CAN","Canada",28563,1360,8210,27203
2020-04-15,"CA","CAN","Canada",30223,1514,8966,28709
2020-04-16,"CA","CAN","Canada",32790,1717,9698,31073
2020-04-17,"CA","CAN","Canada",34876,1843,10545,33033
2020-04-18,"CA","CAN","Canada",36358,1986,10964,34372
2020-04-19,"CA","CAN","Canada",38026,2144,11847,35882
2020-04-20,"CA","CAN","Canada",39591,2290,12543,37301
2020-04-21,"CA","CAN","Canada",41334,2483,13188,38851
2020-04-22,"CA","CAN","Canada",43628,2678,14454,40950
2020-04-23,"CA","CAN","Canada",45297,2850,14761,42448
2020-04-24,"CA","CAN","Canada",46144,3014,15149,43131
2020-04-25,"CA","CAN","Canada",47692,3195,16013,44498
2020-04-26,"CA","CAN","Canada",49116,3350,16883,45767
2020-04-27,"CA","CAN","Canada",51621,3559,18268,48063
2020-04-28,"CA","CAN","Canada",53297,3756,19231,49542
2020-04-29,"CA","CAN","Canada",55061,4000,20327,51062
2020-04-30,"CA","CAN","Canada",56716,4179,21424,52538
