"date","ISO2","ISO3","country","Confirmed","Deaths","Recovered","Active"
2020-03-11,"TR","TUR","Turkey",1,0,0,NA
2020-03-12,"TR","TUR","Turkey",1,0,0,NA
2020-03-13,"TR","TUR","Turkey",5,0,0,NA
2020-03-14,"TR","TUR","Turkey",5,0,0,NA
2020-03-15,"TR","TUR","Turkey",6,0,0,NA
2020-03-16,"TR","TUR","Turkey",18,0,0,NA
2020-03-17,"TR","TUR","Turkey",47,1,0,NA
2020-03-18,"TR","TUR","Turkey",98,1,0,NA
2020-03-19,"TR","TUR","Turkey",192,3,0,NA
2020-03-20,"TR","TUR","Turkey",359,4,0,NA
2020-03-21,"TR","TUR","Turkey",670,9,0,NA
2020-03-22,"TR","TUR","Turkey",1236,30,0,1206
2020-03-23,"TR","TUR","Turkey",1529,37,0,1492
2020-03-24,"TR","TUR","Turkey",1872,44,0,1828
2020-03-25,"TR","TUR","Turkey",2433,59,26,2348
2020-03-26,"TR","TUR","Turkey",3629,75,26,3528
2020-03-27,"TR","TUR","Turkey",5698,92,42,5564
2020-03-28,"TR","TUR","Turkey",7402,108,70,7224
2020-03-29,"TR","TUR","Turkey",9217,131,105,8981
2020-03-30,"TR","TUR","Turkey",10827,168,162,10497
2020-03-31,"TR","TUR","Turkey",13531,214,243,13074
2020-04-01,"TR","TUR","Turkey",15679,277,333,15069
2020-04-02,"TR","TUR","Turkey",18135,356,415,17364
2020-04-03,"TR","TUR","Turkey",20921,425,484,20012
2020-04-04,"TR","TUR","Turkey",23934,501,786,22647
2020-04-05,"TR","TUR","Turkey",27069,574,1042,25453
2020-04-06,"TR","TUR","Turkey",30217,649,1326,28242
2020-04-07,"TR","TUR","Turkey",34109,725,1582,31802
2020-04-08,"TR","TUR","Turkey",38226,812,1846,35568
2020-04-09,"TR","TUR","Turkey",42282,908,2142,39232
2020-04-10,"TR","TUR","Turkey",47029,1006,2423,43600
2020-04-11,"TR","TUR","Turkey",52167,1101,2965,48101
2020-04-12,"TR","TUR","Turkey",56956,1198,3446,52312
2020-04-13,"TR","TUR","Turkey",61049,1296,3957,55796
2020-04-14,"TR","TUR","Turkey",65111,1403,4799,58909
2020-04-15,"TR","TUR","Turkey",69392,1518,5674,62200
2020-04-16,"TR","TUR","Turkey",74193,1643,7089,65461
2020-04-17,"TR","TUR","Turkey",78546,1769,8631,68146
2020-04-18,"TR","TUR","Turkey",82329,1890,10453,69986
2020-04-19,"TR","TUR","Turkey",86306,2017,11976,72313
2020-04-20,"TR","TUR","Turkey",90980,2140,13430,75410
2020-04-21,"TR","TUR","Turkey",95591,2259,14918,78414
2020-04-22,"TR","TUR","Turkey",98674,2376,16477,79821
2020-04-23,"TR","TUR","Turkey",101790,2491,18491,80808
2020-04-24,"TR","TUR","Turkey",104912,2600,21737,80575
2020-04-25,"TR","TUR","Turkey",107773,2706,25582,79485
2020-04-26,"TR","TUR","Turkey",110130,2805,29140,78185
