"date","ISO2","ISO3","country","Confirmed","Deaths","Recovered","Active"
2020-02-28,"IS","ISL","Iceland",1,0,0,NA
2020-02-29,"IS","ISL","Iceland",1,0,0,NA
2020-03-01,"IS","ISL","Iceland",3,0,0,NA
2020-03-02,"IS","ISL","Iceland",6,0,0,NA
2020-03-03,"IS","ISL","Iceland",11,0,0,NA
2020-03-04,"IS","ISL","Iceland",26,0,0,NA
2020-03-05,"IS","ISL","Iceland",34,0,0,NA
2020-03-06,"IS","ISL","Iceland",43,0,0,NA
2020-03-07,"IS","ISL","Iceland",50,0,0,NA
2020-03-08,"IS","ISL","Iceland",50,0,0,NA
2020-03-09,"IS","ISL","Iceland",58,0,0,NA
2020-03-10,"IS","ISL","Iceland",69,0,1,NA
2020-03-11,"IS","ISL","Iceland",85,0,1,NA
2020-03-12,"IS","ISL","Iceland",103,0,1,NA
2020-03-13,"IS","ISL","Iceland",134,0,1,NA
2020-03-14,"IS","ISL","Iceland",156,0,1,NA
2020-03-15,"IS","ISL","Iceland",171,5,8,NA
2020-03-16,"IS","ISL","Iceland",180,0,0,NA
2020-03-17,"IS","ISL","Iceland",220,1,0,NA
2020-03-18,"IS","ISL","Iceland",250,1,5,NA
2020-03-19,"IS","ISL","Iceland",330,1,5,NA
2020-03-20,"IS","ISL","Iceland",409,0,5,NA
2020-03-21,"IS","ISL","Iceland",473,1,22,NA
2020-03-22,"IS","ISL","Iceland",568,1,5,562
2020-03-23,"IS","ISL","Iceland",588,1,51,536
2020-03-24,"IS","ISL","Iceland",648,2,51,595
2020-03-25,"IS","ISL","Iceland",737,2,56,679
2020-03-26,"IS","ISL","Iceland",802,2,82,718
2020-03-27,"IS","ISL","Iceland",890,2,97,791
2020-03-28,"IS","ISL","Iceland",963,2,114,847
2020-03-29,"IS","ISL","Iceland",1020,2,135,883
2020-03-30,"IS","ISL","Iceland",1086,2,157,927
2020-03-31,"IS","ISL","Iceland",1135,2,198,935
2020-04-01,"IS","ISL","Iceland",1220,2,225,993
2020-04-02,"IS","ISL","Iceland",1319,4,284,1031
2020-04-03,"IS","ISL","Iceland",1364,4,309,1051
2020-04-04,"IS","ISL","Iceland",1417,4,396,1017
2020-04-05,"IS","ISL","Iceland",1486,4,428,1054
2020-04-06,"IS","ISL","Iceland",1562,6,460,1096
2020-04-07,"IS","ISL","Iceland",1586,6,559,1021
2020-04-08,"IS","ISL","Iceland",1616,6,633,977
2020-04-09,"IS","ISL","Iceland",1648,6,688,954
2020-04-10,"IS","ISL","Iceland",1675,7,751,917
2020-04-11,"IS","ISL","Iceland",1689,8,841,840
2020-04-12,"IS","ISL","Iceland",1701,8,889,804
2020-04-13,"IS","ISL","Iceland",1711,8,933,770
2020-04-14,"IS","ISL","Iceland",1720,8,989,723
2020-04-15,"IS","ISL","Iceland",1727,8,1077,642
2020-04-16,"IS","ISL","Iceland",1739,8,1144,587
2020-04-17,"IS","ISL","Iceland",1754,9,1224,521
2020-04-18,"IS","ISL","Iceland",1760,9,1291,460
2020-04-19,"IS","ISL","Iceland",1771,9,1291,471
2020-04-20,"IS","ISL","Iceland",1773,10,1362,401
2020-04-21,"IS","ISL","Iceland",1778,10,1417,351
2020-04-22,"IS","ISL","Iceland",1785,10,1462,313
2020-04-23,"IS","ISL","Iceland",1789,10,1509,270
2020-04-24,"IS","ISL","Iceland",1789,10,1542,237
2020-04-25,"IS","ISL","Iceland",1790,10,1570,210
2020-04-26,"IS","ISL","Iceland",1792,10,1608,174
2020-04-27,"IS","ISL","Iceland",1792,10,1624,158
2020-04-28,"IS","ISL","Iceland",1795,10,1636,149
2020-04-29,"IS","ISL","Iceland",1797,10,1656,131
2020-04-30,"IS","ISL","Iceland",1797,10,1670,117
2020-05-01,"IS","ISL","Iceland",1798,10,1689,99
2020-05-02,"IS","ISL","Iceland",1798,10,1706,82
2020-05-03,"IS","ISL","Iceland",1799,10,1717,72
2020-05-04,"IS","ISL","Iceland",1799,10,1723,66
2020-05-05,"IS","ISL","Iceland",1799,10,1733,56
2020-05-06,"IS","ISL","Iceland",1799,10,1750,39
2020-05-07,"IS","ISL","Iceland",1801,10,1755,36
2020-05-08,"IS","ISL","Iceland",1801,10,1765,26
2020-05-09,"IS","ISL","Iceland",1801,10,1773,18
2020-05-10,"IS","ISL","Iceland",1801,10,1773,18
2020-05-11,"IS","ISL","Iceland",1801,10,1773,18
2020-05-12,"IS","ISL","Iceland",1801,10,1776,15
2020-05-13,"IS","ISL","Iceland",1802,10,1780,12
2020-05-14,"IS","ISL","Iceland",1802,10,1780,12
2020-05-15,"IS","ISL","Iceland",1802,10,1782,10
2020-05-16,"IS","ISL","Iceland",1802,10,1786,6
2020-05-17,"IS","ISL","Iceland",1802,10,1786,6
2020-05-18,"IS","ISL","Iceland",1802,10,1786,6
2020-05-19,"IS","ISL","Iceland",1802,10,1789,3
2020-05-20,"IS","ISL","Iceland",1803,10,1789,4
2020-05-21,"IS","ISL","Iceland",1803,10,1790,3
2020-05-22,"IS","ISL","Iceland",1803,10,1791,2
2020-05-23,"IS","ISL","Iceland",1804,10,1791,3
2020-05-24,"IS","ISL","Iceland",1804,10,1791,3
2020-05-25,"IS","ISL","Iceland",1804,10,1791,3
2020-05-26,"IS","ISL","Iceland",1804,10,1792,2
2020-05-27,"IS","ISL","Iceland",1805,10,1792,3
2020-05-28,"IS","ISL","Iceland",1805,10,1792,3
2020-05-29,"IS","ISL","Iceland",1805,10,1794,1
2020-05-30,"IS","ISL","Iceland",1806,10,1794,2
2020-05-31,"IS","ISL","Iceland",1806,10,1794,2
2020-06-01,"IS","ISL","Iceland",1806,10,1794,2
2020-06-02,"IS","ISL","Iceland",1806,10,1794,2
2020-06-03,"IS","ISL","Iceland",1806,10,1794,2
2020-06-04,"IS","ISL","Iceland",1806,10,1794,2
