"date","ISO2","ISO3","country","Confirmed","Deaths","Recovered","Active"
2020-05-13,"LS","LSO","Lesotho",1,0,0,1
2020-05-14,"LS","LSO","Lesotho",1,0,0,1
2020-05-15,"LS","LSO","Lesotho",1,0,0,1
2020-05-16,"LS","LSO","Lesotho",1,0,0,1
2020-05-17,"LS","LSO","Lesotho",1,0,0,1
2020-05-18,"LS","LSO","Lesotho",1,0,0,1
2020-05-19,"LS","LSO","Lesotho",1,0,0,1
2020-05-20,"LS","LSO","Lesotho",1,0,0,1
2020-05-21,"LS","LSO","Lesotho",1,0,0,1
2020-05-22,"LS","LSO","Lesotho",2,0,0,2
2020-05-23,"LS","LSO","Lesotho",2,0,0,2
2020-05-24,"LS","LSO","Lesotho",2,0,0,2
2020-05-25,"LS","LSO","Lesotho",2,0,0,2
2020-05-26,"LS","LSO","Lesotho",2,0,0,2
2020-05-27,"LS","LSO","Lesotho",2,0,0,2
2020-05-28,"LS","LSO","Lesotho",2,0,1,1
2020-05-29,"LS","LSO","Lesotho",2,0,1,1
2020-05-30,"LS","LSO","Lesotho",2,0,1,1
2020-05-31,"LS","LSO","Lesotho",2,0,1,1
2020-06-01,"LS","LSO","Lesotho",2,0,1,1
2020-06-02,"LS","LSO","Lesotho",2,0,1,1
2020-06-03,"LS","LSO","Lesotho",4,0,2,2
2020-06-04,"LS","LSO","Lesotho",4,0,2,2
2020-06-05,"LS","LSO","Lesotho",4,0,2,2
2020-06-06,"LS","LSO","Lesotho",4,0,2,2
2020-06-07,"LS","LSO","Lesotho",4,0,2,2
2020-06-08,"LS","LSO","Lesotho",4,0,2,2
2020-06-09,"LS","LSO","Lesotho",4,0,2,2
2020-06-10,"LS","LSO","Lesotho",4,0,2,2
2020-06-11,"LS","LSO","Lesotho",4,0,2,2
2020-06-12,"LS","LSO","Lesotho",4,0,2,2
2020-06-13,"LS","LSO","Lesotho",4,0,2,2
2020-06-14,"LS","LSO","Lesotho",4,0,2,2
2020-06-15,"LS","LSO","Lesotho",4,0,2,2
2020-06-16,"LS","LSO","Lesotho",4,0,2,2
2020-06-17,"LS","LSO","Lesotho",4,0,2,2
2020-06-18,"LS","LSO","Lesotho",4,0,2,2
2020-06-19,"LS","LSO","Lesotho",4,0,2,2
2020-06-20,"LS","LSO","Lesotho",4,0,2,2
2020-06-21,"LS","LSO","Lesotho",4,0,2,2
2020-06-22,"LS","LSO","Lesotho",12,0,2,10
2020-06-23,"LS","LSO","Lesotho",17,0,2,15
2020-06-24,"LS","LSO","Lesotho",17,0,2,15
2020-06-25,"LS","LSO","Lesotho",17,0,2,15
2020-06-26,"LS","LSO","Lesotho",24,0,4,20
2020-06-27,"LS","LSO","Lesotho",24,0,4,20
2020-06-28,"LS","LSO","Lesotho",27,0,4,23
2020-06-29,"LS","LSO","Lesotho",27,0,4,23
2020-06-30,"LS","LSO","Lesotho",27,0,4,23
2020-07-01,"LS","LSO","Lesotho",35,0,11,24
2020-07-02,"LS","LSO","Lesotho",35,0,11,24
2020-07-03,"LS","LSO","Lesotho",35,0,11,24
2020-07-04,"LS","LSO","Lesotho",35,0,11,24
2020-07-05,"LS","LSO","Lesotho",79,0,11,68
2020-07-06,"LS","LSO","Lesotho",91,0,11,80
2020-07-07,"LS","LSO","Lesotho",91,0,11,80
2020-07-08,"LS","LSO","Lesotho",91,0,11,80
2020-07-09,"LS","LSO","Lesotho",134,1,20,113
2020-07-10,"LS","LSO","Lesotho",184,1,26,157
2020-07-11,"LS","LSO","Lesotho",184,1,26,157
2020-07-12,"LS","LSO","Lesotho",233,2,32,199
2020-07-13,"LS","LSO","Lesotho",245,3,33,209
2020-07-14,"LS","LSO","Lesotho",256,3,48,205
2020-07-15,"LS","LSO","Lesotho",256,3,48,205
2020-07-16,"LS","LSO","Lesotho",256,3,48,205
2020-07-17,"LS","LSO","Lesotho",311,6,69,236
2020-07-18,"LS","LSO","Lesotho",359,6,69,284
2020-07-19,"LS","LSO","Lesotho",359,6,69,284
2020-07-20,"LS","LSO","Lesotho",359,6,69,284
2020-07-21,"LS","LSO","Lesotho",359,6,69,284
2020-07-22,"LS","LSO","Lesotho",359,6,69,284
2020-07-23,"LS","LSO","Lesotho",359,6,69,284
2020-07-24,"LS","LSO","Lesotho",359,6,69,284
2020-07-25,"LS","LSO","Lesotho",419,9,69,341
2020-07-26,"LS","LSO","Lesotho",505,12,128,365
2020-07-27,"LS","LSO","Lesotho",505,12,128,365
2020-07-28,"LS","LSO","Lesotho",505,12,128,365
2020-07-29,"LS","LSO","Lesotho",576,13,141,422
2020-07-30,"LS","LSO","Lesotho",604,13,144,447
2020-07-31,"LS","LSO","Lesotho",604,13,144,447
2020-08-01,"LS","LSO","Lesotho",702,14,171,517
2020-08-02,"LS","LSO","Lesotho",718,19,173,526
2020-08-03,"LS","LSO","Lesotho",718,19,173,526
2020-08-04,"LS","LSO","Lesotho",726,21,174,531
2020-08-05,"LS","LSO","Lesotho",726,21,174,531
2020-08-06,"LS","LSO","Lesotho",742,23,175,544
2020-08-07,"LS","LSO","Lesotho",742,23,175,544
2020-08-08,"LS","LSO","Lesotho",742,23,175,544
2020-08-09,"LS","LSO","Lesotho",742,23,175,544
2020-08-10,"LS","LSO","Lesotho",781,24,175,582
2020-08-11,"LS","LSO","Lesotho",781,24,175,582
2020-08-12,"LS","LSO","Lesotho",798,24,175,599
2020-08-13,"LS","LSO","Lesotho",884,25,271,588
2020-08-14,"LS","LSO","Lesotho",884,25,271,588
2020-08-15,"LS","LSO","Lesotho",903,25,271,607
2020-08-16,"LS","LSO","Lesotho",903,25,271,607
2020-08-17,"LS","LSO","Lesotho",946,30,271,645
2020-08-18,"LS","LSO","Lesotho",946,30,271,645
2020-08-19,"LS","LSO","Lesotho",946,30,271,645
2020-08-20,"LS","LSO","Lesotho",996,30,423,543
2020-08-21,"LS","LSO","Lesotho",1015,30,472,513
2020-08-22,"LS","LSO","Lesotho",1015,30,472,513
2020-08-23,"LS","LSO","Lesotho",1015,30,472,513
2020-08-24,"LS","LSO","Lesotho",1015,30,472,513
2020-08-25,"LS","LSO","Lesotho",1049,30,472,547
2020-08-26,"LS","LSO","Lesotho",1051,31,526,494
2020-08-27,"LS","LSO","Lesotho",1051,31,526,494
2020-08-28,"LS","LSO","Lesotho",1051,31,526,494
2020-08-29,"LS","LSO","Lesotho",1051,31,526,494
2020-08-30,"LS","LSO","Lesotho",1085,31,528,526
2020-08-31,"LS","LSO","Lesotho",1085,31,528,526
2020-09-01,"LS","LSO","Lesotho",1085,31,528,526
2020-09-02,"LS","LSO","Lesotho",1085,31,528,526
2020-09-03,"LS","LSO","Lesotho",1085,31,528,526
2020-09-04,"LS","LSO","Lesotho",1148,31,528,589
2020-09-05,"LS","LSO","Lesotho",1148,31,528,589
2020-09-06,"LS","LSO","Lesotho",1148,31,528,589
2020-09-07,"LS","LSO","Lesotho",1148,31,528,589
2020-09-08,"LS","LSO","Lesotho",1148,31,528,589
2020-09-09,"LS","LSO","Lesotho",1164,31,528,605
2020-09-10,"LS","LSO","Lesotho",1164,31,528,605
2020-09-11,"LS","LSO","Lesotho",1245,33,528,684
2020-09-12,"LS","LSO","Lesotho",1245,33,528,684
2020-09-13,"LS","LSO","Lesotho",1245,33,528,684
2020-09-14,"LS","LSO","Lesotho",1245,33,528,684
2020-09-15,"LS","LSO","Lesotho",1327,33,687,607
2020-09-16,"LS","LSO","Lesotho",1327,33,687,607
2020-09-17,"LS","LSO","Lesotho",1327,33,687,607
2020-09-18,"LS","LSO","Lesotho",1390,33,754,603
2020-09-19,"LS","LSO","Lesotho",1390,33,754,603
2020-09-20,"LS","LSO","Lesotho",1424,33,754,637
2020-09-21,"LS","LSO","Lesotho",1424,33,754,637
2020-09-22,"LS","LSO","Lesotho",1424,33,754,637
2020-09-23,"LS","LSO","Lesotho",1507,35,766,706
2020-09-24,"LS","LSO","Lesotho",1554,35,782,737
2020-09-25,"LS","LSO","Lesotho",1558,35,797,726
2020-09-26,"LS","LSO","Lesotho",1558,35,797,726
2020-09-27,"LS","LSO","Lesotho",1558,35,797,726
2020-09-28,"LS","LSO","Lesotho",1565,35,822,708
2020-09-29,"LS","LSO","Lesotho",1576,35,873,668
2020-09-30,"LS","LSO","Lesotho",1595,36,873,686
2020-10-01,"LS","LSO","Lesotho",1639,38,874,727
2020-10-02,"LS","LSO","Lesotho",1680,39,926,715
2020-10-03,"LS","LSO","Lesotho",1680,39,926,715
2020-10-04,"LS","LSO","Lesotho",1683,39,926,718
