ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.0,C0_1.1,C0_1.2,C0_1.NA,C0_2.0,C0_2.1,C0_2.2,C0_2.NA,C0_3.0,C0_3.1,C0_3.2,C0_3.NA,C0_4.0,C0_4.1,C0_4.2,C0_4.NA,C0_5.0,C0_5.1,C0_5.2,C0_5.NA,C0_6.0,C0_6.1,C0_6.2,C0_6.NA,C0a_7.0,C0a_7.1,C0a_7.NA,I6_1.1,I6_1.2,I6_1.3,I6_1.NA,I6_2.1,I6_2.2,I6_2.3,I6_2.NA,I6_3.1,I6_3.2,I6_3.3,I6_3.NA,I6_4.1,I6_4.2,I6_4.3,I6_4.NA,I6_5.1,I6_5.2,I6_5.3,I6_5.NA,I6_6.1,I6_6.2,I6_6.3,I6_6.NA,I6_7.1,I6_7.2,I6_7.3,I6_7.NA,I6_8.1,I6_8.2,I6_8.3,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,first_date,day_count,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
JP,JPN,Japan,2021-04-01,100880580.743374,4732,28984.8,238,8276,69764.15,10662,5,4,12,12,6026,2214,0,0,106,5554,65,35,31,734070.413140408,0,25,0,0,24,502358.432843135,243,5741,74037.3910549295,161,4,0,0,0,3,0,3,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,3587,704,0,4057,1271,698,0,2615,2695,716,0,2353,2968,705,0,309,5006,711,0,1699,3622,705,0,0,6026,0,0,0,6026,0,0,0,6026,0,0,0,6026,0,0,0,6026,0,0,0,6026,0,0,0,6026,0,0,0,6026,0,0,0,6026,73,91,578,879,3511,894,60,226,550,167,39,221,821,444,249,346,54,188,344,438,2,1877,57,117,577,971,3406,898,80,462,1853,2683,948,396,1120,1785,1779,946,2021-04-01,6026,1,,,0.000829737802854298,0.000726982096888416,0.000663790242283439,0.000650286549641828,0.00199137072685032,0.00112558095178534,0.00199137072685032,0.00112558095178534,0.00514437437769665,0.00180625823720602,0.00727662755042795,1.65853064639069e-05,0.00398274145370063,0.00159022294830136,0.00497973375194045,1.37360963669941e-05,0.00328212537661834,0.000411989591916585
JP,JPN,Japan,2021-04-02,99283144.3979702,5043,30659.01,340,8937.1,74926.5,11389,11,13,17,17,6300,2408,0,0,135,5801,84,44,27,443157.668833282,0,26,0,0,19,271510.009428759,351,5998,77351.7281915114,180,8,0,0,0,8,0,8,0,0,7,0,11,0,0,10,3,6,1,4,5,4,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,7,7,6,3,2,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,3681,674,0,4111,1524,665,0,2578,3027,695,0,2481,3134,685,0,348,5239,713,0,1765,3850,685,0,0,6300,0,0,0,6300,0,0,0,6300,0,0,0,6300,0,0,0,6300,0,0,0,6300,0,0,0,6300,0,0,0,6300,0,0,0,6300,91,115,578,969,3680,867,79,212,611,221,68,196,809,442,244,365,53,227,384,535,4,1850,80,118,595,1079,3562,866,94,522,2062,2689,933,402,1124,1970,1871,933,2021-04-02,6300,1,,,0.00174603174603175,0.00103091867471891,0.00206349206349206,0.0011205485376546,0.0026984126984127,0.00128098857809976,0.0026984126984127,0.00128098857809976,0.00428571428571429,0.00161308329127503,0.0044635740690979,1.31123423568442e-05,0.00301587301587302,0.00135403055277514,0.00273470397291637,1.02723744811474e-05,0.0045377137422318,0.000473635268182211
JP,JPN,Japan,2021-04-03,99820910.0583855,5809,33216.2,206,10387,84374,13137,16,12,22,17,7170,2638,0,0,147,6624,86,56,26,467332.143589656,1,19,0,1,19,363233.592702682,213,6854,88390.9211444847,192,8,0,0,0,8,0,8,0,0,5,0,14,0,0,13,3,3,0,4,3,3,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,9,7,7,6,5,2,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,4593,712,0,5005,1489,676,0,3272,3178,720,0,2744,3715,711,0,463,5975,732,0,1827,4628,715,0,0,7170,0,0,0,7170,0,0,0,7170,0,0,0,7170,0,0,0,7170,0,0,0,7170,0,0,0,7170,0,0,0,7170,0,0,0,7170,107,134,718,1068,4219,924,84,219,633,267,67,253,985,492,296,459,74,234,448,654,4,2001,88,138,724,1212,4074,934,130,603,2405,3050,982,471,1332,2254,2135,978,2021-04-03,7170,1,,,0.00223152022315202,0.00109220413586781,0.00167364016736402,0.000946140923739776,0.00306834030683403,0.00128018569451527,0.00237099023709902,0.00112573956695007,0.00362622036262204,0.0013913191233465,0.0046817059002599,1.33912274302748e-05,0.00264993026499303,0.00118995228423498,0.00363885274628559,1.1812123015555e-05,0.00240974974852709,0.000323226032129246
JP,JPN,Japan,2021-04-04,102614602.161287,5587,32379,250,10259.1,81889.06,12747,14,11,16,17,6941,2569,0,0,131,6386,77,47,26,378603.237265972,0,20,0,0,14,196945.034997045,253,6609,85231.3390492996,165,3,0,0,0,6,0,6,0,0,3,0,12,0,0,11,2,3,1,1,3,2,1,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,6,7,4,3,4,2,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,4712,757,0,4549,1676,716,0,3130,3056,755,0,2418,3780,743,0,502,5680,759,0,1635,4555,751,0,0,6941,0,0,0,6941,0,0,0,6941,0,0,0,6941,0,0,0,6941,0,0,0,6941,0,0,0,6941,0,0,0,6941,0,0,0,6941,101,110,727,1112,3950,941,84,214,674,227,50,259,928,499,272,380,74,214,437,619,6,2004,83,127,712,1190,3886,943,99,659,2323,2855,1005,460,1271,2169,2047,994,2021-04-04,6941,1,,,0.00201700043221438,0.00105548395580883,0.00158478605388273,0.00093578910440635,0.00230514335110215,0.00112819690663284,0.00244921481054603,0.00116283478485119,0.00374585794554099,0.0014371357422335,0.00368956492830223,1.17308214970266e-05,0.00201700043221438,0.00105548395580883,0.00191926909863657,8.46826186322717e-06,0.00296839170687744,0.000365227527616539
JP,JPN,Japan,2021-04-05,99218753.6993482,4812,28560.8,216,8770.1,70632.2,10961,13,16,18,16,5932,2179,0,0,134,5465,74,57,30,564952.374939475,1,26,0,1,20,388897.881313982,223,5678,73224.9270875962,143,12,0,0,0,6,0,5,0,0,4,0,11,0,0,11,1,2,0,0,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,6,6,7,6,3,0,9,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,3610,586,0,3893,1478,561,0,2468,2879,585,0,2289,3062,581,0,355,4985,592,0,1595,3755,582,0,0,5932,0,0,0,5932,0,0,0,5932,0,0,0,5932,0,0,0,5932,0,0,0,5932,0,0,0,5932,0,0,0,5932,0,0,0,5932,84,96,607,907,3472,766,54,224,558,171,66,184,845,460,273,351,60,174,395,450,3,1664,69,113,581,1028,3372,769,99,518,1945,2538,832,416,1095,1857,1738,826,2021-04-05,5932,1,,,0.00219150370869858,0.00118998701822637,0.00269723533378287,0.00131983746305784,0.00303438975050573,0.00139966238097043,0.00269723533378287,0.00131983746305784,0.00505731625084289,0.00180512220034764,0.00569400797606659,1.48054042911356e-05,0.00337154416722859,0.0014751242005733,0.00391960054741685,1.22947388731982e-05,0.00304541102148499,0.000399097734975482
JP,JPN,Japan,2021-04-06,99962350.284646,4899,27659.75,419,8628,71948.5,11105,12,11,10,13,6190,2217,0,0,133,5666,64,62,25,577626.456539321,3,20,0,3,18,456192.598550223,427,5896,76036.3103396384,157,5,0,0,0,9,1,8,0,1,7,2,10,0,2,10,1,2,1,4,5,3,3,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,6,5,5,5,1,2,2,6,2,0,1,1,1,1,1,1,0,1,1,1,0,0,1827,3712,651,0,3946,1597,647,0,2401,3113,676,0,2335,3199,656,0,307,5202,681,0,1624,3898,668,0,0,6190,0,0,0,6190,0,0,0,6190,0,0,0,6190,0,0,0,6190,0,0,0,6190,0,0,0,6190,0,0,0,6190,0,0,0,6190,79,93,595,963,3589,871,62,202,540,200,52,219,903,418,280,331,70,190,343,501,3,1876,70,98,581,1051,3517,873,116,548,2055,2546,925,425,1118,1937,1788,922,2021-04-06,6190,1,,,0.00193861066235864,0.00109578838437796,0.00177705977382876,0.00104922240928604,0.00161550888529887,0.00100047526292765,0.00210016155088853,0.00114044040146738,0.00403877221324717,0.00157996935066341,0.00577844013165467,1.48585612581279e-05,0.00290791599353797,0.00134140934866396,0.00456364418454748,1.32127281327553e-05,0.00561573803479784,0.000531151136451521
JP,JPN,Japan,2021-04-07,99411061.9388282,5031,27869,201,8893,74384.62,11285,17,15,17,16,6323,2217,0,0,134,5812,57,66,24,448714.807371684,1,19,0,1,15,308629.990095581,205,6012,77532.2757398077,178,11,0,0,0,7,0,6,0,0,4,0,15,0,0,14,2,1,0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,2,9,8,6,8,3,1,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,3684,669,0,4163,1515,645,0,2457,3183,683,0,2422,3230,671,0,394,5245,684,0,1684,3976,663,0,0,6323,0,0,0,6323,0,0,0,6323,0,0,0,6323,0,0,0,6323,0,0,0,6323,0,0,0,6323,0,0,0,6323,0,0,0,6323,88,125,666,985,3580,879,91,219,563,214,64,224,830,483,250,321,68,201,374,551,2,1868,66,137,641,1113,3481,885,99,581,2085,2617,941,456,1220,1953,1759,935,2021-04-07,6323,1,,,0.0026885971848806,0.00127633524526514,0.00237229163371817,0.00119909830797813,0.0026885971848806,0.00127633524526514,0.00253044440929938,0.00123832524045921,0.00379566661394908,0.00151567030964154,0.00451373115446445,1.31769899763697e-05,0.00237229163371817,0.00119909830797813,0.00310458397764118,1.09359682298236e-05,0.00264406014197189,0.000361466104835932
JP,JPN,Japan,2021-04-08,100501453.891001,4778,27374.35,277,8582,70671.87,10664,16,15,16,14,5968,2136,0,0,145,5477,51,88,25,446316.95510921,1,24,0,1,14,301103.10329981,281,5684,73302.3046082946,156,4,0,0,0,12,0,11,0,0,10,1,13,0,1,14,1,6,1,4,3,3,1,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,8,6,7,3,8,3,5,7,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1803,3572,593,0,3825,1558,585,0,2289,3053,626,0,2304,3055,609,0,344,5000,624,0,1567,3791,610,0,0,5968,0,0,0,5968,0,0,0,5968,0,0,0,5968,0,0,0,5968,0,0,0,5968,0,0,0,5968,0,0,0,5968,0,0,0,5968,81,91,600,970,3409,817,83,231,551,186,69,217,811,413,242,314,56,199,360,450,3,1783,57,120,597,1105,3272,817,115,573,1997,2423,860,414,1150,1868,1681,855,2021-04-08,5968,1,,,0.00268096514745308,0.00131188667807366,0.00251340482573727,0.00127033551564066,0.00268096514745308,0.00131188667807366,0.00234584450402145,0.00122736377826459,0.00418900804289544,0.0016386180662996,0.00444090048282549,1.29996291316724e-05,0.00234584450402145,0.00122736377826459,0.00299600743712993,1.06851792247449e-05,0.00383344018310992,0.000447352224679111
JP,JPN,Japan,2021-04-09,99668376.2562567,5009,27841.14,237,9019,74194.5,11339,15,12,14,18,6172,2156,0,0,170,5616,75,91,21,257955.822272844,2,17,0,2,19,233941.41368875,243,5899,76074.9990999876,176,14,0,0,0,11,0,10,0,0,9,0,15,0,0,14,5,5,1,6,4,6,2,4,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,9,6,9,5,7,3,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,3514,609,0,4048,1527,597,0,2436,3085,651,0,2439,3118,615,0,343,5189,640,0,1645,3898,629,0,0,6172,0,0,0,6172,0,0,0,6172,0,0,0,6172,0,0,0,6172,0,0,0,6172,0,0,0,6172,0,0,0,6172,0,0,0,6172,95,123,627,956,3582,789,73,222,568,195,47,202,821,449,228,335,72,205,408,565,4,1778,77,136,614,1056,3500,789,117,542,2018,2663,832,473,1118,1884,1866,831,2021-04-09,6172,1,,,0.00243033052495139,0.00122839890674742,0.00194426441996111,0.00109898102519554,0.00226830848995463,0.00118684245996771,0.00291639662994167,0.00134531570912781,0.00340246273493195,0.00145275281556197,0.00258814111318133,9.97471829217423e-06,0.00307841866493843,0.0013820681953731,0.00234719800277737,9.5002268642242e-06,0.0031942162717691,0.000400972461427435
JP,JPN,Japan,2021-04-10,99370243.9538982,5413,28535.5,200,9569.2,79170.66,12301,12,12,14,13,6649,2370,0,0,169,6108,73,89,26,485823.242912404,3,18,1,2,19,317973.474616195,206,6353,81929.8981661674,174,7,0,0,0,10,0,10,0,0,7,0,12,0,0,9,3,4,1,4,4,3,5,2,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,6,5,6,2,2,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,4241,653,0,4531,1491,627,0,2933,3054,662,0,2507,3487,655,0,423,5550,676,0,1665,4332,652,0,0,6649,0,0,0,6649,0,0,0,6649,0,0,0,6649,0,0,0,6649,0,0,0,6649,0,0,0,6649,0,0,0,6649,0,0,0,6649,85,120,704,1081,3825,834,82,195,593,249,49,213,924,486,284,395,73,250,435,619,4,1798,77,140,654,1165,3780,833,124,555,2206,2858,906,430,1224,2034,2067,894,2021-04-10,6649,1,,,0.00180478267408633,0.00102021128569607,0.00180478267408633,0.00102021128569607,0.00210557978643405,0.00110178808889208,0.00195518123026019,0.00106178957363802,0.00391036246052038,0.00150012567130781,0.0048890213365864,1.37140787239435e-05,0.00285757256730335,0.00128306056256666,0.00319988622312043,1.11043008779338e-05,0.00251434463621812,0.000342919842508814
