"country","ISO2","ISO3","population","date","confirmed","deaths","active","recovered"
"Senegal","SN","SEN",16296362,2020-01-22,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-23,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-24,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-25,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-26,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-27,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-28,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-29,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-30,0,0,0,0
"Senegal","SN","SEN",16296362,2020-01-31,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-01,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-02,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-03,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-04,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-05,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-06,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-07,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-08,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-09,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-10,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-11,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-12,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-13,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-14,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-15,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-16,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-17,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-18,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-19,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-20,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-21,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-22,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-23,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-24,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-25,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-26,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-27,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-28,0,0,0,0
"Senegal","SN","SEN",16296362,2020-02-29,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-01,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-02,1,0,0,0
"Senegal","SN","SEN",16296362,2020-03-03,2,0,0,0
"Senegal","SN","SEN",16296362,2020-03-04,16,0,0,0
"Senegal","SN","SEN",16296362,2020-03-05,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-06,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-07,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-08,20,0,0,5
"Senegal","SN","SEN",16296362,2020-03-09,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-10,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-11,10,0,0,1
"Senegal","SN","SEN",16296362,2020-03-12,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-13,34,0,0,2
"Senegal","SN","SEN",16296362,2020-03-14,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-15,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-16,24,0,0,2
"Senegal","SN","SEN",16296362,2020-03-17,26,0,0,2
"Senegal","SN","SEN",16296362,2020-03-18,62,0,0,4
"Senegal","SN","SEN",16296362,2020-03-19,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-20,38,0,0,2
"Senegal","SN","SEN",16296362,2020-03-21,47,0,0,5
"Senegal","SN","SEN",16296362,2020-03-22,67,0,62,5
"Senegal","SN","SEN",16296362,2020-03-23,79,0,71,8
"Senegal","SN","SEN",16296362,2020-03-24,86,0,78,8
"Senegal","SN","SEN",16296362,2020-03-25,99,0,90,9
"Senegal","SN","SEN",16296362,2020-03-26,105,0,96,9
"Senegal","SN","SEN",16296362,2020-03-27,119,0,108,11
"Senegal","SN","SEN",16296362,2020-03-28,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-29,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-30,0,0,0,0
"Senegal","SN","SEN",16296362,2020-03-31,175,0,135,40
"Senegal","SN","SEN",16296362,2020-04-01,190,1,144,45
"Senegal","SN","SEN",16296362,2020-04-02,0,0,0,0
"Senegal","SN","SEN",16296362,2020-04-03,207,1,140,66
"Senegal","SN","SEN",16296362,2020-04-04,0,0,0,0
"Senegal","SN","SEN",16296362,2020-04-05,222,2,138,82
"Senegal","SN","SEN",16296362,2020-04-06,0,0,0,0
"Senegal","SN","SEN",16296362,2020-04-07,237,2,130,105
"Senegal","SN","SEN",16296362,2020-04-08,244,2,129,113
"Senegal","SN","SEN",16296362,2020-04-09,250,2,125,123
"Senegal","SN","SEN",16296362,2020-04-10,265,2,126,137
"Senegal","SN","SEN",16296362,2020-04-11,278,2,124,152
"Senegal","SN","SEN",16296362,2020-04-12,280,2,107,171
"Senegal","SN","SEN",16296362,2020-04-13,291,2,111,178
"Senegal","SN","SEN",16296362,2020-04-14,299,2,114,183
"Senegal","SN","SEN",16296362,2020-04-15,314,2,122,190
"Senegal","SN","SEN",16296362,2020-04-16,335,2,139,194
"Senegal","SN","SEN",16296362,2020-04-17,342,2,142,198
"Senegal","SN","SEN",16296362,2020-04-18,350,3,136,211
"Senegal","SN","SEN",16296362,2020-04-19,367,3,144,220
"Senegal","SN","SEN",16296362,2020-04-20,377,5,137,235
"Senegal","SN","SEN",16296362,2020-04-21,412,5,165,242
"Senegal","SN","SEN",16296362,2020-04-22,442,6,183,253
"Senegal","SN","SEN",16296362,2020-04-23,0,0,0,0
"Senegal","SN","SEN",16296362,2020-04-24,479,6,216,257
"Senegal","SN","SEN",16296362,2020-04-25,545,7,276,262
"Senegal","SN","SEN",16296362,2020-04-26,614,7,331,276
"Senegal","SN","SEN",16296362,2020-04-27,671,9,379,283
