"date","location","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_cases_active_smooth"
2021-05-21,"Cook Islands","COK","CK",1,NA,1,NA,15342,1,1,10,6.5180550123843e-05,6.5180550123843e-05,0.00065180550123843,4.51533358965954e-05
2021-05-22,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,4.20686004967962e-05
2021-05-23,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,3.90700823018962e-05
2021-05-24,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,3.61637296186048e-05
2021-05-25,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,3.33554047729425e-05
2021-05-26,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,3.06508033316839e-05
2021-05-27,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,2.80553647330695e-05
2021-05-28,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,2.55741756240527e-05
2021-05-29,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,2.32118678332867e-05
2021-05-30,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,2.09725135769746e-05
2021-05-31,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,1.88595211552283e-05
2021-06-01,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,1.68755349936267e-05
2021-06-02,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,1.50223443522842e-05
2021-06-03,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,1.33008052923974e-05
2021-06-04,"Cook Islands","COK","CK",0,NA,1,NA,15342,0,1,0,6.5180550123843e-05,0,0,1.17107804904962e-05
