"date","location","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_cases_active_smooth"
2020-03-15,"Uzbekistan","UZB","UZ",1,NA,1,NA,32981715,1,1,10,3.03198302453344e-08,3.03198302453344e-08,3.03198302453344e-07,4.16283679353918e-06
2020-03-16,"Uzbekistan","UZB","UZ",5,NA,6,NA,32981715,5,6,50,1.81918981472007e-07,1.51599151226672e-07,1.51599151226672e-06,4.42666851855979e-06
2020-03-17,"Uzbekistan","UZB","UZ",4,NA,10,NA,32981715,4,10,40,3.03198302453344e-07,1.21279320981338e-07,1.21279320981338e-06,4.71413808165185e-06
2020-03-18,"Uzbekistan","UZB","UZ",5,NA,15,NA,32981715,5,15,50,4.54797453680016e-07,1.51599151226672e-07,1.51599151226672e-06,5.02697069122619e-06
2020-03-19,"Uzbekistan","UZB","UZ",8,NA,23,NA,32981715,8,23,80,6.97356095642692e-07,2.42558641962675e-07,2.42558641962675e-06,5.36643066689955e-06
2020-03-20,"Uzbekistan","UZB","UZ",10,NA,33,NA,32981715,10,33,100,1.00055439809604e-06,3.03198302453344e-07,3.03198302453344e-06,5.73385521855171e-06
2020-03-21,"Uzbekistan","UZB","UZ",10,NA,43,NA,32981715,10,43,100,1.30375270054938e-06,3.03198302453344e-07,3.03198302453344e-06,6.13036430490639e-06
2020-03-22,"Uzbekistan","UZB","UZ",0,NA,43,NA,32981715,0,43,0,1.30375270054938e-06,0,0,6.55658276527547e-06
2020-03-23,"Uzbekistan","UZB","UZ",3,NA,46,NA,32981715,3,46,30,1.39471219128538e-06,9.09594907360033e-08,9.09594907360033e-07,7.01308761852027e-06
2020-03-24,"Uzbekistan","UZB","UZ",4,NA,50,NA,32981715,4,50,40,1.51599151226672e-06,1.21279320981338e-07,1.21279320981338e-06,7.50006882605915e-06
2020-03-25,"Uzbekistan","UZB","UZ",10,NA,60,NA,32981715,10,60,100,1.81918981472007e-06,3.03198302453344e-07,3.03198302453344e-06,8.01669806878216e-06
2020-03-26,"Uzbekistan","UZB","UZ",15,NA,75,NA,32981715,15,75,150,2.27398726840008e-06,4.54797453680016e-07,4.54797453680016e-06,8.56203619904445e-06
2020-03-27,"Uzbekistan","UZB","UZ",13,1,88,1,32981715,13,88,130,2.66814506158943e-06,3.94157793189348e-07,3.94157793189348e-06,9.13458800458372e-06
2020-03-28,"Uzbekistan","UZB","UZ",16,1,104,2,32981715,16,104,160,3.15326234551478e-06,4.85117283925351e-07,4.85117283925351e-06,9.73175609406683e-06
2020-03-29,"Uzbekistan","UZB","UZ",40,0,144,2,32981715,40,144,400,4.36605555532816e-06,1.21279320981338e-06,1.21279320981338e-05,1.03501863571645e-05
2020-03-30,"Uzbekistan","UZB","UZ",5,0,149,2,32981715,5,149,50,4.51765470655483e-06,1.51599151226672e-07,1.51599151226672e-06,1.09862885618338e-05
2020-03-31,"Uzbekistan","UZB","UZ",23,0,172,2,32981715,23,172,230,5.21501080219752e-06,6.97356095642692e-07,6.97356095642692e-06,1.1634824382706e-05
2020-04-01,"Uzbekistan","UZB","UZ",9,0,181,2,32981715,9,181,90,5.48788927440553e-06,2.7287847220801e-07,2.7287847220801e-06,1.22904940007463e-05
2020-04-02,"Uzbekistan","UZB","UZ",24,0,205,2,32981715,24,205,240,6.21556520029356e-06,7.27675925888026e-07,7.27675925888026e-06,1.294709324653e-05
2020-04-03,"Uzbekistan","UZB","UZ",22,0,227,2,32981715,22,227,220,6.88260146569091e-06,6.67036265397357e-07,6.67036265397357e-06,1.35976034138432e-05
2020-04-04,"Uzbekistan","UZB","UZ",39,0,266,2,32981715,39,266,390,8.06507484525896e-06,1.18247337956804e-06,1.18247337956804e-05,1.42349536641477e-05
2020-04-05,"Uzbekistan","UZB","UZ",76,0,342,2,32981715,76,342,760,1.03693819439044e-05,2.30430709864542e-06,2.30430709864542e-05,1.48516105127688e-05
2020-04-06,"Uzbekistan","UZB","UZ",115,0,457,2,32981715,115,457,1150,1.38561624221178e-05,3.48678047821346e-06,3.48678047821346e-05,1.54399205521703e-05
2020-04-07,"Uzbekistan","UZB","UZ",63,0,520,2,32981715,63,520,630,1.57663117275739e-05,1.91014930545607e-06,1.91014930545607e-05,1.599203465852e-05
2020-04-08,"Uzbekistan","UZB","UZ",25,1,545,3,32981715,25,545,250,1.65243074837073e-05,7.57995756133361e-07,7.57995756133361e-06,1.65011056590517e-05
2020-04-09,"Uzbekistan","UZB","UZ",37,0,582,3,32981715,37,582,370,1.76461412027846e-05,1.12183371907737e-06,1.12183371907737e-05,1.6960509567859e-05
2020-04-10,"Uzbekistan","UZB","UZ",42,0,624,3,32981715,42,624,420,1.89195740730887e-05,1.27343287030405e-06,1.27343287030405e-05,1.73642216608695e-05
2020-04-11,"Uzbekistan","UZB","UZ",143,1,767,4,32981715,143,767,1430,2.32553097981715e-05,4.33573572508282e-06,4.33573572508282e-05,1.7707456468879e-05
2020-04-12,"Uzbekistan","UZB","UZ",98,0,865,4,32981715,98,865,980,2.62266531622143e-05,2.97134336404277e-06,2.97134336404277e-05,1.79869851689561e-05
2020-04-13,"Uzbekistan","UZB","UZ",133,0,998,4,32981715,133,998,1330,3.02591905848438e-05,4.03253742262948e-06,4.03253742262948e-05,1.82001919787039e-05
2020-04-14,"Uzbekistan","UZB","UZ",167,0,1165,4,32981715,167,1165,1670,3.53226022358146e-05,5.06341165097085e-06,5.06341165097085e-05,1.83462312343376e-05
2020-04-15,"Uzbekistan","UZB","UZ",137,0,1302,4,32981715,137,1302,1370,3.94764189794254e-05,4.15381674361082e-06,4.15381674361082e-05,1.8425436986151e-05
2020-04-16,"Uzbekistan","UZB","UZ",47,0,1349,4,32981715,47,1349,470,4.09014510009561e-05,1.42503202153072e-06,1.42503202153072e-05,1.84401425197146e-05
2020-04-17,"Uzbekistan","UZB","UZ",56,0,1405,4,32981715,56,1405,560,4.25993614946949e-05,1.69791049373873e-06,1.69791049373873e-05,1.83935077249932e-05
2020-04-18,"Uzbekistan","UZB","UZ",85,1,1490,5,32981715,85,1490,850,4.51765470655483e-05,2.57718557085343e-06,2.57718557085343e-05,1.82901250802926e-05
2020-04-19,"Uzbekistan","UZB","UZ",75,0,1565,5,32981715,75,1565,750,4.74505343339484e-05,2.27398726840008e-06,2.27398726840008e-05,1.81355821112175e-05
2020-04-20,"Uzbekistan","UZB","UZ",62,0,1627,5,32981715,62,1627,620,4.93303638091591e-05,1.87982947521073e-06,1.87982947521073e-05,1.79366436461155e-05
2020-04-21,"Uzbekistan","UZB","UZ",51,1,1678,6,32981715,51,1678,510,5.08766751516712e-05,1.54631134251206e-06,1.54631134251206e-05,1.77006035458901e-05
2020-04-22,"Uzbekistan","UZB","UZ",38,1,1716,7,32981715,38,1716,380,5.20288287009939e-05,1.15215354932271e-06,1.15215354932271e-05,1.7435108627435e-05
2020-04-23,"Uzbekistan","UZB","UZ",42,0,1758,7,32981715,42,1758,420,5.33022615712979e-05,1.27343287030405e-06,1.27343287030405e-05,1.71483803088445e-05
2020-04-24,"Uzbekistan","UZB","UZ",46,1,1804,8,32981715,46,1804,460,5.46969737625833e-05,1.39471219128538e-06,1.39471219128538e-05,1.68491082133252e-05
2020-04-25,"Uzbekistan","UZB","UZ",58,0,1862,8,32981715,58,1862,580,5.64555239168127e-05,1.7585501542294e-06,1.7585501542294e-05,1.65442844861693e-05
2020-04-26,"Uzbekistan","UZB","UZ",7,0,1869,8,32981715,7,1869,70,5.666776272853e-05,2.12238811717341e-07,2.12238811717341e-06,1.62417653577287e-05
2020-04-27,"Uzbekistan","UZB","UZ",35,0,1904,8,32981715,35,1904,350,5.77289567871167e-05,1.0611940585867e-06,1.0611940585867e-05,1.59488000942012e-05
2020-04-28,"Uzbekistan","UZB","UZ",35,0,1939,8,32981715,35,1939,350,5.87901508457034e-05,1.0611940585867e-06,1.0611940585867e-05,1.56718042666696e-05
2020-04-29,"Uzbekistan","UZB","UZ",63,1,2002,9,32981715,63,2002,630,6.07003001511595e-05,1.91014930545607e-06,1.91014930545607e-05,1.54166063210271e-05
2020-04-30,"Uzbekistan","UZB","UZ",37,0,2039,9,32981715,37,2039,370,6.18221338702369e-05,1.12183371907737e-06,1.12183371907737e-05,1.51877058263671e-05
2020-05-01,"Uzbekistan","UZB","UZ",47,0,2086,9,32981715,47,2086,470,6.32471658917676e-05,1.42503202153072e-06,1.42503202153072e-05,1.49893313693304e-05
2020-05-02,"Uzbekistan","UZB","UZ",32,0,2118,9,32981715,32,2118,320,6.42174004596183e-05,9.70234567850701e-07,9.70234567850701e-06,1.48249328215362e-05
2020-05-03,"Uzbekistan","UZB","UZ",31,1,2149,10,32981715,31,2149,310,6.51573151972237e-05,9.39914737605367e-07,9.39914737605367e-06,1.46969405008526e-05
2020-05-04,"Uzbekistan","UZB","UZ",40,0,2189,10,32981715,40,2189,400,6.63701084070371e-05,1.21279320981338e-06,1.21279320981338e-05,1.46067693232956e-05
2020-05-05,"Uzbekistan","UZB","UZ",18,0,2207,10,32981715,18,2207,180,6.69158653514531e-05,5.4575694441602e-07,5.4575694441602e-06,1.45551596179348e-05
2020-05-06,"Uzbekistan","UZB","UZ",26,0,2233,10,32981715,26,2233,260,6.77041809378318e-05,7.88315586378695e-07,7.88315586378695e-06,1.4543308884486e-05
2020-05-07,"Uzbekistan","UZB","UZ",65,0,2298,10,32981715,65,2298,650,6.96749699037785e-05,1.97078896594674e-06,1.97078896594674e-05,1.45710270110005e-05
2020-05-08,"Uzbekistan","UZB","UZ",27,0,2325,10,32981715,27,2325,270,7.04936053204025e-05,8.18635416624029e-07,8.18635416624029e-06,1.46377281110763e-05
2020-05-09,"Uzbekistan","UZB","UZ",24,0,2349,10,32981715,24,2349,240,7.12212812462906e-05,7.27675925888026e-07,7.27675925888026e-06,1.47428819586829e-05
2020-05-10,"Uzbekistan","UZB","UZ",69,0,2418,10,32981715,69,2418,690,7.33133495332186e-05,2.09206828692808e-06,2.09206828692808e-05,1.48860439051876e-05
2020-05-11,"Uzbekistan","UZB","UZ",68,0,2486,10,32981715,68,2486,680,7.53750979899014e-05,2.06174845668274e-06,2.06174845668274e-05,1.50668513808906e-05
2020-05-12,"Uzbekistan","UZB","UZ",33,0,2519,10,32981715,33,2519,330,7.63756523879974e-05,1.00055439809604e-06,1.00055439809604e-05,1.52836163057615e-05
2020-05-13,"Uzbekistan","UZB","UZ",93,1,2612,11,32981715,93,2612,930,7.91953966008135e-05,2.8197442128161e-06,2.8197442128161e-05,1.55363508337554e-05
2020-05-14,"Uzbekistan","UZB","UZ",33,0,2645,11,32981715,33,2645,330,8.01959509989095e-05,1.00055439809604e-06,1.00055439809604e-05,1.58246507555113e-05
2020-05-15,"Uzbekistan","UZB","UZ",41,0,2686,11,32981715,41,2686,410,8.14390640389683e-05,1.24311304005871e-06,1.24311304005871e-05,1.6148125040912e-05
2020-05-16,"Uzbekistan","UZB","UZ",52,0,2738,11,32981715,52,2738,520,8.30156952117256e-05,1.57663117275739e-06,1.57663117275739e-05,1.65069123122181e-05
2020-05-17,"Uzbekistan","UZB","UZ",15,1,2753,12,32981715,15,2753,150,8.34704926654057e-05,4.54797453680016e-07,4.54797453680016e-06,1.69011926512688e-05
