"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/07/01","GBSCT",5463300,5,55,5,55,0.672727272727273,0.5487217088914,0.796732836563145,0,0,0,0.0363636363636364,0,0.0858353540308765,0.00519480519480519,0,0.0241933528071165,0.0181818181818182,0,0.0534920799116028
"2022/07/02","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/03","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/04","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/05","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/06","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/07","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/08","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/09","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
"2022/07/10","GBSCT",5463300,12,197,12,197,0.725888324873096,0.663598996177522,0.788177653568671,0,0,0,0.0406091370558376,0.0130462536897557,0.0681720204219194,0.00580130529369108,0,0.0164063971043648,0.0355329949238579,0.00968216012682761,0.0613838297208881
