Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2022/09/29,Estonia,EE,Harjumaa,EE37,en,10,2,1,,0,0,,,,,0,,,0,,,10,,,,,,,,limesurvey-59232,lcu96ix3vfo9fw9p20,20220929
2022/09/29,Estonia,EE,Harjumaa,EE37,en,10,2,1,,0,0,,,,,0,,,0,,,10,,,,,,,,limesurvey-59228,lcu96ix3vfo9fw9p20,20220929
2022/10/12,Estonia,EE,Harjumaa,EE37,en,30,10,5,,0,0,,,,,0,,,0,,,29,,,,,,,,limesurvey-64372,jntkuam04nhwwc1u8h,20221012
2022/10/12,Estonia,EE,Harjumaa,EE37,en,30,10,5,,0,0,,,,,0,,,0,,,29,,,,,,,,limesurvey-64370,jntkuam04nhwwc1u8h,20221012
2022/10/12,Estonia,EE,Harjumaa,EE37,en,30,10,5,,0,0,,,,,0,,,0,,,29,,,,,,,,limesurvey-64371,jntkuam04nhwwc1u8h,20221012
2022/10/16,Estonia,EE,Harjumaa,EE37,en,10,10,10,,0,0,,,,,0,,,0,,,8,,,,,,,,limesurvey-65564,1pyl09tkawgx77cy5p,20221016
2022/11/28,Estonia,EE,Harjumaa,EE37,en,100,15,10,,0,0,,,,,0,,,0,,,70,,,,,,,,limesurvey-81902,ty2wybctbit80y8ore,20221128
2022/12/12,Estonia,EE,Harjumaa,EE37,en,100,40,10,,0,1,,,,,1,,,0,,,65,,,,,,,,limesurvey-86796,xsgf5ugthqmezs7qj2,20221212
2022/12/19,Estonia,EE,Harjumaa,EE37,en,15,10,5,,0,10,,,,,0,,,0,,,12,,,,,,,,limesurvey-89347,hbms0ttd8gbay86qz8,20221219
2023/01/09,Estonia,EE,Harjumaa,EE37,en,80,40,15,,0,0,,,,,0,,,0,,,50,,,,,,,,limesurvey-96583,bv7i8kcwdzra9a4qp6,20230109
2023/01/26,Estonia,EE,Harjumaa,EE37,en,150,100,10,,0,0,,,,,0,,,0,,,70,,,,,,,,limesurvey-101850,j0s66tum8vjsni5vz2,20230126
2023/02/13,Estonia,EE,Harjumaa,EE37,en,15,10,5,,0,8,,,,,0,,,0,,,10,,,,,,,,limesurvey-105848,1pyl09tkawgx77cy5p,20230213
