Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/05,Australia,AU,"New South Wales",AUNSW,,20,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,Tasmania,AUTAS,,25,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,"New South Wales",AUNSW,,200,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,"New South Wales",AUNSW,,40,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,Victoria,AUVIC,,6,1,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,"New South Wales",AUNSW,,100,2,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,"New South Wales",AUNSW,,10,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/07,Australia,AU,Victoria,AUVIC,,50,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/12,Australia,AU,Queensland,AUQLD,,20,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/16,Australia,AU,Victoria,AUVIC,,8,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/16,Australia,AU,"New South Wales",AUNSW,,150,0,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
2020/04/16,Australia,AU,"New South Wales",AUNSW,,20,1,,,,,,,,,,,,,,,,,,,,,,,AU-g-sheet,,
