Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/11,Austria,AT,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,world-g-sheet,,
2020/04/16,Austria,AT,,,,150,2,,,,,,,,,,,,,,,,,,,,,,,world-g-sheet,,
2020/04/16,Austria,AT,,,,20,1,,,,,,,,,,,,,,,,,,,,,,,world-g-sheet,,
2020/05/08,Austria,AT,Wien,AT9,sk,7,2,,2,,,,,,,,,,,,,,,,,,Y,N,N,limesurvey-1602,kczxugsajdk9xw9xnp,
2020/05/21,Austria,AT,Wien,AT9,en,10,3,,3,,,,,,,,,,,,,,,,,,Y,N,N,limesurvey-10044,rcq3upbm6akagpdpb2,
2020/06/06,Austria,AT,Niederösterreich,AT3,en,1,0,,0,,,,,,,,,,,,,,,,,,Y,Y,N,limesurvey-14011,8ni21esjdqkb3umbtn,
2020/06/06,Austria,AT,Niederösterreich,AT3,en,1,0,,,,,,,,,,,,,,,,,,,,Y,N,Y,limesurvey-14009,9lk7tym43ykb3ukjcf,
2020/06/06,Austria,AT,Wien,AT9,en,30,0,,0,,,,,,,,,,,,,,,,,,Y,N,N,limesurvey-13991,7a9mjsvg9hkb3nfzg1,
2020/06/08,Austria,AT,Niederösterreich,AT3,en,20,0,,,,,,,,,,,,,,,,,,,,Y,N,N,limesurvey-14248,rciljbw0ydkb6810js,
2020/06/08,Austria,AT,Wien,AT9,en,30,0,,0,,,,,,,,,,,,,,,,,,Y,N,N,limesurvey-14311,2om41w31dykb6lpaxd,
2020/06/09,Austria,AT,Tirol,AT7,en,4,1,,1,,,,,,,,,,,,,,,,,,Y,N,N,limesurvey-14786,c2dccd8oe8kb86gl0c,
2020/06/10,Austria,AT,Wien,AT9,en,10,1,,1,,,,,,,,,,,,,,,,,,N,N,N,limesurvey-15100,0ro10f0ogvkb973bpv,
