Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2022/07/25,Zimbabwe,ZW,"Mashonaland Central",ZWMC,en,50,15,20,,2,2,,,,,0,,,4,,,30,,,,,,,,limesurvey-35011,ch1uc90temtfkmfl0v,
2022/10/02,Zimbabwe,ZW,Midlands,ZWMI,en,20,5,3,,,0,,,,,0,,,,,,15,,,,,,,,limesurvey-60679,cg0u8vgbxmfdhxgz41,20221002
2022/10/05,Zimbabwe,ZW,"Mashonaland Central",ZWMC,en,25,5,10,,1,3,,,,,0,,,3,,,8,,,,,,,,limesurvey-62113,ltng2jw4hj561qhnva,20221005
2022/10/12,Zimbabwe,ZW,Manicaland,ZWMA,en,35,2,35,,0,2,,,,,0,,,0,,,15,,,,,,,,limesurvey-64724,lziyu3t6s1z6i7r8dm,
2022/10/31,Zimbabwe,ZW,Midlands,ZWMI,en,4,2,1,,0,0,,,,,0,,,0,,,3,,,,,,,,limesurvey-71913,4tk0ibcaqigyuqe8me,
2022/11/03,Zimbabwe,ZW,"Mashonaland Central",ZWMC,en,50,10,0,,0,0,,,,,0,,,0,,,35,,,,,,,,limesurvey-73233,g4px1ys2rrh0aunw5d,20221103
2022/11/07,Zimbabwe,ZW,"Matabeleland North",ZWMN,en,15,8,15,,0,15,,,,,0,,,0,,,15,,,,,,,,limesurvey-74690,fakdvi8b6ncup1bp7t,20221107
2022/12/22,Zimbabwe,ZW,Masvingo,ZWMV,en,50,10,40,,2,0,,,,,0,,,10,,,20,,,,,,,,limesurvey-90659,ym2245if5njpucypo4,
2023/01/05,Zimbabwe,ZW,"Matabeleland North",ZWMN,en,50,12,12,,6,0,,,,,0,,,2,,,20,,,,,,,,limesurvey-95517,n9p09dj2l6mncbt8b4,20230105
2023/01/12,Zimbabwe,ZW,Midlands,ZWMI,en,20,5,2,,0,0,,,,,0,,,0,,,0,,,,,,,,limesurvey-97919,8kxte4csho6ky301md,
2023/01/19,Zimbabwe,ZW,"Matabeleland South",ZWMS,en,100,8,10,,3,0,,,,,0,,,10,,,40,,,,,,,,limesurvey-99971,9teaz7zd4k5u61kq3w,20230119
