ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
HR,HRV,Croatia,-99,2020-12-22,2020-12-21,100,2,11615.7738581606,0,0,53,82,792211.6094447499,0,2,3,95,2,17,81,2,5,93,3,31,66,3,18,79,1,11,88,2,8,90,3,2,95,2,5,93,3,5,92,2,7,91,3,21,76,3,2,95,2,13,85,97,0,3,0,83,1,5,11,95,0,1,4,70,5,7,18,82,4,3,11,89,2,7,2,92,1,3,4,98,0,1,1,95,1,1,3,95,2,2,1,94,3,2,1,80,3,9,8,98,1,0,1,87,2,3,8,17,1,26,56,81,0,6,13,31,1,23,45,77,1,5,17,95,2,3,0,95,1,4,0,99,0,1,0,39,6,5,50,100,0,0,0,0,39,0,14,15,19,13,54,4,12,17,13,54,6,12,19,9,54,5,15,13,13,54,7,11,11,17,54,7,7,9,23,96,1,1,2,96,1,1,2,96,0,2,2,96,1,1,2,96,1,1,2,96,0,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,49,1,12,38,49,0,35,16,49,1,11,39,49,1,24,26,49,2,6,43,49,1,7,43,55,1,13,31,87,8,4,0,1,58,1,0,5,13,23,58,0,42,0,63,1,6,30,63,0,9,15,6,2,0,5,63,0,10,11,10,6,64,2,6,21,4,3,67,0,8,23,2,72,3,4,21,0,88,2,9,1,67,1,32,0,90,0,9,1,77,1,16,6,94,0,5,1,94,1,5,0,75,0,0,3,1,9,12,75,1,0,0,3,8,13,79,0,9,10,1,1,79,0,0,3,11,7,79,0,3,7,5,6,91,2,6,1,91,3,2,4,91,1,5,3,84,2,2,12,88,0,7,5,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.888888888888889,3.4040125715545746,3.076923076923077,2.0599975105785306,0,0,0,0
HR,HRV,Croatia,2,2020-12-22,2020-12-21,100,1,3528.9092828362104,1,3528.9092828362104,78,100,495184.1887432092,96,0,2,98,0,14,86,0,2,98,0,33,67,0,30,70,0,16,84,0,10,90,0,4,96,0,7,93,0,3,97,0,1,99,0,18,82,0,1,99,0,15,85,98,0,0,2,86,0,2,12,98,0,0,2,67,2,12,19,70,1,11,18,84,0,5,11,90,0,2,8,96,0,2,2,93,0,2,5,97,0,3,0,99,0,1,0,82,1,10,7,99,0,0,1,85,0,8,7,0,0,25,75,75,0,6,19,0,0,31,69,69,0,10,21,90,5,5,0,90,0,10,0,100,0,0,0,10,0,7,83,100,0,0,0,0,0,0,18,30,33,19,35,0,14,43,8,35,1,17,33,14,35,2,16,31,16,35,1,5,28,31,35,1,3,17,44,93,2,1,4,93,1,1,5,93,1,0,6,93,1,1,5,93,1,0,6,93,2,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,21,79,0,0,58,42,0,0,20,80,0,0,56,44,0,0,1,99,0,0,6,94,0,0,50,50,50,38,7,3,2,0,0,0,3,30,67,0,0,100,0,0,0,11,89,0,0,36,39,12,4,1,8,0,0,16,31,37,16,0,0,21,52,16,11,0,0,8,91,1,0,1,4,93,2,79,0,16,5,42,0,58,0,80,0,20,0,44,0,25,31,99,0,0,1,94,0,6,0,0,0,2,1,15,30,52,0,0,3,2,12,22,61,0,0,32,43,18,7,0,0,4,11,30,55,0,0,16,21,30,33,63,2,23,12,63,6,11,20,63,6,13,18,0,0,67,33,67,0,18,15,82,1,1,3,3,1,0,2,7,15,0,1,12,6,8,0,2,6,6,0,4,11,5,5,4,15,0,0,26,73,0,1,0,0,0,100,0,0,0,0,0,3,1,67,14,15,3,1,42,35,12,4,3,3.1904761904761907,3.359421718944242,3.208333333333333,2.0425722629261767,13.22680412371134,4.883017242271028,2.4583333333333335,1.2970952703448104
HR,HRV,Croatia,3,2020-12-22,2020-12-21,100,0,0,0,0,89,100,470024.38613817387,100,0,0,100,0,15,85,0,1,99,0,16,84,0,26,74,0,6,94,0,10,90,0,3,97,0,4,96,0,4,96,0,4,96,0,18,82,0,1,99,0,12,88,100,0,0,0,85,0,5,10,99,0,1,0,84,0,7,9,74,0,7,19,94,0,3,3,90,0,3,7,97,0,3,0,96,0,1,3,96,0,3,1,96,0,2,2,82,0,7,11,99,0,0,1,88,0,5,7,0,0,26,74,74,0,4,22,0,0,37,63,63,1,15,21,85,6,8,1,85,3,12,0,97,0,3,0,16,0,9,75,100,0,0,0,0,0,0,23,27,33,17,8,0,24,51,17,8,1,35,42,14,8,1,23,47,21,8,1,13,42,36,8,2,3,24,63,91,2,1,6,91,3,0,6,91,2,2,5,91,2,2,5,91,4,0,5,91,2,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,22,78,0,0,69,31,0,0,22,78,0,0,53,47,0,0,7,93,0,0,10,90,0,0,47,53,53,36,4,3,4,0,1,1,4,27,67,0,0,99,1,0,0,15,85,0,0,37,39,7,12,1,4,0,0,28,24,25,23,0,1,20,47,20,12,0,0,18,82,0,0,0,11,89,0,78,0,20,2,31,0,69,0,78,0,22,0,47,0,38,15,93,0,4,3,90,0,9,1,0,0,0,1,21,29,49,0,1,0,6,17,16,60,0,0,30,51,9,10,0,0,4,10,25,61,0,0,17,23,27,33,60,1,29,10,60,8,10,22,60,10,13,17,0,0,67,33,67,0,16,17,84,0,2,0,0,1,1,2,10,17,0,2,9,3,7,1,4,4,7,0,2,9,6,7,5,17,0,3,33,63,0,1,0,0,0,0,100,0,0,0,0,0,4,57,17,22,0,3,23,41,26,7,0,4.8076923076923075,5.10301126609578,3.739130434782609,3.0483585941580222,13.65263157894737,3.6952195139719333,2.4166666666666665,1.4042541880163304
HR,HRV,Croatia,4,2020-12-22,2020-12-21,100,0,0,0,0,77,100,551565.1899898383,100,2,0,98,2,12,86,1,2,97,2,27,71,1,17,82,1,3,96,2,7,91,1,2,97,2,1,97,2,4,94,1,3,96,1,14,85,2,0,98,2,10,88,100,0,0,0,88,0,2,10,98,0,1,1,73,0,13,14,83,0,4,13,97,0,1,2,93,0,2,5,98,0,2,0,99,0,0,1,96,0,3,1,97,0,1,2,86,0,5,9,100,0,0,0,90,0,4,6,0,0,33,67,67,0,9,24,0,0,33,67,67,2,12,19,88,6,6,0,88,1,11,0,99,0,1,0,14,3,8,75,100,0,0,0,0,0,1,19,37,28,15,23,3,17,45,12,23,4,26,39,8,23,3,25,34,15,23,6,12,32,27,23,6,4,22,45,92,2,2,4,92,4,0,4,92,2,4,2,92,4,0,4,92,4,0,4,92,3,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,20,80,0,0,76,24,0,2,20,78,0,0,48,52,0,2,3,95,0,1,13,86,0,0,39,61,61,26,6,6,1,0,1,3,8,19,69,0,1,99,0,0,0,11,89,0,0,26,49,12,6,4,3,0,0,46,18,20,16,0,0,20,49,19,12,0,0,17,83,0,0,0,12,88,0,80,0,18,2,24,2,73,1,80,1,19,0,52,1,34,13,97,0,2,1,87,0,13,0,0,0,0,5,12,27,56,0,0,1,1,12,31,55,0,0,32,46,13,9,0,0,3,11,25,61,0,0,14,33,26,27,53,2,36,9,53,12,11,24,53,9,18,20,0,0,62,38,62,0,16,22,84,0,6,0,0,2,2,1,5,22,0,1,3,5,9,2,4,3,8,1,4,4,5,8,4,17,0,1,37,61,0,1,0,0,0,0,0,100,0,0,0,0,2,63,18,17,0,1,18,40,28,11,2,5.5227272727272725,5.7808369731325735,2.6923076923076925,2.0350770161196508,13.322916666666664,3.4625661055188135,2.0306122448979593,1.3504797286818027
HR,HRV,Croatia,5,2020-12-22,2020-12-21,100,1,4506.83556535324,0,0,41,98,492094.6597314937,99,2,1,97,2,9,89,2,3,95,2,16,82,2,14,84,1,9,90,2,1,97,2,1,97,2,3,95,2,1,97,1,4,95,1,16,83,2,0,98,2,9,89,99,0,1,0,91,0,4,5,97,0,0,3,84,0,5,11,86,0,7,7,91,1,2,6,99,0,0,1,99,0,0,1,97,0,1,2,99,0,1,0,96,1,3,0,84,0,6,10,100,0,0,0,91,0,5,4,0,2,18,80,82,1,2,15,0,3,22,75,78,0,8,14,92,0,7,1,92,2,6,0,98,1,1,0,11,4,12,73,100,0,0,0,0,0,0,37,24,30,9,38,3,24,27,8,38,6,23,22,11,38,4,20,23,15,38,7,12,19,24,38,9,2,15,36,88,7,3,2,88,7,2,3,88,4,6,2,88,8,1,3,88,10,1,1,88,9,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,20,78,0,0,66,34,0,1,14,85,0,1,42,57,0,1,3,96,0,1,11,88,0,0,32,68,68,25,4,2,1,0,0,0,2,38,60,0,1,99,0,0,2,20,78,0,0,41,30,17,8,1,3,0,0,40,22,20,18,0,2,26,54,9,9,0,0,27,73,0,0,0,20,80,0,80,0,18,2,34,0,65,1,86,0,12,2,58,0,33,9,97,0,2,1,89,0,11,0,0,1,0,1,8,30,60,0,0,0,2,14,22,62,0,0,34,41,14,11,0,0,4,7,23,66,0,0,11,29,23,37,60,1,32,7,60,14,8,18,60,11,12,17,0,0,50,50,50,0,21,29,79,2,4,1,0,2,3,0,9,29,0,4,2,3,9,0,2,7,3,1,2,7,5,8,7,11,0,2,46,51,0,1,0,0,0,0,0,0,100,0,0,1,6,64,17,12,1,6,31,34,18,8,2,4.9411764705882355,5.570164985699655,2.9166666666666665,2.5746432527221863,13.66326530612245,3.3211098553277427,1.5,1.05351322245623
HR,HRV,Croatia,-99,2020-12-23,2020-12-22,100,3,15202.16237714229,1,4726.87489966674,49,79,806526.5492109043,0,1,3,96,1,19,80,1,8,91,1,34,65,1,22,77,1,9,90,1,8,91,1,6,93,1,3,96,1,7,92,0,10,90,0,19,81,1,4,95,1,17,82,97,0,1,2,81,1,8,10,92,1,4,3,66,5,15,14,78,5,5,12,91,2,3,4,92,1,0,7,94,0,3,3,97,1,1,1,93,1,4,2,90,2,5,3,81,4,10,5,96,1,1,2,83,4,5,8,21,0,20,59,83,0,4,13,29,1,26,44,74,0,10,16,90,7,3,0,90,4,6,0,96,1,3,0,43,4,7,46,100,0,0,0,0,36,0,14,16,18,16,42,1,15,27,15,42,3,19,25,11,42,5,16,24,13,42,6,10,23,19,42,6,4,16,32,94,3,1,2,94,4,2,0,94,2,2,2,94,3,1,2,94,4,0,2,94,3,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,50,2,10,38,50,0,33,17,50,4,7,39,50,3,19,28,50,2,9,39,50,1,4,45,55,1,12,32,88,7,4,1,0,61,0,0,3,7,29,61,0,39,0,63,2,5,30,63,0,11,14,8,2,0,2,63,0,12,10,6,9,64,3,5,19,5,4,65,0,9,24,2,72,1,5,21,1,90,1,8,1,68,1,31,0,93,0,7,0,81,0,13,6,91,1,8,0,96,1,3,0,74,0,1,3,1,11,10,74,0,1,0,2,10,13,80,1,10,4,4,1,80,0,1,2,7,10,80,0,4,4,7,5,94,1,5,0,94,3,1,2,94,2,2,2,84,2,3,11,89,0,7,4,99,0,0,0,0,0,0,0,1,96,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.5625,4.731074351152076,3.6363636363636362,1.9116865471476892,0,0,0,0
HR,HRV,Croatia,2,2020-12-23,2020-12-22,100,2,20274.516420911812,2,20274.516420911812,83,100,500844.6614674536,97,0,2,98,0,10,90,0,2,98,0,34,66,0,31,69,0,16,84,0,7,93,0,3,97,0,4,96,0,3,97,0,5,95,0,20,80,0,1,99,0,16,84,98,0,1,1,90,0,4,6,98,0,0,2,66,1,17,16,69,1,12,18,84,0,6,10,93,0,4,3,97,0,3,0,96,0,2,2,97,0,3,0,95,0,1,4,80,1,11,8,99,0,0,1,84,0,11,5,0,0,28,72,72,0,5,23,0,0,35,65,65,0,13,22,87,7,5,1,87,1,12,0,99,0,1,0,13,0,6,81,100,0,0,0,0,0,0,22,27,25,26,0,1,20,63,16,0,2,30,48,20,0,3,26,47,24,0,2,12,42,44,0,2,7,30,61,94,1,0,5,94,1,1,4,94,1,3,2,94,1,1,4,94,1,0,5,94,1,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,19,81,0,0,64,36,0,1,22,77,0,0,57,43,0,0,4,96,0,0,10,90,0,0,45,55,55,32,6,3,4,0,0,0,6,27,67,0,0,100,0,0,2,11,87,0,0,36,37,12,5,2,8,0,0,22,29,32,17,0,0,25,44,18,13,0,0,8,91,1,0,1,7,90,2,81,0,14,5,36,1,62,1,78,0,22,0,43,0,27,30,96,0,2,2,90,0,10,0,0,0,1,5,19,24,51,0,0,2,6,16,25,51,0,0,30,41,17,12,0,0,4,9,30,57,0,0,14,21,33,32,65,2,23,10,65,5,10,20,65,6,10,19,0,0,58,42,58,0,25,17,75,4,3,2,4,1,1,1,9,17,1,2,10,7,7,0,1,5,5,0,4,11,5,10,2,13,0,1,30,65,1,3,0,0,0,100,0,0,0,0,0,2,2,57,13,26,2,2,32,33,20,6,5,3.457627118644068,3.036116132315606,3.1153846153846154,1.8182832139559135,13.577319587628867,4.2002853364047175,2.4270833333333335,1.2793484498526393
HR,HRV,Croatia,3,2020-12-23,2020-12-22,100,0,0,0,0,100,100,492729.76177107904,100,1,1,98,1,12,87,1,1,98,1,23,76,1,14,85,1,9,90,1,8,91,1,2,97,0,6,94,1,5,94,0,7,93,0,18,82,1,0,99,1,12,87,99,0,1,0,88,0,5,7,99,0,0,1,77,0,4,19,86,1,3,10,91,1,3,5,92,0,2,6,98,1,1,0,94,0,1,5,95,0,4,1,93,0,3,4,82,0,7,11,100,0,0,0,88,0,5,7,0,0,34,66,66,0,7,27,0,1,36,63,64,1,12,23,88,6,5,1,88,1,11,0,99,0,1,0,14,1,11,74,100,0,0,0,0,0,0,21,32,26,21,0,1,28,54,17,0,3,37,42,18,0,2,25,38,35,0,4,13,36,47,0,5,5,25,65,89,6,1,4,89,6,0,5,89,2,5,4,89,5,2,4,89,6,1,4,89,5,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,19,80,0,0,78,22,0,0,17,83,0,0,49,51,0,0,5,95,0,0,6,94,0,0,43,57,57,32,6,3,2,0,0,0,3,28,69,0,0,99,1,0,0,17,83,0,0,32,42,9,14,1,2,0,0,35,14,28,23,0,1,18,54,15,12,0,0,13,86,1,0,1,7,91,1,81,0,17,2,22,0,77,1,83,0,17,0,51,0,32,17,95,0,4,1,94,0,5,1,0,1,0,4,14,29,52,0,2,0,4,11,24,59,0,0,28,48,17,7,0,0,1,7,33,59,0,0,8,21,44,27,71,1,21,7,71,8,6,15,71,10,8,11,0,0,71,29,71,1,11,17,89,0,2,1,0,0,0,0,8,18,0,5,7,6,7,1,3,5,9,1,1,13,5,5,3,11,0,1,39,59,0,1,0,0,0,0,100,0,0,0,0,0,2,60,20,18,0,1,21,45,23,9,1,3.66,4.053771234849075,3.2,1.8827712516943997,13.563829787234043,3.667815589219629,2.4948453608247423,1.339493929159179
HR,HRV,Croatia,4,2020-12-23,2020-12-22,100,0,0,0,0,67,100,664141.0960634252,99,1,1,98,1,16,83,0,5,95,1,29,70,0,14,86,0,8,92,1,6,93,0,3,97,1,1,98,1,1,98,0,4,96,1,17,82,1,1,98,1,11,88,99,0,0,1,84,0,5,11,95,1,2,2,71,1,15,13,86,0,4,10,92,1,2,5,94,0,1,5,97,1,2,0,99,0,0,1,99,0,1,0,96,1,2,1,83,0,6,11,99,0,0,1,89,1,8,2,0,0,31,69,69,0,8,23,0,0,38,62,62,2,10,26,90,4,6,0,90,1,9,0,99,0,1,0,12,1,8,79,100,0,0,0,0,0,0,17,35,32,16,0,4,25,56,15,0,4,34,52,10,0,4,30,51,15,0,6,17,49,28,0,6,8,34,52,92,2,1,5,92,3,0,5,92,2,3,3,92,2,1,5,92,3,0,5,92,3,0,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,19,81,0,0,81,19,0,1,27,72,0,0,49,51,0,0,6,94,0,0,10,90,0,0,45,55,55,32,8,3,2,0,2,4,8,19,67,0,1,99,0,0,0,10,90,0,0,27,40,17,10,2,4,0,0,42,18,26,14,0,0,17,51,21,11,0,0,14,86,0,0,1,8,90,1,81,0,15,4,19,0,79,2,73,1,26,0,51,0,35,14,94,0,4,2,90,0,10,0,0,1,0,4,11,24,60,0,0,1,4,13,29,53,0,0,29,49,11,11,0,0,3,15,23,59,0,0,15,29,24,32,56,1,32,11,56,8,10,26,56,7,16,21,0,0,70,30,70,0,10,20,90,0,3,0,2,1,0,0,4,20,0,2,9,5,11,1,4,4,8,1,3,10,4,6,2,10,0,0,43,57,0,0,0,0,0,0,0,100,0,0,0,1,3,60,21,15,1,2,20,36,31,8,2,5.066666666666666,4.95617154299933,2.2962962962962963,2.09054308024742,13.126315789473686,2.9616057507069335,1.968421052631579,1.1890692907797578
HR,HRV,Croatia,5,2020-12-23,2020-12-21,100,0,0,0,0,72,98,514128.86033255,98,4,0,96,3,6,91,3,3,94,3,16,81,3,13,84,2,10,88,3,2,95,3,1,96,3,2,95,3,2,95,1,5,94,2,15,83,3,0,97,3,9,88,100,0,0,0,94,0,2,4,97,0,1,2,84,0,7,9,87,0,9,4,90,1,2,7,98,0,0,2,99,0,0,1,98,0,1,1,98,0,1,1,95,1,3,1,85,0,7,8,100,0,0,0,91,0,6,3,0,2,27,71,73,0,6,21,0,2,21,77,79,0,6,15,94,1,4,1,94,2,4,0,98,1,1,0,8,2,12,78,100,0,0,0,0,0,0,40,27,23,10,0,6,34,41,19,0,11,38,35,16,0,11,31,35,23,0,15,16,34,35,0,17,7,21,55,88,7,1,4,88,6,3,3,88,3,8,1,88,7,2,3,88,8,1,3,88,8,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,19,78,0,0,75,25,0,2,15,83,0,1,35,64,0,2,3,95,0,2,7,91,0,0,32,68,68,25,4,1,2,0,0,0,4,32,64,0,1,99,0,0,2,22,76,0,0,32,40,10,11,1,6,0,0,43,20,22,15,0,2,24,54,12,8,0,1,32,67,0,0,0,24,75,1,81,0,18,1,25,1,71,3,85,0,13,2,65,1,27,7,97,0,2,1,93,0,7,0,0,0,0,3,7,29,61,0,0,2,4,13,19,62,0,2,32,40,13,13,0,0,4,9,34,53,0,0,12,33,24,31,55,3,32,10,55,18,9,18,55,14,12,19,0,1,51,48,52,0,17,31,83,2,3,0,0,2,1,0,9,32,0,1,8,1,5,0,4,6,3,0,6,4,6,7,3,14,0,1,43,55,0,1,0,0,0,0,0,0,100,0,0,2,6,60,19,13,2,6,27,37,15,8,5,5.457142857142857,5.892881334302267,3.6470588235294117,3.31551610745952,13.29591836734694,3.224293045421266,1.4615384615384615,0.9922778767136675
