ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V2..77,V2.1,V2.2,V2.3,V2a..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V4_6..99,V5a_1..99,V5a_2..99,V5a_3..99,V5a_4..99,V5a_5..99,V5a_6..99,V5a_7..99,V5a_8..99,V5a_9..99,V5b_1..99,V5b_2..99,V5b_3..99,V5b_4..99,V5b_5..99,V5b_6..99,V5b_7..99,V5b_8..99,V5b_9..99,V5c_1..99,V5c_2..99,V5c_3..99,V5c_4..99,V5c_5..99,V5c_6..99,V5c_7..99,V5c_8..99,V5c_9..99,V5d_1..99,V5d_2..99,V5d_3..99,V5d_4..99,V5d_5..99,V5d_6..99,V5d_7..99,V5d_8..99,V5d_9..99,V6_1..99,V6_2..99,V6_3..99,V6_4..99,V6_5..99,V6_6..99,V6_7..99,V9..99,V9..77,V9.1,V9.2,V9.3,V9.4,V10_1..99,V10_2..99,V10_3..99,V10_4..99,V10_5..99,V10_6..99,V10_7..99,V10_8..99,V10_9..99,V10_10..99,V11..99,V12..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C9a..99,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
HR,HRV,Croatia,-99,2021-01-15,2021-01-14,100,1,2433.26216746387,0,0,24,75,913075.8300337271,0,2,2,96,1,16,83,2,7,91,1,23,76,2,26,72,1,10,89,2,4,94,2,8,90,2,3,95,2,2,96,3,11,86,1,17,82,3,2,95,3,22,75,98,1,0,1,84,0,8,8,93,1,2,4,77,1,13,9,74,2,9,15,90,0,5,5,96,0,1,3,92,0,5,3,97,0,1,2,98,0,2,0,89,3,5,3,83,1,6,10,98,1,1,0,78,0,13,9,25,0,14,61,91,1,1,7,33,3,17,47,83,1,6,10,94,0,2,4,0,94,3,3,0,97,0,1,2,0,43,4,3,50,34,1,4,61,0,96,0,4,0,0,0,39,1,23,18,12,7,45,4,11,33,7,45,7,16,27,5,45,4,16,27,8,45,6,9,29,11,45,4,2,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,10,13,19,15,0,0,0,0,0,0,0,0,0,0,0,0,97,1,2,0,97,3,0,0,97,2,1,0,97,3,0,0,97,3,0,0,97,2,1,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,3,8,43,46,1,36,17,46,2,9,43,46,2,19,33,46,3,6,45,46,4,8,42,49,0,19,32,81,0,15,3,1,0,52,1,0,4,18,25,52,1,47,0,58,0,5,37,58,0,20,13,1,6,2,0,58,0,18,9,8,7,59,2,8,22,2,7,62,0,2,34,2,0,73,1,2,24,0,92,0,6,2,65,0,33,2,91,0,8,1,81,0,10,9,95,0,3,2,92,0,5,3,76,2,0,0,3,4,15,76,2,0,0,1,5,16,82,0,5,6,4,3,82,0,0,1,3,14,82,0,1,2,8,7,98,0,1,1,98,0,1,1,98,0,1,1,87,0,4,9,91,0,6,3,97,0,1,0,0,1,0,0,1,93,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.6,5.549774770204643,2.5,2.8809720581775866,0,0,0,0
HR,HRV,Croatia,2,2021-01-15,2021-01-14,100,0,0,0,0,32,100,671971.6799041878,99,0,1,99,0,4,96,0,1,99,0,24,76,0,20,80,0,5,95,0,12,88,0,2,98,0,2,98,0,2,98,0,6,94,0,20,80,0,1,99,0,11,89,99,0,0,1,96,0,0,4,99,0,0,1,76,0,9,15,80,0,4,16,95,0,0,5,88,0,5,7,98,0,1,1,98,1,0,1,98,0,2,0,94,0,1,5,80,0,7,13,99,0,1,0,89,0,5,6,0,0,13,87,87,0,4,9,0,2,42,56,58,0,6,36,94,0,2,4,0,94,1,5,0,99,0,0,1,0,8,0,5,87,0,0,7,93,0,93,0,7,0,0,0,7,0,21,24,33,15,7,0,35,46,12,7,0,33,51,9,7,0,29,48,16,7,0,20,43,30,7,0,7,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,26,30,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,4,95,1,0,4,95,0,3,2,95,1,0,4,95,0,1,4,95,0,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,19,81,0,0,60,40,0,0,17,83,0,0,50,50,0,0,3,97,0,0,8,92,0,0,50,50,50,0,38,8,3,1,0,0,0,8,27,65,0,0,100,0,0,2,27,71,0,0,31,45,10,10,1,3,0,0,21,23,37,19,0,2,16,39,28,15,0,0,10,90,0,0,0,0,8,92,0,81,0,17,2,40,0,59,1,83,0,17,0,50,0,23,27,97,0,2,1,92,0,8,0,0,2,1,5,18,23,51,0,1,1,6,9,27,56,0,0,22,50,21,7,0,0,2,7,24,67,0,0,8,23,35,34,69,0,23,8,69,2,5,24,69,2,11,18,0,1,61,38,62,0,21,17,79,0,4,1,3,1,0,0,12,18,0,3,7,2,7,2,2,15,3,0,2,7,5,8,0,19,0,2,23,74,0,1,0,0,0,100,0,0,0,0,0,1,3,63,12,21,1,1,33,34,20,4,7,3.30188679245283,4.176789831273522,2.5,1.5075567228888183,14.104166666666664,4.171278149861116,2.0520833333333335,1.1731181271938804
HR,HRV,Croatia,3,2021-01-15,2021-01-14,100,0,0,0,0,40,100,642841.3256053895,96,0,1,99,0,11,89,0,2,98,0,24,76,0,22,78,0,7,93,0,6,94,0,1,99,1,2,97,0,1,99,0,4,96,0,22,78,0,2,98,0,11,89,99,0,0,1,89,0,4,7,98,0,2,0,76,0,7,17,78,0,7,15,93,1,1,5,94,0,5,1,99,0,0,1,98,0,0,2,99,0,1,0,96,0,1,3,78,0,7,15,98,0,0,2,89,0,4,7,0,0,16,84,84,0,6,10,0,0,37,63,63,1,7,29,93,0,2,5,0,93,1,6,0,99,0,1,0,0,8,2,0,90,0,0,6,94,0,94,0,6,0,0,0,6,0,20,35,25,14,6,0,28,50,16,6,1,24,57,12,6,1,15,59,19,6,1,9,52,32,6,2,0,41,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,38,15,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,14,86,0,0,66,34,0,2,9,89,0,0,49,51,0,0,4,96,0,0,11,89,0,0,41,59,59,0,28,9,3,1,0,0,0,5,41,54,0,1,99,0,0,3,19,78,0,0,25,46,12,14,2,1,0,0,30,27,26,17,0,1,11,50,21,17,0,0,8,92,0,0,0,1,9,90,0,86,0,10,4,34,0,64,2,91,0,9,0,51,0,31,18,96,0,1,3,89,0,10,1,0,2,1,3,13,27,54,0,0,1,1,6,28,64,0,0,19,49,26,6,0,1,5,9,26,59,0,0,12,25,31,32,63,3,27,7,63,14,6,17,63,11,9,17,0,0,64,36,64,0,18,18,82,1,4,0,1,3,1,0,8,18,0,3,11,8,8,5,3,8,7,0,1,4,4,7,2,11,0,4,33,62,0,1,0,0,0,0,100,0,0,0,0,3,3,65,9,20,3,1,24,46,19,7,0,3.06,3.0733216757197708,2.8461538461538463,2.640901167094099,13.252525252525253,4.192664717763667,2.389473684210526,1.3706244643126915
HR,HRV,Croatia,4,2021-01-15,2021-01-14,100,0,0,0,0,42,100,860807.2035739289,97,2,1,97,0,13,87,1,3,96,0,27,73,1,17,82,1,17,82,1,7,92,2,3,95,3,3,94,1,0,99,2,4,94,0,13,87,2,2,96,2,17,81,99,0,1,0,87,0,4,9,97,0,1,2,73,0,4,23,83,2,1,14,83,0,3,14,93,0,3,4,97,0,2,1,97,0,1,2,100,0,0,0,96,0,0,4,87,0,3,10,98,1,1,0,83,0,9,8,0,0,10,90,90,0,3,7,0,1,42,57,58,1,5,36,95,0,1,4,0,95,0,5,0,100,0,0,0,0,7,2,2,89,0,0,5,95,0,95,0,4,1,0,0,5,2,25,34,23,11,5,7,25,51,12,5,5,32,48,10,5,3,28,47,17,5,7,13,42,33,5,6,4,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,27,32,17,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,1,98,1,0,1,98,1,0,1,98,1,0,1,98,1,0,1,98,0,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,26,73,0,1,66,33,0,0,20,80,0,1,52,47,0,0,6,94,0,0,11,89,0,1,34,65,66,0,21,9,1,3,0,0,0,5,33,62,0,2,96,2,0,1,23,76,0,0,26,49,12,8,2,3,0,1,34,24,20,21,0,2,20,50,15,13,0,0,13,87,0,0,0,2,8,90,0,74,1,22,3,34,1,64,1,80,1,18,1,48,1,35,16,94,0,4,2,89,1,9,1,0,1,2,2,12,30,53,0,2,1,6,12,22,57,0,1,29,36,23,11,0,0,6,12,28,54,0,0,11,20,37,32,69,1,25,5,69,7,10,14,69,7,12,12,0,1,64,35,65,0,18,17,82,2,1,0,0,0,3,0,12,18,1,1,10,4,5,2,7,7,6,0,5,3,5,5,4,17,0,0,44,55,0,1,0,0,0,0,0,100,0,0,0,1,3,54,21,21,1,3,26,29,30,4,7,4.7272727272727275,5.100677731364617,6.333333333333332,4.08248290463863,13.025773195876289,3.2293987556546897,1.9484536082474226,1.219384527304473
HR,HRV,Croatia,-99,2021-01-16,2021-01-15,100,1,2433.26216746387,0,0,29,84,819868.5889597896,0,3,2,95,2,9,89,2,8,90,3,26,71,2,29,69,2,14,84,1,4,95,2,9,89,2,2,96,3,3,94,3,6,91,3,20,77,2,1,97,2,16,82,98,0,1,1,91,3,2,4,92,2,2,4,74,3,13,10,71,3,11,15,86,3,4,7,96,1,0,3,91,1,3,5,98,0,1,1,97,0,2,1,94,2,1,3,80,2,5,13,99,1,0,0,84,2,8,6,16,0,13,71,89,0,4,7,20,1,25,54,75,0,3,22,97,0,0,3,0,97,1,2,0,99,0,0,1,0,24,3,9,64,23,3,1,70,3,99,0,1,0,0,0,27,1,17,26,18,11,37,6,16,33,8,37,9,17,29,8,37,5,14,31,13,37,7,13,24,19,37,3,4,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,10,19,18,13,0,0,0,0,0,0,0,0,0,0,0,0,92,2,4,2,92,5,0,3,92,4,2,2,92,5,1,2,92,5,0,3,92,4,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,45,4,7,44,45,2,29,24,45,4,9,42,45,4,28,23,45,5,5,45,45,5,7,43,49,2,19,30,81,0,17,0,2,0,52,0,0,3,18,27,52,2,46,0,60,1,6,33,60,0,17,14,2,4,3,0,60,0,16,8,10,6,62,1,6,22,3,6,66,0,4,27,3,0,74,1,3,21,1,93,0,4,3,71,0,27,2,91,0,9,0,72,0,13,15,95,0,4,1,93,1,5,1,78,1,0,0,4,6,11,78,1,0,0,3,8,10,82,0,5,8,3,2,82,0,1,2,2,13,82,0,1,4,4,9,95,1,2,2,95,1,0,4,95,1,0,4,87,0,2,11,89,0,7,4,98,0,0,0,0,2,0,0,0,96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.317073170731708,4.896115931992644,2.7777777777777777,1.855921454276674,0,0,0,0
HR,HRV,Croatia,2,2021-01-16,2021-01-15,100,1,2213.85895420461,0,0,43,100,613446.2173188074,97,0,3,97,0,6,94,0,2,98,0,19,81,0,20,80,0,6,94,0,4,96,0,0,100,0,4,96,0,1,99,0,7,93,0,11,89,0,3,97,0,8,92,97,0,1,2,94,0,0,6,98,0,1,1,81,1,4,14,80,0,3,17,94,0,1,5,96,0,2,2,100,0,0,0,96,1,2,1,99,0,1,0,93,0,4,3,89,0,6,5,97,0,2,1,92,0,5,3,0,0,12,88,88,0,5,7,0,1,46,53,54,1,8,37,92,0,3,4,1,92,0,8,0,100,0,0,0,0,10,0,3,87,0,0,5,94,1,95,0,5,0,0,0,5,0,24,17,36,18,5,0,27,55,13,5,0,36,49,10,5,0,30,47,18,5,1,16,42,36,5,0,7,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,27,21,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0,1,97,2,0,1,97,0,2,1,97,1,1,1,97,1,1,1,97,2,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,13,87,0,0,65,35,0,0,25,75,0,0,58,42,0,0,6,94,0,0,8,92,0,0,54,46,46,0,39,10,4,1,0,0,1,5,30,64,0,0,100,0,0,1,20,79,0,0,32,34,17,14,2,1,0,0,23,25,28,24,0,1,12,37,29,21,0,0,10,89,1,0,0,0,7,92,1,87,0,9,4,35,0,64,1,75,0,24,1,42,0,25,33,94,0,4,2,92,0,7,1,0,2,0,3,13,26,56,0,1,0,2,11,23,63,0,0,16,49,22,13,0,0,3,8,19,70,0,0,12,24,26,38,64,0,31,5,64,7,3,26,64,6,8,22,0,1,58,41,59,0,23,18,77,0,7,2,0,3,0,0,11,19,0,3,3,5,9,4,1,14,4,0,2,6,1,12,2,15,0,1,27,70,0,2,0,0,0,100,0,0,0,0,0,3,2,59,16,20,3,0,36,33,20,4,4,3.1428571428571432,3.3682262001224967,3.8181818181818183,3.2501748204729486,13.474226804123713,4.543981329519748,2.086021505376344,1.3076357189391605
HR,HRV,Croatia,3,2021-01-16,2021-01-15,100,0,0,0,0,44,100,539188.9279742073,97,0,0,100,0,12,88,0,3,97,0,22,78,0,20,80,0,5,95,0,5,95,0,2,98,0,4,96,0,3,97,0,4,96,0,19,81,0,1,99,0,12,88,100,0,0,0,88,0,7,5,97,0,2,1,78,0,9,13,80,0,10,10,95,0,2,3,95,0,4,1,98,0,2,0,96,0,0,4,97,0,2,1,96,0,2,2,81,0,4,15,99,0,1,0,88,0,3,9,0,0,13,87,87,0,4,9,0,0,36,64,64,2,7,27,93,0,2,5,0,93,3,4,0,97,0,1,2,0,9,2,4,85,0,0,4,96,0,96,0,4,0,0,0,4,0,24,33,28,11,4,1,31,50,14,4,2,29,50,15,4,1,20,59,16,4,1,9,59,27,4,2,0,41,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,37,33,17,0,0,0,0,0,0,0,0,0,0,0,0,96,2,0,2,96,2,0,2,96,2,1,1,96,2,0,2,96,2,0,2,96,2,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,29,71,0,1,75,24,0,2,17,81,0,0,63,37,0,2,5,93,0,0,9,91,0,0,56,44,44,0,32,15,5,4,0,0,0,4,34,62,0,1,99,0,0,1,13,86,0,0,34,45,8,10,2,1,0,0,23,12,33,32,0,0,9,46,28,17,0,0,7,92,1,0,0,0,4,96,0,71,0,21,8,25,1,73,1,83,1,16,0,37,1,39,23,95,1,2,2,91,0,9,0,0,0,0,6,8,28,58,0,0,1,4,6,29,60,0,1,21,54,17,7,0,1,4,14,19,62,0,0,13,19,29,39,68,3,24,5,68,13,5,14,68,11,8,13,0,0,65,35,65,0,16,19,84,3,2,0,2,2,1,1,5,19,0,3,9,8,7,3,5,7,11,0,3,4,3,5,2,11,0,2,33,64,0,1,0,0,0,0,100,0,0,0,0,3,1,57,13,26,3,0,24,36,26,10,1,3.217391304347826,3.558483094292728,3.3846153846153846,2.59930957302324,13.135,3.7945036007042576,2.3854166666666665,1.3088346899490535
HR,HRV,Croatia,4,2021-01-16,2021-01-15,100,0,0,0,0,31,100,813008.8504956516,99,0,1,99,1,7,92,0,3,97,0,18,82,0,9,91,1,5,94,0,9,91,0,3,97,0,3,97,0,2,98,0,4,96,1,12,87,0,1,99,0,14,86,99,0,1,0,93,0,2,5,97,2,0,1,82,2,7,9,91,1,1,7,95,0,2,3,91,1,3,5,97,1,1,1,97,0,1,2,98,0,0,2,96,0,2,2,88,1,3,8,99,0,1,0,86,2,4,8,0,0,10,90,90,0,3,7,0,0,29,71,71,0,8,21,92,0,3,5,0,92,1,7,0,99,0,1,0,0,8,0,5,87,0,1,5,94,0,95,0,5,0,0,0,5,0,33,40,14,8,5,7,26,49,13,5,5,32,45,13,5,8,29,44,14,5,8,19,43,25,5,10,2,38,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,33,28,0,0,0,0,0,0,0,0,0,0,0,0,95,1,2,2,95,2,0,3,95,1,3,1,95,2,0,3,95,2,1,2,95,2,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,23,76,0,0,65,35,0,2,14,84,0,1,41,58,0,3,5,92,0,2,6,92,0,0,34,66,66,0,22,7,3,2,0,0,0,6,26,68,0,0,100,0,0,0,12,88,0,0,31,45,9,12,1,2,0,0,30,20,31,19,0,0,25,47,16,12,0,0,19,81,0,0,0,0,16,83,1,77,0,16,7,35,1,63,1,86,0,12,2,59,0,26,15,95,0,3,2,94,0,6,0,0,0,0,2,13,32,53,0,0,0,2,11,28,59,0,0,28,43,20,9,0,0,3,11,26,60,0,0,8,23,33,36,69,1,21,9,69,8,6,17,69,8,5,18,0,1,69,30,70,0,16,14,84,0,1,2,0,3,2,0,8,15,1,2,9,5,6,4,2,9,3,0,7,9,5,10,4,9,0,4,45,51,0,0,0,0,0,0,0,100,0,0,0,1,1,49,29,20,1,0,16,30,37,8,8,4.057142857142857,4.2698867400797935,3.6249999999999996,3.0676887530703447,13.110526315789473,3.4333927666751958,2.020618556701031,1.3305652107539594
HR,HRV,Croatia,5,2021-01-16,2021-01-14,100,0,0,0,0,37.2,97,645511.8993467736,97,4,0,96,3,10,87,4,0,96,4,12,84,3,19,78,3,4,93,4,1,95,4,2,94,5,0,95,2,1,97,4,3,93,4,9,87,3,1,96,4,8,88,100,0,0,0,90,0,3,7,100,0,0,0,88,0,5,7,81,0,8,11,96,0,1,3,99,0,0,1,98,0,0,2,100,0,0,0,99,0,0,1,97,0,1,2,91,0,1,8,99,0,0,1,92,0,5,3,0,3,17,80,83,0,2,15,0,2,24,74,76,1,6,17,94,0,1,5,0,94,1,5,0,99,0,0,1,0,9,3,8,80,0,0,6,93,1,94,0,5,1,0,0,6,0,40,26,23,5,6,11,24,46,13,6,5,37,33,19,6,11,34,30,19,6,11,16,40,27,6,12,1,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,24,35,25,0,0,0,0,0,0,0,0,0,0,0,0,92,3,1,4,92,4,0,4,92,1,5,2,92,2,2,4,92,3,0,5,92,3,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,23,75,0,0,79,21,0,2,20,78,0,1,45,54,0,2,3,95,0,2,10,88,0,0,35,65,65,0,23,8,2,2,0,0,0,7,37,56,0,1,99,0,0,0,17,83,0,0,32,42,15,8,1,2,0,0,35,21,24,20,0,1,15,54,13,17,0,1,32,66,1,0,0,0,24,76,0,77,0,21,2,21,2,75,2,80,0,20,0,55,2,32,11,97,0,3,0,90,0,7,3,0,4,0,5,5,32,54,0,3,0,2,7,28,60,0,0,27,46,16,11,0,0,1,11,26,62,0,0,14,23,34,29,63,5,23,9,63,14,5,18,63,13,7,17,0,0,48,52,48,0,20,32,80,2,4,0,2,0,0,0,12,32,1,5,2,2,5,4,4,6,4,0,5,4,7,5,4,10,0,1,44,54,0,1,0,0,0,0,0,0,100,0,0,2,10,57,15,16,2,6,31,26,24,4,7,4.54054054054054,4.200493321521193,2.683333333333333,1.8099891176635858,13.484536082474227,3.406835659321123,1.8988764044943822,1.2706918643384857
