ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GH,GHA,Ghana,-99,2020-12-22,2020-12-21,100,1,110859.564808157,1,110859.564808157,8,77,6503017.095678094,0,5,6,89,3,11,86,5,2,93,6,22,72,6,13,81,5,20,75,5,6,89,5,8,87,4,7,89,7,6,87,4,14,82,6,22,72,6,2,92,6,13,81,94,0,3,3,89,1,4,6,98,0,1,1,78,1,9,12,87,0,4,9,80,2,13,5,94,0,3,3,92,1,2,5,93,1,5,1,94,0,5,1,86,4,4,6,78,3,13,6,98,0,2,0,87,1,7,5,21,2,8,69,92,0,7,1,22,2,15,61,85,0,3,12,97,0,3,0,97,0,0,3,0,100,0,0,0,28,5,20,47,100,0,31,2,18,24,15,10,41,1,25,14,19,41,6,22,14,17,41,6,26,11,16,41,6,23,13,17,41,6,13,11,29,0,82,6,7,5,82,5,8,5,82,2,11,5,82,7,3,8,82,7,6,5,82,7,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,0,24,30,46,1,26,27,46,2,21,31,46,2,27,25,46,2,22,30,46,2,27,25,54,0,18,28,82,0,9,6,1,2,60,0,1,8,15,16,60,2,37,1,64,1,7,28,64,1,12,8,8,2,0,5,64,1,10,13,6,6,65,0,12,13,8,2,66,0,0,28,6,78,1,1,15,5,80,1,16,3,76,1,19,4,81,1,12,6,76,1,14,9,79,1,14,6,75,1,21,3,86,0,3,1,0,0,10,86,0,0,2,2,1,9,91,0,2,3,2,2,91,0,1,0,1,7,91,0,2,2,2,3,97,0,1,2,97,1,0,2,97,1,2,0,92,0,6,2,98,1,1,100,0,0,0,0,0,0,0,0,96,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.1315789473684212,2.1330228851875916,1,0,0,0,0,0
GH,GHA,Ghana,2,2020-12-22,2020-12-21,100,2,83778.3598974259,1,42374.9137558146,10,100,5863208.741127815,99,3,7,90,3,10,87,3,3,94,3,13,84,3,11,86,2,12,86,3,5,92,2,5,93,3,7,90,1,6,93,2,6,92,3,16,81,3,1,96,3,18,79,93,0,2,5,90,0,3,7,97,0,1,2,87,0,5,8,89,0,3,8,88,0,6,6,95,0,2,3,95,0,4,1,93,0,3,4,94,0,4,2,94,0,3,3,84,0,5,11,99,0,1,0,82,1,6,11,0,0,7,93,93,0,4,3,0,2,23,75,77,1,10,12,90,0,9,1,90,0,2,8,0,98,2,0,0,13,2,22,63,100,0,0,0,39,24,16,21,24,2,32,12,30,24,4,41,8,23,24,2,46,8,20,24,2,38,14,22,24,3,15,7,51,0,78,7,5,10,78,6,9,7,78,2,15,5,78,5,3,14,78,6,10,6,78,8,4,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,53,45,0,2,64,34,0,3,38,59,0,2,53,45,0,3,45,52,0,3,52,45,0,0,52,48,48,0,30,6,5,11,0,1,2,19,51,27,0,0,96,4,0,2,22,76,0,0,35,28,26,4,5,2,0,0,28,30,32,10,0,0,19,39,34,8,0,0,2,87,11,0,2,6,78,14,47,2,44,7,36,3,50,11,62,2,31,5,47,3,35,15,55,2,36,7,48,3,42,7,0,0,4,0,14,16,66,0,0,2,5,20,15,58,0,1,33,20,23,23,0,0,27,16,29,28,0,1,42,26,21,10,32,0,63,5,32,12,28,28,32,11,42,15,0,0,59,41,59,29,12,71,0,14,1,4,2,0,1,7,12,0,3,8,6,15,1,5,16,2,2,6,4,3,1,2,14,0,1,79,20,0,0,0,0,100,0,0,0,0,0,1,4,39,42,14,1,1,28,23,16,10,21,2.4615384615384617,1.61441470559115,1.5,1.224744871391589,11.927083333333334,7.208539952418523,2.3789473684210525,1.7392768573640454
GH,GHA,Ghana,-99,2020-12-23,2020-12-22,100,2,59205.135764351,2,59205.135764351,10,75,6993882.039087094,0,3,6,91,6,13,81,4,2,94,5,19,76,5,13,82,5,18,77,4,7,89,6,7,87,4,11,85,6,6,88,4,7,89,5,22,73,5,5,90,5,20,75,94,0,1,5,87,0,7,6,98,0,2,0,81,0,7,12,87,0,4,9,82,0,10,8,93,0,2,5,93,0,3,4,89,0,6,5,94,0,4,2,93,1,1,5,78,0,10,12,95,0,5,0,80,0,15,5,24,1,8,67,93,0,5,2,28,1,16,55,84,0,3,13,97,0,2,1,97,0,0,3,0,100,0,0,0,34,4,16,46,100,0,37,1,23,16,13,10,44,4,22,11,19,44,8,21,10,17,44,7,31,5,13,44,8,24,9,15,44,10,10,12,24,0,87,1,5,7,87,2,7,4,87,2,6,5,87,2,3,8,87,2,6,5,87,2,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,49,2,24,25,49,3,26,22,49,4,20,27,49,2,24,25,49,4,17,30,49,4,21,26,55,0,21,24,79,0,9,5,3,4,58,0,4,7,10,21,58,2,38,2,63,0,5,32,63,1,16,8,8,2,0,2,63,1,11,5,13,7,65,0,9,13,8,5,68,0,2,25,5,80,1,2,13,4,79,0,18,3,76,1,20,3,82,0,14,4,78,0,15,7,84,0,12,4,80,1,18,1,87,0,1,0,0,1,11,87,0,0,0,1,2,10,91,0,4,0,0,5,91,0,1,2,3,3,91,0,5,1,1,2,94,0,5,1,94,2,2,2,94,1,4,1,93,0,5,2,98,2,0,100,0,0,0,0,0,0,0,0,95,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.1794871794871793,1.8045526471705546,1.5,1,0,0,0,0
GH,GHA,Ghana,2,2020-12-23,2020-12-22,100,0,0,0,0,19,100,5948578.076360796,99,2,5,93,2,8,90,2,3,95,2,13,85,2,13,85,1,16,83,2,4,94,0,8,92,2,4,94,1,7,92,1,8,91,2,16,82,2,2,96,3,20,77,95,0,1,4,92,0,3,5,97,0,1,2,87,0,5,8,87,0,4,9,84,0,7,9,96,0,2,2,92,0,7,1,96,0,1,3,93,1,3,3,92,0,2,6,84,0,4,12,98,0,0,2,80,1,6,13,0,0,12,88,88,0,8,4,0,1,24,75,76,1,7,16,93,0,6,1,93,0,1,6,0,99,1,0,0,9,1,26,64,100,0,0,1,35,29,17,18,0,0,46,16,38,0,2,53,15,30,0,3,53,20,24,0,3,48,21,28,0,2,18,9,71,0,74,5,8,13,74,6,11,9,74,3,18,5,74,6,3,17,74,5,13,8,74,7,4,15,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,54,45,0,1,63,36,0,2,45,53,0,1,57,42,0,1,43,56,0,1,58,41,0,0,55,45,45,1,27,7,5,15,0,0,4,21,47,28,0,1,90,9,0,2,20,78,0,0,28,35,26,3,5,3,0,0,26,24,35,15,0,0,16,50,24,10,0,0,3,87,10,0,1,3,86,10,46,2,43,9,37,3,47,13,55,3,36,6,43,3,37,17,57,2,33,8,42,3,45,10,0,0,5,3,13,11,68,0,0,3,5,17,13,62,0,2,30,21,24,23,0,0,23,14,31,32,0,1,37,28,26,8,35,2,60,3,35,14,29,22,35,14,34,17,0,0,68,32,68,23,9,77,0,8,1,3,4,0,1,6,9,0,6,6,5,14,1,7,17,3,1,4,5,2,1,4,15,0,0,81,19,0,0,0,0,100,0,0,0,0,0,0,4,41,40,15,0,0,34,23,13,12,18,2.607843137254902,1.6009800919755248,1.7777777777777777,1.092906420717,11.377551020408163,6.964586867096199,2.372340425531915,1.7288447417072619
GH,GHA,Ghana,-99,2020-12-24,2020-12-23,100,4,170642.2575312534,1,18822.7675416377,9,90,7536181.010034583,0,3,9,88,4,13,83,3,4,93,3,16,81,3,12,85,3,17,80,3,5,92,3,5,92,4,7,89,4,6,90,3,9,88,2,26,72,3,5,92,2,21,77,91,1,4,4,87,1,6,6,96,0,2,2,84,0,5,11,88,1,4,7,83,1,9,7,95,0,1,4,95,0,4,1,93,1,4,2,94,1,3,2,91,1,2,6,74,2,11,13,95,0,5,0,79,2,15,4,10,0,5,85,96,0,3,1,14,1,15,70,85,0,3,12,97,0,3,0,97,0,2,1,0,99,1,0,0,20,2,13,65,100,0,21,0,24,22,14,19,28,3,30,11,28,28,9,32,8,23,28,8,39,6,19,28,8,31,10,23,28,12,12,8,40,0,90,2,4,4,90,1,6,3,90,2,4,4,90,2,1,7,90,2,3,5,90,1,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,35,3,30,32,35,4,34,27,35,6,21,38,35,2,37,26,35,5,23,37,35,5,28,32,42,0,28,30,72,0,13,4,5,6,45,0,5,13,20,17,45,1,52,2,49,0,10,41,49,0,24,11,7,5,2,2,49,0,18,5,18,10,54,2,7,19,13,5,61,0,1,31,7,70,1,1,24,4,74,0,22,4,71,1,26,2,82,0,14,4,67,0,20,13,80,0,13,7,74,1,20,5,74,0,0,1,0,2,23,74,0,0,1,0,5,20,80,0,8,3,2,7,80,0,2,2,7,9,80,0,7,4,1,8,92,0,6,2,92,3,1,4,92,2,3,3,88,0,4,8,92,4,4,99,0,1,0,0,0,0,0,0,95,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.272727272727273,1.5456410781597112,2,2,0,0,0,0
GH,GHA,Ghana,2,2020-12-24,2020-12-22,100,1,59694.6959910192,0,0,16,100,7400036.028789902,99,2,3,95,2,13,85,3,3,94,3,12,85,2,11,87,1,17,82,3,4,93,1,8,91,3,6,91,3,6,91,2,10,88,3,19,78,3,3,94,3,23,74,97,0,2,1,87,0,5,8,97,0,0,3,88,0,6,6,89,1,4,6,83,1,9,7,96,0,2,2,92,0,6,2,94,0,3,3,94,1,4,1,90,1,2,7,81,0,6,13,97,0,0,3,77,1,6,16,0,0,9,91,91,0,6,3,0,0,18,82,82,1,5,12,95,1,4,0,95,0,1,4,0,99,0,1,0,6,1,29,64,100,0,0,2,35,29,14,20,0,0,42,14,44,0,6,44,17,33,0,3,55,22,20,0,3,48,22,27,0,4,13,6,77,0,71,7,8,14,71,8,11,10,71,5,17,7,71,9,4,16,71,5,15,9,71,9,6,14,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,54,45,0,1,67,32,0,2,47,51,0,1,52,47,0,1,40,59,0,1,57,42,0,0,51,49,49,1,26,7,3,14,0,0,6,28,37,29,0,1,89,10,0,1,21,78,0,0,24,33,25,6,7,5,0,0,26,23,31,20,0,0,23,42,19,16,0,0,4,83,13,0,0,2,86,12,46,1,43,10,33,1,52,14,53,1,37,9,48,1,32,19,60,1,31,8,43,1,40,16,0,0,6,5,11,11,67,0,0,3,8,18,11,60,0,3,36,16,23,22,0,0,24,12,30,34,0,0,41,20,26,13,39,4,50,7,39,14,24,23,39,13,29,19,0,1,70,29,71,21,8,79,0,7,1,2,4,0,1,6,9,0,5,9,3,18,1,9,14,5,0,5,3,1,0,4,14,0,1,75,23,1,0,0,0,100,0,0,0,0,0,0,2,40,45,13,0,0,41,24,10,10,15,2.7169811320754715,1.6335115371324587,2,0.8164965809277259,11.082474226804123,6.68591508180441,2.393617021276596,1.924477782015319
GH,GHA,Ghana,-99,2020-12-25,2020-12-24,100,4,246833.67532343912,1,57993.8125984643,25,88,8038535.938052289,0,2,7,91,3,16,81,5,3,92,4,16,80,3,10,87,3,16,81,3,7,90,4,5,91,4,2,94,3,8,89,3,9,88,3,20,77,3,4,93,2,17,81,93,0,3,4,84,0,8,8,97,0,0,3,84,0,3,13,90,1,5,4,84,1,7,8,93,0,3,4,95,0,3,2,98,0,2,0,92,2,3,3,91,1,2,6,80,1,8,11,96,0,2,2,83,1,10,6,12,0,13,75,89,0,6,5,22,3,14,61,86,0,3,11,97,0,3,0,97,0,2,1,0,99,1,0,0,29,1,13,57,100,0,27,0,24,15,11,23,42,0,24,10,24,42,6,26,6,20,42,4,31,5,18,42,3,25,8,22,42,5,12,3,38,0,88,4,2,6,88,2,6,4,88,2,8,2,88,3,2,7,88,3,3,6,88,3,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,4,20,28,48,5,28,19,48,6,22,24,48,2,31,19,48,4,27,21,48,4,22,26,53,0,20,27,80,0,11,5,1,3,55,0,3,12,17,13,55,0,43,2,59,0,8,33,59,0,18,13,3,6,1,0,59,0,14,8,11,8,62,1,8,17,10,2,65,1,0,28,6,72,1,0,23,4,81,0,15,4,74,0,20,6,79,0,15,6,71,0,18,11,75,0,20,5,79,0,16,5,76,0,1,1,3,1,18,76,1,1,2,1,3,16,80,0,3,4,7,6,80,0,2,3,4,11,80,0,4,5,4,7,93,2,4,1,93,3,0,4,93,4,2,1,88,0,4,8,92,3,5,99,0,1,0,0,0,0,0,0,95,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.325,1.7004901254246279,2.7142857142857144,1.9760470401187071,0,0,0,0
GH,GHA,Ghana,2,2020-12-25,2020-12-23,100,1,59694.6959910192,0,0,15,100,7663013.925415958,99,0,4,96,0,12,88,2,3,95,2,11,87,1,12,87,1,16,83,2,4,94,2,7,91,2,6,92,3,4,93,2,10,88,3,16,81,2,2,96,2,15,83,96,0,2,2,88,0,5,7,97,0,0,3,89,0,5,6,88,1,5,6,84,1,9,6,96,0,2,2,93,0,4,3,94,0,3,3,96,0,3,1,90,1,3,6,84,0,6,10,98,0,0,2,85,0,5,10,0,0,10,90,90,0,6,4,0,0,21,79,79,0,7,14,93,1,6,0,93,1,1,5,0,99,0,1,0,7,2,26,65,100,0,0,2,30,30,21,17,0,1,43,12,44,0,6,45,17,32,0,2,56,21,21,0,1,49,23,27,0,4,15,9,72,0,74,7,6,13,74,9,9,8,74,5,13,8,74,9,6,11,74,7,10,9,74,9,5,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,58,41,0,1,72,27,0,2,42,56,0,0,54,46,0,1,44,55,0,1,59,40,0,0,51,49,49,1,26,10,6,8,0,0,4,32,31,33,0,2,88,10,0,1,28,71,0,0,19,39,19,8,9,6,0,0,27,29,28,16,0,0,19,49,24,8,0,0,6,81,13,0,1,5,80,14,42,1,49,8,28,1,57,14,58,0,32,10,46,1,36,17,56,1,38,5,41,1,44,14,0,0,4,6,9,14,67,0,0,3,5,18,15,59,0,3,41,12,26,18,0,1,23,13,28,35,0,2,44,19,21,14,37,4,50,9,37,13,26,24,37,11,32,20,0,2,71,27,73,21,6,79,0,9,1,1,3,0,0,7,8,0,9,10,4,17,1,5,13,4,0,6,2,1,0,6,14,0,2,73,23,2,0,0,0,100,0,0,0,0,0,0,3,33,53,11,0,0,41,25,11,12,11,2.5660377358490565,1.5380986509606862,1.714285714285714,0.7559289460184544,10.891304347826088,6.399616268954804,2.630434782608696,2.003937833829632
GH,GHA,Ghana,3,2020-12-25,2020-12-21,100,2,53932.2012054188,1,32432.061330492,13,100,5139342.414146402,100,1,7,92,1,9,90,1,1,98,1,15,84,0,17,83,0,13,87,1,5,94,0,2,98,0,13,87,0,3,97,0,5,95,1,23,76,1,4,95,2,17,81,93,1,4,2,91,1,2,6,99,0,0,1,85,0,8,7,83,1,8,8,87,1,6,6,95,0,3,2,98,1,0,1,87,0,4,9,97,0,1,2,95,0,2,3,77,0,11,12,96,1,3,0,83,1,5,11,0,0,8,92,92,0,5,3,0,1,20,79,80,1,5,14,95,0,4,1,95,0,2,3,0,98,0,2,0,7,0,30,63,100,0,0,0,42,26,18,14,6,0,48,16,30,6,8,44,16,26,6,6,53,10,25,6,7,49,11,27,6,7,16,9,62,0,70,11,9,10,70,8,6,16,70,4,19,7,70,12,4,14,70,11,8,11,70,11,8,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,59,40,0,1,61,38,0,0,41,59,0,0,53,47,0,0,44,56,0,1,38,61,0,0,50,50,50,0,26,12,5,7,0,0,4,24,36,36,0,0,99,1,0,0,26,74,0,1,38,29,19,10,2,1,0,1,21,25,33,20,0,2,30,38,24,6,0,1,3,92,4,0,2,4,84,10,41,3,50,6,39,2,48,11,59,3,32,6,47,2,33,18,56,1,35,8,62,0,31,7,0,1,2,6,10,9,72,0,0,2,2,18,14,64,0,2,30,22,27,19,0,1,12,15,31,41,0,3,38,16,20,23,46,1,45,8,46,12,15,27,46,12,28,14,0,0,66,34,66,27,7,73,2,13,2,3,2,0,0,5,7,0,8,4,9,23,1,6,6,4,2,3,7,3,1,2,14,0,1,90,9,0,0,0,0,0,100,0,0,0,0,0,1,46,43,10,0,1,29,32,13,14,11,2.5,1.989333257277583,1.625,0.7440238091428449,13.711458333333331,6.562811813811879,3.1083333333333334,1.921165581875351
GH,GHA,Ghana,-99,2020-12-26,2020-12-25,100,3,169499.7028293064,1,57993.8125984643,18,83,8842563.164512217,0,4,7,89,5,16,79,6,2,92,5,21,74,4,10,86,3,26,71,4,8,88,6,5,89,6,3,91,4,6,90,5,3,92,3,22,75,4,5,91,5,13,82,93,1,3,3,84,1,7,8,98,0,0,2,79,0,8,13,90,1,2,7,74,1,9,16,92,1,2,5,95,0,3,2,97,0,2,1,94,1,2,3,97,0,1,2,78,1,9,12,95,1,1,3,87,0,6,7,16,1,9,74,93,0,4,3,23,1,14,62,86,1,6,7,94,0,6,0,94,0,0,5,1,100,0,0,0,32,2,11,55,100,0,28,0,19,17,13,23,42,6,19,10,23,42,6,23,9,20,42,7,27,10,14,42,6,26,10,16,42,6,12,5,35,0,89,2,2,7,89,0,8,3,89,2,8,1,89,2,3,6,89,2,5,4,89,2,1,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,2,21,29,48,2,25,25,48,4,23,25,48,2,22,28,48,3,24,25,48,4,21,27,54,0,18,28,82,0,13,3,1,1,59,1,3,10,11,16,59,0,40,1,66,0,6,28,66,0,10,13,5,4,1,1,66,0,12,12,8,2,68,0,11,12,7,2,69,2,0,25,4,75,1,0,20,4,83,0,13,4,77,0,21,2,79,0,16,5,80,0,10,10,79,0,19,2,82,1,16,1,80,0,0,1,1,3,15,80,1,2,1,3,3,10,85,0,3,3,5,4,85,0,2,2,5,6,85,0,5,4,2,4,92,1,4,3,92,2,0,6,92,3,2,3,88,0,3,9,91,4,5,99,1,0,0,0,0,0,0,0,98,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.1463414634146343,1.9178239701515374,2.5,1.760681686165901,0,0,0,0
