ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CL,CHL,Chile,-99,2020-12-21,2020-12-21,287,1,12452.0682360976,0,0,36,209,3232904.397307184,0,8,4,275,7,20,260,9,6,272,8,34,245,5,50,232,7,40,240,10,23,254,8,11,268,8,19,260,6,3,278,7,24,256,6,63,218,8,8,271,7,63,217,283,0,1,3,267,2,10,8,282,0,1,4,255,1,16,15,240,2,18,27,249,3,15,20,264,1,12,10,278,0,4,5,270,2,10,5,284,0,2,1,263,1,14,9,227,4,29,27,280,0,5,2,228,0,31,28,75,3,17,192,274,0,3,10,82,10,74,121,214,1,24,48,263,1,22,1,263,8,16,0,281,1,5,0,121,5,18,143,287,0,0,0,0,91,2,66,68,37,23,223,8,32,13,11,223,11,36,10,7,223,16,26,11,11,223,16,22,12,14,223,16,8,5,35,270,6,5,6,270,5,3,9,270,5,4,8,270,4,4,9,270,6,2,9,270,6,5,6,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,287,0,0,0,135,5,63,84,135,0,103,49,135,6,30,116,135,4,73,75,135,5,10,137,135,4,45,103,149,1,74,63,213,0,53,14,4,3,163,1,1,11,46,65,163,3,121,0,174,2,20,91,174,0,101,6,0,1,0,5,174,0,27,34,32,20,177,6,39,44,12,9,287,287,228,0,57,2,187,1,95,4,258,0,28,1,216,0,54,17,277,0,8,2,243,2,40,2,189,1,3,3,9,21,61,189,2,0,4,9,24,59,195,3,47,26,10,6,195,0,19,23,27,23,195,0,29,35,15,13,233,5,40,9,233,13,25,16,233,11,26,17,214,0,31,42,245,0,28,14,274,3,1,1,0,1,2,1,4,246,1,2,2,5,3,2,0,2,3,0,3,1,0,1,2,14,287,0,0,0,0,0,287,0,0,0,0,0,0,0,0,287,0,0,0,0,287,0,0,0,0,0,0,2.5774647887323945,1.8720651074681132,2.727272727272727,1.8488325554743508,0,0,0,0
CL,CHL,Chile,2,2020-12-21,2020-12-21,169,0,0,0,0,34,169,1781818.2302932662,163,0,2,167,0,7,162,0,2,167,0,25,144,0,40,129,0,28,141,0,15,154,0,6,163,0,6,163,0,3,166,0,21,148,0,50,119,0,4,165,0,42,127,167,0,2,0,162,0,3,4,167,0,2,0,144,0,10,15,129,0,10,30,141,1,10,17,154,1,2,12,163,0,5,1,163,1,3,2,166,0,2,1,148,1,10,10,119,0,9,41,165,0,4,0,127,0,19,23,0,0,16,153,153,0,3,13,0,0,66,103,103,1,17,48,152,0,14,3,152,4,13,0,165,2,2,0,18,0,20,131,169,0,0,0,0,0,0,46,83,24,16,105,0,27,27,10,105,2,32,25,5,105,2,30,22,10,105,2,20,24,18,105,2,4,9,49,149,4,7,9,149,5,5,10,149,4,6,10,149,3,11,6,149,4,6,10,149,3,6,11,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,0,3,56,110,0,1,100,68,0,4,46,119,0,2,91,76,0,4,16,149,0,3,41,125,0,0,98,71,71,0,64,23,7,4,0,0,0,13,52,104,0,0,169,0,0,2,37,130,0,0,156,6,1,2,1,3,0,0,29,44,74,22,0,0,59,84,23,3,169,169,113,0,55,1,69,0,98,2,123,0,43,3,78,0,52,39,153,0,10,6,128,0,40,1,0,0,4,10,30,43,82,0,1,2,17,37,51,61,0,1,92,57,14,5,0,1,27,45,52,44,0,0,54,53,39,23,62,3,90,14,62,12,38,57,62,10,55,42,0,1,101,67,102,1,26,40,143,0,1,0,8,2,1,1,13,42,1,4,10,4,13,4,6,11,4,2,4,12,7,3,4,38,0,2,69,97,0,1,0,0,0,169,0,0,0,0,0,3,3,135,17,11,3,1,25,65,45,19,11,2.5728155339805827,1.8074027609109395,2.2,1.1464230084422218,10.106451612903227,6.185704900768927,3.208588957055215,1.4335227597915088
CL,CHL,Chile,3,2020-12-21,2020-12-21,158,1,8775.74047429191,1,8775.74047429191,23,157,1518467.3071216475,155,2,2,154,2,12,144,2,1,155,2,16,140,0,29,129,2,18,138,2,17,139,2,3,153,1,5,152,2,2,154,2,11,145,2,34,122,2,0,156,2,28,128,156,0,1,1,146,1,7,4,157,0,1,0,142,0,10,6,129,0,8,21,140,0,6,12,141,0,10,7,155,0,2,1,153,0,4,1,156,0,2,0,147,0,7,4,124,0,12,22,158,0,0,0,130,1,17,10,0,1,12,145,146,0,3,9,0,1,54,103,104,2,15,37,143,0,14,1,143,5,10,0,153,1,4,0,18,2,10,128,158,0,0,0,0,0,0,60,55,27,16,102,2,21,16,17,102,3,26,12,15,102,4,27,11,14,102,3,19,14,20,102,2,7,2,45,148,3,3,4,148,5,5,0,148,3,4,3,148,4,1,5,148,5,1,4,148,4,3,3,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,158,0,0,0,0,2,60,96,0,1,107,50,0,1,29,128,0,1,72,85,0,2,11,145,0,1,42,115,0,0,84,74,74,0,61,15,5,3,0,2,0,10,46,100,0,0,158,0,0,1,35,122,0,0,146,2,1,3,0,6,0,0,24,46,61,27,0,0,50,85,17,6,158,158,98,1,57,2,51,1,106,0,129,0,28,1,86,0,38,34,147,0,8,3,116,1,41,0,0,0,0,8,32,29,89,0,0,1,9,30,42,76,0,0,86,50,14,8,0,0,31,37,41,49,0,0,44,50,38,26,64,2,69,23,64,12,38,44,64,11,55,28,0,1,98,59,99,1,26,32,132,1,5,0,4,1,3,2,10,34,0,7,8,3,16,2,4,10,6,7,4,8,5,0,5,39,0,1,66,91,0,0,0,0,0,0,158,0,0,0,0,2,2,123,20,11,2,1,26,52,52,18,7,2.8550724637681157,1.857222485950146,2,1,10.433774834437086,6.190766106788599,3.2483660130718954,1.5143221766278017
CL,CHL,Chile,4,2020-12-21,2020-12-21,157,0,0,0,0,32,156,1594761.4467533005,153,2,1,154,0,9,148,1,0,156,2,8,147,1,18,138,2,14,141,1,10,146,1,1,155,2,5,150,2,2,153,2,7,148,1,24,132,1,3,153,1,23,133,156,0,0,1,148,1,4,4,157,0,0,0,149,0,5,3,139,0,4,14,143,0,3,11,147,0,3,7,156,0,1,0,152,0,4,1,155,1,0,1,150,0,4,3,133,0,13,11,154,0,2,1,134,0,8,15,0,1,13,143,144,0,4,9,0,0,58,99,99,0,14,44,143,1,13,0,143,3,11,0,154,0,2,1,14,1,19,123,157,0,0,0,0,0,0,76,50,20,11,95,5,28,21,8,95,2,41,14,5,95,0,42,16,4,95,3,33,21,5,95,4,6,12,40,138,4,8,7,138,5,7,7,138,7,6,6,138,7,8,4,138,8,3,8,138,6,5,8,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,157,0,0,0,0,5,60,92,0,3,93,61,0,9,21,127,0,7,53,97,0,9,8,140,0,4,34,119,0,0,78,79,79,0,46,16,4,12,0,0,1,7,38,111,0,0,156,1,0,2,28,127,0,0,141,8,0,1,0,7,0,0,31,42,49,35,0,2,58,77,15,5,157,157,97,2,57,1,64,1,90,2,136,0,21,0,104,1,35,17,149,0,6,2,123,0,32,2,0,0,3,4,22,27,101,0,0,0,7,26,27,97,0,2,90,46,13,6,0,1,30,35,49,42,0,0,47,45,37,28,65,2,78,12,65,15,46,31,65,8,51,33,0,1,97,59,98,0,32,27,125,1,5,2,4,1,4,4,11,28,0,8,9,5,9,3,3,13,7,6,6,8,6,1,4,41,0,3,67,87,0,0,0,0,0,0,0,157,0,0,0,3,2,122,18,12,3,0,13,39,68,21,13,2.7258064516129026,1.8391850907373302,2.727272727272727,1.7939291563999449,11.216783216783215,5.909100000750645,3.3666666666666663,1.4765126093124343
CL,CHL,Chile,5,2020-12-21,2020-12-21,134,0,0,0,0,29,134,1014394.3141693744,128,2,0,132,1,10,123,2,3,129,2,10,122,3,16,115,3,14,117,4,5,125,3,1,130,3,3,128,3,1,130,2,4,128,2,21,111,3,2,129,3,11,120,134,0,0,0,124,0,4,6,131,0,0,3,124,0,5,5,118,0,5,11,120,0,6,8,129,0,3,2,133,0,1,0,131,0,1,2,133,0,1,0,130,0,3,1,113,0,7,14,132,0,1,1,123,0,3,8,0,0,14,120,120,0,3,11,0,1,51,82,83,0,12,39,122,1,10,1,122,2,10,0,132,1,1,0,13,6,10,105,134,0,0,0,0,0,0,57,42,16,19,78,5,28,11,12,78,2,34,10,10,78,2,31,11,12,78,3,27,11,15,78,3,4,5,44,124,3,6,1,124,4,3,3,124,5,3,2,124,6,3,1,124,6,2,2,124,6,0,4,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,0,2,50,82,0,0,91,43,0,2,26,106,0,2,54,78,0,2,4,128,0,1,43,90,0,3,72,59,62,0,46,14,6,6,0,0,1,9,44,80,0,0,134,0,0,1,26,107,0,1,119,4,0,0,0,10,0,1,32,43,31,27,0,1,43,64,17,9,134,134,84,2,48,0,43,3,87,1,108,0,25,1,80,0,38,16,130,0,4,0,91,3,40,0,0,0,1,5,22,24,82,0,0,1,3,13,39,78,0,0,69,30,18,17,0,0,15,27,38,54,0,0,22,39,34,39,73,5,46,10,73,12,22,27,73,6,37,18,0,0,72,62,72,0,32,30,102,1,5,2,3,3,1,2,15,30,0,5,6,7,15,2,1,7,7,4,2,5,4,4,7,28,0,2,66,66,0,0,0,0,0,0,0,0,134,0,0,4,6,103,9,12,4,2,20,39,37,24,8,2.6486486486486487,1.85915476936603,2.4000000000000004,1.7126976771553504,11.991452991452991,5.326407417205733,3.0569105691056913,1.5111650754894985
CL,CHL,Chile,-99,2020-12-22,2020-12-22,294,1,21005.5924407687,0,0,30,214,3122447.061488101,0,6,2,286,7,29,258,6,12,276,7,45,242,6,49,239,5,45,244,7,29,258,7,15,272,6,14,274,5,5,284,5,21,268,7,62,225,8,12,274,7,59,228,292,1,0,1,265,5,12,12,282,6,2,4,249,4,18,23,245,5,18,26,249,2,16,27,265,5,12,12,279,3,8,4,280,2,5,7,289,0,3,2,273,3,9,9,232,5,24,33,282,4,4,4,235,5,26,28,80,0,23,191,274,0,5,15,89,7,82,116,212,2,29,51,265,1,26,2,265,8,21,0,286,1,7,0,127,4,26,137,294,0,0,0,0,97,0,70,61,35,31,124,12,77,46,35,124,27,74,42,27,124,23,77,35,35,124,25,58,48,39,124,31,17,20,102,272,7,8,7,272,7,5,10,272,8,6,8,272,7,10,5,272,9,2,11,272,7,6,9,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,134,5,76,79,134,3,108,49,134,9,43,108,134,7,68,85,134,9,15,136,134,5,52,103,147,0,70,77,224,1,47,14,1,7,162,1,0,11,43,77,162,1,131,0,180,2,28,84,180,0,104,4,0,0,1,5,180,1,38,26,30,19,187,2,50,36,14,5,294,294,222,0,69,3,190,1,103,0,254,0,39,1,230,0,40,24,279,0,13,2,243,0,51,0,200,0,3,0,7,17,67,200,0,1,4,6,15,68,211,1,37,24,10,11,211,0,14,22,25,22,211,0,19,26,15,23,254,4,30,6,254,10,8,22,254,8,19,13,223,4,35,32,262,0,18,14,285,2,1,0,0,0,0,0,6,257,1,3,3,2,7,0,0,2,0,1,1,0,3,0,1,13,294,0,0,0,0,0,294,0,0,0,0,0,0,0,0,294,0,0,0,0,294,0,0,0,0,0,0,2.750632911392405,2.0336195732355016,1.583333333333333,1.2401124093721456,0,0,0,0
CL,CHL,Chile,1,2020-12-22,2020-12-22,108,0,0,0,0,12,108,1250342.353423455,102,0,0,108,0,13,95,0,4,104,0,17,91,0,32,76,0,18,90,0,14,94,0,4,104,0,7,101,0,0,108,0,15,93,0,36,72,0,2,106,0,29,79,108,0,0,0,95,0,4,9,104,0,1,3,91,0,6,11,76,0,11,21,90,0,8,10,94,0,8,6,104,0,3,1,101,0,5,2,108,0,0,0,93,0,6,9,72,0,13,23,106,0,0,2,79,0,9,20,0,0,7,101,101,0,2,5,0,0,37,71,71,1,8,28,100,0,8,0,100,1,7,0,107,0,1,0,9,0,14,85,108,0,0,0,0,0,0,40,39,24,5,0,0,43,56,9,0,0,60,41,7,0,0,59,32,17,0,0,36,41,31,0,0,9,27,72,94,4,4,6,94,4,4,6,94,4,5,5,94,4,6,4,94,6,0,8,94,6,1,7,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,108,0,0,0,0,1,31,76,0,0,68,40,0,2,28,78,0,2,54,52,0,1,15,92,0,1,43,64,0,0,50,58,58,1,38,6,2,3,0,0,2,5,37,64,0,0,108,0,0,0,15,93,0,0,98,4,2,0,0,4,0,1,23,37,28,19,0,0,41,48,18,1,108,108,77,1,29,1,40,1,67,0,80,0,27,1,54,1,34,19,93,0,13,2,65,2,41,0,0,0,2,11,21,32,42,0,0,5,23,23,27,30,0,1,56,36,9,6,0,1,20,26,29,32,0,1,42,34,19,12,32,4,60,12,32,8,31,37,32,8,40,28,0,1,51,56,52,0,18,38,90,0,1,0,2,5,1,0,9,39,0,5,8,2,3,1,1,3,0,1,4,3,0,3,2,33,0,3,40,60,3,2,0,0,108,0,0,0,0,0,0,5,5,75,11,12,5,0,6,19,57,20,1,2.8472222222222223,1.9037377780005684,1.7142857142857142,1.1126972805283737,9.71111111111111,5.694950344447075,3.4375000000000004,1.3518992488152985
CL,CHL,Chile,2,2020-12-22,2020-12-22,190,0,0,0,0,35,190,1660232.569785377,189,0,1,189,0,18,172,0,4,186,0,26,164,0,47,143,0,21,169,0,20,170,0,4,186,0,12,178,0,2,188,0,20,170,0,50,140,0,5,185,0,45,145,189,0,1,0,172,0,5,13,186,0,4,0,164,0,10,16,143,1,12,34,169,1,11,9,170,0,6,14,186,0,4,0,178,0,5,7,188,0,2,0,170,1,9,10,140,1,10,39,185,0,3,2,145,1,16,28,0,0,14,176,176,0,4,10,0,1,63,126,127,0,21,42,169,0,21,0,169,3,18,0,187,0,3,0,22,0,21,147,190,0,0,0,0,0,1,58,74,40,17,0,1,70,91,28,0,3,84,79,24,0,2,80,66,42,0,0,56,75,59,0,0,20,41,129,169,3,5,13,169,2,3,16,169,3,6,12,169,0,9,12,169,3,4,14,169,3,2,16,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,190,0,0,0,0,0,67,123,0,0,111,79,0,0,46,144,0,0,94,96,0,0,11,179,0,0,66,124,0,0,93,97,97,0,63,21,4,5,0,0,0,14,60,116,0,0,190,0,0,2,46,142,0,0,168,14,1,1,0,6,0,0,28,72,60,30,0,0,52,100,32,6,190,190,123,1,62,4,79,1,109,1,144,0,44,2,96,1,58,35,179,1,6,4,124,0,66,0,0,0,2,10,30,54,94,0,0,6,14,35,51,84,0,1,101,61,18,9,0,0,34,42,56,58,0,0,62,44,49,35,84,0,85,21,84,11,30,65,84,8,51,47,0,0,114,76,114,0,34,42,156,0,8,2,6,2,2,5,9,42,0,8,12,5,21,4,4,20,7,6,4,11,4,3,7,32,0,0,69,121,0,0,0,0,0,190,0,0,0,0,0,1,3,144,24,18,1,0,44,54,66,16,9,2.5309734513274336,1.5927895366988842,2.6153846153846154,1.8045526471705546,10.527777777777779,6.284396350664147,3.217391304347826,1.5100833180539928
CL,CHL,Chile,3,2020-12-22,2020-12-22,194,1,9043.92896429146,0,0,31,192,1708652.5487560318,188,1,1,192,1,13,180,1,2,191,0,20,174,1,39,154,1,17,176,0,19,175,1,3,190,1,4,189,1,2,191,1,12,181,1,40,153,1,5,188,1,47,146,193,0,0,1,181,0,5,8,192,0,0,2,174,0,11,9,155,0,14,25,177,0,8,9,175,0,13,6,191,0,2,1,190,0,3,1,192,0,1,1,182,0,5,7,154,0,10,30,189,0,2,3,147,0,20,27,0,2,15,177,179,0,6,9,0,1,78,115,116,0,20,58,174,2,18,0,174,3,17,0,191,1,1,1,21,1,19,153,194,0,0,0,0,0,0,83,65,29,17,0,4,87,62,41,0,8,114,44,28,0,7,98,47,42,0,7,83,51,53,0,6,18,39,131,175,4,5,10,175,5,2,12,175,5,7,7,175,2,9,8,175,6,3,10,175,7,2,10,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,0,0,80,114,0,0,131,63,0,1,47,146,0,0,104,90,0,0,22,172,0,0,60,134,0,2,121,71,73,0,85,19,8,9,0,1,0,11,55,127,0,1,193,0,0,0,47,147,0,0,177,8,0,2,0,7,0,0,30,62,61,41,0,1,69,83,31,10,194,194,114,0,76,4,63,1,130,0,147,1,46,0,90,0,76,28,172,0,19,3,134,0,60,0,0,0,1,4,33,46,110,0,0,2,5,37,45,105,0,1,115,50,18,10,0,0,35,43,49,67,0,0,59,52,40,43,83,4,86,21,83,12,53,46,83,11,61,39,0,0,121,73,121,0,36,37,158,1,3,0,8,4,2,1,17,37,0,6,6,6,18,5,4,18,8,1,4,15,5,6,6,49,0,3,89,102,0,0,0,0,0,0,194,0,0,0,0,3,1,150,19,21,3,1,20,57,71,33,9,2.6019417475728157,1.7950902857038387,2.3333333333333335,1.1547005383792515,10.547752808988765,6.004632910555714,3.444444444444444,1.4525594920739682
CL,CHL,Chile,4,2020-12-22,2020-12-22,159,0,0,0,0,34,159,1588336.8890588454,150,1,0,158,1,4,154,2,2,155,1,16,142,0,20,139,1,14,144,0,13,146,1,2,156,1,3,155,1,2,156,1,11,147,0,32,127,1,1,157,1,29,129,159,0,0,0,155,0,3,1,157,0,2,0,143,0,8,8,139,0,10,10,145,0,10,4,146,0,6,7,157,0,1,1,156,0,2,1,157,0,1,1,148,0,6,5,127,0,11,21,158,0,0,1,130,0,14,15,0,0,13,146,146,0,2,11,0,2,47,110,112,0,15,32,144,2,12,1,144,4,11,0,155,1,3,0,17,2,12,128,159,0,0,0,0,0,0,62,49,29,19,0,5,67,48,39,0,9,90,34,26,0,4,88,36,31,0,8,70,40,41,0,10,21,29,99,147,2,7,3,147,6,2,4,147,7,2,3,147,6,1,5,147,7,1,4,147,7,0,5,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,0,3,66,90,0,1,115,43,0,2,34,123,0,3,69,87,0,4,15,140,0,2,49,108,0,0,82,77,77,0,50,16,6,10,0,2,1,3,57,96,0,0,159,0,0,2,38,119,0,0,141,7,0,0,1,10,0,0,36,47,37,39,0,0,53,81,16,9,159,159,93,0,65,1,44,1,111,3,125,2,31,1,90,1,54,14,144,0,12,3,110,1,47,1,0,0,2,3,24,39,91,0,1,2,4,17,40,95,0,3,76,60,12,8,0,2,29,35,46,47,0,0,41,55,34,29,63,4,70,22,63,15,39,42,63,12,57,27,0,0,92,67,92,1,38,28,121,2,9,1,9,2,1,2,12,29,0,6,12,9,9,2,4,14,3,4,5,12,6,4,2,38,0,1,69,89,0,0,0,0,0,0,0,159,0,0,0,6,1,116,19,17,6,0,16,38,64,24,11,3.161290322580645,1.985137798306573,2.6153846153846154,1.8045526471705546,11.763333333333334,5.991519920852194,3.2434210526315783,1.4000790447236833
