ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AU,AUS,Australia,-99,2020-12-30,2020-12-21,2134,13,310433.28384180204,8,74671.70984932287,99,1800,25825018.236570008,0,18,26,2090,12,235,1887,20,66,2048,16,488,1630,14,322,1798,18,366,1750,15,145,1974,18,69,2047,20,135,1979,17,31,2086,21,124,1989,19,354,1761,18,35,2081,20,247,1867,2108,2,12,12,1899,10,91,134,2069,6,24,35,1646,16,125,347,1813,15,106,200,1768,15,85,266,1989,9,69,67,2067,6,21,40,1999,6,57,72,2103,4,14,13,2011,4,48,71,1782,11,100,241,2099,4,12,19,1887,13,86,148,328,6,71,1729,2077,0,36,21,408,45,596,1085,1549,16,79,490,2055,1,76,2,2055,5,74,0,2129,2,3,0,581,41,65,1447,2134,0,0,0,0,0,566,12,625,556,249,126,904,37,437,627,129,904,63,622,468,77,904,72,533,485,140,904,57,532,515,126,904,68,225,568,369,0,2079,14,7,34,2079,14,10,31,2079,15,7,33,2079,12,18,25,2079,15,8,32,2079,16,7,32,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,2134,0,0,0,990,21,385,738,990,10,806,328,990,17,693,434,990,14,700,430,990,19,283,842,990,22,192,930,1147,11,550,426,1584,0,283,120,72,75,1234,10,9,68,265,548,1234,14,877,9,1416,16,122,580,1416,5,121,92,80,45,332,43,1416,10,172,179,225,132,1463,10,120,249,182,110,2134,2134,1783,5,126,220,1385,11,291,447,1490,8,210,426,1484,9,138,503,1876,4,53,201,1962,4,83,85,1564,10,8,16,75,71,390,1564,8,12,12,72,107,359,1713,9,69,118,133,92,1713,5,13,35,79,289,1713,4,28,96,105,188,2033,7,55,39,2033,16,19,66,2033,15,40,46,1799,8,104,223,1911,0,134,89,2108,1,3,1,0,1,0,3,17,2053,0,4,7,2,9,3,1,9,3,1,4,7,5,4,3,19,2134,0,0,0,0,0,2134,0,0,0,0,0,0,0,0,2134,0,0,0,0,2134,0,0,0,0,0,0,5.403657670454545,8.075717972872791,1.5,0.851757122704842,0,0,0,0
AU,AUS,Australia,1,2020-12-30,2020-12-21,992,3,22814.472618926884,1,9749.69192583804,89,992,9788154.066782454,969,0,4,988,0,100,892,0,28,964,0,233,759,0,222,770,0,171,821,0,90,902,0,26,966,0,71,921,0,4,988,1,55,936,0,234,758,0,11,981,0,130,862,988,0,4,0,892,3,37,60,964,2,4,22,759,3,29,201,770,2,44,176,821,2,29,140,902,3,38,49,966,1,13,12,921,1,20,50,988,0,4,0,937,0,18,37,758,2,34,198,981,0,4,7,862,1,22,107,0,0,56,936,936,0,38,18,0,1,386,605,606,0,59,327,933,0,56,3,933,1,57,1,991,0,1,0,60,6,44,882,992,0,0,0,0,0,0,0,468,350,132,42,77,0,390,479,46,77,0,548,323,44,77,0,530,316,69,77,0,487,349,79,77,0,168,490,257,0,948,6,6,32,948,7,5,32,948,6,3,35,948,4,18,22,948,6,6,32,948,5,7,32,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,992,0,0,0,0,2,463,527,0,2,700,290,0,3,670,319,0,3,730,259,0,3,322,667,0,5,194,793,0,0,687,305,305,0,343,157,87,100,0,1,16,107,352,516,0,0,987,5,0,10,153,829,0,0,97,133,113,106,510,33,0,0,95,202,432,263,0,3,101,314,372,202,992,992,529,7,126,330,292,7,217,476,322,6,166,498,262,7,80,643,670,4,47,271,798,2,88,104,0,0,18,62,161,196,555,0,0,32,84,157,244,475,0,14,120,276,324,258,0,0,28,82,160,722,0,2,77,194,243,476,721,3,192,76,721,18,39,214,721,13,101,157,0,2,669,321,671,0,156,165,836,1,36,8,24,13,2,4,68,167,2,22,104,23,75,14,26,84,20,5,42,38,22,33,13,302,0,17,316,636,13,10,0,0,992,0,0,0,0,0,0,16,23,460,354,139,16,2,128,236,311,219,80,4.597782685512367,6.6018561002660485,1.5714285714285714,0.8497516825978764,12.94,3.6938390308851607,3.461293743372216,1.4688330440481576
AU,AUS,Australia,2,2020-12-30,2020-12-21,1902,1,19179.4587247679,1,19179.4587247679,141,1901,18831044.55840199,1867,1,9,1892,0,157,1745,1,41,1860,1,432,1469,1,330,1571,2,272,1628,1,125,1776,1,37,1864,1,107,1794,1,13,1888,1,93,1808,1,372,1529,1,10,1891,1,211,1690,1893,0,8,1,1745,2,55,100,1861,2,7,32,1470,5,63,364,1572,4,83,243,1630,3,63,206,1777,3,62,60,1865,0,22,15,1795,0,41,66,1889,2,5,6,1809,0,39,54,1530,5,64,303,1892,0,5,5,1691,5,65,141,0,1,74,1827,1828,0,53,21,0,4,799,1099,1103,2,116,681,1786,1,112,3,1786,5,111,0,1897,2,3,0,122,10,48,1722,1902,0,0,0,0,0,0,1,836,655,286,124,153,3,522,1069,155,153,7,938,691,113,153,5,871,697,176,153,3,818,749,179,153,4,236,998,511,0,1854,8,6,34,1854,7,9,32,1854,9,2,37,1854,5,19,24,1854,6,6,36,1854,7,6,35,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,1902,0,0,0,0,1,729,1172,0,4,1398,500,0,4,1268,630,0,5,1319,578,0,3,491,1408,0,2,261,1639,0,1,1272,629,630,0,627,292,187,166,0,3,22,129,620,1128,0,3,1891,8,0,17,353,1532,0,0,201,246,248,191,964,52,0,0,246,357,812,487,0,4,228,627,705,338,1902,1902,1173,4,222,503,504,8,499,891,634,8,366,894,583,7,169,1143,1411,1,90,400,1641,3,143,115,0,2,20,65,258,390,1167,0,1,30,100,229,418,1124,0,15,240,622,645,380,0,2,40,115,338,1407,0,1,160,356,535,850,1386,9,367,140,1386,21,71,424,1386,18,169,329,0,5,1370,527,1375,0,287,240,1615,4,53,14,32,8,2,24,150,245,5,54,104,83,171,19,81,253,39,31,70,182,91,48,58,368,0,21,688,1169,11,13,0,0,0,1902,0,0,0,0,0,20,25,1001,648,208,20,5,504,554,506,241,72,4.862911795961743,7.087358811057886,1.9178082191780823,1.210525880414677,14.187018701870187,4.337788395952425,2.9113513513513514,1.3831758984479843
AU,AUS,Australia,3,2020-12-30,2020-12-21,1645,0,0,0,0,110,1645,16295111.337424798,1617,4,6,1635,5,119,1521,5,26,1614,4,307,1334,4,220,1421,5,217,1423,3,101,1541,5,28,1612,5,46,1594,4,16,1625,5,49,1591,3,290,1352,4,9,1632,5,155,1485,1639,0,4,2,1526,1,52,66,1619,0,5,21,1338,2,62,243,1425,2,63,155,1428,1,33,183,1544,1,49,51,1617,1,11,16,1599,0,22,24,1629,2,8,6,1596,1,24,24,1355,1,58,231,1636,0,7,2,1490,2,42,111,0,0,61,1584,1584,1,50,10,0,21,739,885,906,2,111,626,1534,0,106,5,1534,1,110,0,1644,1,0,0,134,9,38,1464,1645,0,0,0,0,0,0,4,701,559,254,127,128,7,407,962,141,128,9,736,659,113,128,11,642,670,194,128,11,621,700,185,128,19,175,840,483,0,1607,7,5,26,1607,8,5,25,1607,9,3,26,1607,5,19,14,1607,10,5,23,1607,8,3,27,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,1645,0,0,0,0,5,581,1059,0,1,1231,413,0,1,1051,593,0,1,1119,525,0,3,375,1267,0,1,198,1446,0,4,1045,596,600,0,513,253,144,135,0,4,14,106,424,1097,0,1,1639,5,0,13,317,1315,0,2,218,237,203,141,812,32,0,4,231,350,632,428,0,6,204,552,564,319,1645,1645,1064,12,160,409,414,15,468,748,594,14,307,730,526,13,155,951,1270,6,74,295,1447,3,100,95,0,3,11,39,159,258,1175,0,0,17,71,150,306,1101,0,6,195,568,539,337,0,1,39,80,264,1261,0,0,119,270,484,772,1256,7,274,108,1256,24,70,295,1256,17,129,243,0,4,1171,470,1175,1,226,243,1419,5,33,12,22,7,6,15,126,248,0,23,62,70,168,19,93,205,52,26,54,182,88,35,41,279,0,17,649,957,7,15,0,0,0,0,1645,0,0,0,0,19,25,900,520,181,19,9,280,401,510,319,107,4.3830242510699,6.20476867170816,1.7833333333333334,1.1657785158522176,14.474269377382466,3.9945296279247593,3.3505349276274385,1.4934264115348037
AU,AUS,Australia,4,2020-12-30,2020-12-21,1674,0,0,0,0,107,1673,18128362.614346646,1645,2,2,1670,2,115,1557,2,20,1652,2,270,1402,2,180,1492,3,212,1459,3,59,1612,2,9,1663,2,42,1630,2,10,1662,2,39,1633,2,224,1448,2,3,1669,2,114,1558,1672,0,2,0,1559,0,39,76,1654,0,7,13,1404,0,59,211,1494,1,52,127,1462,0,49,163,1615,0,27,32,1665,0,5,4,1632,0,17,25,1664,0,1,9,1635,0,21,18,1450,0,60,164,1671,0,2,1,1560,0,38,76,0,1,66,1607,1608,1,42,23,0,11,646,1017,1028,7,87,552,1587,0,85,2,1587,0,87,0,1674,0,0,0,105,16,26,1527,1674,0,0,0,0,0,0,0,780,501,250,143,127,11,387,1000,149,127,19,759,673,96,127,19,669,655,204,127,19,677,681,170,127,21,193,850,483,0,1648,3,7,16,1648,3,4,19,1648,4,4,18,1648,3,7,16,1648,4,2,20,1648,4,4,18,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,1674,0,0,0,0,4,543,1127,0,5,1254,415,0,4,996,674,0,3,1086,585,0,2,345,1327,0,4,189,1481,0,2,1078,594,596,0,570,242,133,133,0,7,17,82,460,1108,0,7,1664,3,0,17,352,1305,0,1,241,238,198,131,831,34,0,2,258,383,611,420,0,9,209,562,570,324,1674,1674,1131,8,162,373,420,13,485,756,678,11,307,678,588,10,165,911,1329,5,64,276,1485,4,90,95,0,3,10,32,102,241,1286,0,2,22,52,163,294,1141,0,10,194,563,570,337,0,3,24,54,261,1332,0,1,99,259,474,841,1316,16,237,105,1316,45,52,261,1316,35,122,201,0,7,1183,484,1190,2,217,265,1457,4,37,12,27,8,8,8,113,274,1,40,70,63,176,22,86,251,68,35,50,138,76,27,60,237,0,13,636,1010,4,11,0,0,0,0,0,1674,0,0,0,18,40,868,502,246,18,9,267,375,554,356,95,5.5239093959731544,7.646823011547238,1.6721311475409837,1.0758145979583693,14.142042606516291,3.824478897124049,3.056627255756067,1.4791719014877238
AU,AUS,Australia,5,2020-12-30,2020-12-21,1651,1,9822.70952424731,1,9822.70952424731,84,1651,15477601.524894577,1599,2,6,1643,1,108,1542,2,28,1621,1,206,1444,2,171,1478,3,199,1449,3,47,1601,2,18,1631,2,32,1617,1,7,1643,4,37,1610,2,172,1477,4,8,1639,3,74,1574,1645,0,2,4,1543,1,34,73,1623,0,10,18,1445,1,52,153,1480,1,38,132,1452,2,38,159,1604,0,24,23,1633,0,8,10,1619,0,13,19,1644,0,3,4,1614,0,16,21,1479,2,46,124,1643,0,4,4,1577,1,23,50,0,0,56,1595,1595,0,42,14,0,33,594,1024,1057,8,72,514,1579,2,66,4,1579,2,67,3,1649,1,1,0,113,20,12,1506,1651,0,0,0,0,0,0,1,805,497,229,119,110,25,421,934,161,110,31,764,642,104,110,29,692,636,184,110,28,714,632,167,110,37,229,761,514,0,1639,3,3,6,1639,3,2,7,1639,4,1,7,1639,3,2,7,1639,4,2,6,1639,3,2,7,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,1651,0,0,0,0,8,481,1162,0,5,1172,474,0,10,965,676,0,9,1004,638,0,10,296,1345,0,13,122,1516,0,1,956,694,695,0,497,238,129,92,0,4,11,74,432,1130,0,12,1631,8,0,22,350,1279,0,1,245,184,177,152,830,62,0,4,308,370,594,375,0,17,254,572,522,286,1651,1651,1170,6,144,331,479,8,446,718,686,8,304,653,647,7,181,816,1355,5,69,222,1529,0,46,76,0,5,12,15,100,194,1325,0,2,9,34,117,299,1190,0,12,180,528,557,374,0,1,17,57,212,1364,0,0,67,244,420,920,1340,19,204,88,1340,58,44,209,1340,43,109,159,0,7,919,725,926,3,272,450,1379,9,32,15,24,14,17,13,148,460,1,26,57,55,152,12,50,247,61,26,45,110,59,24,58,208,0,17,667,956,1,10,0,0,0,0,0,0,1651,0,0,28,53,773,481,316,28,17,352,461,436,292,65,6.4453125,9.038563689084889,1.5833333333333333,0.963886930186522,13.68753953194181,3.961814931298569,2.517948717948718,1.3333193532268188
AU,AUS,Australia,6,2020-12-30,2020-12-21,1118,4,46469.95611423042,4,46469.95611423042,32,1116,14520061.819124006,1086,1,6,1111,2,81,1035,1,24,1093,3,135,980,3,113,1002,0,108,1010,3,40,1075,2,11,1105,2,21,1095,2,1,1115,2,34,1082,3,86,1029,3,7,1108,3,43,1072,1112,0,2,4,1037,2,25,54,1094,1,4,19,983,3,30,102,1005,2,24,87,1010,1,25,82,1078,1,16,23,1107,0,5,6,1097,1,7,13,1117,0,0,1,1084,2,12,20,1032,3,22,61,1111,0,5,2,1075,0,18,25,0,2,24,1092,1094,0,15,9,0,33,301,784,817,3,45,253,1073,0,43,2,1073,0,45,0,1118,0,0,0,81,24,14,999,1118,0,0,0,0,0,0,1,637,312,110,58,71,48,322,581,96,71,58,557,375,57,71,75,495,369,108,71,68,523,378,78,71,94,154,488,311,0,1104,2,4,8,1104,5,3,6,1104,6,0,8,1104,5,2,7,1104,6,1,7,1104,6,1,7,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,1118,0,0,0,0,12,151,955,0,7,764,347,0,13,600,505,0,6,633,479,0,12,173,933,0,11,79,1028,0,3,653,462,465,1,392,140,78,42,0,6,10,48,339,715,0,7,1107,4,0,19,185,914,0,0,169,127,119,102,554,47,0,1,247,315,383,172,0,17,129,403,334,235,1118,1118,967,5,39,107,354,12,306,446,518,11,203,386,485,8,150,475,945,1,44,128,1039,2,33,44,0,11,9,8,41,95,954,0,0,5,14,60,142,897,0,18,100,348,395,257,0,3,5,19,104,987,0,1,17,105,260,735,996,9,69,44,996,35,13,74,996,28,38,56,0,10,237,871,247,1,148,722,970,6,15,2,10,8,4,7,96,733,1,10,19,26,44,7,19,66,9,10,16,39,12,8,23,76,0,23,510,581,0,4,0,0,0,0,0,0,0,1118,0,20,52,501,310,235,20,21,261,344,283,145,44,6.685358255451713,9.076277662091268,1.1904761904761905,0.8728715609439694,13.333490122295391,3.793148217615135,2.2161383285302594,1.2574275006171756
AU,AUS,Australia,7,2020-12-30,2020-12-21,343,0,0,0,0,3,341,4380271.125743816,320,7,2,334,6,22,315,6,12,325,2,50,291,3,38,302,6,51,286,7,6,330,6,3,334,7,7,329,5,7,331,5,16,322,5,20,318,7,1,335,4,11,328,341,0,0,2,321,1,6,15,331,1,3,8,293,2,10,38,305,1,9,28,292,1,8,42,337,0,3,3,340,0,0,3,336,0,4,3,336,1,1,5,327,0,6,10,323,1,5,14,342,0,0,1,332,0,6,5,0,2,3,338,340,0,2,1,0,9,79,255,264,2,9,68,334,0,9,0,334,0,9,0,343,0,0,0,20,5,12,306,343,0,0,0,0,0,0,0,196,98,36,13,20,41,104,147,31,20,29,173,100,21,20,32,144,112,35,20,32,162,105,24,20,50,40,142,91,0,331,8,1,3,331,4,4,4,331,7,1,4,331,8,2,2,331,7,1,4,331,8,0,4,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,343,0,0,0,0,1,32,310,0,3,193,147,0,1,144,198,0,1,165,177,0,1,39,303,0,2,21,320,0,1,169,173,174,0,95,43,19,12,0,2,2,26,118,195,0,2,339,2,0,3,56,284,0,1,46,43,37,30,156,30,0,1,115,91,97,39,0,5,45,124,85,84,343,343,311,1,5,26,150,6,75,112,199,6,47,91,178,6,44,115,304,1,14,24,322,0,11,10,0,2,2,4,9,31,295,0,0,1,4,18,61,259,0,5,34,91,116,97,0,1,1,3,31,307,0,0,3,33,72,235,307,9,10,17,307,8,10,18,307,4,15,17,0,1,25,317,26,2,17,298,326,0,3,0,2,0,1,1,10,301,0,6,5,3,5,0,2,4,0,0,2,2,1,2,0,10,0,10,176,156,0,1,0,0,0,0,0,0,0,0,343,17,21,128,102,75,17,14,107,94,68,32,11,8.225806451612904,10.244965924209742,1,0,12.680645161290322,3.88732229990337,2.00990099009901,1.1722089537382754
AU,AUS,Australia,-99,2020-12-31,2020-12-22,2215,13,307935.799687592,8,72174.22569511285,107,1865,27316948.15649962,0,18,26,2171,13,248,1954,22,67,2126,17,509,1689,15,352,1848,18,371,1826,16,155,2044,18,73,2124,22,131,2062,18,37,2160,22,132,2061,21,375,1819,19,37,2159,20,261,1934,2189,2,11,13,1967,14,93,141,2148,7,26,34,1706,17,133,359,1863,20,114,218,1844,17,80,274,2060,9,73,73,2142,7,25,41,2084,6,48,77,2178,4,18,15,2083,7,51,74,1840,12,104,259,2178,6,8,23,1954,14,93,154,343,7,71,1794,2155,0,39,21,419,44,613,1139,1614,17,83,501,2132,1,81,1,2132,5,78,0,2210,2,3,0,602,41,62,1510,2215,0,0,0,0,0,594,11,673,564,248,125,844,43,497,689,142,844,65,710,506,90,844,73,606,532,160,844,59,614,551,147,844,70,259,628,414,0,2164,14,7,30,2164,15,7,29,2164,15,7,29,2164,13,17,21,2164,15,8,28,2164,17,5,29,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,2215,0,0,0,1031,19,384,781,1031,11,855,318,1031,19,712,453,1031,16,729,439,1031,19,301,864,1031,23,208,953,1199,9,570,437,1645,0,297,127,73,73,1289,8,9,68,274,567,1289,14,903,9,1480,10,115,610,1480,5,123,101,78,46,343,39,1480,10,177,182,240,126,1529,12,112,250,196,116,2215,2215,1871,8,120,216,1426,12,298,479,1560,9,212,434,1543,9,134,529,1943,6,47,219,2035,6,84,90,1636,9,6,15,71,72,406,1636,6,14,9,68,114,368,1781,6,67,119,140,102,1781,4,11,38,81,300,1781,4,31,93,108,198,2114,6,57,38,2114,14,18,69,2114,14,40,47,1874,6,93,242,1973,0,156,86,2188,1,3,1,1,1,0,2,18,2139,0,4,7,3,8,2,1,8,4,1,3,7,5,4,3,16,2215,0,0,0,0,0,2215,0,0,0,0,0,0,0,0,2215,0,0,0,0,2215,0,0,0,0,0,0,5.315755735492577,7.897835546526906,1.6249999999999998,0.9256447384489267,0,0,0,0
AU,AUS,Australia,1,2020-12-31,2020-12-22,982,3,22814.472618926884,1,9749.69192583804,88,982,9843325.591009697,956,0,5,977,0,98,884,0,31,951,0,227,755,0,228,754,0,167,815,0,87,895,0,23,959,0,73,909,0,4,978,1,53,928,0,233,749,0,9,973,0,127,855,977,0,5,0,884,3,34,61,951,1,7,23,755,2,27,198,754,1,44,183,815,2,27,138,895,2,35,50,959,1,12,10,909,1,19,53,978,0,3,1,929,0,16,37,749,2,35,196,973,0,3,6,855,1,21,105,0,0,56,926,926,0,36,20,0,0,397,585,585,0,61,336,921,0,59,2,921,1,60,0,981,0,1,0,61,6,38,877,982,0,0,0,0,0,0,0,481,334,124,43,0,0,414,521,47,0,0,595,345,42,0,0,570,341,71,0,0,526,373,83,0,0,173,535,274,0,944,5,4,29,944,6,5,27,944,5,3,30,944,4,14,20,944,5,4,29,944,4,6,28,980,0,0,2,980,0,0,2,980,0,0,2,980,0,0,2,980,0,0,2,980,0,0,2,980,0,0,2,982,0,0,0,982,0,0,0,982,0,0,0,982,0,0,0,982,0,0,0,0,1,449,532,0,1,687,294,0,2,661,319,0,2,732,248,0,2,327,653,0,2,187,793,0,0,690,292,292,0,338,163,95,94,0,1,18,104,351,508,0,0,977,5,0,7,152,823,0,0,103,135,109,106,498,31,0,0,98,204,427,253,0,3,97,317,368,197,982,982,533,5,126,318,295,4,217,466,321,3,168,490,250,4,83,645,655,1,48,278,795,2,88,97,0,0,17,57,159,194,555,0,0,27,88,157,232,478,0,14,120,284,324,240,0,0,24,83,161,714,0,2,80,178,245,477,724,2,186,70,724,15,39,204,724,12,95,151,0,2,641,339,643,0,172,167,810,1,37,11,27,14,3,3,76,169,1,20,104,22,75,13,26,83,20,2,41,36,22,32,12,304,0,14,319,623,16,10,0,0,982,0,0,0,0,0,0,18,23,463,353,125,18,3,123,232,311,215,80,4.467192513368984,6.266548121802978,1.5636363636363637,0.8555621146278813,13.024494142705006,3.743998272533137,3.489247311827957,1.4600501610144938
