ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AE,ARE,United Arab Emirates,-99,2020-12-22,2020-12-22,115,2,60959.6187001935,0,0,17,108,2280362.631575877,0,4,3,108,2,7,106,4,2,109,4,6,105,4,12,99,3,5,107,4,8,103,4,2,109,5,2,108,3,2,110,4,6,105,4,13,98,3,4,108,2,16,97,112,0,3,0,108,1,2,4,113,0,1,1,109,0,2,4,103,0,2,10,110,0,2,3,107,1,3,4,113,1,1,0,113,0,1,1,113,2,0,0,109,1,1,4,102,1,7,5,111,0,3,1,99,1,6,9,7,0,9,99,106,0,6,3,11,2,70,32,45,1,26,43,89,0,1,25,0,89,9,17,0,106,1,3,5,0,42,2,12,59,115,18,4,28,32,18,15,40,0,34,24,17,40,1,41,18,15,40,2,47,14,12,40,3,47,15,10,40,3,21,19,32,104,2,5,4,104,2,3,6,104,1,6,4,104,1,4,6,104,2,3,6,104,2,3,6,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,50,1,30,34,50,1,52,12,50,1,41,23,50,1,23,41,50,1,10,54,50,1,26,38,59,0,20,36,95,11,6,2,1,63,1,0,3,15,33,63,1,51,0,72,1,9,33,72,0,38,4,0,0,0,1,72,0,17,11,9,6,73,0,13,12,13,4,74,0,8,28,5,88,1,6,18,2,88,0,26,1,69,1,45,0,79,1,34,1,96,1,16,2,107,0,8,0,93,1,21,0,94,1,0,1,5,4,10,94,0,1,1,2,7,10,100,1,5,5,2,2,100,1,1,0,6,7,100,1,2,3,3,6,112,0,3,0,112,1,0,2,112,1,0,2,102,0,2,11,104,0,10,1,113,0,0,0,0,0,0,0,2,112,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,115,0,0,0,0,0,115,0,0,0,0,0,0,0,0,115,0,0,0,0,115,0,0,0,0,0,0,2.75,2.6273990573286756,2,2,0,0,0,0
AE,ARE,United Arab Emirates,2,2020-12-22,2020-12-22,100,0,0,0,0,10,100,1634043.7683152976,95,1,1,98,1,4,95,1,1,98,1,9,90,1,8,91,1,12,87,1,6,93,1,1,98,1,2,97,1,0,99,1,3,96,1,9,90,1,5,94,1,10,89,99,0,1,0,96,0,1,3,99,0,1,0,91,1,0,8,92,0,5,3,88,1,3,8,94,1,2,3,99,0,1,0,98,1,0,1,100,0,0,0,97,0,3,0,91,0,2,7,95,1,2,2,90,0,4,6,0,0,7,93,93,0,5,2,0,1,75,24,25,0,33,42,67,0,3,30,0,67,15,17,1,85,0,8,7,0,34,1,2,63,100,0,0,26,41,21,12,0,2,42,32,24,0,4,47,27,22,0,2,58,21,19,0,4,52,25,19,0,4,19,21,56,98,0,0,2,98,0,0,2,98,0,0,2,98,0,1,1,98,0,0,2,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,60,39,0,0,65,35,0,0,58,42,0,0,44,56,0,1,11,88,0,0,28,72,0,0,42,58,58,29,7,1,5,0,0,3,6,36,55,0,1,98,1,0,0,21,79,0,0,84,10,2,0,0,4,0,0,47,13,29,11,0,0,32,54,10,4,0,0,7,82,11,0,1,13,79,7,40,1,57,2,35,1,64,0,42,1,56,1,56,1,35,8,89,1,7,3,72,0,28,0,0,0,1,4,8,28,59,0,0,4,6,12,27,51,0,2,31,34,16,17,0,1,6,13,33,47,0,1,19,31,31,18,50,3,40,7,50,15,14,21,50,14,18,18,0,1,59,40,60,0,12,28,88,0,5,0,2,0,1,0,4,29,0,2,5,8,6,4,1,5,5,0,2,7,1,6,6,13,0,3,65,31,0,1,0,0,0,100,0,0,0,0,0,3,3,76,9,9,3,3,41,19,16,5,13,2.9722222222222223,2.2864334186190023,1.4285714285714286,0.7867957924694432,13.720430107526882,4.817011502269507,2.8461538461538463,1.7121985666457995
AE,ARE,United Arab Emirates,3,2020-12-22,2020-12-21,100,0,0,0,0,19,100,2053046.450544217,98,0,1,99,0,7,93,0,0,100,0,11,89,0,9,91,0,9,91,0,4,96,0,3,97,0,2,98,0,0,100,0,1,99,0,10,90,0,2,98,1,9,90,99,0,1,0,93,0,2,5,100,0,0,0,89,0,6,5,91,0,1,8,91,0,4,5,96,0,1,3,97,0,1,2,98,0,1,1,100,0,0,0,99,0,0,1,90,0,3,7,98,0,2,0,91,0,5,4,0,0,9,91,91,0,3,6,0,3,72,25,28,0,33,39,67,0,1,32,0,67,16,17,0,84,0,2,13,1,36,1,5,58,100,0,0,43,29,13,15,13,1,40,28,18,13,1,51,25,10,13,0,51,22,14,13,1,52,25,9,13,1,20,30,36,95,1,0,4,95,1,1,3,95,0,4,1,95,1,1,3,95,0,1,4,95,1,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,49,51,0,0,73,27,0,0,53,47,0,0,33,67,0,0,5,95,0,0,10,90,0,1,36,63,64,25,8,2,1,0,0,2,5,42,51,0,0,100,0,0,0,19,81,0,0,82,16,0,0,0,2,0,0,46,21,17,16,0,2,33,46,10,9,0,1,11,83,5,0,1,13,82,4,51,1,46,2,27,2,68,3,47,2,49,2,67,0,29,4,95,0,4,1,90,1,8,1,0,0,0,2,16,18,64,0,0,1,7,18,19,55,0,2,30,36,15,17,0,2,3,12,22,61,0,2,18,29,24,27,53,0,38,9,53,9,16,22,53,7,18,22,0,2,62,36,64,0,11,25,89,0,4,0,5,1,0,0,1,27,0,1,5,9,5,3,6,1,8,0,1,9,2,6,5,12,0,0,73,25,0,2,0,0,0,0,100,0,0,0,0,0,1,85,8,6,0,0,36,37,13,4,10,2.129032258064516,1.258092086822237,2.25,1.4880476182856899,15.313131313131311,4.617284440559179,3.0625,1.678423445724557
AE,ARE,United Arab Emirates,-99,2020-12-23,2020-12-22,100,1,7641.438506684522,0,0,13,90,2259902.349280847,0,3,1,96,3,5,92,3,1,96,3,4,93,3,10,87,3,6,91,2,7,91,2,1,97,2,3,95,3,3,94,3,7,90,2,11,87,2,7,91,1,8,91,99,0,1,0,95,0,1,4,99,0,0,1,96,0,2,2,90,0,3,7,94,0,1,5,93,0,5,2,99,1,0,0,97,0,2,1,97,1,2,0,93,0,0,7,89,0,2,9,93,1,2,4,92,0,4,4,10,0,9,81,92,0,4,4,15,2,50,33,50,0,25,25,75,0,3,22,0,75,11,14,0,89,0,5,6,0,43,2,5,50,100,25,2,23,20,22,8,42,4,20,13,21,42,8,22,17,11,42,8,30,14,6,42,8,31,12,7,42,8,16,9,25,96,0,1,3,96,0,0,4,96,0,2,2,96,0,0,4,96,0,0,4,96,0,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,47,0,26,27,47,2,37,14,47,1,35,17,47,1,23,29,47,1,3,49,47,1,8,44,49,0,16,35,84,9,6,1,0,52,0,1,3,16,28,52,0,47,1,58,1,8,33,58,0,36,4,0,1,0,1,58,0,19,8,6,9,59,0,13,18,5,5,59,0,7,34,0,77,2,5,16,0,75,0,25,0,64,1,32,3,66,1,30,3,77,1,19,3,97,0,2,1,93,0,7,0,82,0,1,1,3,5,8,82,0,0,0,4,4,10,89,0,2,3,3,3,89,0,0,2,2,7,89,0,1,5,2,3,94,0,5,1,94,1,0,5,94,1,1,4,90,0,5,5,95,0,3,2,100,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.7142857142857144,2.052872551885702,1.6666666666666667,0.8164965809277259,0,0,0,0
AE,ARE,United Arab Emirates,2,2020-12-23,2020-12-22,100,0,0,0,0,12,99,2054720.7914781678,96,1,2,97,0,6,94,0,1,99,0,6,94,0,12,88,0,10,90,0,0,100,1,1,98,1,2,97,0,1,99,0,2,98,0,5,95,0,4,96,0,11,89,98,0,1,1,94,0,1,5,99,0,0,1,94,0,0,6,88,0,2,10,90,0,1,9,100,0,0,0,99,0,1,0,98,0,1,1,99,0,1,0,98,0,0,2,95,0,2,3,96,0,1,3,89,0,3,8,0,1,9,90,91,0,4,5,0,0,75,25,25,1,30,44,70,0,1,27,2,70,8,22,0,92,0,2,5,1,31,0,8,61,100,0,0,30,30,29,11,0,1,42,38,19,0,7,42,31,20,0,5,52,23,20,0,4,48,29,19,0,7,17,23,53,92,1,0,7,92,1,0,7,92,2,3,3,92,1,3,4,92,1,1,6,92,1,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,51,47,0,4,59,37,0,2,51,47,0,3,37,60,0,5,10,85,0,3,20,77,0,0,29,71,71,21,5,2,1,0,0,1,6,32,61,0,1,99,0,0,2,21,77,0,0,80,13,1,0,0,6,0,1,48,18,20,13,0,1,33,41,21,4,0,0,10,83,7,0,1,13,78,8,49,0,50,1,41,0,59,0,49,0,50,1,63,0,29,8,90,0,9,1,80,0,18,2,0,1,2,2,14,21,60,0,0,2,1,21,25,51,0,1,31,32,22,14,0,0,10,8,34,48,0,1,21,19,35,24,60,4,34,2,60,5,14,21,60,5,16,19,0,0,64,36,64,0,14,22,86,0,5,1,2,0,0,0,6,22,0,2,8,7,4,1,5,2,2,0,2,11,0,5,3,26,0,0,70,28,0,2,0,0,0,100,0,0,0,0,0,3,1,75,14,7,3,0,40,28,18,5,6,2.735294117647059,1.9432684670718723,1.3333333333333333,0.5,14.494736842105263,5.039996800510902,2.8421052631578947,1.7092725183519686
AE,ARE,United Arab Emirates,3,2020-12-23,2020-12-22,100,0,0,0,0,18,100,1961620.386039596,99,0,0,100,0,7,93,0,2,98,0,11,89,0,9,91,0,9,91,0,2,98,0,2,98,0,2,98,0,1,99,0,3,97,0,8,92,0,2,98,1,14,85,100,0,0,0,93,0,4,3,98,0,0,2,89,0,6,5,91,0,3,6,91,0,3,6,98,0,1,1,98,0,0,2,98,0,2,0,99,0,0,1,97,0,2,1,92,0,4,4,98,0,2,0,86,0,8,6,0,0,10,90,90,0,3,7,0,0,77,23,23,1,33,43,67,0,0,33,0,67,11,22,0,89,0,2,9,0,34,1,7,58,100,0,1,44,28,13,14,0,2,46,29,23,0,4,53,29,14,0,3,57,22,18,0,4,53,26,17,0,4,23,32,41,93,1,2,4,93,1,1,5,93,0,2,5,93,1,3,3,93,0,1,6,93,1,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,50,49,0,2,65,33,0,1,57,42,0,1,43,56,0,1,13,86,0,2,11,87,0,0,41,59,59,21,15,1,4,0,0,2,8,34,56,0,0,100,0,0,0,27,73,0,0,79,15,1,0,0,5,0,0,38,17,26,19,0,1,27,48,16,8,0,2,11,83,4,0,1,15,81,3,50,0,48,2,35,1,60,4,43,0,53,4,57,0,37,6,87,0,10,3,89,0,10,1,0,2,0,0,17,14,67,0,1,1,6,17,18,57,0,2,35,31,15,17,0,2,4,10,21,63,0,2,12,27,29,30,61,0,33,6,61,7,18,14,61,5,19,15,0,2,66,32,68,0,9,23,91,0,3,1,4,1,0,0,0,25,0,1,5,8,5,2,5,4,8,0,0,10,1,6,10,10,0,1,81,17,0,1,0,0,0,0,100,0,0,0,0,0,5,78,12,5,0,0,42,34,13,6,5,2.65625,1.9110776389083421,1.8888888888888888,1.0540925533894598,15.721649484536082,4.07927247404801,2.935483870967742,1.55903015848415
AE,ARE,United Arab Emirates,4,2020-12-23,2020-12-21,100,0,0,0,0,15,100,2118712.2941677705,99,0,0,100,1,4,95,0,0,100,0,6,94,0,3,97,1,11,88,0,1,99,0,0,100,0,0,100,1,0,99,0,2,98,1,9,90,1,1,98,1,7,92,100,0,0,0,96,0,1,3,100,0,0,0,94,0,3,3,97,0,0,3,89,0,1,10,99,0,1,0,100,0,0,0,100,0,0,0,100,0,0,0,98,0,1,1,91,0,1,8,99,0,1,0,93,0,2,5,0,0,5,95,95,0,3,2,0,3,70,27,30,1,35,34,65,0,0,34,1,65,12,23,0,88,0,3,9,0,39,0,2,59,100,0,0,32,44,19,5,28,2,27,30,13,28,5,31,26,10,28,4,32,25,11,28,1,35,29,7,28,4,11,22,35,98,0,0,2,98,0,0,2,98,0,0,2,98,0,1,1,98,0,0,2,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,47,51,0,0,75,25,0,1,58,41,0,3,46,51,0,2,8,90,0,3,12,85,0,1,33,66,67,19,6,4,4,0,1,0,3,36,60,0,0,99,1,0,1,27,72,0,0,87,9,2,0,0,2,0,2,34,19,19,26,0,1,20,52,22,5,0,0,10,87,3,0,0,9,87,4,53,0,46,1,25,0,75,0,42,0,55,3,54,0,38,8,92,0,7,1,88,0,12,0,0,0,0,3,11,18,68,0,0,0,2,6,27,65,0,0,25,40,24,11,0,0,3,8,31,58,0,0,12,26,33,29,62,3,29,6,62,12,13,13,62,13,12,13,0,1,60,39,61,0,16,23,84,3,3,0,3,1,0,2,4,24,0,0,12,10,5,2,6,8,5,0,3,11,1,2,3,8,0,0,69,31,0,0,0,0,0,0,0,100,0,0,0,0,1,82,13,4,0,0,24,33,30,10,3,2.5217391304347827,1.7547225944288771,3,1.8708286933869709,15,4.596483392167113,3.257731958762886,1.6411273470002763
AE,ARE,United Arab Emirates,-99,2020-12-24,2020-12-23,100,1,28127.4467255152,0,0,16,91,2194230.006287193,0,3,1,96,2,9,89,2,3,95,2,7,91,2,9,89,2,11,87,2,4,94,2,1,97,2,2,96,2,1,97,2,5,93,1,15,84,2,1,97,2,16,82,99,0,0,1,91,1,4,4,97,0,3,0,93,2,1,4,91,0,2,7,89,0,6,5,96,0,2,2,99,0,1,0,98,0,0,2,99,0,0,1,95,0,4,1,85,0,7,8,99,1,0,0,84,1,6,9,9,0,9,82,92,0,4,4,10,0,60,30,40,3,29,28,71,0,0,29,0,71,12,17,0,88,0,3,9,0,42,2,6,50,100,16,1,21,29,19,14,36,2,19,22,21,36,4,21,22,17,36,3,31,14,16,36,2,35,15,12,36,3,9,14,38,96,0,1,3,96,1,0,3,96,1,0,3,96,1,0,3,96,1,0,3,96,1,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,47,0,27,26,47,0,38,15,47,1,29,23,47,1,26,26,47,1,7,45,47,2,13,38,54,0,19,27,81,11,4,1,3,58,0,1,3,16,22,58,0,42,0,65,2,6,27,65,0,30,2,0,1,0,2,65,1,11,8,11,4,67,0,12,13,7,1,68,0,1,25,6,72,1,2,21,4,76,0,23,1,68,0,28,4,76,0,21,3,79,0,19,2,96,0,4,0,91,0,9,0,75,0,0,0,5,3,17,75,0,1,0,3,4,17,80,1,4,9,5,1,80,0,1,6,2,11,80,0,6,2,6,6,92,0,8,0,92,0,5,3,92,1,4,3,83,0,6,11,89,0,8,3,97,0,1,0,1,0,0,0,1,91,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,5,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.7058823529411766,2.2228757209048453,2.1666666666666665,1.1690451944500122,0,0,0,0
AE,ARE,United Arab Emirates,2,2020-12-24,2020-12-23,100,0,0,0,0,25,100,1943385.2604578643,96,1,2,97,0,9,91,0,2,98,0,9,91,0,15,85,0,14,86,0,4,96,1,0,99,1,5,94,0,1,99,0,6,94,0,16,84,0,2,98,0,10,90,98,0,0,2,91,0,3,6,98,0,1,1,91,1,4,4,85,0,5,10,86,1,5,8,96,0,3,1,100,0,0,0,95,0,0,5,99,0,1,0,94,0,3,3,84,0,7,9,98,0,1,1,90,0,2,8,0,0,10,90,90,0,6,4,0,0,73,27,27,1,34,38,66,0,2,28,4,66,12,22,0,88,0,3,9,0,35,1,4,60,100,0,0,30,34,26,10,0,1,47,36,16,0,3,51,32,14,0,4,50,28,18,0,3,51,29,17,0,5,16,32,47,96,1,2,1,96,1,1,2,96,2,0,2,96,1,1,2,96,2,0,2,96,2,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,56,43,0,1,69,30,0,0,58,42,0,1,43,56,0,0,7,93,0,1,27,72,0,0,40,60,60,29,6,2,3,0,0,0,7,35,58,0,1,99,0,0,2,27,71,0,0,88,11,0,0,0,1,0,0,41,20,22,17,0,1,32,43,20,4,0,0,4,87,9,0,0,9,82,9,44,1,52,3,31,2,67,0,42,3,54,1,57,1,35,7,93,0,7,0,73,2,24,1,0,1,2,3,12,20,62,0,0,3,2,17,28,50,0,0,32,32,25,11,0,0,7,14,35,44,0,0,28,22,28,22,50,2,40,8,50,8,18,24,50,9,19,22,0,0,61,39,61,0,17,22,83,0,4,1,2,0,2,1,7,22,0,1,7,7,10,4,6,4,2,0,0,7,0,4,2,24,0,1,75,23,0,1,0,0,0,100,0,0,0,0,0,2,6,68,13,11,2,1,45,19,19,5,9,2.5121951219512195,1.6143412157829613,2.6666666666666665,1.5,13.670103092783503,5.118841115356206,2.903225806451613,1.806176095999936
AE,ARE,United Arab Emirates,3,2020-12-24,2020-12-23,100,0,0,0,0,12,100,1714160.7635132314,100,0,0,100,0,5,95,0,2,98,0,9,91,0,12,88,0,7,93,0,4,96,0,0,100,0,1,99,0,1,99,0,2,98,0,3,97,0,1,99,0,11,89,100,0,0,0,95,0,3,2,98,0,0,2,91,0,1,8,88,0,6,6,93,0,1,6,96,0,2,2,100,0,0,0,99,0,1,0,99,0,0,1,98,0,2,0,97,0,1,2,99,0,1,0,89,0,4,7,0,0,8,92,92,0,0,8,0,0,77,23,23,1,33,43,67,0,1,32,0,67,7,26,0,93,0,1,6,0,34,0,7,59,100,0,1,35,38,17,9,0,3,43,30,24,0,7,49,29,15,0,5,57,21,17,0,6,57,23,14,0,6,25,23,46,93,1,2,4,93,1,1,5,93,1,0,6,93,1,2,4,93,1,0,6,93,1,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,50,49,0,3,69,28,0,1,65,34,0,1,46,53,0,1,14,85,0,2,14,84,0,0,42,58,58,21,16,2,3,0,0,0,9,31,60,0,0,100,0,0,0,31,69,0,0,83,11,1,0,0,5,0,0,40,13,23,24,0,0,33,49,17,1,0,1,14,79,6,0,1,17,77,5,50,0,48,2,31,1,67,1,35,0,61,4,54,0,38,8,86,0,11,3,86,1,11,2,0,3,0,1,11,16,69,0,1,0,6,12,23,58,0,1,31,39,14,15,0,1,3,11,21,64,0,1,14,25,30,30,61,3,32,4,61,6,16,17,61,4,19,16,0,1,69,30,70,0,8,22,92,1,2,1,2,0,0,1,1,23,0,1,7,9,4,2,5,7,5,0,1,9,1,4,8,14,0,1,80,18,0,1,0,0,0,0,100,0,0,0,0,0,7,76,15,2,0,1,36,30,18,6,9,2.533333333333333,1.7564331673207403,1.8000000000000003,0.44721359549995787,14.989795918367346,4.182671414790657,3.1827956989247315,1.6807492930441041
