ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DE,DEU,Germany,-99,2020-12-21,2020-12-21,557,2,10103.647686893219,0,0,89,448,7767248.073508559,0,4,4,549,3,72,482,3,28,526,4,177,376,2,130,425,3,86,468,4,44,509,5,19,533,3,20,534,3,13,541,3,29,525,4,95,458,3,14,540,3,64,490,554,0,2,1,491,4,32,30,535,3,8,11,395,8,50,104,434,4,47,72,478,3,29,47,516,3,20,18,541,2,8,6,541,1,5,10,547,1,7,2,531,1,9,16,472,4,35,46,546,0,6,5,500,4,25,28,107,2,50,398,517,0,12,28,128,9,167,253,390,3,59,105,498,0,6,48,5,498,0,16,43,0,542,0,3,11,1,204,9,24,320,557,0,0,0,0,0,154,4,129,130,77,63,517,2,14,15,9,517,6,12,13,9,517,4,11,15,10,517,6,10,12,12,517,6,5,11,18,0,540,8,6,3,540,8,3,6,540,8,5,4,540,7,3,7,540,8,3,6,540,8,1,8,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,267,7,82,201,267,5,173,112,267,7,36,247,267,7,126,157,267,7,5,278,267,7,41,242,295,1,99,162,458,0,78,11,5,5,306,3,4,24,119,101,306,3,242,6,334,3,23,197,334,1,147,50,13,4,2,6,334,1,62,51,65,44,339,7,80,94,26,11,356,3,60,134,4,400,7,42,106,2,478,2,60,17,388,4,162,3,523,2,29,3,434,3,53,67,552,0,4,1,518,0,37,2,426,0,0,3,19,35,74,426,1,2,5,24,26,73,462,2,32,39,14,8,462,0,4,7,18,66,462,0,15,20,29,31,530,4,20,3,530,8,4,15,530,10,6,11,483,1,29,44,513,0,29,15,554,0,1,0,1,0,0,0,1,539,0,0,1,2,0,0,1,2,1,0,0,0,2,0,0,9,557,0,0,0,0,0,557,0,0,0,0,0,0,0,0,557,0,0,0,0,557,0,0,0,0,0,0,4.138613861386139,4.32372766887934,2.085714285714286,1.4826730346678232,0,0,0,0
DE,DEU,Germany,1,2020-12-21,2020-12-21,220,0,0,0,0,40,220,3473287.7165371883,220,0,0,220,0,24,196,0,10,210,0,107,113,0,66,154,0,31,189,0,26,194,0,10,210,0,14,206,0,0,220,0,22,198,0,66,154,0,3,217,0,46,174,220,0,0,0,196,1,8,15,210,0,0,10,113,1,24,82,154,1,15,50,189,0,9,22,194,1,10,15,210,0,4,6,206,0,4,10,220,0,0,0,198,1,11,10,154,1,18,47,217,0,3,0,174,1,16,29,0,0,27,193,193,0,14,13,0,0,112,108,108,0,42,70,178,0,2,39,1,178,0,2,40,0,218,0,0,2,0,42,3,7,168,220,0,0,0,0,0,0,1,60,72,52,35,176,0,13,22,9,176,0,17,20,7,176,0,17,16,11,176,0,14,21,9,176,0,3,18,23,0,213,0,1,6,213,0,1,6,213,0,1,6,213,0,1,6,213,0,0,7,213,0,1,6,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,0,0,60,160,0,0,119,101,0,0,27,193,0,0,138,82,0,0,1,219,0,1,23,196,0,0,131,89,89,1,111,12,3,4,0,0,4,32,96,88,0,0,220,0,0,1,27,192,0,0,126,73,9,3,3,6,0,0,25,64,93,38,0,0,56,122,35,7,0,0,28,185,7,0,0,38,166,16,160,0,48,12,101,0,119,0,193,0,26,1,82,0,34,104,219,0,1,0,197,0,23,0,0,3,6,7,45,62,97,0,0,13,30,58,48,71,0,2,73,95,36,14,0,0,9,10,38,163,0,0,22,42,69,87,156,1,47,16,156,4,11,49,156,4,11,49,0,0,139,81,139,0,27,54,193,0,9,0,3,0,4,2,9,54,0,2,19,4,17,4,9,32,9,0,6,6,19,4,10,25,0,3,80,133,1,3,0,0,220,0,0,0,0,0,0,0,12,81,69,58,0,4,93,73,37,9,4,3.2142857142857144,3.584578964007677,1.5,0.648074069840786,11.673267326732674,4.891069963808271,2.21256038647343,1.116181386839103
DE,DEU,Germany,2,2020-12-21,2020-12-21,856,0,0,0,0,201,855,7463489.168150324,848,0,0,856,0,114,742,0,25,831,0,326,530,0,236,620,0,102,754,0,79,777,0,25,831,0,40,816,0,4,852,0,27,829,0,201,655,0,10,846,0,123,733,856,0,0,0,742,2,41,71,831,0,13,12,530,5,87,234,620,4,77,155,754,1,37,64,777,1,31,47,831,0,12,13,816,1,18,21,852,0,4,0,829,1,14,12,655,3,58,140,846,1,4,5,733,3,54,66,0,1,104,751,752,0,38,66,0,3,372,481,484,1,130,241,726,0,6,112,12,726,0,17,110,3,839,0,2,15,0,134,2,39,681,856,0,0,0,0,0,0,1,256,275,203,121,710,1,56,72,17,710,3,56,71,16,710,2,50,68,26,710,1,49,70,26,710,2,13,76,55,0,817,3,18,18,817,2,8,29,817,4,12,23,817,3,8,28,817,3,2,34,817,2,4,33,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,856,0,0,0,0,1,253,602,0,3,494,359,0,3,88,765,0,4,455,397,0,2,10,844,0,1,103,752,0,0,462,394,394,0,384,44,23,11,0,1,9,86,390,370,0,1,844,11,0,1,106,749,0,0,480,296,37,20,6,17,0,0,121,207,372,156,0,1,223,469,121,42,0,1,138,710,7,0,1,134,702,19,603,0,197,56,362,2,487,5,768,1,80,7,401,2,125,328,846,0,4,6,753,1,99,3,0,4,11,25,127,185,504,0,1,18,47,172,188,430,0,7,242,432,126,49,0,1,16,42,134,663,0,0,100,186,231,339,570,4,231,51,570,21,63,202,570,23,65,198,0,2,665,189,667,0,99,90,757,0,19,0,11,3,9,8,49,92,4,6,89,33,54,15,48,108,60,1,32,61,91,11,17,134,0,8,351,490,0,7,0,0,0,856,0,0,0,0,0,7,18,361,223,247,7,8,462,211,120,30,18,3.794964028776978,4.163791995583776,1.9696969696969695,1.0733748556329281,13.740645161290322,4.915286191354381,2.1975609756097563,1.0353903205726596
DE,DEU,Germany,3,2020-12-21,2020-12-21,831,2,5732.63895856938,0,0,171,831,5859615.732648251,823,1,5,825,1,99,731,2,29,800,2,264,565,1,201,629,2,116,713,2,70,759,1,21,809,2,30,799,1,9,821,2,38,791,2,158,671,1,10,820,1,91,739,826,0,3,2,732,2,37,60,802,0,10,19,567,7,77,180,630,5,64,132,715,4,39,73,761,2,33,35,810,0,13,8,801,0,10,20,822,0,8,1,793,0,19,19,673,2,55,101,821,0,7,3,740,2,45,44,0,0,84,747,747,0,37,47,0,6,342,483,489,5,120,217,711,0,12,103,5,711,0,13,106,1,818,0,1,12,0,131,9,32,659,831,0,0,0,0,0,0,0,282,279,160,110,699,1,26,73,32,699,1,44,64,23,699,2,39,58,33,699,0,41,66,25,699,2,7,67,56,0,799,6,8,18,799,8,4,20,799,8,4,20,799,6,10,16,799,8,3,21,799,9,3,20,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,831,0,0,0,0,1,242,588,0,2,460,369,0,2,72,757,0,1,387,443,0,3,12,816,0,3,73,755,0,0,376,455,455,0,302,43,13,18,0,1,8,68,338,416,0,3,819,9,0,4,76,751,0,0,497,243,46,19,10,16,0,0,142,220,309,160,0,4,251,443,95,38,0,1,197,626,7,0,3,170,643,15,589,1,202,39,371,2,450,8,759,1,64,7,444,2,139,246,819,0,9,3,758,1,70,2,0,1,3,18,119,158,532,0,1,5,30,140,170,485,0,1,279,373,123,55,0,0,9,41,111,670,0,0,81,177,245,328,573,3,199,56,573,34,58,166,573,35,64,159,0,0,665,166,665,0,95,71,736,1,20,3,12,3,18,2,36,71,0,7,75,34,60,21,42,113,71,2,25,41,85,17,30,137,0,9,386,427,2,7,0,0,0,0,831,0,0,0,0,6,10,302,241,272,6,6,274,251,209,54,31,3.828018867924528,3.9324983914024365,2.1153846153846154,1.4769288003552106,14.044312169312171,4.9184428621784315,2.5597014925373136,1.1315328258331676
DE,DEU,Germany,4,2020-12-21,2020-12-21,726,1,20510.350606215,0,0,124,726,8773784.922257362,718,1,1,724,1,67,658,0,21,705,1,175,550,1,136,589,1,79,646,1,36,689,2,14,710,0,19,707,1,6,719,0,11,715,0,116,610,0,4,722,1,54,671,725,0,0,1,659,3,24,40,705,1,6,14,551,6,48,121,590,1,42,93,647,2,22,55,690,0,19,17,712,0,8,6,707,1,10,8,720,2,3,1,715,2,4,5,610,5,30,81,722,0,2,2,672,2,25,27,0,0,69,657,657,0,35,34,0,7,260,459,466,4,87,169,639,0,3,79,5,639,0,12,74,1,714,0,1,11,0,98,6,25,597,726,0,0,0,0,0,0,4,312,193,142,75,628,2,27,50,19,628,1,39,44,14,628,2,36,44,16,628,1,36,44,17,628,1,15,42,40,0,701,5,8,12,701,5,1,19,701,4,6,15,701,5,5,15,701,6,1,18,701,4,4,17,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,726,0,0,0,0,6,198,522,0,2,451,273,0,6,85,635,0,7,306,413,0,6,8,712,0,6,54,666,0,1,307,418,419,1,242,29,13,22,0,1,2,61,283,379,0,3,718,5,0,4,72,650,0,0,442,213,40,7,13,11,0,0,147,168,278,133,0,4,246,364,82,30,0,1,240,482,3,0,1,188,528,9,528,2,170,26,275,2,441,8,641,4,78,3,420,3,129,174,718,1,5,2,672,1,52,1,0,6,1,11,95,112,501,0,4,3,26,106,127,460,0,4,249,312,119,42,0,3,12,29,95,587,0,3,78,161,189,295,487,12,181,46,487,44,54,141,487,43,52,144,0,2,561,163,563,0,81,82,645,0,14,2,14,4,13,2,32,84,1,4,50,26,58,18,44,102,49,0,24,35,70,17,24,120,0,8,325,387,1,5,0,0,0,0,0,726,0,0,0,3,18,262,201,242,3,11,243,224,160,51,34,4.280864197530864,4.59756341378014,1.873015873015873,1.2377407031083207,13.114705882352942,5.019557177480087,2.4020028612303292,1.0918014319252285
DE,DEU,Germany,5,2020-12-21,2020-12-21,616,0,0,0,0,78,615,6288608.002355683,603,3,1,612,3,55,558,3,17,596,3,134,479,2,115,499,3,83,530,3,29,584,3,8,605,3,14,599,3,4,609,3,35,578,3,84,529,3,4,609,3,36,577,615,1,0,0,561,1,10,44,599,1,4,12,482,5,29,100,501,2,24,89,533,2,26,55,587,1,9,19,608,0,3,5,602,0,9,5,612,1,3,0,581,3,14,18,532,2,25,57,612,0,2,2,580,2,15,19,0,1,47,568,569,0,19,28,0,9,200,407,416,2,77,121,539,0,7,68,2,539,0,6,71,0,610,0,0,6,0,88,7,17,504,616,0,0,0,0,0,0,1,308,179,78,50,508,2,24,73,9,508,4,35,59,10,508,4,29,65,10,508,4,32,62,10,508,4,12,55,37,0,599,5,5,7,599,7,4,6,599,7,3,7,599,7,3,7,599,7,1,9,599,8,2,7,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,0,8,125,483,0,5,383,228,0,7,75,534,0,6,267,343,0,6,10,600,0,5,41,570,0,2,257,357,359,1,217,27,7,5,0,1,2,46,251,316,0,0,611,5,0,6,54,556,0,1,391,168,30,6,6,14,0,0,139,158,212,107,0,3,205,330,51,27,0,1,295,318,2,0,7,210,391,8,491,2,106,17,233,4,375,4,541,3,67,5,349,3,135,129,606,1,9,0,575,2,39,0,0,4,2,9,69,123,409,0,3,5,11,90,116,391,0,3,247,250,85,31,0,0,12,27,83,494,0,0,68,136,150,262,412,15,150,39,412,55,50,99,412,54,56,94,0,3,380,233,383,0,86,147,530,3,11,3,11,2,16,3,37,150,0,2,53,22,27,8,27,60,36,1,23,16,68,14,19,90,0,13,263,335,1,4,0,0,0,0,0,0,616,0,0,8,18,234,167,189,8,16,282,187,80,27,16,4.7846715328467155,4.506525842202549,1.6818181818181819,0.9344250134217541,12.662303664921465,4.818362632686954,1.935042735042735,0.8714768836790951
DE,DEU,Germany,6,2020-12-21,2020-12-21,278,0,0,0,0,35,277,7982489.064294439,273,4,0,274,2,27,249,4,13,261,4,43,231,3,37,238,2,27,249,3,3,272,3,4,271,3,1,274,5,0,273,3,7,268,1,30,247,4,3,271,4,7,267,278,0,0,0,251,0,5,22,265,1,2,10,235,2,9,32,241,2,9,26,251,1,8,18,275,0,0,3,274,0,0,4,277,1,0,0,278,0,0,0,271,1,2,4,248,2,8,20,275,0,2,1,271,1,1,5,0,1,19,258,259,0,6,13,0,7,59,212,219,3,11,45,267,0,0,11,0,267,1,0,10,0,278,0,0,0,0,21,9,6,242,278,0,0,0,0,0,0,1,151,74,39,13,243,2,13,15,5,243,2,18,12,3,243,3,17,12,3,243,3,18,11,3,243,4,5,16,10,0,272,5,0,1,272,2,3,1,272,4,2,0,272,5,0,1,272,3,2,1,272,3,1,2,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,278,0,0,0,0,10,21,247,0,4,179,95,0,7,37,234,0,5,89,184,0,8,1,269,0,7,13,258,0,3,90,185,188,0,87,2,1,0,0,0,1,29,124,124,0,2,273,3,0,0,18,260,0,0,183,70,11,4,5,5,0,1,105,75,85,12,0,2,98,149,19,10,0,1,158,118,1,0,2,134,141,1,257,1,16,4,99,2,174,3,241,1,34,2,189,2,36,51,277,0,1,0,265,0,13,0,0,2,0,1,31,42,202,0,0,0,4,26,60,188,0,2,94,118,46,18,0,0,3,8,30,237,0,0,9,42,55,172,227,11,26,14,227,17,15,19,227,14,19,18,0,0,54,224,54,1,17,206,261,0,3,0,0,1,0,0,13,207,1,2,10,2,8,0,9,6,0,0,4,3,6,2,8,10,0,4,139,135,0,0,0,0,0,0,0,0,0,278,0,3,9,100,73,93,3,6,143,93,20,10,3,5.020833333333333,4.638464280038489,2,1.632993161855452,12.77016129032258,4.470505769622525,1.7283018867924531,0.6583891494819135
DE,DEU,Germany,-99,2020-12-22,2020-12-22,540,0,0,0,0,88,444,8196708.918599292,0,9,4,527,5,69,466,11,22,507,9,172,359,8,123,409,8,80,452,6,43,491,8,20,512,6,17,517,7,7,526,6,31,503,7,114,419,9,9,522,10,70,460,536,1,1,2,471,6,27,36,518,2,8,12,368,12,62,98,417,10,34,79,460,6,26,48,497,5,17,21,520,1,11,8,523,1,5,11,533,2,4,1,509,4,13,14,426,7,28,79,531,2,3,4,470,5,39,26,93,3,51,393,501,0,15,24,115,15,157,253,386,3,53,98,487,0,5,45,3,487,0,8,43,2,532,0,1,7,0,194,7,18,321,540,0,0,0,0,0,156,2,136,95,90,61,224,14,102,126,74,224,25,109,120,62,224,24,86,129,77,224,26,85,134,71,224,31,41,112,132,0,526,7,4,3,526,4,4,6,526,7,3,4,526,7,1,6,526,6,5,3,526,5,3,6,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,540,0,0,0,244,7,79,210,244,5,224,67,244,8,48,240,244,7,127,162,244,7,5,284,244,5,47,244,269,2,117,152,423,0,95,11,1,10,281,5,3,21,98,132,281,1,252,6,316,4,23,197,316,2,131,60,13,4,4,10,316,0,58,57,68,41,333,1,69,104,20,13,345,1,45,144,5,382,7,42,106,3,465,3,63,9,323,6,209,2,496,0,40,4,418,5,51,66,535,1,2,2,494,3,43,0,407,1,2,3,19,27,81,407,0,2,4,17,30,80,430,3,42,40,14,11,430,1,4,7,28,70,430,1,19,30,22,38,501,4,30,5,501,10,9,20,501,11,8,20,452,0,51,37,503,0,27,10,535,0,0,0,0,0,1,0,4,506,1,0,3,1,1,0,3,9,2,0,4,0,3,0,2,5,540,0,0,0,0,0,540,0,0,0,0,0,0,0,0,540,0,0,0,0,540,0,0,0,0,0,0,4.543555555555556,4.78484081107215,2,1.3123346456686351,0,0,0,0
DE,DEU,Germany,1,2020-12-22,2020-12-22,218,0,0,0,0,41,218,3065836.477210045,215,0,0,218,0,22,196,0,6,212,0,97,121,0,62,156,0,29,189,0,13,205,0,7,211,0,11,207,1,5,212,0,14,204,0,55,163,0,3,215,0,31,187,218,0,0,0,196,0,5,17,212,0,1,5,121,1,17,79,156,0,18,44,189,0,10,19,205,0,5,8,211,0,4,3,207,0,5,6,213,0,4,1,204,0,6,8,163,1,9,45,215,0,1,2,187,0,11,20,0,0,22,196,196,0,10,12,0,1,81,136,137,0,26,55,192,0,5,20,1,192,0,2,24,0,216,0,1,1,0,27,0,9,182,218,0,0,0,0,0,0,0,61,63,67,27,0,0,69,107,42,0,1,74,107,36,0,1,87,86,44,0,0,75,97,46,0,0,14,102,102,0,209,0,3,6,209,1,3,5,209,1,4,4,209,1,2,6,209,1,1,7,209,1,0,8,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,0,0,60,158,0,0,135,83,0,0,16,202,0,0,114,104,0,0,2,216,0,0,33,185,0,0,116,102,102,0,103,8,3,2,0,1,3,20,102,92,0,0,218,0,0,0,18,200,0,0,123,74,7,6,1,7,0,1,26,69,85,37,0,0,54,117,34,13,0,0,25,189,4,0,0,22,187,9,158,0,51,9,83,1,134,0,202,0,16,0,104,0,23,91,216,1,1,0,185,0,32,1,0,1,4,3,51,51,108,0,0,6,25,48,50,89,0,2,67,107,30,12,0,1,5,8,27,177,0,0,22,55,64,77,141,3,60,14,141,6,20,51,141,5,12,60,0,0,139,79,139,0,43,36,175,0,12,2,6,1,3,1,18,36,1,0,21,7,16,4,3,28,14,0,11,9,22,5,6,35,0,0,75,140,0,3,0,0,218,0,0,0,0,0,0,1,5,89,58,65,1,6,89,61,42,14,5,4.184397163120567,4.477886677694915,1.9500000000000002,1.145931016569864,12.481675392670157,4.108838908777762,2.3737864077669903,1.0458243255965467
DE,DEU,Germany,2,2020-12-22,2020-12-22,790,0,0,0,0,189,790,7317243.157054635,782,2,1,787,2,75,713,2,18,770,2,322,466,2,188,600,2,93,695,2,69,719,2,26,762,2,42,746,2,11,777,2,32,756,2,178,610,3,8,779,2,113,675,789,0,1,0,715,1,28,46,772,0,12,6,468,1,69,252,602,1,57,130,697,1,22,70,721,0,35,34,764,0,10,16,748,0,20,22,779,0,8,3,758,0,15,17,612,1,40,137,782,0,4,4,677,2,54,57,0,0,93,697,697,0,36,57,0,3,354,433,436,1,125,228,665,0,8,114,3,665,0,19,106,0,771,0,2,15,2,129,5,35,621,790,0,0,0,0,0,0,1,249,247,168,125,0,4,188,456,142,0,6,263,404,117,0,2,241,407,140,0,4,233,406,147,0,5,63,421,301,0,755,2,9,24,755,6,3,26,755,4,7,24,755,4,8,23,755,3,4,28,755,5,4,26,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,790,0,0,0,0,1,220,569,0,1,563,226,0,4,87,699,0,2,406,382,0,3,6,781,0,2,91,697,0,1,415,374,375,0,336,47,18,14,0,0,6,69,376,339,0,0,784,6,0,4,83,703,0,0,474,241,47,12,6,10,0,1,128,179,336,146,0,0,220,421,108,41,0,1,139,642,8,0,1,114,651,24,570,2,178,40,227,2,558,3,703,1,84,2,384,2,109,295,784,1,4,1,699,0,89,2,0,2,10,21,125,166,466,0,1,21,42,146,199,381,0,6,246,368,124,46,0,1,15,40,114,620,0,1,84,170,228,307,536,4,196,54,536,21,46,187,536,26,51,177,0,1,572,217,573,0,121,96,669,0,22,2,16,3,7,7,64,97,0,4,62,30,48,21,27,113,54,1,18,49,96,15,23,132,0,13,309,459,3,6,0,0,0,790,0,0,0,0,0,2,15,349,207,217,2,9,403,220,113,30,13,4.050409836065573,4.443651290625214,2.066666666666667,1.2067227416771837,13.828060522696012,4.878483083647405,2.263157894736842,1.0175459519022796
