ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GR,GRC,Greece,-99,2020-12-30,2020-12-21,732,0,0,0,0,117,622,91,8,8642665.636569485,0,13,5,714,11,40,681,13,21,698,11,90,631,12,69,651,14,63,655,15,25,692,14,23,695,13,16,703,12,7,713,13,25,694,10,83,639,14,15,703,11,84,637,727,1,2,2,693,0,7,32,712,1,9,10,646,4,29,53,664,4,17,47,672,4,15,41,708,0,4,20,710,2,9,11,716,2,5,9,725,0,4,3,708,0,9,15,653,4,22,53,717,1,4,10,650,3,28,51,106,4,61,561,682,9,41,134,8,229,361,508,4,91,129,641,0,8,81,2,641,0,42,48,1,691,0,13,28,0,253,7,49,423,732,0,0,0,0,0,203,7,178,174,111,59,346,33,118,149,86,346,44,165,116,61,346,38,179,106,63,346,45,126,110,105,346,51,50,97,188,0,692,24,5,11,692,23,7,10,692,18,16,6,692,20,11,9,692,23,12,5,692,24,3,13,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,732,0,0,0,337,9,97,289,337,4,296,95,337,9,30,356,337,7,185,203,337,8,23,364,337,9,34,352,382,4,123,223,609,0,86,25,6,6,408,4,6,32,116,166,408,3,319,2,442,7,19,264,442,1,240,25,3,3,3,15,442,1,127,68,51,43,451,5,90,123,44,19,476,1,84,168,3,529,6,61,133,3,640,1,82,9,447,5,269,11,704,0,23,5,554,2,122,54,710,0,11,11,700,0,30,2,552,0,5,7,30,46,92,552,1,6,10,36,53,74,584,1,71,49,18,9,584,0,12,13,39,84,584,0,47,42,29,30,661,4,57,10,661,27,15,29,661,23,28,20,622,0,39,71,661,0,39,32,722,1,0,0,2,1,0,0,6,696,0,4,3,1,1,0,0,3,5,0,1,5,3,2,0,8,732,0,0,0,0,0,732,0,0,0,0,0,0,0,0,732,0,0,0,0,732,0,0,0,0,0,0,7.876729559748426,9.847361626784997,2.4473684210526314,2.07556398614869,0,0,0,0
GR,GRC,Greece,1,2020-12-30,2020-12-21,366,0,0,0,0,92,366,35,1,4047035.9139761804,359,1,0,365,1,27,338,1,8,357,1,53,312,1,57,308,1,33,332,1,19,346,1,10,355,1,13,352,2,2,362,2,22,342,1,71,294,1,7,358,2,71,293,366,0,0,0,339,0,6,21,358,0,2,6,313,0,12,41,309,0,12,45,333,0,7,26,347,0,2,17,356,0,2,8,353,0,7,6,364,0,2,0,344,0,7,15,295,0,14,57,359,0,4,3,295,0,26,45,0,0,43,323,323,10,33,0,0,113,253,253,0,35,78,331,0,1,33,1,331,0,18,16,1,348,0,10,7,1,35,2,30,299,366,0,0,0,0,0,0,0,85,146,94,41,34,3,92,169,68,34,2,138,136,56,34,2,147,122,61,34,3,82,136,111,34,6,23,108,195,0,336,4,5,21,336,3,6,21,336,2,14,14,336,3,8,19,336,4,4,22,336,4,3,23,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,366,0,0,0,0,2,50,314,0,2,224,140,0,3,27,336,0,2,239,125,0,2,20,344,0,2,51,313,0,0,225,141,141,0,167,45,10,3,0,2,4,43,166,151,0,0,366,0,0,3,15,348,0,0,278,54,8,10,1,15,0,0,87,98,122,59,0,1,91,154,78,42,0,0,50,288,28,0,0,53,278,35,316,1,43,6,142,1,220,3,339,1,20,6,127,1,119,119,346,0,8,12,315,1,48,2,0,4,15,25,72,101,149,0,0,20,37,77,111,121,0,5,131,148,58,24,0,0,19,42,95,210,0,0,90,116,98,62,160,4,175,27,160,26,29,151,160,23,69,114,0,1,94,271,95,0,103,168,263,1,29,1,10,37,1,1,23,169,1,13,21,5,20,5,4,8,8,0,12,12,1,33,1,53,0,3,158,198,1,6,0,0,366,0,0,0,0,0,0,3,7,216,75,65,3,2,47,139,133,26,16,5.162303664921466,6.7465268204374045,2.2051282051282053,1.5420336398045271,12.92365269461078,4.6624186404393635,3.1091445427728615,1.3877759354783867
GR,GRC,Greece,2,2020-12-30,2020-12-21,576,1,8563.15207395775,0,0,118,576,102,5,5633383.288591733,566,0,4,572,0,37,539,1,8,567,1,75,500,0,72,504,0,50,526,0,24,552,0,7,569,0,8,568,2,5,569,0,23,553,0,94,482,0,12,564,0,73,503,572,0,4,0,539,0,6,31,568,0,2,6,501,2,13,60,504,0,13,59,526,1,5,44,552,0,5,19,569,0,4,3,568,0,3,5,571,0,3,2,553,1,8,14,482,1,14,79,564,0,6,6,503,1,28,44,0,0,52,524,524,14,38,0,1,248,327,328,0,102,146,474,1,5,94,2,474,0,48,54,0,528,0,19,28,1,103,2,33,438,576,0,0,0,0,0,0,2,148,198,167,61,46,7,115,267,141,46,7,219,209,95,46,3,242,179,106,46,8,109,212,201,46,9,42,148,331,0,543,6,3,24,543,6,8,19,543,7,7,19,543,7,5,21,543,6,10,17,543,7,5,21,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,576,0,0,0,0,1,147,428,0,1,385,190,0,3,38,535,0,2,307,267,0,2,14,560,0,2,42,532,0,0,288,288,288,0,221,52,9,6,0,2,3,47,238,286,0,0,574,2,0,3,64,509,0,0,491,51,5,6,4,19,0,1,174,168,151,82,0,1,170,276,99,30,0,0,115,454,7,0,0,102,469,5,429,0,135,12,191,0,382,3,538,0,35,3,269,0,161,146,562,0,8,6,534,0,41,1,0,1,16,47,103,147,262,0,0,21,49,110,165,231,0,5,221,239,86,25,0,0,24,54,133,365,0,0,164,159,157,96,253,11,284,28,253,60,64,199,253,51,126,146,0,2,282,292,284,0,152,140,424,3,50,2,17,31,2,4,43,142,3,23,48,15,44,3,10,39,15,0,12,62,15,45,10,90,0,9,268,293,1,5,0,0,0,576,0,0,0,0,0,5,4,395,82,90,5,7,214,202,124,20,4,5.793522267206478,8.052285853215876,2.3469387755102042,1.4797384398400064,14.187850467289719,5.152609430922894,2.3610108303249095,1.4102427130917012
GR,GRC,Greece,3,2020-12-30,2020-12-21,1026,1,6861.50799696452,1,6861.50799696452,243,1025,177,4,9079848.791025862,1005,6,3,1017,6,48,972,6,16,1004,6,91,929,6,83,937,6,79,941,7,36,983,7,21,998,6,13,1007,6,5,1015,6,25,995,4,128,894,5,13,1008,5,92,929,1023,0,2,1,978,1,8,39,1010,0,5,11,935,1,22,68,943,1,16,66,947,0,17,62,990,0,10,26,1005,0,12,9,1013,0,7,6,1021,0,4,1,1001,0,8,17,898,2,29,97,1013,0,5,8,934,2,27,63,0,1,98,927,928,13,85,0,4,424,598,602,2,177,245,849,0,4,170,3,849,0,65,112,0,961,0,29,32,4,183,3,60,780,1026,0,0,0,0,0,0,1,349,357,200,119,110,20,202,456,238,110,23,434,310,149,110,15,433,301,167,110,26,235,340,315,110,28,91,292,505,0,966,16,11,33,966,18,11,31,966,15,23,22,966,22,17,21,966,20,11,29,966,23,4,33,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,1026,0,0,0,0,7,257,762,0,3,761,262,0,8,68,950,0,8,523,495,0,8,43,975,0,8,43,975,0,2,471,553,555,1,344,81,19,26,0,3,8,81,359,575,0,3,1018,5,0,3,96,927,0,0,890,82,8,10,3,33,0,2,388,247,250,139,0,5,403,455,119,44,0,2,321,695,8,0,7,276,734,9,769,1,234,22,265,6,739,16,958,1,60,7,503,3,355,165,983,0,32,11,983,1,35,7,0,8,20,54,169,242,533,0,3,24,69,154,299,477,0,8,444,397,113,64,0,2,40,78,224,682,0,1,266,294,247,218,466,13,493,54,466,168,103,289,466,137,187,236,0,4,513,509,517,0,240,269,786,4,74,5,25,41,4,8,79,273,3,34,62,37,63,14,47,64,30,3,27,105,41,73,23,127,0,11,549,459,2,5,0,0,0,0,1026,0,0,0,0,15,16,694,139,162,15,8,193,482,288,30,10,6.549253731343284,8.872168910584525,2.7261904761904763,1.6671972764080505,14.58695652173913,4.5627684138149815,2.7200413223140494,1.3828358368783416
GR,GRC,Greece,4,2020-12-30,2020-12-21,1259,0,0,0,0,303,1258,215,8,11573855.267951673,1242,10,4,1245,8,54,1197,10,12,1237,11,86,1162,9,91,1159,9,70,1180,8,39,1212,10,12,1237,10,12,1237,9,5,1245,9,19,1231,8,138,1113,10,10,1239,9,77,1173,1255,0,0,4,1205,1,6,47,1247,0,2,10,1173,1,19,66,1168,0,17,74,1189,1,18,51,1220,0,11,28,1247,0,4,8,1247,0,7,5,1254,0,3,2,1240,0,13,6,1121,1,36,101,1249,0,4,6,1182,0,28,49,0,1,129,1129,1130,17,112,0,16,502,741,757,4,215,283,1044,0,8,205,2,1044,0,65,150,0,1194,0,27,38,0,235,6,90,928,1259,0,0,0,0,0,0,4,460,444,225,126,111,64,272,511,301,111,69,586,336,157,111,51,586,342,169,111,78,372,393,305,111,87,142,346,573,0,1169,37,17,36,1169,40,14,36,1169,25,51,14,1169,42,15,33,1169,38,21,31,1169,44,5,41,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,1259,0,0,0,0,2,342,915,0,2,1017,240,0,5,80,1174,0,1,603,655,0,6,49,1204,0,4,81,1174,0,3,557,699,702,0,399,102,19,37,0,3,10,74,423,749,0,3,1252,4,0,8,157,1094,0,1,1102,78,16,6,7,49,0,0,450,332,275,202,0,6,493,576,132,52,0,1,440,812,6,0,12,291,948,8,917,7,312,23,242,8,995,14,1179,1,73,6,656,7,449,147,1210,3,42,4,1178,4,72,5,0,6,16,68,180,292,697,0,5,23,80,180,362,609,0,12,566,474,150,57,0,3,47,101,265,843,0,1,312,402,284,260,545,35,635,44,545,319,109,286,545,271,213,230,0,4,668,587,672,1,280,306,979,7,101,5,17,57,6,8,79,311,1,32,84,42,89,18,27,99,41,3,43,104,81,82,40,162,0,32,640,582,3,2,0,0,0,0,0,1259,0,0,0,10,27,853,181,188,10,18,168,478,488,76,21,5.964391691394659,7.856899587740416,2.6718446601941745,1.6796018129731747,14.544813278008299,4.590505520388132,2.8597816960537363,1.4785819754703127
GR,GRC,Greece,5,2020-12-30,2020-12-21,893,2,13221.38740546121,0,0,130,889,131,6,7859961.7075842805,872,9,4,880,7,38,848,9,13,871,10,41,842,8,49,836,8,49,836,10,18,865,8,12,873,9,8,876,9,4,880,9,17,867,8,49,836,11,7,875,9,39,845,889,0,1,3,855,0,7,31,880,1,4,8,852,1,10,30,844,1,9,39,844,2,12,35,875,0,9,9,881,1,7,4,885,1,2,5,889,0,1,3,876,0,9,8,844,1,7,41,886,0,2,5,854,0,16,23,0,4,70,819,823,14,56,0,7,314,572,579,7,131,176,762,1,6,123,1,762,0,49,82,0,844,0,15,34,0,145,10,61,677,893,0,0,0,0,0,0,3,417,269,127,77,99,93,243,294,164,99,95,381,233,85,99,73,407,216,98,99,123,251,241,179,99,136,104,218,336,0,832,30,11,20,832,29,13,19,832,28,17,16,832,28,14,19,832,31,13,17,832,33,4,24,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,893,0,0,0,0,14,206,673,0,1,715,177,0,14,43,836,0,10,371,512,0,12,20,861,0,14,62,817,0,1,345,547,548,1,264,61,7,12,0,6,2,47,279,559,0,1,891,1,0,14,78,801,0,0,800,41,4,7,0,41,0,2,425,196,174,96,0,10,384,399,63,37,0,0,494,393,6,0,6,358,524,5,687,5,177,24,178,14,687,14,850,2,37,4,522,11,285,75,873,2,14,4,831,3,54,5,0,6,13,35,114,199,526,0,6,11,40,132,255,449,0,6,413,325,101,48,0,1,25,94,176,597,0,1,188,274,204,226,431,47,381,34,431,265,69,128,431,224,137,101,0,6,359,528,365,1,190,337,703,10,38,6,11,25,3,5,92,344,2,36,32,22,71,9,18,60,24,2,23,77,40,31,16,86,0,24,490,376,0,3,0,0,0,0,0,0,893,0,0,15,27,584,120,147,15,22,148,300,311,77,20,9.520231213872833,9.602319000053448,2.276595744680851,1.3625763266945654,14.787878787878787,4.3404415483641055,2.296476306196841,1.3534041883133077
GR,GRC,Greece,6,2020-12-30,2020-12-21,371,0,0,0,0,17,370,32,1,8142241.284155131,360,10,3,358,11,13,347,8,5,358,9,23,339,11,21,339,8,28,335,9,6,356,9,4,358,9,5,357,12,2,357,11,6,354,12,27,332,11,3,357,11,6,354,368,1,1,1,358,1,4,8,366,1,1,3,348,2,6,15,350,1,1,19,343,2,4,22,365,0,2,4,367,0,1,3,366,0,3,2,369,0,0,2,365,0,2,4,344,1,5,21,368,2,0,1,365,0,3,3,0,1,12,358,359,2,10,0,10,78,283,293,0,32,46,339,0,1,30,1,339,0,10,22,0,361,0,2,8,0,42,2,22,305,371,0,0,0,0,0,0,2,218,89,35,27,41,66,111,94,59,41,62,151,83,34,41,41,172,77,40,41,60,116,89,65,41,79,48,81,122,0,349,12,4,6,349,11,6,5,349,14,4,4,349,17,0,5,349,11,7,4,349,16,0,6,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,371,0,0,0,0,8,51,312,0,2,291,78,0,8,22,341,0,4,147,220,0,9,10,352,0,6,20,345,0,0,136,235,235,0,111,14,6,5,0,4,3,25,140,199,0,3,368,0,0,5,20,346,0,0,321,18,3,2,1,26,0,0,191,88,59,33,0,9,194,140,19,9,0,0,280,91,0,0,7,227,133,4,320,0,44,7,80,3,283,5,349,1,18,3,224,3,108,36,361,1,7,2,351,1,16,3,0,2,4,4,34,54,273,0,4,2,9,35,97,224,0,3,184,122,42,20,0,1,6,14,64,286,0,0,35,75,101,160,261,24,71,15,261,67,17,26,261,42,53,15,0,2,62,307,64,3,55,249,316,1,2,0,2,8,0,1,41,254,0,16,6,4,6,1,6,13,2,0,6,11,8,10,4,24,0,16,236,119,0,0,0,0,0,0,0,0,0,371,0,9,8,230,45,79,9,6,73,141,107,27,8,8.723076923076922,9.205140704226926,2.25,1.8929694486000912,15.190141643059489,4.305338946678802,1.686046511627907,1.082720123870904
GR,GRC,Greece,-99,2020-12-31,2020-12-22,723,0,0,0,0,113,616,94,9,8866159.599648856,0,17,6,700,13,39,671,14,19,690,14,79,630,15,60,648,17,54,652,19,25,679,16,22,685,15,17,691,15,6,702,14,28,681,13,85,625,17,12,694,12,78,633,717,1,3,2,684,0,8,31,704,0,9,10,644,3,25,51,663,2,13,45,669,1,11,42,698,0,5,20,701,0,10,12,706,1,7,9,717,0,2,4,695,0,10,18,638,4,19,62,711,1,3,8,645,1,23,54,102,5,62,554,671,10,42,130,8,229,356,499,4,94,126,629,0,9,83,2,629,0,40,53,1,684,0,11,28,0,248,8,45,422,723,0,0,0,0,0,195,7,176,172,111,62,285,38,131,169,100,285,50,185,131,72,285,45,198,121,74,285,54,143,122,119,285,60,57,110,211,0,686,22,4,11,686,22,6,9,686,19,13,5,686,19,10,8,686,21,11,5,686,23,2,12,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,723,0,0,0,328,11,91,293,328,5,295,95,328,9,32,354,328,7,184,204,328,9,24,362,328,9,33,353,370,5,125,223,598,0,88,28,5,4,393,3,3,33,126,165,393,2,326,2,432,9,25,257,432,2,242,25,3,3,2,14,432,1,122,78,52,38,443,7,92,122,42,17,472,1,79,166,5,529,7,57,128,2,636,1,78,8,436,6,271,10,693,0,25,5,545,2,119,57,700,1,12,10,691,0,30,2,552,0,5,7,28,44,87,552,1,6,11,31,52,70,584,1,66,45,18,9,584,0,11,13,35,80,584,0,43,39,25,32,656,3,52,12,656,23,16,28,656,21,25,21,616,0,36,71,652,0,39,32,713,1,0,0,2,1,0,0,6,687,0,4,2,1,2,0,0,3,4,0,1,6,3,2,0,8,723,0,0,0,0,0,723,0,0,0,0,0,0,0,0,723,0,0,0,0,723,0,0,0,0,0,0,7.430188679245283,9.570899688652618,2.324324324324324,2.0007506098969463,0,0,0,0
GR,GRC,Greece,1,2020-12-31,2020-12-22,369,0,0,0,0,95,369,37,1,4143844.247650418,362,1,0,368,1,29,339,1,8,360,1,51,317,1,60,308,1,36,332,1,20,348,1,10,358,1,13,355,2,2,365,2,23,344,1,74,294,1,8,360,2,68,299,369,0,0,0,340,0,6,23,361,0,2,6,318,0,12,39,309,0,13,47,333,0,9,27,349,0,3,17,359,0,2,8,356,0,7,6,367,0,2,0,346,0,7,16,295,0,15,59,361,0,5,3,301,0,23,45,0,0,42,327,327,10,32,0,0,116,253,253,0,37,79,332,0,1,35,1,332,0,18,18,1,351,0,9,8,1,37,2,31,299,369,0,0,0,0,0,0,0,92,146,90,41,0,3,106,188,72,0,2,158,149,60,0,3,163,135,68,0,3,94,153,119,0,6,27,122,214,0,338,4,5,22,338,3,7,21,338,2,13,16,338,3,7,21,338,3,6,22,338,4,4,23,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,0,2,48,319,0,2,230,137,0,3,29,337,0,2,245,122,0,2,20,347,0,2,52,315,0,0,237,132,132,0,177,47,9,4,0,1,4,49,168,147,0,0,369,0,0,3,15,351,0,0,281,55,9,8,2,14,0,0,85,100,128,56,0,0,88,156,84,41,0,0,60,283,26,0,0,57,278,34,321,1,41,6,139,1,226,3,340,1,23,5,124,1,122,122,349,0,8,12,317,1,51,0,0,3,17,30,67,96,156,0,0,20,43,72,112,122,0,4,128,155,64,18,0,0,21,45,96,207,0,0,90,119,100,60,160,4,177,28,160,28,29,152,160,24,73,112,0,1,93,275,94,0,107,168,262,1,29,1,11,38,1,1,25,169,1,13,24,5,20,3,5,9,9,0,10,12,1,32,1,55,0,1,160,200,1,7,0,0,369,0,0,0,0,0,0,3,6,216,81,63,3,2,45,132,139,33,15,5.040609137055838,6.461690531510941,2.3333333333333335,1.5275252316519468,13.11676646706587,4.597932068077556,3.152941176470588,1.3719127947116745
GR,GRC,Greece,2,2020-12-31,2020-12-22,592,1,8563.15207395775,0,0,116,592,107,5,5966580.899836646,583,0,4,588,0,36,556,1,7,584,0,77,515,0,77,515,0,52,540,0,26,566,0,10,582,0,9,583,2,4,586,0,24,568,0,93,499,1,12,579,0,68,524,588,0,4,0,556,0,6,30,585,0,2,5,515,2,12,63,515,0,12,65,540,1,6,45,566,0,6,20,582,0,6,4,583,0,5,4,588,0,3,1,568,1,8,15,499,1,15,77,580,0,6,6,524,1,25,42,0,0,52,540,540,14,38,0,1,259,332,333,0,107,152,485,1,5,99,2,485,0,53,54,0,539,0,20,32,1,108,1,33,450,592,0,0,0,0,0,0,2,155,200,170,65,0,7,124,302,159,0,9,243,236,104,0,5,272,199,116,0,10,117,244,221,0,11,46,162,373,0,559,6,3,24,559,6,8,19,559,6,8,19,559,7,4,22,559,6,10,17,559,7,5,21,591,0,0,1,591,0,0,1,591,0,0,1,591,0,0,1,591,0,0,1,591,0,0,1,591,0,0,1,592,0,0,0,592,0,0,0,592,0,0,0,592,0,0,0,592,0,0,0,0,0,161,431,0,1,409,182,0,2,44,546,0,1,332,259,0,1,16,575,0,1,52,539,0,0,311,281,281,0,236,58,10,7,0,2,5,47,239,299,0,0,591,1,0,2,66,524,0,0,510,52,4,6,5,15,0,1,176,166,161,88,0,2,172,275,110,33,0,0,123,461,8,0,0,108,478,6,431,1,147,13,183,1,405,3,548,0,41,3,260,1,178,153,576,0,10,6,540,0,51,1,0,1,13,48,102,152,276,0,0,22,44,106,171,249,0,4,229,239,91,29,0,0,19,56,144,373,0,0,158,174,159,101,260,13,287,32,260,64,65,203,260,55,126,151,0,2,290,300,292,0,153,147,439,2,50,2,17,29,2,3,48,149,3,25,49,18,41,7,9,43,16,0,11,63,12,43,14,89,0,9,283,295,1,4,0,0,0,592,0,0,0,0,0,5,4,408,88,87,5,7,212,210,133,22,3,5.727642276422764,7.91917126990721,2.3333333333333335,1.477970623226513,14.229433272394882,5.168667246670364,2.420035149384886,1.3932758536614882
