ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AF,AFG,Afghanistan,-99,2020-12-22,2020-12-21,100,5,325956.71089749254,5,325956.71089749254,142,61,4528478.980461042,0,38,9,53,27,19,54,31,13,56,34,19,47,30,21,49,33,15,52,35,8,57,31,15,54,32,9,59,29,12,59,33,13,54,29,25,46,36,9,55,30,18,52,91,1,6,2,81,3,13,3,87,3,6,4,81,3,8,8,79,6,12,3,85,1,10,4,92,2,3,3,85,3,8,4,91,2,5,2,88,4,6,2,87,1,9,3,75,4,14,7,91,0,7,2,82,1,12,5,37,2,21,40,83,1,12,4,41,5,15,39,86,1,6,7,94,0,3,2,1,94,0,1,5,0,99,0,1,0,0,55,0,7,38,100,46,4,17,12,8,13,59,5,15,8,13,59,10,9,11,11,59,10,15,8,8,59,10,12,9,10,59,12,7,6,16,94,1,1,4,94,1,2,3,94,3,0,3,94,2,1,3,94,2,3,1,94,2,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,61,5,21,13,61,6,23,10,61,8,16,15,61,8,16,15,61,9,15,15,61,10,16,13,65,3,15,17,85,0,5,2,2,6,68,3,6,3,10,10,68,6,23,3,74,4,7,15,74,1,15,1,1,1,4,3,74,2,14,4,3,3,74,2,5,6,4,9,77,1,7,11,4,87,1,5,5,2,80,3,12,5,78,2,12,8,85,1,6,8,85,1,8,6,86,0,6,8,85,1,9,5,90,1,0,0,2,1,6,90,1,0,0,2,1,6,91,1,4,1,1,2,91,1,2,2,1,3,91,1,4,0,1,3,96,1,2,1,96,2,1,1,96,2,1,1,92,0,6,2,98,0,0,2,100,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.732,5.6770532262198605,11.083333333333334,28.09548114209936,0,0,0,0
AF,AFG,Afghanistan,-99,2020-12-23,2020-12-22,100,8,362915.7031530856,4,252937.95977375231,137,69,3936405.762164151,0,26,11,63,21,19,60,22,15,63,25,23,52,25,18,57,26,18,56,28,14,58,22,16,62,24,14,62,25,15,60,24,21,55,24,23,53,25,15,60,23,23,54,89,5,6,0,81,4,8,7,85,4,7,4,77,4,11,8,82,6,9,3,82,4,8,6,86,2,7,5,84,4,10,2,86,7,5,2,85,6,6,3,79,5,14,2,77,5,12,6,85,4,9,2,77,5,14,4,29,2,23,46,82,0,15,3,35,4,15,46,85,2,6,7,94,0,1,3,2,94,0,2,4,0,98,0,1,1,0,48,4,6,42,100,43,1,18,13,8,17,52,9,22,6,11,52,11,20,6,11,52,12,19,6,11,52,11,15,9,13,52,13,10,9,16,95,1,2,2,95,1,3,1,95,2,2,1,95,1,1,3,95,1,1,3,95,1,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,60,7,23,10,60,8,24,8,60,12,16,12,60,11,17,12,60,12,18,10,60,11,15,14,64,3,18,15,82,1,4,5,0,8,66,2,5,6,14,7,66,4,27,3,71,2,7,20,71,2,12,4,2,3,4,2,71,3,9,7,6,4,72,2,4,7,6,9,76,2,7,15,0,85,1,5,7,2,77,2,15,6,76,1,15,8,84,0,9,7,83,0,9,8,82,0,8,10,85,0,10,5,88,2,0,1,2,3,4,88,2,1,0,2,4,3,92,0,3,1,3,1,92,0,0,3,3,2,92,0,3,1,2,2,97,0,3,0,97,1,2,0,97,1,2,0,93,0,6,1,99,0,0,1,100,0,0,0,0,0,0,0,0,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,7.346153846153845,7.52564845148806,15.25,34.36671978195517,0,0,0,0
AF,AFG,Afghanistan,-99,2020-12-24,2020-12-23,100,19,935866.7681657139,8,328960.9326846442,41,67,5649138.84410787,0,19,24,57,18,24,58,21,19,60,20,23,57,21,23,56,25,21,54,23,22,55,21,19,60,22,15,63,26,15,59,23,25,52,20,24,56,27,13,60,26,24,50,76,8,10,6,76,7,8,9,81,6,7,6,77,5,11,7,77,6,10,7,79,6,5,10,78,5,11,6,81,5,10,4,85,6,6,3,85,4,8,3,75,7,14,4,76,8,11,5,87,2,7,4,76,5,9,10,32,1,24,43,85,1,7,7,44,3,12,41,88,1,6,5,94,0,3,2,1,94,0,2,3,1,98,0,2,0,0,55,4,3,38,100,49,0,17,12,8,14,56,5,17,8,14,56,9,17,9,9,56,11,19,8,6,56,10,15,10,9,56,11,6,14,13,98,1,1,0,98,0,2,0,98,1,1,0,98,0,1,1,98,0,1,1,98,0,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,61,3,21,15,61,6,18,15,61,8,15,16,61,7,16,16,61,8,12,19,61,8,11,20,67,1,15,17,85,2,3,6,1,3,69,1,3,6,13,8,69,2,23,6,76,2,4,18,76,2,11,6,1,2,1,1,76,2,11,1,4,6,76,1,3,7,8,5,77,2,2,18,1,81,2,2,11,4,80,3,15,2,83,1,14,2,86,2,10,2,84,2,9,5,88,2,7,3,89,1,7,3,82,2,1,1,3,4,7,82,2,0,1,3,6,6,90,0,3,3,1,3,90,0,0,3,4,3,90,0,3,1,3,3,97,0,3,0,97,1,2,0,97,1,1,1,94,0,5,1,99,0,1,0,100,0,0,0,0,0,0,0,0,97,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,6.392857142857143,7.861482687948252,3.6666666666666665,3.6147844564602556,0,0,0,0
AF,AFG,Afghanistan,2,2020-12-24,2020-12-21,100,8,321590.81647546444,4,156046.8760276714,266,100,4867289.11588819,96,9,10,81,6,19,75,8,8,84,6,15,79,5,19,76,5,14,81,6,12,82,7,6,87,7,8,85,7,8,85,9,7,84,7,23,70,8,10,82,6,21,73,90,2,7,1,81,2,12,5,92,1,4,3,85,3,8,4,81,2,11,6,86,3,8,3,88,1,6,5,94,3,2,1,92,2,5,1,92,2,6,0,93,1,4,2,77,3,13,7,90,2,5,3,79,2,13,6,0,0,44,56,56,0,29,15,0,1,25,74,75,0,10,15,90,0,2,8,0,90,0,7,3,0,93,0,6,0,1,11,2,14,73,100,0,1,57,19,12,11,15,4,61,6,14,15,14,44,12,15,15,10,65,6,4,15,16,37,11,21,15,17,13,5,50,86,4,8,2,86,4,5,5,86,4,6,4,86,2,6,6,86,4,7,3,86,5,5,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,6,76,18,0,8,69,23,0,10,49,41,0,8,61,31,0,7,52,41,0,6,51,43,0,0,70,30,30,1,28,9,18,14,0,0,10,29,31,30,0,1,91,8,0,0,27,73,0,0,26,18,20,14,20,2,0,0,23,21,18,38,0,1,13,32,33,21,0,0,12,76,12,0,2,15,72,11,24,4,47,25,31,4,39,26,51,4,24,21,39,2,29,30,48,2,30,20,49,2,29,20,0,1,4,16,18,24,37,0,1,7,13,20,23,36,0,0,32,27,23,18,0,2,16,31,20,31,0,1,39,30,10,20,31,4,58,7,31,14,39,16,31,15,39,15,0,1,68,31,69,0,19,12,81,2,6,2,1,2,1,2,3,13,0,5,9,9,12,1,1,7,2,0,4,4,8,3,3,19,0,1,90,6,1,2,0,0,0,100,0,0,0,0,0,3,1,60,15,21,3,0,36,22,17,13,9,8.176470588235293,11.738323359582392,7.9375,13.49536957626578,14.357142857142858,4.529707934100605,3.9411764705882355,2.3163648716226453
AF,AFG,Afghanistan,-99,2020-12-25,2020-12-24,100,12,919242.2006539115,5,353443.6296410772,47,66,5132487.866744756,0,22,20,58,26,20,54,30,14,56,23,24,53,26,23,51,28,20,52,20,31,49,22,22,56,25,16,59,29,15,56,29,18,53,26,23,51,33,13,54,26,26,48,80,5,10,5,80,7,6,7,86,4,5,5,76,4,13,7,77,6,9,8,80,5,8,7,69,10,13,8,78,6,12,4,84,10,4,2,85,4,8,3,82,2,6,10,77,6,13,4,87,3,7,3,74,6,13,7,32,2,19,47,85,1,7,7,39,4,17,40,85,2,7,6,93,0,2,4,1,93,1,1,4,1,99,0,1,0,0,54,1,8,37,100,47,1,25,10,7,10,61,4,17,8,10,61,9,14,9,7,61,10,18,5,6,61,11,15,7,6,61,11,4,11,13,94,2,3,1,94,2,1,3,94,2,3,1,94,3,2,1,94,3,1,2,94,3,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,65,2,23,10,65,6,19,10,65,7,14,14,65,6,15,14,65,6,10,19,65,7,10,18,68,2,13,17,87,2,3,5,1,2,70,2,3,7,9,9,70,5,22,3,77,3,3,17,77,3,7,3,5,3,1,1,77,4,9,3,2,5,78,4,4,3,10,1,79,3,3,12,3,83,3,3,8,3,77,3,15,5,81,2,11,6,86,1,8,5,85,1,7,7,90,1,4,5,90,1,4,5,85,2,1,1,1,3,7,85,2,0,1,3,3,6,94,1,1,0,0,4,94,2,0,0,0,4,94,1,2,0,0,3,98,0,2,0,98,0,2,0,98,0,2,0,96,1,0,3,97,0,1,2,99,1,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.757575757575758,4.962549137227151,4.5,4.750939756661683,0,0,0,0
AF,AFG,Afghanistan,2,2020-12-25,2020-12-22,100,8,327214.64259186503,3,119106.6855083346,275,100,5006840.782098433,98,9,10,81,9,23,68,9,7,84,7,16,77,7,24,69,7,12,81,8,11,81,8,10,82,8,5,87,8,5,87,10,6,84,6,21,73,10,10,80,6,22,72,90,2,6,2,77,3,13,7,93,1,4,2,84,4,7,5,76,4,14,6,88,3,7,2,89,1,6,4,90,3,4,3,95,2,2,1,95,2,3,0,94,1,4,1,79,3,12,6,90,1,4,5,78,2,13,7,0,0,45,55,55,0,32,13,0,1,24,75,76,0,7,17,93,0,1,6,0,93,0,7,0,0,93,0,6,0,1,8,1,10,81,100,0,1,65,20,4,10,0,7,67,10,16,0,16,49,13,22,0,12,71,7,10,0,20,44,14,22,0,20,14,7,59,90,5,5,0,90,6,2,2,90,5,4,1,90,3,5,2,90,4,6,0,90,6,4,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,8,72,20,0,8,71,21,0,11,51,38,0,7,55,38,0,6,54,40,0,6,51,43,0,1,72,27,28,1,27,9,16,19,0,1,11,23,35,30,0,1,89,10,0,0,22,78,0,0,29,17,15,10,26,3,0,0,20,21,20,39,0,0,12,31,36,21,0,0,9,77,14,0,2,9,76,13,28,3,44,25,29,3,35,33,49,3,23,25,45,1,22,32,46,1,28,25,49,1,27,23,0,1,4,16,19,24,36,0,0,7,19,20,23,31,0,0,37,24,17,22,0,1,20,29,20,30,0,1,40,24,13,22,36,4,56,4,36,14,36,14,36,17,33,14,0,1,61,38,62,0,25,13,75,2,11,2,2,2,0,2,4,14,0,4,8,7,13,1,2,8,2,0,3,5,9,2,3,19,0,0,92,5,1,2,0,0,0,100,0,0,0,0,0,1,0,68,11,20,1,0,36,26,16,10,11,6.627118644067796,7.469243383841512,7.57142857142857,9.980232563262577,14.413978494623656,4.316691350667059,3.9,2.332236232180743
AF,AFG,Afghanistan,-99,2020-12-26,2020-12-25,100,12,837846.1897253693,4,354077.6986750342,124,61,5101666.890857835,0,20,16,64,25,13,62,21,18,61,20,26,54,21,22,57,21,17,62,23,17,60,27,13,60,25,12,63,24,13,63,26,17,57,22,22,56,31,4,65,29,10,61,84,8,6,2,87,5,4,4,82,6,10,2,74,8,7,11,78,8,10,4,83,6,8,3,83,6,10,1,87,6,3,4,88,7,2,3,87,4,8,1,83,9,3,5,78,7,10,5,96,2,1,1,90,3,3,4,35,4,16,45,89,0,5,6,42,3,13,42,89,2,2,7,98,0,1,1,0,98,1,1,0,0,99,0,0,1,0,52,2,9,37,100,50,3,18,6,8,15,65,5,14,6,10,65,14,5,11,5,65,13,9,6,7,65,14,6,7,8,65,15,8,3,9,94,1,3,2,94,1,1,4,94,1,4,1,94,1,2,3,94,0,5,1,94,1,4,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,69,3,17,11,69,5,15,11,69,7,10,14,69,6,14,11,69,7,10,14,69,5,12,14,70,0,14,16,86,1,5,2,2,4,73,0,4,9,7,7,73,2,23,2,78,0,3,19,78,1,8,5,1,1,4,2,78,0,13,2,3,4,78,0,7,11,3,1,78,1,4,15,2,80,3,4,11,2,83,1,13,3,85,0,11,4,90,0,6,4,86,0,9,5,90,0,6,4,88,1,8,3,87,0,2,2,2,0,7,87,0,1,1,2,1,8,90,0,4,1,2,3,90,0,2,3,1,4,90,0,7,1,1,1,92,1,6,1,92,4,4,0,92,2,3,3,92,0,3,5,95,0,3,2,98,0,0,0,0,0,0,0,2,96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.217391304347826,4.907846424017272,19,39.68878934913485,0,0,0,0
AF,AFG,Afghanistan,2,2020-12-26,2020-12-23,100,8,327698.1813092023,4,124854.0433109401,274,100,4887741.354682347,98,4,13,83,5,22,73,5,6,89,4,20,76,4,31,65,5,13,82,5,15,80,4,10,86,5,5,90,5,4,91,6,9,85,4,21,75,5,11,84,3,25,72,87,1,7,5,78,2,13,7,94,1,3,2,80,3,11,6,69,5,18,8,87,2,8,3,85,1,8,6,90,2,4,4,95,1,2,2,96,1,2,1,91,2,4,3,79,1,13,7,89,2,4,5,75,1,17,7,0,0,43,57,57,1,29,13,0,0,23,77,77,0,5,18,95,0,0,5,0,95,0,4,1,0,96,0,3,0,1,5,2,8,85,100,0,0,56,23,7,14,0,8,57,14,21,0,17,48,12,23,0,13,65,11,11,0,18,43,18,21,0,19,15,12,54,92,5,3,0,92,5,0,3,92,3,4,1,92,4,2,2,92,3,4,1,92,5,3,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,5,72,23,0,9,67,24,0,12,42,46,0,8,57,35,0,9,46,45,0,8,49,43,0,1,66,33,34,1,22,14,11,18,0,2,8,26,36,28,0,1,92,7,0,0,22,78,0,1,35,17,13,10,21,3,0,1,21,23,24,31,0,3,13,34,34,16,0,0,11,74,15,0,2,10,73,15,28,2,48,22,33,2,35,30,58,2,18,22,43,1,22,34,54,0,25,21,51,1,24,24,0,3,3,12,21,20,41,0,1,6,17,25,15,36,0,0,36,28,13,23,0,1,18,30,23,28,0,1,42,26,11,20,32,4,58,6,32,18,34,16,32,19,35,14,0,0,64,36,64,0,19,17,81,0,10,2,2,0,0,1,4,17,0,5,7,8,11,2,3,7,2,0,2,4,7,1,3,21,0,0,90,9,0,1,0,0,0,100,0,0,0,0,0,1,0,67,13,19,1,1,32,21,20,11,14,4.758620689655173,5.020345779758238,7.416666666666667,7.365459931328116,14.615384615384617,3.9742762605123207,3.891304347826087,2.3971435461982225
AF,AFG,Afghanistan,-99,2020-12-27,2020-12-26,100,11,795169.7356188335,8,632349.025872825,93,63,5014462.607570339,0,25,18,57,28,19,53,29,14,57,26,23,51,27,25,48,27,19,54,27,21,52,34,9,57,25,17,58,28,13,59,30,15,55,26,25,49,36,7,57,33,17,50,82,4,8,6,81,3,8,8,86,4,7,3,77,5,10,8,75,5,11,9,81,4,9,6,79,4,10,7,91,1,5,3,83,2,8,7,87,4,7,2,85,4,6,5,75,3,12,10,93,2,4,1,83,1,12,4,35,2,22,41,81,2,10,7,43,5,14,38,86,2,4,8,96,0,2,2,0,96,1,3,0,0,97,0,2,0,1,54,2,9,35,100,50,3,18,11,7,11,61,5,19,6,9,61,12,11,8,8,61,11,19,2,7,61,12,13,5,9,61,11,8,3,17,93,1,2,4,93,2,0,5,93,2,2,3,93,2,1,4,93,1,3,3,93,2,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,66,3,24,7,66,6,20,8,66,7,12,15,66,7,16,11,66,6,13,15,66,6,14,14,68,1,17,14,83,0,9,3,2,3,70,0,7,9,6,8,70,1,25,4,76,1,5,18,76,1,11,1,0,1,7,3,76,2,8,3,2,9,76,2,9,8,4,1,77,0,4,17,2,83,2,1,13,1,76,2,15,7,80,1,10,9,88,1,5,6,84,1,9,6,87,1,5,7,86,1,7,6,86,1,0,0,2,0,11,86,1,1,0,2,0,10,87,0,7,3,0,3,87,0,1,3,4,5,87,0,7,3,1,2,91,1,7,1,91,3,5,1,91,1,5,3,92,0,6,2,98,0,2,0,100,0,0,0,0,0,0,0,0,95,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,6.2,8.531483276462055,8.1,11.647126493498538,0,0,0,0
AF,AFG,Afghanistan,1,2020-12-27,2020-12-22,100,10,847319.7048472848,6,514128.3642318846,334,100,6208148.0279143555,94,9,14,77,6,27,67,7,8,85,5,23,72,5,31,64,7,15,78,7,20,73,8,6,86,7,7,86,7,9,84,8,12,80,6,22,72,5,10,85,4,26,70,86,1,5,8,73,0,17,10,92,0,6,2,77,2,12,9,69,0,19,12,85,1,8,6,80,1,10,9,94,1,4,1,93,1,5,1,91,1,3,5,88,0,7,5,78,1,12,9,90,1,4,5,74,2,19,5,0,0,37,63,63,1,21,15,0,1,21,78,79,0,12,9,88,0,1,11,0,88,0,5,7,0,95,0,4,1,0,13,0,10,77,100,0,0,53,18,9,20,0,2,54,17,27,0,9,35,28,28,0,11,58,14,17,0,11,44,18,27,0,11,19,17,53,90,3,4,3,90,3,5,2,90,5,3,2,90,4,3,3,90,5,2,3,90,4,3,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,5,57,38,0,9,66,25,0,10,41,49,0,9,51,40,0,8,53,39,0,8,44,48,0,0,61,39,39,0,29,13,9,10,0,0,17,29,29,25,0,2,81,17,0,2,16,82,0,0,22,16,15,10,24,13,0,1,33,16,27,23,0,1,20,26,27,26,0,1,8,76,15,0,4,8,74,14,43,1,30,26,34,1,35,30,59,1,19,21,49,1,24,26,47,2,22,29,56,2,21,21,0,3,4,12,17,27,37,0,4,6,10,20,21,39,0,2,35,23,18,22,0,2,25,22,20,31,0,2,44,21,17,16,35,3,56,6,35,13,36,16,35,9,39,17,0,1,45,54,46,0,18,36,82,0,7,1,0,1,2,3,4,37,1,7,11,2,12,1,0,1,1,0,6,1,3,0,3,14,0,0,85,13,1,1,0,0,100,0,0,0,0,0,0,5,3,54,17,21,5,0,35,20,23,12,5,5.870967741935484,6.7859156719737594,12.879999999999999,26.469038516727426,12.456521739130435,4.772662637131799,3.2790697674418605,2.7424813272599247
