ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CR,CRI,Costa Rica,-99,2020-12-21,2020-12-21,113,1,6701.574535223979,0,0,33,83,878049.4017381609,0,4,2,107,4,9,100,4,3,106,4,17,92,5,23,85,4,18,91,3,9,101,4,2,107,4,7,102,3,4,106,4,7,102,4,28,81,4,3,106,4,17,92,112,0,1,0,105,0,5,3,110,0,2,1,96,1,7,9,91,0,7,15,96,0,9,8,105,0,6,2,111,0,2,0,106,0,3,4,109,0,2,2,106,0,2,5,86,1,11,15,111,0,0,2,97,1,10,5,29,1,12,71,102,0,3,8,35,1,15,62,99,0,2,12,111,1,1,0,111,1,1,112,1,0,0,40,0,5,68,113,0,0,0,0,39,0,38,23,7,6,85,2,17,5,4,85,3,17,6,2,85,4,17,7,0,85,4,15,8,1,85,4,4,4,16,108,1,0,4,108,2,0,3,108,2,2,1,108,2,0,3,108,2,2,1,108,1,2,2,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,54,2,28,29,54,2,43,14,54,1,30,28,54,1,26,32,54,1,10,48,54,1,21,37,60,0,27,26,86,0,20,6,1,0,65,2,0,3,4,39,65,0,48,0,70,0,5,38,70,0,37,1,0,0,0,5,70,0,13,13,9,8,75,0,13,18,5,2,78,0,14,15,6,84,3,15,9,2,86,1,26,0,71,1,40,1,84,1,28,0,87,1,19,6,103,1,8,1,93,0,20,0,86,1,1,0,4,5,16,86,1,1,1,1,5,18,95,0,8,6,2,2,95,0,5,3,3,7,95,0,5,5,1,7,105,0,6,2,105,2,2,4,105,2,3,3,98,0,6,9,104,1,3,5,112,0,0,0,0,0,0,0,1,106,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,113,0,0,0,0,0,113,0,0,0,0,0,0,0,0,113,0,0,0,0,113,0,0,0,0,0,0,3.15625,2.2448417574806987,3.3333333333333335,1.5811388300841898,0,0,0,0
CR,CRI,Costa Rica,-99,2020-12-22,2020-12-22,156,1,6143.88973835716,1,6143.88973835716,58,116,1086964.2401714204,0,5,5,146,4,23,129,6,3,147,4,24,128,4,31,121,6,31,119,5,25,126,5,5,146,4,10,142,6,5,145,3,14,139,4,43,109,5,11,140,6,27,123,151,0,3,2,133,1,11,11,153,0,3,0,132,0,17,7,125,1,17,13,125,1,16,14,131,0,14,11,151,0,2,3,146,0,5,5,151,0,3,2,142,0,9,5,113,1,21,21,145,1,9,1,129,0,19,8,39,1,27,89,134,0,2,20,49,3,16,88,140,1,1,14,155,1,0,0,155,1,0,155,0,1,0,54,2,10,90,156,0,0,0,0,55,0,60,30,8,3,68,5,56,18,9,68,4,62,17,5,68,8,55,19,6,68,7,52,23,6,68,9,18,18,43,147,1,2,6,147,1,3,5,147,1,1,7,147,2,0,7,147,1,2,6,147,1,3,5,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,156,0,0,0,76,5,25,50,76,3,55,22,76,4,24,52,76,2,41,37,76,4,13,63,76,3,26,51,79,0,43,34,113,0,30,10,1,2,84,0,0,7,25,40,84,0,72,0,91,1,13,51,91,0,55,9,0,0,0,1,91,1,18,19,18,9,93,0,20,28,10,5,95,1,14,42,4,110,2,19,20,5,131,4,20,1,101,4,51,0,132,2,22,0,115,3,24,14,143,1,9,3,130,3,22,1,118,0,1,1,1,12,23,118,0,2,1,2,8,25,121,0,15,16,1,3,121,0,6,8,9,12,121,0,7,15,4,9,137,0,16,3,137,3,6,10,137,5,7,7,127,2,9,18,138,0,10,8,150,0,1,0,1,1,0,0,3,142,0,2,2,0,0,0,1,0,2,0,2,2,0,0,0,3,156,0,0,0,0,0,156,0,0,0,0,0,0,0,0,156,0,0,0,0,156,0,0,0,0,0,0,2.82,1.6498608475645848,2.7222222222222223,1.487420014875958,0,0,0,0
CR,CRI,Costa Rica,1,2020-12-22,2020-12-21,100,0,0,0,0,36,100,590498.5029745189,98,0,0,100,0,18,82,0,7,93,0,25,75,0,34,66,0,14,86,0,10,90,1,5,94,0,7,93,0,3,97,1,14,85,0,25,75,0,6,94,0,30,70,100,0,0,0,82,0,7,11,93,0,5,2,75,1,9,15,66,0,13,21,86,1,7,6,90,0,7,3,95,0,2,3,93,1,5,1,97,0,1,2,86,1,5,8,75,0,7,18,94,1,1,4,70,1,14,15,0,0,17,83,83,0,5,12,0,0,10,90,90,0,2,8,98,1,1,0,98,0,2,100,0,0,0,2,0,12,86,100,0,0,0,0,0,0,46,39,13,2,19,2,33,39,7,19,3,56,18,4,19,1,59,16,5,19,1,51,22,7,19,2,7,29,43,88,4,4,4,88,3,1,8,88,2,5,5,88,4,2,6,88,1,6,5,88,4,1,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,28,71,0,0,69,31,0,0,45,55,0,0,74,26,0,0,21,79,0,0,35,65,0,0,69,31,31,0,52,12,3,2,0,2,0,12,40,46,0,0,100,0,0,1,12,87,0,0,80,15,2,0,0,3,0,0,11,35,40,14,0,0,34,53,10,3,0,0,10,70,20,0,0,25,52,23,72,1,26,1,31,2,66,1,55,2,43,0,26,2,39,33,79,2,16,3,65,0,35,0,0,1,4,3,24,20,48,0,0,4,15,23,23,35,0,0,50,30,17,3,0,0,16,21,31,32,0,0,34,31,20,15,35,0,54,11,35,8,10,47,35,10,21,34,0,1,33,66,34,0,15,51,85,0,3,1,0,4,0,0,7,52,1,3,1,1,3,0,0,2,1,0,5,5,0,0,3,23,0,1,38,60,1,0,0,0,100,0,0,0,0,0,0,1,1,41,42,15,1,0,7,22,54,11,5,2.6323529411764706,1.7947220444561582,2.1875,1.2230426539304888,10.729411764705882,5.102259619157821,3.4646464646464645,1.6245133105599208
CR,CRI,Costa Rica,2,2020-12-22,2020-12-21,100,0,0,0,0,55,100,425780.19785588473,95,0,0,100,0,11,89,0,3,97,0,17,83,0,22,78,0,3,97,0,9,91,0,0,100,0,6,94,0,1,99,0,5,95,0,29,71,0,2,98,0,10,90,100,0,0,0,89,0,1,10,97,0,3,0,83,0,6,11,78,0,9,13,97,0,0,3,91,0,3,6,100,0,0,0,94,0,2,4,99,0,0,1,95,0,4,1,71,0,10,19,98,0,1,1,90,0,3,7,0,0,18,82,82,0,5,13,0,0,21,79,79,0,5,16,95,0,3,2,95,5,0,95,3,2,0,5,2,10,83,100,0,0,0,0,0,0,54,27,15,4,0,0,53,36,11,0,1,68,22,9,0,3,63,25,9,0,2,58,30,10,0,4,20,28,48,90,2,2,6,90,2,2,6,90,1,4,5,90,2,2,6,90,2,0,8,90,1,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,48,51,0,1,74,25,0,1,54,45,0,2,55,43,0,2,17,81,0,1,30,69,0,0,59,41,41,0,33,16,4,6,0,1,0,3,28,68,0,0,99,1,0,0,17,83,0,0,77,16,3,1,0,3,0,0,13,31,34,22,0,0,23,57,15,5,0,0,20,72,8,0,2,35,54,9,52,1,45,2,26,3,70,1,46,2,51,1,45,1,38,16,83,0,12,5,70,2,27,1,0,0,2,2,15,21,60,0,0,0,2,21,29,48,0,1,42,39,11,7,0,0,10,24,24,42,0,0,25,30,22,23,45,2,49,4,45,16,10,29,45,13,18,24,0,1,66,33,67,0,15,18,85,0,4,1,3,0,0,0,7,19,0,8,2,7,7,0,4,9,2,0,1,12,3,2,4,20,0,1,46,52,0,1,0,0,0,100,0,0,0,0,0,4,2,55,20,19,4,2,17,29,32,12,4,2.2280701754385963,1.5355029871540131,3.176470588235294,1.8786728732554485,11.236559139784946,6.29595772571294,3.204301075268817,1.5781052190147016
CR,CRI,Costa Rica,3,2020-12-22,2020-12-21,100,2,4939.56955478963,1,1947.25088351685,35,100,457815.47679168324,96,0,2,98,0,10,90,0,2,98,0,17,83,0,16,84,0,16,84,1,11,88,0,2,98,0,4,96,0,2,98,0,6,94,0,22,78,0,5,95,0,14,86,98,0,2,0,90,0,6,4,98,0,0,2,83,0,5,12,84,0,6,10,84,0,4,12,89,0,7,4,98,0,2,0,96,0,1,3,98,0,2,0,94,0,2,4,78,0,11,11,95,0,3,2,86,0,9,5,0,0,16,84,84,0,5,11,0,1,17,82,83,1,1,15,99,0,1,0,99,0,1,100,0,0,0,3,1,9,87,100,0,0,0,0,0,0,54,28,10,8,0,1,55,25,19,0,4,72,14,10,0,1,63,19,17,0,3,67,18,12,0,3,18,27,52,91,3,1,5,91,3,2,4,91,3,2,4,91,2,3,4,91,3,1,5,91,2,4,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,47,52,0,1,78,21,0,1,49,50,0,0,60,40,0,1,11,88,0,1,25,74,0,0,51,49,49,0,35,11,2,3,0,0,0,0,26,74,0,0,100,0,0,0,21,79,0,0,89,10,1,0,0,0,0,0,16,32,40,12,0,0,35,47,15,3,0,0,23,72,5,0,0,35,57,8,53,0,47,0,22,0,77,1,51,0,48,1,40,0,42,18,89,0,10,1,75,0,23,2,0,0,1,6,11,20,62,0,0,1,6,13,22,58,0,0,42,48,7,3,0,0,14,19,27,40,0,0,25,25,24,26,50,1,39,10,50,17,10,23,50,14,20,16,0,0,62,38,62,0,14,24,86,1,2,0,2,1,2,0,6,24,2,2,7,4,5,0,2,4,1,1,5,12,4,3,3,21,0,0,48,52,0,0,0,0,0,0,100,0,0,0,0,1,0,54,27,18,1,0,18,35,31,9,6,2.9607843137254903,2.087685649840277,2.357142857142857,1.780541959721722,11.959183673469388,5.316611523294475,3.1938775510204085,1.4967880612550295
CR,CRI,Costa Rica,4,2020-12-22,2020-12-21,100,0,0,0,0,31,100,700139.7937700303,97,4,0,96,4,9,87,4,2,94,2,11,87,3,16,81,2,16,82,3,12,85,4,3,93,4,6,90,4,3,93,4,8,88,4,18,78,5,5,90,5,16,79,100,0,0,0,91,1,3,5,98,0,0,2,89,1,5,5,84,0,8,8,84,2,4,10,88,1,4,7,97,0,3,0,94,0,3,3,97,0,1,2,92,1,5,2,82,1,7,10,95,2,1,2,84,1,11,4,0,0,13,87,87,0,3,10,0,0,12,88,88,0,0,12,100,0,0,0,100,0,0,100,0,0,0,0,3,3,94,100,0,0,0,0,0,0,56,29,11,4,22,9,43,15,11,22,5,61,8,4,22,4,52,17,5,22,5,59,9,5,22,9,14,14,41,97,1,0,2,97,1,0,2,97,0,2,1,97,1,1,1,97,1,0,2,97,1,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,31,66,0,1,69,30,0,3,35,62,0,3,37,60,0,2,8,90,0,1,22,77,0,0,47,53,53,0,30,12,1,4,0,1,0,4,30,65,0,1,99,0,0,0,16,84,0,0,82,12,0,1,0,5,0,0,24,22,32,22,0,0,43,47,9,1,0,0,32,68,0,0,0,35,64,1,69,2,28,1,31,3,66,0,65,2,33,0,63,1,27,9,92,0,7,1,78,1,21,0,0,1,0,5,7,21,66,0,0,0,6,11,17,66,0,2,42,40,8,8,0,1,13,24,23,39,0,0,27,32,26,15,41,5,48,6,41,16,20,23,41,14,27,18,0,1,59,40,60,1,18,21,82,1,2,0,4,1,1,1,8,23,0,5,8,4,9,1,4,5,4,0,7,6,2,4,0,18,0,2,42,54,2,0,0,0,0,0,0,100,0,0,0,2,3,56,19,20,2,1,16,29,33,16,3,2.4186046511627906,1.6508664123442645,2.8,1.6865480854231354,12.76530612244898,5.727130262124616,3.189473684210527,1.4534971535451804
CR,CRI,Costa Rica,-99,2020-12-23,2020-12-23,163,2,19845.54691553512,1,14558.9714668257,26,134,1055737.0117030882,0,8,4,151,6,20,137,6,8,149,7,31,125,7,32,124,6,21,136,9,9,145,7,10,146,6,10,147,6,6,151,8,16,139,6,32,125,7,9,147,6,29,128,159,1,2,1,143,2,9,9,155,2,2,4,132,3,15,13,131,2,15,15,142,1,9,11,154,1,3,5,153,2,5,3,153,2,1,7,157,0,4,2,147,1,9,6,131,1,21,10,154,2,4,3,134,2,18,9,28,1,14,120,154,0,1,8,34,4,21,104,143,2,4,14,159,0,4,0,159,3,1,160,1,2,0,45,4,9,105,163,0,0,0,0,39,0,63,29,22,10,54,7,59,15,28,54,15,62,17,15,54,13,56,19,21,54,13,58,18,20,54,16,19,21,53,155,2,2,4,155,2,1,5,155,0,3,5,155,2,2,4,155,2,1,5,155,2,1,5,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,62,2,35,64,62,1,70,30,62,1,46,54,62,3,51,47,62,2,9,90,62,3,32,66,71,0,39,53,124,1,22,13,0,3,75,1,0,6,23,58,75,1,87,0,80,2,17,64,80,1,68,8,0,0,1,5,80,1,28,23,18,13,82,3,40,27,9,2,88,1,23,45,6,100,2,26,26,9,131,0,30,2,95,1,64,3,120,2,39,2,114,1,35,13,154,2,7,0,132,1,27,3,106,1,0,2,6,10,38,106,0,2,2,3,14,36,112,0,25,18,2,6,112,1,7,12,12,19,112,2,12,14,10,13,138,1,17,7,138,8,5,12,138,8,4,13,123,1,17,22,141,0,11,11,161,0,1,0,0,0,0,0,1,148,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,6,163,0,0,0,0,0,163,0,0,0,0,0,0,0,0,163,0,0,0,0,163,0,0,0,0,0,0,2.477272727272727,1.577289939040074,2.5,1.3093073414159542,0,0,0,0
CR,CRI,Costa Rica,1,2020-12-23,2020-12-22,100,1,5624.478556497739,0,0,27,100,494744.4738809829,97,0,2,98,0,17,83,0,6,94,0,24,76,0,31,69,0,16,84,0,16,84,0,5,95,0,12,88,0,6,94,0,16,84,0,31,69,0,5,95,0,27,73,98,0,1,1,83,0,5,12,94,0,4,2,76,0,12,12,69,0,14,17,84,0,6,10,84,0,7,9,95,0,2,3,88,0,5,7,94,0,3,3,84,0,8,8,69,0,12,19,95,0,2,3,73,0,10,17,0,0,12,88,88,0,6,6,0,0,10,90,90,0,4,6,96,3,1,0,96,2,2,98,1,1,0,4,0,9,87,100,0,0,0,0,0,0,52,34,11,3,0,1,41,46,12,0,2,71,18,9,0,2,77,15,6,0,1,65,27,7,0,2,14,37,47,91,3,2,4,91,2,2,5,91,1,4,4,91,3,1,5,91,1,4,4,91,3,0,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,19,81,0,0,58,42,0,1,41,58,0,0,61,39,0,0,12,88,0,0,31,69,0,0,54,46,46,1,41,8,3,1,0,2,0,6,42,50,0,0,100,0,0,0,7,93,0,0,79,14,1,1,0,5,0,0,18,32,34,16,0,0,25,56,14,5,0,0,9,76,15,0,1,18,57,24,81,0,17,2,42,0,57,1,59,0,41,0,39,0,36,25,88,0,10,2,69,0,31,0,0,2,2,8,16,23,49,0,0,2,15,20,24,39,0,1,54,28,14,3,0,0,12,28,33,27,0,0,30,37,18,15,33,0,64,3,33,17,11,39,33,11,24,32,0,0,34,66,34,0,14,52,86,0,2,0,1,4,1,0,6,52,1,3,4,2,3,0,0,0,3,0,6,1,0,1,1,23,0,1,30,68,1,0,0,0,100,0,0,0,0,0,0,1,0,36,43,20,1,0,8,32,42,13,4,2.8533333333333335,1.8209986370220148,2.3636363636363638,1.689540012709215,11.024390243902438,5.0746905513054275,3.383838383838383,1.5498984213395504
CR,CRI,Costa Rica,2,2020-12-23,2020-12-22,100,1,3627.79314944003,0,0,48,100,525101.7175630346,96,0,1,99,0,12,88,1,4,95,0,16,84,1,30,69,0,15,85,0,14,86,0,4,96,0,9,91,0,1,99,0,5,95,0,24,76,0,2,98,0,11,89,99,0,1,0,88,0,5,7,96,0,3,1,84,0,7,9,70,0,13,17,85,0,6,9,86,0,7,7,96,0,4,0,91,0,3,6,99,0,1,0,95,0,3,2,76,0,7,17,98,0,1,1,89,0,8,3,0,0,20,80,80,0,8,12,0,2,17,81,83,0,3,14,97,0,3,0,97,1,2,99,0,1,0,5,1,12,82,100,0,0,0,0,0,0,52,33,12,3,0,1,53,37,9,0,2,64,26,8,0,2,62,25,11,0,1,61,25,13,0,0,20,43,37,88,4,0,8,88,3,2,7,88,0,4,8,88,4,3,5,88,3,1,8,88,3,5,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,43,57,0,0,68,32,0,2,49,49,0,0,51,49,0,0,12,88,0,0,29,71,0,0,52,48,48,0,37,8,1,6,0,0,0,4,33,63,0,0,100,0,0,0,13,87,0,0,88,8,1,2,0,1,0,0,20,37,24,19,0,0,32,52,14,2,0,0,25,64,11,0,0,40,43,17,57,0,40,3,32,0,68,0,51,0,48,1,49,0,39,12,88,0,9,3,71,0,29,0,0,0,1,4,14,24,57,0,0,0,5,15,25,55,0,0,46,39,9,6,0,0,13,23,28,36,0,0,21,29,33,17,50,1,43,6,50,9,16,25,50,8,19,23,0,0,60,40,60,0,21,19,79,1,7,1,2,4,0,0,6,19,1,8,7,5,4,1,5,6,2,0,5,10,4,0,3,20,0,1,50,49,0,0,0,0,0,100,0,0,0,0,0,3,1,57,25,14,3,1,23,34,30,6,3,2.5517241379310347,1.8177720486382904,2.6470588235294117,1.8688625039910052,10.869565217391305,5.525599547409975,2.863157894736842,1.4484806883736026
CR,CRI,Costa Rica,3,2020-12-23,2020-12-22,100,0,0,0,0,39,100,522221.20222911163,99,2,1,97,2,9,89,1,1,98,2,18,80,2,17,81,1,10,89,1,10,89,2,2,96,1,5,94,2,1,97,2,5,93,1,30,69,1,7,92,1,14,85,99,0,1,0,91,0,5,4,99,1,0,0,82,1,8,9,83,0,9,8,90,1,5,4,90,2,5,3,98,0,0,2,95,1,2,2,99,0,1,0,95,0,3,2,70,1,9,20,93,0,4,3,86,2,8,4,0,0,19,81,81,0,7,12,0,2,18,80,82,1,1,16,99,0,1,0,99,0,1,100,0,0,0,4,0,6,90,100,0,0,0,0,0,0,52,29,12,7,0,4,51,31,14,0,3,64,21,12,0,4,53,26,17,0,3,52,27,18,0,5,20,23,52,94,1,0,5,94,1,1,4,94,1,1,4,94,1,1,4,94,0,1,5,94,1,0,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,30,68,0,1,68,31,0,3,34,63,0,0,46,54,0,2,6,92,0,2,20,78,0,0,52,48,48,0,35,10,3,4,0,0,0,2,27,71,0,0,100,0,0,0,17,83,0,0,89,6,1,2,0,2,0,1,16,37,33,13,0,0,35,56,6,3,0,0,25,66,9,0,1,33,57,9,70,0,30,0,32,0,66,2,66,1,31,2,54,1,29,16,94,0,6,0,80,0,20,0,0,0,0,2,18,25,55,0,0,0,3,13,30,54,0,0,47,40,4,9,0,0,14,16,30,40,0,0,27,31,23,19,42,1,45,12,42,11,22,25,42,11,26,21,0,0,57,43,57,0,15,28,85,0,4,0,4,2,2,1,2,28,0,0,3,5,11,0,1,5,1,0,4,8,6,3,1,24,0,0,48,52,0,0,0,0,0,0,100,0,0,0,0,1,2,47,31,19,1,0,21,42,25,8,3,2.7346938775510203,1.7532768155190825,2.176470588235294,1.2862393885688161,11.510204081632653,5.827848001540135,2.86734693877551,1.4042480109762443
