ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GT,GTM,Guatemala,-99,2020-12-21,2020-12-21,123,1,43683.6279810247,0,0,23,91,2426487.5171311256,0,7,2,114,9,10,104,8,7,108,7,19,97,7,25,91,6,22,95,7,21,95,8,7,108,8,10,105,7,1,115,8,12,103,8,25,90,7,11,105,6,27,90,121,1,1,0,113,1,7,2,118,0,3,2,105,0,9,9,101,1,13,8,101,2,11,9,103,1,15,4,116,0,5,2,113,0,5,5,123,0,0,0,112,0,5,6,98,1,12,12,112,1,3,7,96,0,21,6,31,1,13,78,111,0,6,6,32,1,31,59,92,1,14,16,109,1,12,1,109,9,5,0,114,0,5,4,50,1,15,57,123,0,0,0,0,40,0,37,30,7,9,99,3,15,1,5,99,5,8,8,3,99,3,12,6,3,99,5,9,7,3,99,5,4,2,13,109,8,1,5,109,7,2,5,109,4,5,5,109,7,3,4,109,9,1,4,109,8,3,3,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,55,2,33,33,55,1,49,18,55,1,22,45,55,2,25,41,55,1,19,48,55,1,21,46,59,0,31,33,92,0,18,4,6,3,62,0,1,4,14,42,62,2,59,0,68,0,7,48,68,1,43,2,2,0,1,6,68,1,23,12,11,8,71,0,24,18,9,1,75,1,8,34,5,84,1,12,23,3,91,2,30,0,75,3,43,2,102,0,21,0,99,2,17,5,105,1,15,2,103,3,17,0,90,0,0,2,2,8,21,90,0,1,0,3,6,23,99,0,10,5,6,3,99,0,5,4,9,6,99,0,9,9,4,2,107,1,13,2,107,8,4,4,107,5,8,3,104,0,9,10,113,0,9,1,120,0,0,0,0,1,0,0,2,111,0,0,3,2,1,0,1,0,0,0,1,0,1,1,0,2,123,0,0,0,0,0,123,0,0,0,0,0,0,0,0,123,0,0,0,0,123,0,0,0,0,0,0,2.65,1.928863090142175,2.4285714285714284,1.3972762620115438,0,0,0,0
GT,GTM,Guatemala,-99,2020-12-22,2020-12-22,120,1,124253.98806532599,0,0,34,100,2845089.678932736,0,2,3,115,1,13,106,1,5,114,3,10,107,1,21,98,2,14,104,2,17,101,4,4,112,2,8,110,3,5,112,2,15,103,2,21,97,3,6,111,3,15,102,117,0,2,1,107,1,6,6,115,1,2,2,110,1,5,4,99,0,11,10,106,2,4,8,103,0,10,7,116,1,2,1,112,1,5,2,115,1,2,2,105,1,9,5,99,1,8,12,114,0,5,1,105,0,7,8,18,2,15,85,106,0,4,10,24,4,22,70,98,1,6,15,114,0,6,0,114,3,3,0,117,0,1,2,35,6,11,68,120,0,0,0,0,28,0,39,29,12,12,40,8,40,18,14,40,14,31,24,11,40,13,41,15,11,40,15,31,16,18,40,16,9,15,40,110,5,2,3,110,4,2,4,110,2,6,2,110,6,0,4,110,4,3,3,110,5,3,2,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,47,4,28,41,47,3,47,23,47,3,29,41,47,3,26,44,47,3,15,55,47,4,16,53,53,1,36,30,84,0,27,6,0,3,55,1,0,8,28,28,55,1,62,2,57,1,6,56,57,1,55,4,0,0,1,2,57,1,22,17,12,11,59,2,29,21,6,3,63,2,12,39,4,81,2,11,21,5,95,2,23,0,76,2,42,0,93,1,25,1,95,3,18,4,106,1,12,1,106,0,14,0,91,0,0,1,3,5,20,91,0,0,1,0,7,21,101,0,3,6,4,6,101,0,3,2,6,8,101,1,4,9,2,3,109,1,8,2,109,5,3,3,109,6,2,3,105,1,7,7,113,0,2,5,120,0,0,0,0,0,0,0,0,117,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,120,0,0,0,0,0,120,0,0,0,0,0,0,0,0,120,0,0,0,0,120,0,0,0,0,0,0,2.097560975609756,1.4457675824415985,2.727272727272727,1.555050423035156,0,0,0,0
GT,GTM,Guatemala,1,2020-12-22,2020-12-21,100,2,14681.43886462395,0,0,45,100,1793101.9708449251,95,1,2,97,1,16,83,1,3,96,1,18,81,1,34,65,1,15,84,1,19,80,1,3,96,1,10,89,1,4,95,1,21,78,1,32,67,1,12,87,1,23,76,98,0,1,1,84,0,8,8,97,0,2,1,82,0,8,10,66,0,15,19,85,0,6,9,81,0,12,7,97,0,2,1,90,0,8,2,96,0,4,0,79,1,15,5,68,1,10,21,88,0,5,7,77,0,10,13,0,0,15,85,85,0,2,13,0,1,22,77,78,0,11,11,89,1,10,0,89,6,5,0,94,0,6,0,12,0,16,72,100,0,0,0,0,0,0,48,38,7,7,7,2,40,34,17,7,3,54,29,7,7,1,70,15,7,7,1,51,27,14,7,2,9,31,51,84,7,3,6,84,6,4,6,84,6,5,5,84,6,4,6,84,4,7,5,84,7,5,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,5,31,64,0,5,58,37,0,5,46,49,0,4,53,43,0,4,20,76,0,5,16,79,0,0,61,39,39,0,41,18,1,1,0,0,1,6,39,54,0,0,100,0,0,0,16,84,0,0,85,6,3,1,0,5,0,0,23,29,28,20,0,2,30,50,14,4,0,0,13,66,21,0,2,16,60,22,69,1,30,0,42,1,56,1,54,1,41,4,47,1,35,17,80,0,17,3,84,0,16,0,0,0,2,0,15,32,51,0,0,0,8,20,26,46,0,1,55,27,7,10,0,1,17,23,30,29,0,1,30,35,15,19,35,3,53,9,35,21,16,28,35,13,40,12,0,0,43,57,43,0,11,46,89,1,3,0,3,1,0,0,3,46,1,4,4,3,4,0,2,2,1,0,3,2,1,2,0,25,0,0,43,56,1,0,0,0,100,0,0,0,0,0,0,3,1,58,21,17,3,0,13,28,31,16,9,2.7260273972602738,1.8503773937332257,3.1428571428571432,2.0326997151247235,11.86046511627907,5.8994771267763255,2.9680851063829787,1.6813469233177276
GT,GTM,Guatemala,2,2020-12-22,2020-12-21,100,0,0,0,0,56,100,1610661.1764128725,97,0,2,98,0,8,92,0,2,98,0,13,87,0,24,76,0,9,91,0,14,86,0,5,95,0,4,96,0,3,97,0,9,91,0,19,81,0,4,96,0,17,83,98,0,2,0,92,0,5,3,98,0,1,1,87,1,6,6,76,2,5,17,91,1,5,3,86,0,7,7,95,0,4,1,96,0,4,0,97,1,2,0,91,2,5,2,81,2,9,8,96,0,3,1,83,0,14,3,0,0,20,80,80,0,3,17,0,0,28,72,72,0,5,23,95,1,4,0,95,3,2,0,97,0,3,0,5,4,11,80,100,0,0,0,0,0,1,43,47,5,4,0,3,66,23,8,0,6,57,29,8,0,5,63,15,17,0,8,45,25,22,0,8,7,24,61,89,3,3,5,89,2,2,7,89,1,5,5,89,1,6,4,89,2,1,8,89,2,4,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,44,53,0,0,67,33,0,2,44,54,0,2,52,46,0,2,18,80,0,2,13,85,0,0,54,46,46,0,33,12,6,3,0,0,0,10,32,58,0,1,98,1,0,0,11,89,0,0,86,5,4,1,0,4,0,0,19,30,32,19,0,2,27,57,12,2,0,0,11,75,14,0,2,20,69,9,56,0,42,2,33,1,64,2,56,0,43,1,48,0,38,14,82,0,15,3,87,0,13,0,0,0,1,4,8,25,62,0,0,2,1,14,30,53,0,2,43,35,9,11,0,0,9,34,32,25,0,0,33,33,25,9,34,10,46,10,34,23,23,20,34,20,33,13,0,0,54,46,54,0,18,28,82,0,3,1,5,3,1,2,3,28,0,1,4,2,12,2,3,5,3,0,4,11,4,0,1,20,0,0,47,53,0,0,0,0,0,100,0,0,0,0,0,2,1,53,29,15,2,2,22,35,21,10,8,2.46,1.402766945020026,3,2.3763541031440183,12.137804878048781,5.95884321038084,2.872340425531915,1.5396832697137344
GT,GTM,Guatemala,3,2020-12-22,2020-12-21,100,1,8630.03423471822,0,0,16,100,1546252.2443298101,96,0,2,98,0,7,93,0,1,99,0,5,95,0,22,78,0,14,86,0,15,85,0,3,97,0,6,94,0,2,98,0,11,89,0,22,78,0,5,95,0,18,82,98,0,2,0,93,0,7,0,99,0,0,1,95,0,5,0,78,0,11,11,86,0,7,7,85,0,10,5,97,0,2,1,94,0,5,1,98,0,2,0,89,0,7,4,78,0,11,11,95,0,3,2,82,0,9,9,0,0,10,90,90,0,2,8,0,2,25,73,75,0,3,22,97,0,3,0,97,1,2,0,99,0,1,0,5,3,9,83,100,0,0,0,0,0,0,54,34,7,5,12,4,46,23,15,12,3,51,22,12,12,2,59,16,11,12,4,42,27,15,12,4,10,15,59,91,2,3,4,91,4,1,4,91,2,4,3,91,4,3,2,91,5,3,1,91,3,4,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,46,53,0,1,80,19,0,2,45,53,0,1,43,56,0,1,19,80,0,1,17,82,0,0,48,52,52,0,25,12,6,5,0,0,0,6,29,65,0,0,100,0,0,1,8,91,0,0,87,8,0,0,0,5,0,0,30,25,31,14,0,0,38,48,10,4,0,1,13,78,8,0,0,11,79,10,54,0,45,1,20,1,78,1,55,1,43,1,57,1,36,6,81,0,17,2,83,0,17,0,0,0,2,5,11,24,58,0,0,0,5,11,26,58,0,0,39,40,10,11,0,0,19,30,28,23,0,1,37,30,20,12,33,5,51,11,33,13,36,18,33,10,40,17,0,2,65,33,67,0,17,16,83,0,4,1,2,2,0,2,6,18,0,6,7,4,11,1,5,5,1,0,8,11,3,2,2,16,0,1,51,47,0,1,0,0,0,0,100,0,0,0,0,2,4,64,22,8,2,2,17,27,35,13,4,2.586206896551724,1.5450484890888745,1.7500000000000002,1.0350983390135313,12.711111111111109,5.603458892554608,3.0208333333333335,1.6090478823575445
GT,GTM,Guatemala,-99,2020-12-23,2020-12-23,112,0,0,0,0,25,92,2751383.373170836,0,1,1,110,2,7,103,2,2,108,2,7,103,2,18,92,3,11,98,2,13,97,2,6,104,1,3,108,2,1,109,1,11,100,2,16,94,2,5,105,2,20,90,111,0,0,1,105,0,6,1,110,0,1,1,105,0,3,4,94,0,10,8,101,0,7,4,99,1,8,4,106,0,4,2,109,0,2,1,111,0,0,1,101,1,7,3,96,0,11,5,107,0,4,1,92,1,14,5,20,0,12,80,101,0,4,7,26,2,15,69,97,0,4,11,108,0,4,0,108,1,3,0,111,0,1,0,33,3,13,63,112,0,0,0,0,31,1,35,28,11,6,44,5,41,12,10,44,5,35,17,11,44,3,42,13,10,44,6,30,17,15,44,6,7,14,41,99,4,5,4,99,6,3,4,99,6,4,3,99,7,1,5,99,7,2,4,99,6,1,6,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,50,2,20,40,50,2,49,11,50,2,28,32,50,3,26,33,50,3,13,46,50,2,17,43,56,0,32,24,80,0,23,6,0,3,56,1,2,1,16,36,56,1,54,1,59,0,6,47,59,0,44,5,1,0,2,1,59,0,15,12,20,6,61,0,18,22,8,3,64,0,8,32,8,75,2,13,19,3,93,0,18,1,66,1,45,0,86,1,24,1,88,1,17,6,100,1,11,0,96,1,15,0,82,0,0,2,7,3,18,82,0,2,2,4,5,17,90,0,5,10,4,3,90,0,5,7,7,3,90,0,10,7,3,2,98,2,11,1,98,5,6,3,98,6,4,4,99,2,3,8,104,0,5,3,110,0,0,0,0,0,0,0,2,109,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,112,0,0,0,0,0,0,0,0,112,0,0,0,0,112,0,0,0,0,0,0,3.1470588235294117,1.7603779370588073,2.3,2.110818693198342,0,0,0,0
GT,GTM,Guatemala,1,2020-12-23,2020-12-22,100,1,16272.488907278,0,0,41,100,1881410.0044110375,96,1,3,96,1,15,84,1,0,99,2,13,85,1,32,67,1,14,85,1,18,81,1,4,95,1,7,92,1,2,97,1,21,78,1,30,69,2,9,89,2,25,73,97,1,0,2,85,0,4,11,100,0,0,0,87,0,1,12,68,1,13,18,86,2,2,10,82,1,11,6,96,0,2,2,93,0,4,3,98,0,2,0,79,2,11,8,70,1,12,17,91,0,4,5,75,1,12,12,0,0,12,88,88,0,0,12,0,0,20,80,80,0,7,13,93,0,7,0,93,5,2,0,95,0,4,1,7,4,14,75,100,0,0,0,0,0,0,51,36,6,7,0,1,43,42,14,0,1,59,31,9,0,0,70,14,16,0,1,52,26,21,0,1,9,31,59,86,5,6,3,86,3,6,5,86,1,6,7,86,4,4,6,86,3,4,7,86,4,5,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,32,64,0,3,66,31,0,6,42,52,0,4,51,45,0,5,16,79,0,2,27,71,0,0,54,46,46,0,36,11,3,4,0,0,1,7,42,50,0,0,99,1,0,2,12,86,0,0,84,8,1,4,0,3,0,0,20,30,33,17,0,2,25,52,18,3,0,0,13,68,19,0,1,18,57,24,68,1,31,0,34,1,63,2,58,0,41,1,49,1,38,12,84,0,16,0,73,2,25,0,0,1,2,6,12,29,50,0,0,3,10,19,23,45,0,1,46,34,13,6,0,2,17,29,29,23,0,3,36,36,14,11,28,1,57,14,28,17,20,35,28,12,37,23,0,0,47,53,47,1,15,37,85,2,4,0,3,3,0,0,3,38,2,3,4,5,5,1,1,5,1,1,2,1,0,1,1,29,0,1,49,48,1,1,0,0,100,0,0,0,0,0,0,2,3,55,22,18,2,1,8,24,36,20,9,2.442857142857143,1.490411034500159,3.4166666666666665,2.6443192398846707,10.987654320987655,5.008726951932232,2.901098901098901,1.7388051137040124
GT,GTM,Guatemala,2,2020-12-23,2020-12-22,100,0,0,0,0,40,100,1822996.7718513992,96,0,2,98,0,7,93,0,1,99,0,8,92,0,19,81,1,5,94,0,15,85,0,5,95,0,7,93,0,0,100,0,13,87,1,21,78,0,2,98,0,15,85,98,0,2,0,93,0,3,4,99,0,1,0,92,1,3,4,81,1,9,9,95,1,4,0,85,0,7,8,95,0,4,1,93,0,7,0,100,0,0,0,87,2,6,5,79,2,8,11,98,0,1,1,85,0,7,8,0,0,19,81,81,0,4,15,0,2,31,67,69,0,6,25,94,1,5,0,94,4,2,0,96,0,3,1,8,2,9,81,100,0,0,0,0,0,1,54,32,9,4,0,1,66,19,14,0,2,64,23,11,0,3,58,22,17,0,4,44,27,25,0,4,12,22,62,91,5,0,4,91,3,3,3,91,1,5,3,91,3,6,0,91,3,3,3,91,4,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,36,62,0,1,74,25,0,1,47,52,0,1,46,53,0,1,16,83,0,2,15,83,0,0,48,52,52,0,33,12,1,2,0,1,0,6,29,64,0,1,98,1,0,2,13,85,0,0,90,6,1,0,0,3,0,0,18,29,33,20,0,2,38,45,14,1,0,1,18,66,15,0,2,21,64,13,64,0,35,1,26,1,72,1,53,0,47,0,54,0,35,11,84,1,12,3,85,0,15,0,0,2,0,4,12,18,64,0,0,1,3,12,30,54,0,0,38,37,15,10,0,0,7,29,27,37,0,0,26,34,20,20,40,3,53,4,40,20,20,20,40,20,26,14,0,0,59,41,59,0,16,25,84,1,4,0,4,2,0,1,4,25,0,6,7,3,9,2,3,5,6,0,3,7,2,1,3,18,0,0,54,46,0,0,0,0,0,100,0,0,0,0,0,4,0,51,33,12,4,1,21,23,23,21,7,2.3518518518518516,1.6615224594625233,2.1176470588235294,1.536324873731809,12.829545454545455,5.408000864851259,3.094736842105263,1.6378091503560244
GT,GTM,Guatemala,3,2020-12-23,2020-12-22,100,2,12680.1707755904,0,0,48,100,1649256.8445382828,95,0,2,98,0,10,90,0,2,98,0,7,93,0,21,79,0,12,88,0,14,86,0,3,97,0,2,98,0,0,100,0,6,94,0,16,84,0,4,96,0,17,83,98,0,2,0,90,0,8,2,98,0,1,1,93,1,5,1,79,2,9,10,88,1,5,6,86,0,6,8,97,0,3,0,98,0,2,0,100,0,0,0,94,0,2,4,84,0,9,7,96,0,3,1,83,1,12,4,0,0,15,85,85,0,3,12,0,3,23,74,77,0,6,17,94,0,6,0,94,2,4,0,98,0,2,0,9,2,8,81,100,0,0,0,0,0,0,50,30,8,12,0,5,63,21,11,0,4,64,19,13,0,3,70,12,15,0,4,53,26,17,0,4,12,16,68,92,3,4,1,92,5,2,1,92,2,3,3,92,3,4,1,92,5,3,0,92,4,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,39,59,0,1,78,21,0,2,42,56,0,2,42,56,0,2,16,82,0,2,18,80,0,0,48,52,52,0,27,11,5,5,0,0,0,3,30,67,0,0,100,0,0,1,11,88,0,0,87,9,0,0,0,4,0,0,36,24,25,15,0,0,40,47,10,3,0,1,15,75,9,0,0,15,73,12,61,0,39,0,22,1,76,1,58,1,40,1,58,1,36,5,84,0,15,1,82,0,18,0,0,1,3,3,10,25,58,0,0,0,4,11,19,66,0,1,39,46,7,7,0,1,22,28,23,26,0,1,33,35,19,12,32,6,56,6,32,16,34,18,32,16,35,17,0,0,55,45,55,0,23,22,77,1,4,1,2,3,1,1,10,22,0,5,6,3,11,2,0,6,2,0,11,9,0,2,2,19,0,1,50,49,0,0,0,0,0,0,100,0,0,0,0,5,2,56,30,7,5,1,20,29,32,10,3,2.63265306122449,1.8107765087458614,3.75,3.137022328723385,13.30769230769231,5.652319696259045,2.717391304347826,1.3286867593751883
GT,GTM,Guatemala,4,2020-12-23,2020-12-21,100,0,0,0,0,49,100,2761628.9782767203,92,1,0,99,1,4,95,1,0,99,2,10,88,0,10,90,1,14,85,0,7,93,1,3,96,1,2,97,1,1,98,3,6,91,0,15,85,0,3,97,1,14,85,100,0,0,0,96,0,0,4,100,0,0,0,90,0,6,4,90,0,4,6,86,0,7,7,93,0,4,3,97,0,1,2,98,0,2,0,99,0,1,0,94,0,4,2,85,0,9,6,97,0,2,1,86,0,10,4,0,0,17,83,83,0,4,13,0,0,30,70,70,1,7,22,93,1,6,0,93,4,3,0,96,0,2,2,8,0,5,87,100,0,0,0,0,0,0,44,38,9,9,2,7,52,24,15,2,8,58,25,7,2,7,55,21,15,2,4,44,25,25,2,5,6,12,75,95,2,1,2,95,3,1,1,95,2,1,2,95,3,1,1,95,3,0,2,95,3,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,48,52,0,0,76,24,0,0,46,54,0,1,42,57,0,0,10,90,0,0,8,92,0,0,59,41,41,0,37,11,8,3,0,0,0,2,30,68,0,1,98,1,0,1,9,90,0,0,95,3,1,0,0,1,0,0,25,27,24,24,0,3,34,48,14,1,0,1,18,75,6,0,2,25,68,5,52,0,47,1,24,0,76,0,54,0,46,0,58,0,38,4,90,0,9,1,92,0,8,0,0,0,0,3,12,24,61,0,0,0,3,12,20,65,0,1,39,37,18,5,0,0,15,25,27,33,0,0,24,34,30,12,42,7,44,7,42,16,31,11,42,18,30,10,0,0,69,31,69,0,12,19,88,1,3,1,0,0,2,0,5,19,0,3,12,4,5,2,2,9,8,0,4,9,4,3,1,15,0,2,54,43,0,1,0,0,0,0,0,100,0,0,0,5,5,60,24,6,5,4,12,34,34,9,2,2.3846153846153846,1.679839976955584,3.2857142857142856,2.163635524139563,14.604395604395604,4.538426356934064,2.8,1.4237156640758124
