ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AZ,AZE,Azerbaijan,-99,2020-12-23,2020-12-21,100,5,130610.710121367,4,120261.78274159989,52,74,1802335.4473192648,0,7,11,82,6,20,74,7,7,86,7,34,59,7,19,74,7,26,67,8,16,76,9,13,78,8,8,84,6,15,79,10,17,73,6,28,66,9,15,76,7,25,68,89,2,6,3,80,3,12,5,93,2,3,2,67,5,11,17,81,1,7,11,75,3,13,9,85,2,6,7,87,6,3,4,92,1,5,2,85,3,11,1,83,3,7,7,72,7,9,12,86,2,7,5,76,3,11,10,24,2,19,55,83,0,8,9,26,3,27,44,73,0,8,19,92,5,2,1,92,4,4,0,96,1,1,2,38,2,15,45,100,35,1,8,19,15,22,52,9,13,10,16,52,8,10,10,20,52,9,8,10,21,52,8,10,7,23,52,10,3,9,26,87,7,3,3,87,10,0,3,87,7,3,3,87,7,4,2,87,9,1,3,87,9,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,55,3,21,21,55,4,26,15,55,5,3,37,55,5,6,34,55,5,5,35,55,5,13,27,61,0,14,25,86,1,5,5,2,1,65,1,0,8,10,16,65,1,34,0,69,1,3,27,69,0,21,2,2,0,0,6,69,0,21,5,1,4,71,0,12,8,7,2,72,0,5,22,1,77,0,2,18,3,80,0,18,2,75,0,23,2,97,0,2,1,94,0,3,3,95,0,3,2,87,0,11,2,80,0,1,1,4,1,13,80,0,2,1,4,3,10,86,0,8,3,1,2,86,0,3,1,2,8,86,0,4,3,4,3,94,2,3,1,94,2,3,1,94,3,2,1,91,0,2,7,93,0,3,4,99,0,0,0,0,1,0,0,0,97,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5,4.914264950122246,3.5384615384615383,2.7268841992093167,0,0,0,0
AZ,AZE,Azerbaijan,-99,2020-12-24,2020-12-23,100,5,110508.6701557387,3,89954.8394591575,62,76,1611366.8327663399,0,9,10,81,7,18,75,8,8,84,9,27,64,9,21,70,6,23,71,9,9,82,9,14,77,10,8,82,6,16,78,12,17,71,8,26,66,9,9,82,9,27,64,90,1,8,1,82,2,9,7,92,1,7,0,73,4,10,13,79,3,10,8,77,5,13,5,91,3,3,3,86,3,9,2,92,2,5,1,84,1,15,0,83,2,5,10,74,4,8,14,91,2,7,0,73,1,13,13,20,4,20,56,81,0,12,7,22,5,27,46,73,0,11,16,89,7,4,0,89,6,5,0,94,3,1,2,39,3,17,41,100,31,2,12,16,14,25,42,11,11,18,18,42,14,9,13,22,42,14,12,13,19,42,14,9,15,20,42,16,3,11,28,86,6,4,4,86,7,2,5,86,5,5,4,86,5,2,7,86,7,1,6,86,6,2,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,47,4,21,28,47,5,26,22,47,6,5,42,47,7,12,34,47,5,7,41,47,5,11,37,53,0,17,30,83,1,7,5,2,2,58,1,1,6,19,15,58,1,40,1,62,1,4,33,62,1,23,1,2,1,0,10,62,1,23,8,1,5,65,0,12,14,6,3,67,0,2,30,1,73,0,1,25,1,81,0,14,5,76,0,20,4,95,0,2,3,89,0,7,4,94,0,4,2,90,0,7,3,76,0,2,1,5,5,11,76,0,2,2,4,3,13,85,0,6,4,3,2,85,0,1,2,2,10,85,0,4,5,4,2,93,2,4,1,93,4,2,1,93,5,1,1,88,0,2,10,90,0,5,5,97,0,1,0,0,1,0,1,0,95,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.714285714285714,4.835265343367058,3.6249999999999996,2.3909551787239063,0,0,0,0
AZ,AZE,Azerbaijan,-99,2020-12-25,2020-12-23,100,5,125865.58802831691,3,94257.1678096716,76,80,1632985.6110510398,0,5,7,88,4,16,80,4,8,88,5,25,70,5,25,70,3,22,75,5,7,88,6,10,84,6,11,83,2,13,85,8,15,77,6,25,69,5,10,85,6,26,68,93,1,5,1,84,2,8,6,92,1,7,0,75,3,12,10,75,3,10,12,78,3,13,6,93,1,3,3,90,1,7,2,89,2,5,4,87,0,12,1,85,1,4,10,75,3,7,15,90,2,7,1,74,1,14,11,18,2,25,55,77,0,12,11,21,3,27,49,74,0,15,11,85,7,6,2,85,7,7,1,93,5,2,0,41,3,12,44,100,31,1,12,19,17,20,44,7,10,21,18,44,12,8,17,19,44,11,13,16,16,44,12,12,15,17,44,13,3,13,27,90,1,4,5,90,1,2,7,90,1,3,6,90,1,3,6,90,2,1,7,90,1,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,7,18,27,48,5,30,17,48,8,6,38,48,8,12,32,48,7,6,39,48,7,10,35,55,0,12,33,88,0,8,2,1,1,59,0,1,4,18,18,59,0,40,1,65,1,4,30,65,1,21,2,1,1,0,9,65,1,24,5,2,3,66,0,9,18,4,3,68,0,2,28,2,75,1,2,22,0,84,0,13,3,72,0,26,2,94,0,3,3,89,0,7,4,95,0,4,1,91,0,8,1,77,0,2,1,4,6,10,77,0,2,1,5,4,11,86,1,5,5,3,0,86,1,2,2,1,8,86,0,3,3,3,5,96,0,3,1,96,2,2,0,96,2,2,0,91,0,1,8,92,0,5,3,97,0,1,0,0,1,0,1,0,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4,3.972881043246045,3.684210526315789,2.8490277401821635,0,0,0,0
AZ,AZE,Azerbaijan,-99,2020-12-26,2020-12-24,100,7,147069.4280517331,4,104859.0878213797,71,80,1644970.3807906085,0,7,9,84,6,23,71,6,7,87,6,26,68,7,23,70,4,24,72,7,6,87,6,9,85,8,11,81,3,13,84,8,14,78,9,24,67,7,17,76,8,25,67,91,2,5,2,77,4,10,9,93,2,4,1,74,5,14,7,77,4,9,10,76,4,11,9,94,1,4,1,91,4,4,1,89,3,3,5,87,2,10,1,86,1,3,10,76,2,9,13,83,3,11,3,75,1,15,9,17,3,23,57,79,0,9,12,21,3,28,48,73,0,17,10,83,7,8,2,83,10,6,1,90,7,3,0,43,1,10,46,100,28,3,10,17,22,20,49,6,7,21,17,49,12,7,18,14,49,10,12,15,14,49,13,11,13,14,49,13,4,11,23,90,2,3,5,90,2,1,7,90,2,3,5,90,2,4,4,90,3,1,6,90,2,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,52,7,14,27,52,4,28,16,52,7,4,37,52,6,13,29,52,7,4,37,52,6,10,32,58,1,11,30,89,0,9,0,1,1,61,1,2,5,15,16,61,2,35,2,66,3,6,25,66,2,20,2,1,2,0,7,66,3,22,3,3,3,67,0,8,18,4,3,68,1,2,27,2,75,3,2,19,1,88,0,9,3,74,0,25,1,96,0,1,3,90,0,7,3,96,0,3,1,93,0,6,1,79,0,0,1,4,5,11,79,1,1,0,5,4,10,88,1,1,7,3,0,88,2,1,2,2,5,88,1,1,3,3,4,97,0,1,2,97,1,2,0,97,1,2,0,92,0,2,6,94,0,4,2,99,0,0,0,0,0,0,1,0,97,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.8,4.261936480533533,4.2,3.52946778667023,0,0,0,0
AZ,AZE,Azerbaijan,2,2020-12-26,2020-12-22,100,0,0,0,0,78,100,1377329.5988114339,98,4,2,94,5,9,86,5,4,91,3,12,85,4,17,79,5,15,80,5,7,88,5,7,88,5,7,88,5,7,88,5,15,80,3,24,73,4,8,88,4,18,78,98,0,2,0,91,0,5,4,96,1,3,0,88,0,6,6,83,1,4,12,85,1,5,9,93,1,2,4,93,1,3,3,93,1,4,2,93,0,6,1,85,0,9,6,76,1,5,18,92,1,2,5,82,0,9,9,0,0,31,69,69,0,14,17,0,0,35,65,65,1,12,22,88,3,9,0,88,5,7,0,95,0,5,0,13,0,16,71,100,0,0,15,28,31,26,0,4,30,33,33,0,10,18,31,41,0,9,22,33,36,0,9,17,31,43,0,10,11,16,63,84,8,3,5,84,8,4,4,84,6,9,1,84,6,5,5,84,9,3,4,84,10,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,41,56,0,4,73,23,0,6,11,83,0,4,37,59,0,6,11,83,0,5,19,76,0,0,52,48,48,0,37,10,0,5,0,0,4,15,30,51,0,2,96,2,0,2,9,89,0,0,70,12,5,1,2,10,0,0,53,20,10,17,0,0,34,42,14,10,0,2,5,89,4,0,1,5,91,3,59,0,41,0,27,0,71,2,89,0,10,1,63,1,26,10,89,0,10,1,81,0,19,0,0,1,1,7,24,20,47,0,0,1,12,25,31,31,0,2,48,28,13,9,0,1,14,16,24,45,0,2,30,35,17,16,35,7,56,2,35,19,27,19,35,21,24,20,0,0,41,59,41,0,26,33,74,1,6,2,0,2,1,0,14,33,1,2,9,7,5,1,5,3,2,0,4,4,4,4,1,15,0,1,65,33,0,1,0,0,100,0,0,0,0,0,2,2,58,19,19,2,1,19,29,32,11,6,4.1872727272727275,4.3863447427237405,3.35,2.7582412397834433,12.195652173913043,4.721331369398419,2.4105263157894736,1.4028446543720057
AZ,AZE,Azerbaijan,-99,2020-12-27,2020-12-25,100,6,149523.87673986642,3,77098.5715841311,59,78,2056042.6087713693,0,5,8,87,6,17,77,5,6,89,6,25,69,4,19,77,4,22,74,5,10,85,6,5,89,3,11,86,4,8,88,4,13,83,8,20,72,7,19,74,6,24,70,92,2,3,3,83,3,8,6,94,2,3,1,75,5,10,10,81,4,8,7,78,2,10,10,90,3,2,5,95,4,0,1,89,2,4,5,92,3,3,2,87,1,5,7,80,1,6,13,81,3,11,5,76,3,11,10,19,3,22,56,81,0,8,11,25,2,25,48,76,1,16,7,84,5,9,2,84,9,6,1,91,7,2,0,46,1,5,48,100,31,2,9,25,17,16,52,6,8,17,17,52,11,9,15,13,52,12,11,10,15,52,14,12,11,11,52,14,5,7,22,95,2,0,3,95,1,1,3,95,2,1,2,95,2,3,0,95,2,0,3,95,2,2,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,59,6,12,23,59,3,27,11,59,7,2,32,59,7,8,26,59,6,3,32,59,6,10,25,64,3,8,25,92,0,7,0,1,0,66,2,1,4,10,17,66,2,31,1,71,4,4,21,71,1,21,1,1,1,0,4,71,2,18,0,4,5,71,0,7,14,6,2,71,1,3,22,3,79,3,3,14,1,89,0,10,1,75,0,25,0,98,0,1,1,94,0,4,2,97,0,3,0,92,0,8,0,84,0,0,0,3,2,11,84,1,0,0,5,1,9,88,1,5,5,1,0,88,2,1,1,3,5,88,1,1,3,2,5,96,1,1,2,96,0,4,0,96,1,2,1,91,0,4,5,95,0,3,2,100,0,0,0,0,0,0,0,0,96,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.2285714285714286,3.6709168135631782,3.642857142857143,3.671242565947118,0,0,0,0
AZ,AZE,Azerbaijan,2,2020-12-27,2020-12-22,100,0,0,0,0,67,100,1474453.4478997786,98,4,2,94,5,8,87,5,3,92,4,10,86,4,16,80,4,10,86,5,6,89,5,5,90,4,5,91,4,5,91,5,11,84,2,22,76,5,7,88,4,18,78,98,0,2,0,92,0,5,3,97,0,3,0,90,0,3,7,84,1,3,12,90,0,3,7,94,0,3,3,95,0,2,3,95,1,3,1,95,0,4,1,89,0,5,6,78,2,5,15,93,1,2,4,82,0,8,10,0,0,31,69,69,0,13,18,0,0,39,61,61,1,12,26,88,1,11,0,88,5,7,0,95,2,3,0,13,0,16,71,100,0,0,14,26,35,25,0,6,28,31,35,0,11,17,28,44,0,9,22,33,36,0,10,18,29,43,0,12,9,18,61,84,8,3,5,84,9,3,4,84,7,8,1,84,7,6,3,84,10,2,4,84,11,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,42,55,0,4,73,23,0,7,12,81,0,5,37,58,0,7,6,87,0,6,14,80,0,0,52,48,48,0,38,11,0,3,0,0,3,14,30,53,0,2,98,0,0,2,10,88,0,0,71,14,5,1,1,8,0,0,53,21,14,12,0,0,32,45,14,9,0,2,6,88,4,0,2,6,90,2,58,0,42,0,27,0,71,2,88,0,10,2,63,1,24,12,94,0,6,0,86,0,14,0,0,1,0,8,23,22,46,0,0,1,9,28,32,30,0,2,46,28,13,11,0,0,13,15,29,43,0,2,26,38,15,19,36,6,54,4,36,18,27,19,36,20,23,21,0,1,44,55,45,0,20,35,80,1,7,1,0,2,0,0,9,36,1,3,12,4,5,1,4,2,3,0,3,5,3,3,1,14,0,1,64,34,0,1,0,0,100,0,0,0,0,0,2,3,63,17,15,2,2,20,31,31,10,4,3.7060000000000004,4.079736386041607,2.8,2.2384204957490614,11.866666666666667,4.8021530751636154,2.3043478260869565,1.3238233874667773
AZ,AZE,Azerbaijan,3,2020-12-27,2020-12-21,100,2,20965.858592331002,0,0,100,99,1446137.6792719758,98,5,2,93,4,11,85,5,3,92,2,25,73,5,13,82,4,13,83,5,7,88,5,7,88,5,5,90,4,9,87,5,11,84,4,25,71,5,8,87,4,23,73,98,0,1,1,89,1,7,3,97,0,3,0,75,2,13,10,87,1,6,6,87,2,8,3,93,0,4,3,93,0,3,4,95,1,3,1,91,1,8,0,89,1,8,2,75,2,11,12,92,0,6,2,77,2,12,9,0,1,37,62,63,0,15,22,0,0,46,54,54,0,29,17,71,14,15,0,71,12,17,0,88,7,4,1,29,0,9,62,100,0,1,15,32,22,30,0,10,29,21,40,0,11,26,23,40,0,11,34,21,34,0,10,29,26,35,0,12,12,13,63,91,4,2,3,91,4,2,3,91,2,4,3,91,4,3,2,91,3,5,1,91,4,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,33,63,0,4,56,40,0,6,9,85,0,5,30,65,0,6,9,85,0,5,17,78,0,1,37,62,63,1,23,10,1,2,0,1,1,3,35,60,0,1,98,1,0,5,18,77,0,1,71,5,5,2,0,16,0,1,54,12,15,18,0,2,40,38,14,6,0,1,5,91,3,0,2,0,96,2,67,3,28,2,44,3,51,2,91,0,7,2,70,2,24,4,91,2,7,0,83,1,16,0,0,2,4,5,15,24,50,0,3,3,8,16,22,48,0,5,37,32,12,14,0,1,15,26,19,39,0,1,38,18,17,26,44,4,50,2,44,18,29,9,44,22,27,7,0,1,49,50,50,0,24,26,76,0,3,4,1,0,4,3,9,27,0,1,7,7,3,2,3,6,4,1,3,4,4,3,3,22,0,2,67,30,0,1,0,0,0,100,0,0,0,0,1,1,66,24,8,1,1,19,37,28,7,7,4.851851851851852,4.651668020599109,3.3846153846153846,2.85764830693944,12.583333333333336,5.432197707173825,2.9782608695652173,1.6170673555229962
AZ,AZE,Azerbaijan,-99,2020-12-28,2020-12-25,100,6,149523.87673986642,3,77098.5715841311,66,80,2012578.8541743737,0,5,8,87,6,16,78,5,7,88,6,26,68,4,18,78,4,22,74,5,10,85,6,5,89,3,10,87,4,8,88,4,14,82,8,19,73,7,19,74,6,24,70,92,2,3,3,84,3,7,6,93,2,4,1,74,5,10,11,82,4,8,6,78,2,10,10,90,3,2,5,95,4,0,1,90,2,4,4,92,3,3,2,86,1,6,7,81,1,6,12,81,3,11,5,76,3,11,10,17,3,23,57,80,0,7,13,23,2,23,52,78,1,14,7,86,5,8,1,86,9,5,0,91,7,2,0,42,1,8,49,100,29,2,9,27,18,15,50,6,9,18,17,50,11,8,16,15,50,12,12,10,16,50,14,11,12,13,50,14,5,8,23,92,2,1,5,92,1,3,4,92,2,1,5,92,2,6,0,92,2,0,6,92,2,3,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,57,6,13,24,57,3,29,11,57,7,2,34,57,7,9,27,57,6,3,34,57,6,9,28,62,3,9,26,91,0,8,0,1,0,64,2,1,4,12,17,64,2,33,1,69,4,3,24,69,1,23,1,1,1,0,4,69,2,19,1,4,5,70,0,8,14,6,2,71,1,3,22,3,79,3,3,14,1,88,0,11,1,73,0,27,0,98,0,1,1,93,0,5,2,97,0,3,0,93,0,7,0,84,0,0,0,3,2,11,84,1,0,0,5,1,9,87,1,6,5,1,0,87,2,1,1,3,6,87,1,1,4,2,5,96,1,1,2,96,0,4,0,96,1,2,1,91,0,4,5,95,0,3,2,100,0,0,0,0,0,0,0,0,96,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3,3.47967068960672,3.8666666666666667,3.4819261226811697,0,0,0,0
AZ,AZE,Azerbaijan,2,2020-12-28,2020-12-22,100,0,0,0,0,67,100,1474453.4478997786,98,4,2,94,5,8,87,5,3,92,4,10,86,4,16,80,4,10,86,5,6,89,5,5,90,4,5,91,4,5,91,5,11,84,2,22,76,5,7,88,4,18,78,98,0,2,0,92,0,5,3,97,0,3,0,90,0,3,7,84,1,3,12,90,0,3,7,94,0,3,3,95,0,2,3,95,1,3,1,95,0,4,1,89,0,5,6,78,2,5,15,93,1,2,4,82,0,8,10,0,0,31,69,69,0,13,18,0,0,39,61,61,1,12,26,88,1,11,0,88,5,7,0,95,2,3,0,13,0,16,71,100,0,0,14,26,35,25,0,6,28,31,35,0,11,17,28,44,0,9,22,33,36,0,10,18,29,43,0,12,9,18,61,84,8,3,5,84,9,3,4,84,7,8,1,84,7,6,3,84,10,2,4,84,11,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,42,55,0,4,73,23,0,7,12,81,0,5,37,58,0,7,6,87,0,6,14,80,0,0,52,48,48,0,38,11,0,3,0,0,3,14,30,53,0,2,98,0,0,2,10,88,0,0,71,14,5,1,1,8,0,0,53,21,14,12,0,0,32,45,14,9,0,2,6,88,4,0,2,6,90,2,58,0,42,0,27,0,71,2,88,0,10,2,63,1,24,12,94,0,6,0,86,0,14,0,0,1,0,8,23,22,46,0,0,1,9,28,32,30,0,2,46,28,13,11,0,0,13,15,29,43,0,2,26,38,15,19,36,6,54,4,36,18,27,19,36,20,23,21,0,1,44,55,45,0,20,35,80,1,7,1,0,2,0,0,9,36,1,3,12,4,5,1,4,2,3,0,3,5,3,3,1,14,0,1,64,34,0,1,0,0,100,0,0,0,0,0,2,3,63,17,15,2,2,20,31,31,10,4,3.7060000000000004,4.079736386041607,2.8,2.2384204957490614,11.866666666666667,4.8021530751636154,2.3043478260869565,1.3238233874667773
