ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.0,C0_1.1,C0_1.NA,C0_2.0,C0_2.1,C0_2.NA,C0_3.0,C0_3.1,C0_3.NA,C0_4.0,C0_4.1,C0_4.NA,C0_5.0,C0_5.1,C0_5.NA,C0_6.0,C0_6.1,C0_6.NA,C0a_7.0,C0a_7.1,C0a_7.NA,I6_1.1,I6_1.2,I6_1.3,I6_1.NA,I6_2.1,I6_2.2,I6_2.3,I6_2.NA,I6_3.1,I6_3.2,I6_3.3,I6_3.NA,I6_4.1,I6_4.2,I6_4.3,I6_4.NA,I6_5.1,I6_5.2,I6_5.3,I6_5.NA,I6_6.1,I6_6.2,I6_6.3,I6_6.NA,I6_7.1,I6_7.2,I6_7.3,I6_7.NA,I6_8.1,I6_8.2,I6_8.3,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ZA,ZAF,South Africa,2022-01-01,2022-01-01,553,36612836.5095245,428,1632,382,1884,0,1346,61,51,72,57,553,284,173,367,449,83,111,333,22,2118843.29826517,16,6,7,9,16,1102320.66021301,382,543,7119.49944023031,93,76,0,0,0,35,31,4,7,24,25,51,10,13,38,51,7,13,3,18,11,16,10,2,7,7,13,9,4,12,3,15,10,13,8,2,7,7,10,6,17,33,8,35,27,31,26,11,14,18,29,20,10,27,7,28,24,23,19,8,12,16,22,14,416,76,61,228,264,61,367,125,61,304,188,61,411,81,61,439,53,61,365,127,61,18,75,90,370,12,65,106,370,18,63,101,371,36,82,64,371,102,63,12,376,51,102,26,374,29,108,42,374,57,89,32,375,5,10,29,35,183,291,7,13,29,4,4,12,47,18,5,18,7,24,20,12,6,327,7,10,38,40,164,294,23,41,51,142,296,60,63,58,75,297,1,0.32037037037037,0.0393562340805909,0.110307414104882,0.0261100595872484,0.0922242314647378,0.024115559407561,0.130198915009042,0.0280478244458623,0.103074141048825,0.0253418700830644,0.0397830018083183,0.0162899216326432,0.0578715964198506,7.56343681011306e-05,0.0289330922242315,0.0139703577712942,0.0301074913965285,5.53516397133772e-05,0.0536554575510498,0.00523425592367798
ZA,ZAF,South Africa,2022-01-02,2022-01-02,642,37058641.5554798,490,2475,510,2029,0,1605,71,64,71,74,642,320,210,405,492,123,133,351,30,1888467.2113325,20,9,9,11,17,978047.692763699,512,626,8207.7470526412,106,81,0,0,0,49,41,7,15,26,43,57,13,19,38,65,15,26,10,29,30,22,20,13,7,8,32,9,12,23,6,22,25,15,16,8,4,5,26,8,19,45,16,45,44,36,29,17,15,11,40,13,14,37,9,32,36,24,21,11,9,6,32,9,470,89,83,255,304,83,396,163,83,318,241,83,443,116,83,500,59,83,428,131,83,16,114,92,420,16,80,126,420,22,90,109,421,39,115,66,422,129,73,15,425,69,116,31,426,42,131,43,426,69,117,27,429,7,13,20,40,192,370,6,11,34,9,8,13,55,22,12,22,5,25,17,15,3,385,8,20,31,47,165,371,31,27,57,150,377,59,70,66,74,373,1,0.341463414634146,0.037477669440619,0.110591900311526,0.0242601106529965,0.0996884735202492,0.0231739174248651,0.110591900311526,0.0242601106529965,0.115264797507788,0.0247021967579683,0.0467289719626168,0.0163260787624335,0.0509588892648781,7.0803680347263e-05,0.0264797507788162,0.0124196689080428,0.0263918927330211,5.16096249187557e-05,0.0623800900193728,0.00523205761905118
ZA,ZAF,South Africa,2022-01-03,2022-01-03,707,37255513.3079633,539,2186,548,2254,0,1846,77,63,84,74,707,370,225,454,557,120,167,382,44,2508003.48614293,36,8,18,18,29,1569645.41875226,548,691,9059.98915874611,114,92,0,0,0,51,39,12,11,28,39,63,14,25,38,65,14,28,9,25,24,20,19,6,11,9,25,9,11,21,6,20,19,15,15,4,8,4,19,6,25,52,15,45,44,39,34,15,17,15,39,17,21,43,12,39,38,32,30,12,13,9,32,14,485,137,85,275,347,85,461,161,85,372,250,85,502,120,85,561,61,85,474,148,85,21,125,105,456,20,89,140,458,27,103,121,456,55,111,83,458,148,77,22,460,80,136,31,460,38,152,56,461,75,130,38,464,9,13,22,48,213,402,6,13,30,4,12,11,63,22,17,34,7,26,17,16,4,425,11,14,43,57,179,403,25,41,56,177,408,67,64,80,86,410,1,0.331369661266568,0.0354048382881087,0.108910891089109,0.0229633162867123,0.0891089108910891,0.0210006230057565,0.118811881188119,0.0238507827569,0.104667609618105,0.0225650700051197,0.0622347949080622,0.0178074639070459,0.0673189888812201,8.04615093067487e-05,0.041018387553041,0.0146195099840874,0.0421318961780819,6.45076430096979e-05,0.0604857235917313,0.00490865358675792
ZA,ZAF,South Africa,2022-01-04,2022-01-04,684,36144801.2149233,541,1955,543,2026,0,1664,71,58,71,58,684,343,223,444,531,136,132,391,26,1549762.36120773,14,11,5,9,16,840945.995804415,544,675,8850.20648647414,125,98,0,0,0,51,40,10,10,30,38,55,15,19,36,58,8,20,6,24,26,17,18,9,12,10,19,12,7,17,5,19,23,12,14,7,9,8,12,10,20,32,10,39,40,31,32,15,20,18,31,22,14,23,7,30,33,21,24,11,15,15,20,16,469,141,74,258,352,74,464,146,74,393,217,74,531,79,74,538,72,74,473,137,74,15,129,93,447,19,88,131,446,34,89,113,448,58,115,62,449,139,81,14,450,74,126,33,451,31,157,47,449,77,114,41,452,5,15,28,47,228,361,16,8,20,8,13,14,70,25,13,24,2,28,27,19,7,390,12,19,40,52,199,362,32,45,64,177,366,61,91,74,94,364,1,0.334332833583208,0.0358016676560807,0.103801169590643,0.0228572169303485,0.0847953216374269,0.0208768562974163,0.103801169590643,0.0228572169303485,0.0847953216374269,0.0208768562974163,0.0380116959064327,0.0143305731143109,0.0428764942430469,6.60417839320791e-05,0.0233918128654971,0.0113269285501536,0.023266029070239,4.91444467510669e-05,0.0614674924061264,0.0050040172400195
ZA,ZAF,South Africa,2022-01-05,2022-01-05,684,37165437.76157,530,2395,541,2301,0,1809,66,60,69,69,684,361,212,448,541,120,149,385,34,2437229.80359325,25,6,9,16,24,1435703.86654698,541,666,8732.20373332115,95,82,0,0,0,37,33,4,8,24,33,53,12,13,39,62,9,25,4,25,20,16,11,4,11,9,18,13,9,22,4,23,18,15,9,3,11,9,15,13,20,48,13,48,39,32,26,12,20,13,36,21,14,37,9,38,29,24,18,9,16,10,25,16,449,153,82,247,355,82,457,145,82,376,226,82,531,71,82,536,66,82,467,135,82,22,122,130,410,17,103,147,417,31,96,140,417,62,125,80,417,153,98,14,419,68,156,40,420,44,157,65,418,88,132,42,422,9,18,40,34,177,406,0,20,32,12,11,8,67,28,7,30,2,22,22,14,7,402,10,24,39,45,159,407,42,35,56,139,412,78,69,57,69,411,1,0.321212121212121,0.0356237082340251,0.0964912280701754,0.0221273876206521,0.087719298245614,0.0211998046218072,0.100877192982456,0.0225697132671175,0.100877192982456,0.0225697132671175,0.0497076023391813,0.0162877117663895,0.0655778580957119,7.95845269109982e-05,0.0350877192982456,0.0137892779919634,0.0386300808766885,6.19564517843475e-05,0.0619545783082914,0.00505632286933955
ZA,ZAF,South Africa,2022-01-06,2022-01-06,582,35518800.6349872,443,1554,418,1849,0,1515,46,40,46,45,582,282,190,378,458,109,111,340,20,1834973.9751907,14,6,6,8,11,899328.255204957,418,577,7565.28761880826,92,74,0,0,0,23,18,4,3,15,19,33,12,6,27,41,2,12,3,13,14,5,6,3,5,4,8,2,1,9,1,11,10,5,4,2,4,3,6,1,10,29,6,29,31,18,15,6,12,15,28,9,5,21,4,21,21,13,10,2,9,10,18,4,363,158,61,223,298,61,391,130,61,315,206,61,447,74,61,435,86,61,417,104,61,29,95,98,360,15,87,111,369,36,78,99,369,52,92,68,370,115,80,14,373,61,119,30,372,34,130,47,371,81,86,37,378,4,16,21,29,173,339,12,11,31,5,6,8,56,24,14,21,3,15,26,16,3,331,7,19,25,36,153,342,30,18,49,137,348,51,52,60,72,347,1,0.334507042253521,0.0388014797050207,0.0790378006872852,0.0219192113747618,0.0687285223367698,0.0205538533230238,0.0790378006872852,0.0219192113747618,0.077319587628866,0.0216998640893565,0.0343642611683849,0.0147994906841935,0.0516620477714889,7.27924469670361e-05,0.0189003436426117,0.011063129873726,0.0253197810491126,5.16630442900775e-05,0.0552523606585425,0.00514835749182387
ZA,ZAF,South Africa,2022-01-07,2022-01-07,576,37345696.3371764,424,2404,381,1793,0,1448,51,46,60,48,576,285,162,380,440,107,111,319,22,2003425.91003531,15,5,9,6,17,1634487.17341472,382,559,7329.28211250229,85,64,0,0,0,33,28,4,11,16,27,41,10,13,27,46,8,22,6,18,18,16,14,6,10,4,16,7,7,19,5,16,16,13,11,4,7,4,13,6,14,39,11,34,32,29,27,9,17,9,25,12,11,31,8,28,26,23,19,6,12,9,19,11,376,129,71,211,294,71,394,111,71,333,172,71,445,60,71,440,65,71,379,126,71,25,84,83,384,20,65,102,389,23,71,96,386,47,86,55,388,107,66,12,391,44,115,25,392,33,104,47,392,61,89,33,393,6,10,24,30,182,324,10,8,21,9,13,9,44,27,11,29,1,18,16,15,5,340,4,19,25,45,159,324,32,31,56,131,326,61,58,57,73,327,1,0.298892988929889,0.038538824765739,0.0885416666666667,0.0231995256753492,0.0798611111111111,0.0221376346890754,0.104166666666667,0.0249467998046699,0.0833333333333333,0.02257105951156,0.0381944444444444,0.0156523874149887,0.0536454292335947,7.22638531263759e-05,0.0295138888888889,0.0138211675082319,0.0437664131003937,6.56115480620894e-05,0.0521197020576387,0.00508856213763399
ZA,ZAF,South Africa,2022-01-08,2022-01-08,550,36556385.4970387,395,1854,434,1599,0,1277,59,46,59,51,550,268,174,359,413,115,105,296,21,1671268.74373424,12,8,5,6,11,736954.508575352,434,543,7119.49944023031,89,69,0,0,0,46,33,11,7,25,35,43,14,11,31,48,6,23,9,22,16,14,14,11,11,9,16,10,4,17,6,16,13,6,10,8,8,4,11,6,10,35,13,32,24,19,20,15,14,12,26,13,6,26,8,23,18,10,14,11,10,6,18,9,321,146,83,186,281,83,338,129,83,277,190,83,397,70,83,415,52,83,379,88,83,22,89,84,355,13,69,106,362,24,58,107,361,36,92,60,362,116,58,14,362,64,96,28,362,41,101,46,362,61,88,33,368,3,13,22,30,148,334,14,6,15,8,17,11,42,12,7,20,5,16,13,13,6,345,9,7,27,39,134,334,23,26,41,125,335,49,48,54,65,334,1,0.326454033771107,0.0398088036244282,0.107272727272727,0.0258625181621993,0.0836363636363636,0.0231365308797764,0.107272727272727,0.0258625181621993,0.0927272727272727,0.0242403796624121,0.0381818181818182,0.016015538292591,0.0457175599012551,6.77090085092059e-05,0.02,0.0117002403149838,0.02015939208856,4.55599144302324e-05,0.0609593418250147,0.00555757962722823
ZA,ZAF,South Africa,2022-01-09,2022-01-09,541,36427536.2324444,406,2185,359,1631,0,1331,51,43,62,51,541,268,194,321,402,109,103,290,22,2526505.94698223,11,8,5,6,11,1441998.79510949,362,519,6804.82543182234,83,61,0,0,0,29,18,9,5,12,23,32,16,8,23,45,7,16,6,13,11,12,11,4,5,8,12,3,5,10,3,8,8,8,9,2,4,4,8,1,12,35,11,30,25,28,22,14,15,12,28,11,7,20,6,17,18,17,14,6,12,7,17,4,346,115,80,209,252,80,336,125,80,285,176,80,375,86,80,414,47,80,362,99,80,16,88,70,367,13,68,90,370,27,59,87,368,49,76,47,369,110,45,17,369,50,95,25,371,29,93,49,370,63,79,27,372,7,15,23,37,165,294,13,9,14,7,10,12,48,25,10,17,7,14,19,10,4,322,8,11,35,40,152,295,27,38,55,124,297,47,62,61,73,298,1,0.376699029126214,0.0418495342115336,0.0942698706099815,0.0246226800257062,0.0794824399260629,0.0227929791132669,0.11460258780037,0.0268420570340425,0.0942698706099815,0.0246226800257062,0.0406654343807763,0.0166435978141295,0.0693570361404782,8.25030499462382e-05,0.0203327171903882,0.0118928644976208,0.0395854055544159,6.33184268744651e-05,0.0531975439527265,0.00533230614525881
ZA,ZAF,South Africa,2022-01-10,2022-01-10,602,37797639.6215165,438,1713,416,1826,0,1510,42,37,49,42,602,291,201,375,456,121,129,308,18,1659615.20906982,12,5,2,10,14,949582.298021332,416,585,7670.17895494425,83,70,0,0,0,29,24,3,5,18,22,33,9,8,23,36,10,17,6,15,16,14,14,7,4,7,17,8,8,15,6,13,12,12,12,6,2,5,13,7,15,29,9,24,26,22,23,12,9,11,25,14,11,22,8,19,19,17,18,9,5,8,18,11,354,167,81,226,295,81,397,124,81,311,210,81,441,80,81,453,68,81,414,107,81,24,89,98,391,21,66,120,395,33,66,104,399,57,75,68,402,128,47,24,403,58,105,38,401,26,117,56,403,63,94,41,404,4,7,23,34,182,352,6,8,23,5,9,6,53,25,10,20,7,22,17,13,5,373,5,10,36,49,151,351,24,40,51,128,359,48,81,48,68,357,1,0.348958333333333,0.0389249468702105,0.0697674418604651,0.0203503560869171,0.0614617940199336,0.0191857349349124,0.0813953488372093,0.021843084196051,0.0697674418604651,0.0203503560869171,0.0299003322259136,0.0136049211862568,0.0439079060409124,6.53186165237338e-05,0.0232558139534884,0.0120394330224689,0.0251227935799667,4.98912832091242e-05,0.0542360227112881,0.00506851392295711
